panel	dataset	tool	meta_jobs	n_acc	rep	wall_s	acc_per_s	n_tasks	n_unresolved	ena_reqs	gsa_reqs	ncbi_reqs	host	stamp
10a	E10_ena_PRJNA916347	adaptiseq	1	50	1	28.378	1.762	82	0	50	0	0	Node-FIU	2026-07-21T07:39:10
10a	E10_ena_PRJNA916347	adaptiseq	1	50	2	28.448	1.758	82	0	50	0	0	Node-FIU	2026-07-21T07:39:38
10a	E10_ena_PRJNA916347	adaptiseq	1	50	3	28.620	1.747	82	0	50	0	0	Node-FIU	2026-07-21T07:40:07
10a	E10_ena_PRJNA916347	adaptiseq	3	50	1	9.891	5.055	82	0	50	0	0	Node-FIU	2026-07-21T07:40:17
10a	E10_ena_PRJNA916347	adaptiseq	3	50	2	9.967	5.017	82	0	50	0	0	Node-FIU	2026-07-21T07:40:27
10a	E10_ena_PRJNA916347	adaptiseq	3	50	3	9.839	5.082	82	0	50	0	0	Node-FIU	2026-07-21T07:40:36
10a	E10_ena_PRJNA916347	adaptiseq	8	50	1	6.703	7.460	82	0	50	0	0	Node-FIU	2026-07-21T07:40:43
10a	E10_ena_PRJNA916347	adaptiseq	8	50	2	6.701	7.462	82	0	50	0	0	Node-FIU	2026-07-21T07:40:50
10a	E10_ena_PRJNA916347	adaptiseq	8	50	3	6.705	7.457	82	0	50	0	0	Node-FIU	2026-07-21T07:40:57
10a	E10_ena_PRJNA916347	adaptiseq	16	50	1	6.713	7.448	82	0	50	0	0	Node-FIU	2026-07-21T07:41:03
10a	E10_ena_PRJNA916347	adaptiseq	16	50	2	6.704	7.458	82	0	50	0	0	Node-FIU	2026-07-21T07:41:10
10a	E10_ena_PRJNA916347	adaptiseq	16	50	3	6.698	7.465	82	0	50	0	0	Node-FIU	2026-07-21T07:41:17
10a	E10_ena_PRJNA916347	adaptiseq	1	150	1	85.535	1.754	216	0	150	0	0	Node-FIU	2026-07-21T07:42:42
10a	E10_ena_PRJNA916347	adaptiseq	1	150	2	85.167	1.761	216	0	150	0	0	Node-FIU	2026-07-21T07:44:08
