panel	dataset	arm	tool	rep	order_idx	wall_s	exit_code	status	runs_complete	runs_partial	runs_expected	files_verified	files_expected	bytes_verified	bytes_expected	bytes_on_disk	files_on_disk	extra_files	format	MBps_verified	peak_rss_kb	cpu_pct	conc_med	conc_p95	conc_max	conc_per_host_max	procs_max	conc_samples	workers_med	workers_max	host	stamp
3a	D1_fair_PRJNA916347	adaptiseq-fixed-j20	adaptiseq	1	1	105.26	1	rc=1	200	0	201	200	201	4419183267	4419227609	4419183267	200	0	gz	41.98	74280	31	5	20	20	20	10	500	6	20	Node-FIU	2026-07-19T00:00:48+00:00
3a	D1_fair_PRJNA916347	iseq	iseq	1	2	1099.01	1	rc=1	200	0	201	200	201	4419183267	4419227609	4419183267	200	0	gz	4.02	10752	5	1	1	1	1	10	5298	0	0	Node-FIU	2026-07-19T00:19:09+00:00
3a	D1_fair_PRJNA916347	fastq-dl	fastq-dl	1	3	765.85	0	ok	200	0	201	200	201	4419183267	4419227609	4419183267	200	0	gz	5.77	146560	37	1	1	1	1	6	3705	0	0	Node-FIU	2026-07-19T00:31:57+00:00
3a	D1_fair_PRJNA916347	adaptiseq-fixed-j8	adaptiseq	1	4	112.87	1	rc=1	200	0	201	200	201	4419183267	4419227609	4419183267	200	0	gz	39.15	63296	27	4	8	8	8	9	536	2	8	Node-FIU	2026-07-19T00:33:52+00:00
3a	D1_fair_PRJNA916347	kingfisher	kingfisher	1	5	499.83	1	rc=1	115	0	201	115	201	3663555788	4419227609	3663555788	115	0	gz	7.33	122808	20	1	5	5	5	6	2419	0	0	Node-FIU	2026-07-19T00:42:13+00:00
3a	D1_fair_PRJNA916347	adaptiseq-fixed-j40	adaptiseq	1	6	470.00	0	ok	201	0	201	201	201	4419227609	4419227609	4419227609	201	0	gz	9.40	74756	6	1	6	61	61	9	2259	40	40	Node-FIU	2026-07-19T00:50:05+00:00
3a	D1_fair_PRJNA916347	adaptiseq-climb-j20	adaptiseq	1	7	137.91	0	ok	201	0	201	201	201	4419227609	4419227609	4419227609	201	0	gz	32.04	71492	25	3	20	20	20	10	657	3	20	Node-FIU	2026-07-19T00:52:26+00:00
3a	D1_fair_PRJNA916347	adaptiseq-adaptive-j40	adaptiseq	1	8	183.77	0	ok	201	0	201	201	201	4419227609	4419227609	4419227609	201	0	gz	24.05	63336	19	2	12	12	12	10	877	2	12	Node-FIU	2026-07-19T00:55:31+00:00
3a	D1_fair_PRJNA916347	iseq-p8	iseq	1	9	1030.95	0	ok	201	0	201	201	201	4419227609	4419227609	4419227609	201	0	gz	4.29	10772	6	1	8	8	8	10	4972	0	0	Node-FIU	2026-07-19T01:12:45+00:00
3a	D1_fair_PRJNA916347	adaptiseq-climb-j40	adaptiseq	1	10	192.44	0	ok	201	0	201	201	201	4419227609	4419227609	4419227609	201	0	gz	22.96	89556	15	1	40	40	40	9	919	1	40	Node-FIU	2026-07-19T01:15:59+00:00
