arm,n,wall_med,wall_iqr,MBps_med,MBps_iqr,runs_ok_med,runs_exp,peak_rss_MB,cpu_pct_med,conc_med,conc_max,conc_host_max,workers_max,timeouts,nonzero_rc,formats,success_pct
adaptiseq-fixed-j8,5,121.0,34.5,36.51,9.17,200.0,201,61.0,25.0,4.0,8,8,8,0,3,gz,99.5
adaptiseq-fixed-j20,5,124.8,16.3,35.41,4.95,200.0,201,75.0,25.0,3.0,20,20,20,0,3,gz,99.5
adaptiseq-climb-j20,5,137.9,7.1,32.04,1.64,201.0,201,73.0,23.0,3.0,20,20,20,0,2,gz,100.0
adaptiseq-climb-j40,5,142.3,70.2,31.05,13.2,201.0,201,87.0,25.0,3.0,40,40,40,0,1,gz,100.0
adaptiseq-adaptive-j20,5,167.8,39.0,26.34,5.34,201.0,201,62.0,23.0,3.0,14,14,14,0,1,gz,100.0
adaptiseq-adaptive-j40,5,179.1,21.8,24.67,3.23,200.0,201,62.0,19.0,3.0,15,15,15,0,3,gz,99.5
kingfisher,5,456.5,58.7,8.03,0.98,115.0,201,119.0,21.0,1.0,5,5,0,0,4,gz,57.2
adaptiseq-fixed-j40,5,651.8,225.3,6.78,3.04,200.0,201,72.0,5.0,1.0,61,61,40,1,2,gz,99.5
fastq-dl,5,765.8,82.3,5.77,0.62,200.0,201,143.0,37.0,1.0,1,1,0,0,0,gz,99.5
iseq-p8,5,995.5,45.0,4.44,0.19,201.0,201,10.0,6.0,1.0,8,8,0,0,1,gz,100.0
iseq,5,1082.0,118.6,4.08,0.49,200.0,201,10.0,6.0,1.0,1,1,0,0,5,gz,99.5
