arm,n,wall_med,wall_iqr,MBps_med,MBps_iqr,runs_ok_med,runs_exp,peak_rss_MB,cpu_pct_med,conc_med,conc_max,conc_host_max,workers_max,timeouts,nonzero_rc,formats,success_pct
adaptiseq-fixed-j40,5,168.7,56.8,153.41,39.43,8.0,8,84.0,74.0,21.0,25,25,16,0,0,gz,100.0
adaptiseq-fixed-j8,5,197.6,150.5,130.93,59.74,8.0,8,74.0,67.0,17.0,20,20,8,0,0,gz,100.0
adaptiseq-fixed-j20,5,210.2,36.0,123.12,23.71,8.0,8,85.0,70.0,18.0,25,25,16,0,0,gz,100.0
adaptiseq-climb-j20,5,211.8,95.5,122.17,44.59,8.0,8,82.0,69.0,16.0,25,25,16,0,0,gz,100.0
adaptiseq-adaptive-j40,5,242.9,14.7,106.51,6.72,8.0,8,83.0,60.0,11.0,25,25,15,0,0,gz,100.0
adaptiseq-climb-j40,5,276.4,91.9,93.6,27.27,8.0,8,82.0,50.0,11.0,25,25,16,0,0,gz,100.0
adaptiseq-adaptive-j20,5,311.5,52.3,83.07,14.73,8.0,8,84.0,56.0,8.0,25,25,15,0,0,gz,100.0
iseq-p8,5,455.4,7.4,56.82,0.91,8.0,8,10.0,47.0,8.0,8,8,0,0,0,gz,100.0
kingfisher,5,795.6,57.9,32.52,2.54,8.0,8,119.0,80.0,5.0,5,5,0,0,0,gz,100.0
fastq-dl,5,1559.2,1864.8,16.6,12.25,8.0,8,143.0,7.0,1.0,1,1,0,0,0,gz,100.0
iseq,5,2074.0,768.4,12.48,4.07,8.0,8,10.0,12.0,1.0,1,1,0,0,0,gz,100.0
