arm,n,wall_med,wall_iqr,MBps_med,MBps_iqr,runs_ok_med,runs_exp,peak_rss_MB,cpu_pct_med,conc_med,conc_max,conc_host_max,workers_max,timeouts,nonzero_rc,formats,success_pct
kingfisher,5,42.6,4.8,5.12,0.52,12.0,12,120.0,15.0,1.0,5,5,0,0,5,gz,100.0
fastq-dl,5,86.1,12.2,2.53,0.32,12.0,12,792.0,171.0,3.0,26,23,0,0,5,"gz,jsonl",100.0
adaptiseq-fixed-j8,5,378.8,47.0,0.58,0.07,12.0,12,1034.0,294.0,1.0,14,8,8,0,5,"gz,none",100.0
adaptiseq-climb-j40,5,406.8,23.8,0.54,0.03,12.0,12,1035.0,274.0,1.0,8,6,7,0,5,"gz,none",100.0
adaptiseq-adaptive-j20,5,418.0,46.9,0.52,0.05,12.0,12,1034.0,266.0,1.0,8,6,6,0,5,"gz,none",100.0
adaptiseq-climb-j20,5,423.8,32.3,0.51,0.04,12.0,12,1035.0,263.0,1.0,8,6,7,0,5,"gz,none",100.0
adaptiseq-fixed-j20,5,424.6,42.1,0.51,0.05,12.0,12,1035.0,262.0,1.0,18,12,18,0,5,"gz,none",100.0
adaptiseq-adaptive-j40,5,434.6,53.0,0.5,0.06,12.0,12,1034.0,256.0,1.0,6,6,5,0,5,"gz,none",100.0
iseq-p8,5,435.4,16.0,0.5,0.02,12.0,12,1034.0,257.0,6.0,8,8,0,0,5,"gz,none",100.0
adaptiseq-fixed-j40,5,471.2,128.2,0.46,0.12,12.0,12,1035.0,234.0,1.0,18,12,18,0,5,"gz,none",100.0
iseq,5,663.5,73.1,0.33,0.04,12.0,12,1033.0,169.0,1.0,1,1,0,0,5,"gz,none",100.0
