arm,n,wall_med,wall_iqr,MBps_med,MBps_iqr,runs_ok_med,runs_exp,peak_rss_MB,cpu_pct_med,conc_med,conc_max,conc_host_max,workers_max,timeouts,nonzero_rc,formats,success_pct
adaptiseq-climb-j20,3,103.8,16.8,73.11,9.22,241.0,241,78.0,41.0,6.0,20,20,20,0,1,gz,100.0
adaptiseq-fixed-j20,3,108.2,30.3,70.03,16.31,240.0,241,79.0,39.0,6.0,20,20,20,0,2,gz,99.6
adaptiseq-adaptive-j20,3,169.9,28.7,44.64,6.3,240.0,241,67.0,35.0,4.0,16,16,16,0,2,gz,99.6
adaptiseq-fixed-j8,3,185.6,13.5,40.84,3.39,240.0,241,61.0,33.0,8.0,8,8,8,0,2,gz,99.6
adaptiseq-climb-j40,3,192.7,26.1,39.37,7.26,241.0,241,97.0,26.0,5.0,41,40,40,0,1,"gz,gz,none",100.0
adaptiseq-adaptive-j40,3,203.3,18.1,37.32,3.21,241.0,241,63.0,30.0,4.0,16,16,16,0,1,gz,100.0
adaptiseq-fixed-j40,3,783.5,928.6,9.68,22.61,241.0,241,78.0,6.0,1.0,55,55,40,0,1,gz,100.0
kingfisher,3,857.0,334.7,7.74,2.35,148.0,241,120.0,21.0,1.0,5,5,0,0,2,gz,61.4
fastq-dl,3,1174.1,41.4,6.46,0.24,240.0,241,143.0,29.0,1.0,1,1,0,0,0,gz,99.6
iseq,3,1139.2,81.3,3.88,0.29,201.0,241,11.0,6.0,1.0,1,1,0,0,3,gz,83.4
iseq-p8,3,1149.0,17.3,3.85,0.06,200.0,241,11.0,6.0,1.0,8,8,0,0,3,gz,83.0
