t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	4	0	0	20.7	-
0.20	5	0	0	66.3	-
0.41	6	0	0	75.8	-
0.62	8	3	3	96.9	193.62.193.80:3
0.84	10	5	5	118.4	193.62.193.80:5
1.06	9	4	4	108.0	193.62.193.80:4
1.28	8	3	3	98.0	193.62.193.80:3
1.51	8	3	3	97.5	193.62.193.80:3
1.72	9	4	4	108.3	193.62.193.80:4
1.94	9	4	4	108.2	193.62.193.80:4
2.17	8	3	3	98.5	193.62.193.80:3
2.39	8	3	3	98.1	193.62.193.80:3
2.60	9	4	4	108.2	193.62.193.80:4
2.82	9	4	4	107.7	193.62.193.80:4
3.04	8	3	3	97.7	193.62.193.80:3
3.26	8	3	3	97.5	193.62.193.80:3
3.47	9	4	4	108.2	193.62.193.80:4
3.70	9	4	4	107.5	193.62.193.80:4
3.91	8	3	3	98.0	193.62.193.80:3
4.14	8	3	3	98.2	193.62.193.80:3
4.36	9	4	4	108.5	193.62.193.80:4
4.58	9	4	4	107.7	193.62.193.80:4
4.80	9	4	4	108.1	193.62.193.80:4
5.02	8	3	3	97.9	193.62.193.80:3
5.24	9	3	3	97.1	193.62.193.80:3
5.47	9	4	4	108.3	193.62.193.80:4
5.69	9	4	4	108.4	193.62.193.80:4
5.91	8	3	3	97.8	193.62.193.80:3
6.13	8	3	3	97.2	193.62.193.80:3
6.35	9	4	4	108.1	193.62.193.80:4
6.58	9	4	4	107.8	193.62.193.80:4
6.80	9	3	3	107.9	193.62.193.80:3
7.02	9	4	4	97.9	193.62.193.80:4
7.24	9	4	4	108.1	193.62.193.80:4
7.46	9	4	4	107.8	193.62.193.80:4
7.69	9	4	4	108.2	193.62.193.80:4
7.92	8	3	3	98.6	193.62.193.80:3
8.14	8	3	3	98.2	193.62.193.80:3
8.36	9	4	4	108.5	193.62.193.80:4
8.59	9	4	4	108.4	193.62.193.80:4
8.81	9	4	4	108.4	193.62.193.80:4
9.03	8	3	3	98.2	193.62.193.80:3
9.25	8	3	3	97.7	193.62.193.80:3
9.46	9	4	4	108.2	193.62.193.80:4
9.68	9	4	4	108.3	193.62.193.80:4
9.91	8	3	3	97.7	193.62.193.80:3
10.12	8	3	3	97.8	193.62.193.80:3
10.34	9	4	4	108.6	193.62.193.80:4
10.56	9	4	4	108.1	193.62.193.80:4
10.78	8	3	3	98.3	193.62.193.80:3
11.00	8	3	3	97.5	193.62.193.80:3
11.22	9	4	4	108.2	193.62.193.80:4
11.43	9	4	4	108.3	193.62.193.80:4
11.66	8	3	3	98.0	193.62.193.80:3
11.88	8	3	3	97.6	193.62.193.80:3
12.10	9	4	4	108.3	193.62.193.80:4
12.32	9	4	4	108.5	193.62.193.80:4
12.55	9	3	3	108.4	193.62.193.80:3
12.77	8	3	3	98.1	193.62.193.80:3
12.99	9	4	4	108.4	193.62.193.80:4
13.21	9	4	4	108.1	193.62.193.80:4
13.44	9	4	4	108.3	193.62.193.80:4
13.66	8	3	3	97.9	193.62.193.80:3
13.88	8	3	3	97.5	193.62.193.80:3
14.09	9	4	4	108.2	193.62.193.80:4
14.32	9	4	4	108.2	193.62.193.80:4
14.54	8	3	3	98.2	193.62.193.80:3
14.76	9	4	4	108.5	193.62.193.80:4
14.98	9	4	4	108.4	193.62.193.80:4
15.20	9	4	4	108.1	193.62.193.80:4
15.42	8	3	3	98.1	193.62.193.80:3
15.64	8	3	3	97.6	193.62.193.80:3
15.86	9	4	4	108.3	193.62.193.80:4
16.08	9	4	4	108.1	193.62.193.80:4
16.31	9	4	4	108.2	193.62.193.80:4
16.53	8	3	3	97.8	193.62.193.80:3
16.75	8	3	3	97.5	193.62.193.80:3
16.97	9	4	4	108.1	193.62.193.80:4
17.20	9	4	4	108.1	193.62.193.80:4
17.43	8	3	3	98.1	193.62.193.80:3
17.64	8	3	3	97.8	193.62.193.80:3
17.87	9	4	4	108.0	193.62.193.80:4
18.09	9	4	4	108.2	193.62.193.80:4
18.32	9	4	4	108.4	193.62.193.80:4
18.54	8	3	3	97.6	193.62.193.80:3
18.76	8	3	3	97.8	193.62.193.80:3
18.98	9	4	4	108.4	193.62.193.80:4
19.20	9	4	4	108.2	193.62.193.80:4
19.43	8	3	3	98.0	193.62.193.80:3
19.64	8	3	3	97.4	193.62.193.80:3
19.86	9	4	4	108.0	193.62.193.80:4
20.08	9	4	4	107.8	193.62.193.80:4
20.31	9	3	3	107.6	193.62.193.80:3
20.53	8	3	3	98.2	193.62.193.80:3
20.75	8	3	3	97.2	193.62.193.80:3
20.97	9	4	4	108.3	193.62.193.80:4
21.19	9	4	4	108.1	193.62.193.80:4
21.42	8	3	3	98.2	193.62.193.80:3
21.64	8	3	3	97.7	193.62.193.80:3
21.86	9	4	4	107.7	193.62.193.80:4
22.08	9	4	4	108.3	193.62.193.80:4
22.31	8	3	3	97.6	193.62.193.80:3
22.52	8	3	3	97.6	193.62.193.80:3
22.75	9	4	4	108.2	193.62.193.80:4
22.97	9	4	4	107.9	193.62.193.80:4
23.20	9	4	4	107.7	193.62.193.80:4
23.42	8	3	3	98.1	193.62.193.80:3
23.64	8	3	3	97.5	193.62.193.80:3
23.86	9	4	4	107.6	193.62.193.80:4
24.09	9	4	4	108.3	193.62.193.80:4
24.31	9	4	4	108.4	193.62.193.80:4
24.54	8	3	3	98.0	193.62.193.80:3
24.76	8	3	3	97.7	193.62.193.80:3
24.98	9	4	4	108.3	193.62.193.80:4
25.21	9	4	4	108.2	193.62.193.80:4
25.44	7	3	3	88.5	193.62.193.80:3
25.66	5	1	1	67.4	193.62.193.80:1
25.87	4	0	0	57.5	-
26.08	4	2	2	58.6	193.62.193.165:2
26.28	4	2	2	58.6	193.62.193.165:2
26.49	4	2	2	58.6	193.62.193.165:2
26.70	4	2	2	58.6	193.62.193.165:2
26.91	4	2	2	58.6	193.62.193.165:2
27.11	4	2	2	58.9	193.62.193.165:2
27.32	4	2	2	58.9	193.62.193.165:2
27.53	4	2	2	58.9	193.62.193.165:2
27.74	4	2	2	58.9	193.62.193.165:2
27.94	4	2	2	58.9	193.62.193.165:2
28.15	4	2	2	58.9	193.62.193.165:2
28.36	4	2	2	58.9	193.62.193.165:2
28.57	4	2	2	58.9	193.62.193.165:2
28.77	4	2	2	58.9	193.62.193.165:2
28.98	4	2	2	59.7	193.62.193.165:2
29.19	4	2	2	59.7	193.62.193.165:2
29.39	4	2	2	60.6	193.62.193.165:2
29.60	4	2	2	60.6	193.62.193.165:2
29.81	4	2	2	60.9	193.62.193.165:2
30.01	4	2	2	61.5	193.62.193.165:2
30.22	4	2	2	60.6	193.62.193.165:2
30.43	4	2	2	60.9	193.62.193.165:2
30.64	4	2	2	60.6	193.62.193.165:2
30.84	4	2	2	60.6	193.62.193.165:2
31.05	4	2	2	60.7	193.62.193.165:2
31.26	4	2	2	60.6	193.62.193.165:2
31.46	4	2	2	60.6	193.62.193.165:2
31.67	4	2	2	60.6	193.62.193.165:2
31.88	4	2	2	60.6	193.62.193.165:2
32.09	4	2	2	60.6	193.62.193.165:2
32.30	4	2	2	60.6	193.62.193.165:2
32.50	4	2	2	60.6	193.62.193.165:2
32.71	4	2	2	60.6	193.62.193.165:2
32.92	4	2	2	60.6	193.62.193.165:2
33.13	4	2	2	60.6	193.62.193.165:2
33.34	4	2	2	60.6	193.62.193.165:2
33.55	4	2	2	60.6	193.62.193.165:2
33.75	4	2	2	60.6	193.62.193.165:2
33.96	4	2	2	60.6	193.62.193.165:2
34.17	4	2	2	60.6	193.62.193.165:2
34.38	4	2	2	60.6	193.62.193.165:2
34.58	4	2	2	60.6	193.62.193.165:2
34.79	4	2	2	60.9	193.62.193.165:2
35.00	4	2	2	60.9	193.62.193.165:2
35.20	4	2	2	60.9	193.62.193.165:2
35.41	4	2	2	60.9	193.62.193.165:2
35.62	4	2	2	60.9	193.62.193.165:2
35.83	4	2	2	60.9	193.62.193.165:2
36.03	4	2	2	60.9	193.62.193.165:2
36.24	4	2	2	60.9	193.62.193.165:2
36.46	4	2	2	60.9	193.62.193.165:2
36.67	4	2	2	60.9	193.62.193.165:2
36.88	4	2	2	60.6	193.62.193.165:2
37.09	4	2	2	60.6	193.62.193.165:2
37.30	4	2	2	60.6	193.62.193.165:2
37.51	4	2	2	60.6	193.62.193.165:2
37.72	4	2	2	60.6	193.62.193.165:2
37.93	4	2	2	60.6	193.62.193.165:2
38.14	4	2	2	60.6	193.62.193.165:2
38.35	4	2	2	60.6	193.62.193.165:2
38.56	4	2	2	60.6	193.62.193.165:2
