t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	4	0	0	20.5	-
0.20	5	0	0	66.2	-
0.41	6	0	0	76.1	-
0.63	8	3	3	97.2	193.62.193.80:3
0.85	10	5	5	119.0	193.62.193.80:5
1.09	9	4	4	108.4	193.62.193.80:4
1.32	9	4	4	108.6	193.62.193.80:4
1.55	9	3	3	107.9	193.62.193.80:3
1.77	8	3	3	98.1	193.62.193.80:3
1.99	9	4	4	108.4	193.62.193.80:4
2.21	9	4	4	108.4	193.62.193.80:4
2.44	9	4	4	108.3	193.62.193.80:4
2.67	8	3	3	98.3	193.62.193.80:3
2.89	8	3	3	98.3	193.62.193.80:3
3.11	9	4	4	108.6	193.62.193.80:4
3.35	9	4	4	108.7	193.62.193.80:4
3.57	9	4	4	108.6	193.62.193.80:4
3.80	8	3	3	99.0	193.62.193.80:3
4.02	8	3	3	98.0	193.62.193.80:3
4.25	9	3	3	97.7	193.62.193.80:3
4.47	9	4	4	108.5	193.62.193.80:4
4.69	9	4	4	108.7	193.62.193.80:4
4.93	8	3	3	97.9	193.62.193.80:3
5.14	8	3	3	98.2	193.62.193.80:3
5.36	9	4	4	108.5	193.62.193.80:4
5.58	9	4	4	108.6	193.62.193.80:4
5.80	8	3	3	98.8	193.62.193.80:3
6.02	8	3	3	98.4	193.62.193.80:3
6.25	9	4	4	108.7	193.62.193.80:4
6.47	9	4	4	108.4	193.62.193.80:4
6.69	9	4	4	108.5	193.62.193.80:4
6.92	8	3	3	98.2	193.62.193.80:3
7.14	8	3	3	98.0	193.62.193.80:3
7.37	9	4	4	108.2	193.62.193.80:4
7.60	9	4	4	108.3	193.62.193.80:4
7.83	9	4	4	108.5	193.62.193.80:4
8.05	8	3	3	98.3	193.62.193.80:3
8.26	8	3	3	98.1	193.62.193.80:3
8.49	9	4	4	108.6	193.62.193.80:4
8.71	9	4	4	108.3	193.62.193.80:4
8.93	9	4	4	108.1	193.62.193.80:4
9.16	8	3	3	97.8	193.62.193.80:3
9.38	9	3	3	97.6	193.62.193.80:3
9.60	9	4	4	108.6	193.62.193.80:4
9.82	9	4	4	108.2	193.62.193.80:4
10.05	8	3	3	98.4	193.62.193.80:3
10.27	8	3	3	97.9	193.62.193.80:3
10.49	9	4	4	108.2	193.62.193.80:4
10.71	9	4	4	108.7	193.62.193.80:4
10.94	9	4	4	108.6	193.62.193.80:4
11.16	8	3	3	98.2	193.62.193.80:3
11.39	8	3	3	97.7	193.62.193.80:3
11.61	9	4	4	108.4	193.62.193.80:4
11.84	9	4	4	108.5	193.62.193.80:4
12.06	9	4	4	108.6	193.62.193.80:4
12.29	8	3	3	98.3	193.62.193.80:3
12.51	8	3	3	97.5	193.62.193.80:3
12.73	9	4	4	108.1	193.62.193.80:4
12.96	9	4	4	108.2	193.62.193.80:4
13.19	9	4	4	108.4	193.62.193.80:4
13.42	8	3	3	98.4	193.62.193.80:3
13.64	8	3	3	97.9	193.62.193.80:3
13.86	9	4	4	108.6	193.62.193.80:4
14.09	9	4	4	108.4	193.62.193.80:4
14.31	9	4	4	108.6	193.62.193.80:4
14.54	8	3	3	98.4	193.62.193.80:3
14.76	8	3	3	97.8	193.62.193.80:3
14.98	9	4	4	108.5	193.62.193.80:4
15.20	10	5	5	119.3	193.62.193.80:5
15.43	8	3	3	98.7	193.62.193.80:3
15.65	8	3	3	98.1	193.62.193.80:3
15.88	8	3	3	97.5	193.62.193.80:3
16.10	9	4	4	108.5	193.62.193.80:4
16.32	9	4	4	108.5	193.62.193.80:4
16.54	8	3	3	98.0	193.62.193.80:3
16.76	8	3	3	97.7	193.62.193.80:3
16.98	9	4	4	108.5	193.62.193.80:4
17.20	9	4	4	108.4	193.62.193.80:4
17.43	8	3	3	98.2	193.62.193.80:3
17.65	8	3	3	98.3	193.62.193.80:3
17.88	9	3	3	97.8	193.62.193.80:3
18.11	9	4	4	108.5	193.62.193.80:4
18.34	9	4	4	108.3	193.62.193.80:4
18.56	8	3	3	98.2	193.62.193.80:3
18.78	8	3	3	98.2	193.62.193.80:3
19.00	9	4	4	108.6	193.62.193.80:4
19.22	9	4	4	108.3	193.62.193.80:4
19.45	9	4	4	108.6	193.62.193.80:4
19.67	8	3	3	98.1	193.62.193.80:3
19.90	8	3	3	97.8	193.62.193.80:3
20.11	9	4	4	108.4	193.62.193.80:4
20.33	9	4	4	108.5	193.62.193.80:4
20.55	8	3	3	98.2	193.62.193.80:3
20.77	8	3	3	97.8	193.62.193.80:3
20.99	9	4	4	108.5	193.62.193.80:4
21.21	9	4	4	108.4	193.62.193.80:4
21.44	8	3	3	98.1	193.62.193.80:3
