t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	4	0	0	20.6	-
0.20	5	0	0	66.1	-
0.41	6	1	1	76.6	193.62.193.80:1
0.62	8	3	3	97.7	193.62.193.80:3
0.84	10	5	5	119.0	193.62.193.80:5
1.07	9	4	4	108.3	193.62.193.80:4
1.29	9	4	4	108.3	193.62.193.80:4
1.52	8	3	3	97.9	193.62.193.80:3
1.73	9	3	3	97.7	193.62.193.80:3
1.95	9	4	4	108.4	193.62.193.80:4
2.18	9	4	4	108.3	193.62.193.80:4
2.41	8	3	3	98.2	193.62.193.80:3
2.63	8	3	3	97.6	193.62.193.80:3
2.84	9	4	4	108.4	193.62.193.80:4
3.07	9	4	4	108.1	193.62.193.80:4
3.30	9	4	4	108.5	193.62.193.80:4
3.53	8	3	3	98.2	193.62.193.80:3
3.75	8	3	3	97.3	193.62.193.80:3
3.97	9	4	4	108.4	193.62.193.80:4
4.20	9	4	4	108.5	193.62.193.80:4
4.42	9	4	4	108.0	193.62.193.80:4
4.65	8	3	3	98.2	193.62.193.80:3
4.87	8	3	3	97.8	193.62.193.80:3
5.09	9	4	4	108.2	193.62.193.80:4
5.32	9	4	4	108.2	193.62.193.80:4
5.55	9	4	4	108.2	193.62.193.80:4
5.77	8	3	3	98.1	193.62.193.80:3
6.00	8	3	3	97.8	193.62.193.80:3
6.22	9	4	4	108.4	193.62.193.80:4
6.45	9	4	4	108.3	193.62.193.80:4
6.67	9	4	4	108.2	193.62.193.80:4
6.90	8	3	3	97.5	193.62.193.80:3
7.12	8	3	3	97.7	193.62.193.80:3
7.35	9	4	4	108.5	193.62.193.80:4
7.57	9	4	4	107.8	193.62.193.80:4
7.79	9	4	4	108.2	193.62.193.80:4
8.02	8	3	3	98.2	193.62.193.80:3
8.24	8	3	3	97.7	193.62.193.80:3
8.46	9	4	4	108.5	193.62.193.80:4
8.69	9	4	4	108.5	193.62.193.80:4
8.92	9	4	4	108.4	193.62.193.80:4
9.15	8	3	3	97.9	193.62.193.80:3
9.37	8	3	3	97.4	193.62.193.80:3
9.59	9	4	4	108.3	193.62.193.80:4
9.81	9	4	4	108.0	193.62.193.80:4
10.04	8	3	3	98.4	193.62.193.80:3
10.26	8	3	3	97.5	193.62.193.80:3
10.49	9	4	4	108.2	193.62.193.80:4
10.72	9	4	4	108.4	193.62.193.80:4
10.94	9	4	4	108.4	193.62.193.80:4
11.16	8	3	3	98.1	193.62.193.80:3
11.38	8	3	3	97.5	193.62.193.80:3
11.60	9	4	4	107.7	193.62.193.80:4
