t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	5	0	0	24.1	-
0.20	5	0	0	92.3	-
0.41	5	0	0	133.8	-
0.62	5	0	0	133.8	-
0.82	5	1	1	135.4	193.62.193.80:1
1.03	5	0	0	135.4	-
1.24	6	1	1	140.9	193.62.193.165:1
1.44	6	1	1	140.9	193.62.193.165:1
1.65	6	1	1	140.9	193.62.193.165:1
1.86	6	1	1	140.9	193.62.193.165:1
2.07	6	1	1	140.9	193.62.193.165:1
2.27	6	2	1	140.9	193.62.193.165:1
2.48	5	0	0	136.0	-
2.69	5	0	0	41.7	-
2.89	5	0	0	111.6	-
3.09	5	0	0	134.5	-
3.30	5	1	1	136.1	193.62.193.80:1
3.51	5	1	1	136.1	193.62.193.80:1
3.72	6	1	1	141.9	193.62.193.165:1
3.92	6	1	1	141.9	193.62.193.165:1
4.13	6	1	1	141.9	193.62.193.165:1
4.34	6	1	1	141.9	193.62.193.165:1
4.54	6	1	1	141.9	193.62.193.165:1
4.75	6	2	1	141.9	193.62.193.165:1
4.96	6	1	1	141.9	193.62.193.165:1
5.17	5	0	0	37.8	-
5.37	5	0	0	106.0	-
5.57	5	0	0	133.8	-
5.78	5	1	1	133.8	193.62.193.80:1
5.98	5	1	1	135.5	193.62.193.80:1
6.19	6	1	1	141.1	193.62.193.165:1
6.40	6	1	1	141.1	193.62.193.165:1
6.60	6	1	1	141.1	193.62.193.165:1
6.81	6	1	1	141.1	193.62.193.165:1
7.02	6	1	1	141.1	193.62.193.165:1
7.22	6	1	1	141.1	193.62.193.165:1
7.43	6	2	1	141.1	193.62.193.165:1
7.64	6	2	1	141.1	193.62.193.165:1
7.84	5	0	0	136.0	-
8.05	5	0	0	26.7	-
8.25	5	0	0	92.6	-
8.46	5	0	0	134.3	-
8.67	5	1	1	134.3	193.62.193.80:1
8.87	5	1	1	135.9	193.62.193.80:1
9.08	6	1	1	141.4	193.62.193.165:1
9.29	6	1	1	141.4	193.62.193.165:1
9.50	6	1	1	141.4	193.62.193.165:1
9.71	6	1	1	141.4	193.62.193.165:1
9.91	6	1	1	141.4	193.62.193.165:1
10.12	6	2	1	141.4	193.62.193.165:1
10.33	6	1	1	141.4	193.62.193.165:1
10.54	5	0	0	29.0	-
10.74	5	0	0	95.7	-
10.94	5	0	0	134.2	-
11.15	5	1	1	134.2	193.62.193.80:1
11.36	5	1	1	135.7	193.62.193.80:1
11.56	6	1	1	141.2	193.62.193.165:1
11.77	6	1	1	141.2	193.62.193.165:1
11.98	6	1	1	141.2	193.62.193.165:1
12.19	6	1	1	141.2	193.62.193.165:1
12.39	6	1	1	141.2	193.62.193.165:1
12.60	6	2	1	141.2	193.62.193.165:1
12.81	6	2	1	141.2	193.62.193.165:1
13.02	5	0	0	136.1	-
13.22	5	0	0	52.9	-
13.42	5	0	0	116.5	-
13.63	5	0	0	134.7	-
13.83	5	1	1	136.3	193.62.193.80:1
14.04	6	0	0	142.0	-
14.25	6	1	1	142.0	193.62.193.165:1
14.45	6	1	1	142.0	193.62.193.165:1
14.66	6	1	1	142.0	193.62.193.165:1
14.87	6	1	1	142.0	193.62.193.165:1
15.08	6	1	1	142.0	193.62.193.165:1
15.28	6	2	1	142.0	193.62.193.165:1
15.49	5	0	0	136.9	-
15.70	5	0	0	33.5	-
15.90	5	0	0	97.5	-
16.10	5	0	0	133.9	-
16.31	5	1	1	133.9	193.62.193.80:1
16.52	5	1	1	135.6	193.62.193.80:1
16.72	6	0	0	141.1	-
16.93	6	1	1	141.1	193.62.193.165:1
17.14	6	1	1	141.1	193.62.193.165:1
17.35	6	1	1	141.1	193.62.193.165:1
17.56	6	1	1	141.1	193.62.193.165:1
17.76	6	2	1	141.1	193.62.193.165:1
17.97	6	1	1	141.1	193.62.193.165:1
18.18	5	0	0	29.0	-
18.38	5	0	0	93.7	-
18.59	5	0	0	134.9	-
18.79	5	1	1	134.9	193.62.193.80:1
19.00	5	1	1	136.5	193.62.193.80:1
19.21	6	1	1	142.2	193.62.193.165:1
19.41	6	1	1	142.2	193.62.193.165:1
19.62	6	1	1	142.2	193.62.193.165:1
19.83	6	1	1	142.2	193.62.193.165:1
20.04	6	1	1	142.2	193.62.193.165:1
20.24	6	2	1	142.2	193.62.193.165:1
20.45	6	2	1	142.2	193.62.193.165:1
20.66	5	0	0	137.2	-
20.86	5	0	0	52.9	-
21.07	5	0	0	116.7	-
21.27	5	0	0	133.9	-
21.48	5	1	1	135.5	193.62.193.80:1
21.69	6	0	0	141.0	-
21.89	6	1	1	141.0	193.62.193.165:1
22.10	6	1	1	141.0	193.62.193.165:1
22.31	6	1	1	141.0	193.62.193.165:1
22.52	6	1	1	141.0	193.62.193.165:1
22.72	6	2	1	141.0	193.62.193.165:1
22.93	6	2	1	141.0	193.62.193.165:1
23.14	5	0	0	136.0	-
23.34	5	0	0	54.6	-
23.54	5	0	0	122.7	-
23.75	5	1	1	134.3	193.62.193.80:1
23.95	5	1	1	135.8	193.62.193.80:1
24.16	6	0	0	141.2	-
24.37	6	1	1	141.2	193.62.193.165:1
24.57	6	1	1	141.2	193.62.193.165:1
24.78	6	1	1	141.2	193.62.193.165:1
24.99	6	1	1	141.2	193.62.193.165:1
25.19	6	2	1	141.2	193.62.193.165:1
25.40	6	1	1	141.2	193.62.193.165:1
25.61	5	0	0	18.0	-
25.81	5	0	0	65.6	-
26.02	5	0	0	128.0	-
26.22	5	1	1	134.3	193.62.193.80:1
26.43	5	1	1	135.8	193.62.193.80:1
26.64	6	0	0	141.4	-
26.84	6	1	1	141.4	193.62.193.165:1
27.05	6	1	1	141.4	193.62.193.165:1
27.26	6	1	1	141.4	193.62.193.165:1
27.46	6	1	1	141.4	193.62.193.165:1
27.67	6	2	1	141.4	193.62.193.165:1
27.88	6	1	1	141.4	193.62.193.165:1
28.09	5	0	0	17.7	-
28.29	5	0	0	64.5	-
28.49	5	0	0	126.9	-
28.70	5	1	1	134.0	193.62.193.80:1
28.90	5	1	1	135.5	193.62.193.80:1
29.11	6	0	0	141.1	-
29.32	6	1	1	141.1	193.62.193.165:1
29.53	6	1	1	141.1	193.62.193.165:1
29.73	6	1	1	141.1	193.62.193.165:1
29.94	6	1	1	141.1	193.62.193.165:1
30.15	6	2	1	141.1	193.62.193.165:1
30.35	6	2	1	141.1	193.62.193.165:1
30.56	6	1	1	141.1	193.62.193.165:1
30.77	5	0	0	37.9	-
30.97	5	0	0	106.4	-
31.17	5	0	0	134.0	-
31.38	5	1	1	134.0	193.62.193.80:1
31.59	5	1	1	135.6	193.62.193.80:1
31.80	6	1	1	141.1	193.62.193.165:1
32.01	6	1	1	141.1	193.62.193.165:1
32.21	6	1	1	141.1	193.62.193.165:1
32.42	6	1	1	141.1	193.62.193.165:1
32.63	6	1	1	141.1	193.62.193.165:1
32.83	6	2	1	141.1	193.62.193.165:1
33.04	6	1	1	141.1	193.62.193.165:1
33.25	5	0	0	29.8	-
33.45	5	0	0	97.3	-
33.66	5	0	0	134.1	-
33.86	5	1	1	135.6	193.62.193.80:1
34.07	5	1	1	135.6	193.62.193.80:1
34.28	6	1	1	141.3	193.62.193.165:1
34.49	6	1	1	141.3	193.62.193.165:1
34.70	6	1	1	141.3	193.62.193.165:1
34.90	6	1	1	141.3	193.62.193.165:1
35.11	6	1	1	141.3	193.62.193.165:1
35.32	6	2	1	141.3	193.62.193.165:1
35.52	6	1	1	141.3	193.62.193.165:1
35.73	5	0	0	29.9	-
35.93	5	0	0	107.4	-
36.14	5	0	0	135.0	-
36.34	5	1	1	136.6	193.62.193.80:1
36.55	5	1	1	136.6	193.62.193.80:1
36.76	6	1	1	142.4	193.62.193.165:1
36.97	6	1	1	142.4	193.62.193.165:1
37.18	6	1	1	142.4	193.62.193.165:1
37.38	6	1	1	142.4	193.62.193.165:1
37.59	6	1	1	142.4	193.62.193.165:1
37.80	6	2	1	142.4	193.62.193.165:1
38.00	6	1	1	142.4	193.62.193.165:1
38.21	5	0	0	34.5	-
38.41	5	0	0	106.9	-
38.62	5	0	0	134.4	-
38.82	5	1	1	134.4	193.62.193.80:1
39.03	5	1	1	135.9	193.62.193.80:1
39.24	6	1	1	141.5	193.62.193.165:1
39.44	6	1	1	141.5	193.62.193.165:1
39.65	6	1	1	141.5	193.62.193.165:1
39.86	6	1	1	141.5	193.62.193.165:1
40.07	6	1	1	141.5	193.62.193.165:1
40.28	6	2	1	141.5	193.62.193.165:1
40.48	6	2	1	141.5	193.62.193.165:1
40.69	6	2	1	141.5	193.62.193.165:1
40.90	6	2	1	141.5	193.62.193.165:1
41.11	6	2	1	141.5	193.62.193.165:1
41.31	6	2	1	141.5	193.62.193.165:1
41.52	6	2	1	141.5	193.62.193.165:1
41.73	6	1	1	141.5	193.62.193.165:1
41.94	5	0	0	136.4	-
42.14	5	0	0	54.6	-
42.34	5	0	0	119.5	-
42.55	5	1	1	134.5	193.62.193.80:1
42.76	5	1	1	136.0	193.62.193.80:1
42.96	6	0	0	141.5	-
43.17	6	1	1	141.5	193.62.193.165:1
43.38	6	1	1	141.5	193.62.193.165:1
43.58	6	1	1	141.5	193.62.193.165:1
43.79	6	1	1	141.5	193.62.193.165:1
44.00	6	1	1	141.5	193.62.193.165:1
44.21	6	2	1	141.5	193.62.193.165:1
44.41	6	2	1	141.5	193.62.193.165:1
44.62	6	2	1	141.5	193.62.193.165:1
44.83	6	2	1	141.5	193.62.193.165:1
45.03	6	2	1	141.5	193.62.193.165:1
45.24	6	2	1	141.5	193.62.193.165:1
45.45	6	2	1	141.5	193.62.193.165:1
45.65	6	2	1	141.5	193.62.193.165:1
45.86	6	2	1	141.5	193.62.193.165:1
46.07	6	2	1	141.5	193.62.193.165:1
46.28	6	2	1	141.5	193.62.193.165:1
46.48	6	2	1	141.5	193.62.193.165:1
46.69	6	2	1	141.5	193.62.193.165:1
46.90	6	2	1	141.5	193.62.193.165:1
47.11	6	2	1	141.5	193.62.193.165:1
47.32	6	2	1	141.5	193.62.193.165:1
47.53	6	2	1	141.5	193.62.193.165:1
47.74	6	2	1	141.5	193.62.193.165:1
47.95	6	2	1	141.5	193.62.193.165:1
48.15	6	2	1	141.5	193.62.193.165:1
48.36	6	2	1	141.5	193.62.193.165:1
48.57	6	2	1	141.5	193.62.193.165:1
48.78	6	2	1	141.5	193.62.193.165:1
48.98	6	2	1	141.5	193.62.193.165:1
49.19	6	2	1	141.5	193.62.193.165:1
49.40	6	2	1	141.5	193.62.193.165:1
49.61	6	2	1	141.5	193.62.193.165:1
49.82	6	2	1	141.5	193.62.193.165:1
50.03	6	2	1	141.5	193.62.193.165:1
50.24	6	2	1	141.5	193.62.193.165:1
50.45	6	2	1	141.5	193.62.193.165:1
50.66	6	2	1	141.5	193.62.193.165:1
50.86	6	2	1	141.5	193.62.193.165:1
51.07	6	2	1	141.5	193.62.193.165:1
51.28	6	2	1	141.5	193.62.193.165:1
51.49	6	2	1	141.5	193.62.193.165:1
51.70	6	2	1	141.5	193.62.193.165:1
51.91	6	2	1	141.5	193.62.193.165:1
52.12	6	2	1	141.5	193.62.193.165:1
52.33	6	2	1	141.5	193.62.193.165:1
52.54	6	2	1	141.5	193.62.193.165:1
52.75	6	2	1	141.5	193.62.193.165:1
52.96	6	2	1	141.5	193.62.193.165:1
53.16	6	2	1	141.5	193.62.193.165:1
53.37	6	2	1	141.5	193.62.193.165:1
53.58	6	1	1	141.5	193.62.193.165:1
53.78	5	0	0	157.1	-
53.99	5	0	0	157.1	-
54.19	5	0	0	157.1	-
54.40	5	0	0	15.9	-
54.60	5	0	0	66.4	-
54.81	5	0	0	130.8	-
55.01	5	1	1	133.9	193.62.193.80:1
55.22	5	1	1	135.5	193.62.193.80:1
55.42	6	0	0	141.0	-
55.63	6	1	1	141.0	193.62.193.165:1
55.84	6	1	1	141.0	193.62.193.165:1
56.05	6	1	1	141.0	193.62.193.165:1
56.25	6	1	1	141.0	193.62.193.165:1
56.46	6	2	1	141.0	193.62.193.165:1
56.67	6	2	1	141.0	193.62.193.165:1
56.87	6	2	1	141.0	193.62.193.165:1
57.08	6	2	1	141.0	193.62.193.165:1
57.29	6	2	1	141.0	193.62.193.165:1
57.50	6	2	1	141.0	193.62.193.165:1
57.70	6	2	1	141.0	193.62.193.165:1
57.91	6	2	1	141.0	193.62.193.165:1
58.12	6	2	1	141.0	193.62.193.165:1
58.33	6	2	1	141.0	193.62.193.165:1
58.53	6	2	1	141.0	193.62.193.165:1
58.74	6	2	1	141.0	193.62.193.165:1
58.95	6	2	1	141.0	193.62.193.165:1
59.16	6	2	1	141.0	193.62.193.165:1
59.36	6	2	1	141.0	193.62.193.165:1
59.57	6	2	1	141.0	193.62.193.165:1
59.78	6	2	1	141.0	193.62.193.165:1
59.98	6	2	1	141.0	193.62.193.165:1
60.19	6	2	1	141.0	193.62.193.165:1
60.40	6	2	1	141.0	193.62.193.165:1
60.60	6	2	1	141.0	193.62.193.165:1
60.81	6	2	1	141.0	193.62.193.165:1
61.02	6	2	1	141.0	193.62.193.165:1
61.23	6	2	1	141.0	193.62.193.165:1
61.43	6	2	1	141.0	193.62.193.165:1
61.64	6	2	1	141.0	193.62.193.165:1
61.85	6	2	1	141.0	193.62.193.165:1
62.06	6	2	1	141.0	193.62.193.165:1
62.26	6	2	1	141.0	193.62.193.165:1
62.47	6	2	1	141.0	193.62.193.165:1
62.68	6	2	1	141.0	193.62.193.165:1
62.89	6	2	1	141.0	193.62.193.165:1
63.10	6	2	1	141.0	193.62.193.165:1
63.30	6	2	1	141.0	193.62.193.165:1
63.51	6	2	1	141.0	193.62.193.165:1
63.72	6	2	1	141.0	193.62.193.165:1
63.92	6	2	1	141.0	193.62.193.165:1
64.13	6	2	1	141.0	193.62.193.165:1
64.34	6	2	1	141.0	193.62.193.165:1
64.55	6	2	1	141.0	193.62.193.165:1
64.75	6	2	1	141.0	193.62.193.165:1
64.96	6	2	1	141.0	193.62.193.165:1
65.17	6	2	1	141.0	193.62.193.165:1
65.38	6	2	1	141.0	193.62.193.165:1
65.59	6	2	1	141.0	193.62.193.165:1
65.79	6	2	1	141.0	193.62.193.165:1
66.00	6	2	1	141.0	193.62.193.165:1
66.21	6	2	1	141.0	193.62.193.165:1
66.42	6	2	1	141.0	193.62.193.165:1
66.62	6	2	1	141.0	193.62.193.165:1
66.83	6	2	1	141.0	193.62.193.165:1
67.04	6	2	1	141.0	193.62.193.165:1
67.25	6	2	1	141.0	193.62.193.165:1
67.46	6	2	1	141.0	193.62.193.165:1
67.66	6	1	1	141.0	193.62.193.165:1
67.87	5	0	0	156.6	-
68.07	5	0	0	156.6	-
68.28	5	0	0	156.6	-
68.49	5	0	0	27.2	-
68.69	5	0	0	96.0	-
68.89	5	0	0	134.1	-
69.10	5	0	0	134.1	-
69.31	5	1	1	134.1	193.62.193.80:1
69.52	6	0	0	141.2	-
69.72	6	1	1	141.2	193.62.193.165:1
69.93	6	1	1	141.2	193.62.193.165:1
70.14	6	1	1	141.2	193.62.193.165:1
70.35	6	1	1	141.2	193.62.193.165:1
70.55	6	1	1	141.2	193.62.193.165:1
70.76	6	2	1	141.2	193.62.193.165:1
70.97	6	2	1	141.2	193.62.193.165:1
71.18	6	2	1	141.2	193.62.193.165:1
71.38	6	2	1	141.2	193.62.193.165:1
71.59	6	2	1	141.2	193.62.193.165:1
71.80	6	2	1	141.2	193.62.193.165:1
72.01	6	2	1	141.2	193.62.193.165:1
72.21	6	2	1	141.2	193.62.193.165:1
72.42	6	2	1	141.2	193.62.193.165:1
72.63	6	2	1	141.2	193.62.193.165:1
72.84	6	2	1	141.2	193.62.193.165:1
73.05	6	2	1	141.2	193.62.193.165:1
73.26	6	2	1	141.2	193.62.193.165:1
73.47	6	2	1	141.2	193.62.193.165:1
73.67	6	2	1	141.2	193.62.193.165:1
73.88	6	2	1	141.2	193.62.193.165:1
74.09	6	2	1	141.2	193.62.193.165:1
74.30	6	2	1	141.2	193.62.193.165:1
74.51	6	2	1	141.2	193.62.193.165:1
74.72	6	2	1	141.2	193.62.193.165:1
74.92	6	2	1	141.2	193.62.193.165:1
75.13	6	2	1	141.2	193.62.193.165:1
75.34	6	2	1	141.2	193.62.193.165:1
75.55	6	2	1	141.2	193.62.193.165:1
75.75	6	2	1	141.2	193.62.193.165:1
75.96	6	2	1	141.2	193.62.193.165:1
76.17	6	2	1	141.2	193.62.193.165:1
76.38	6	2	1	141.2	193.62.193.165:1
76.59	6	2	1	141.2	193.62.193.165:1
76.79	6	2	1	141.2	193.62.193.165:1
77.00	6	2	1	141.2	193.62.193.165:1
77.21	6	1	1	141.2	193.62.193.165:1
77.42	5	0	0	156.9	-
77.62	5	0	0	136.3	-
77.82	5	0	0	54.8	-
78.03	5	0	0	123.9	-
78.23	5	1	1	134.9	193.62.193.80:1
