t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	5	0	0	9.1	-
0.20	7	0	0	23.4	-
0.41	7	1	1	24.1	193.62.193.80:1
0.62	7	1	1	24.5	193.62.193.80:1
0.83	6	0	0	14.0	-
1.03	10	1	1	27.1	193.62.193.165:1
1.24	10	1	1	27.1	193.62.193.165:1
1.45	10	1	1	27.1	193.62.193.165:1
1.66	10	1	1	27.1	193.62.193.165:1
1.86	10	1	1	27.1	193.62.193.165:1
2.07	10	2	1	27.1	193.62.193.165:1
2.28	10	2	1	27.1	193.62.193.165:1
2.49	7	0	0	19.2	-
2.69	7	1	1	19.2	193.62.193.165:1
2.90	7	1	1	19.2	193.62.193.165:1
3.11	7	1	1	19.2	193.62.193.165:1
3.32	7	1	1	19.2	193.62.193.165:1
3.52	7	1	1	19.2	193.62.193.165:1
3.73	7	2	1	19.2	193.62.193.165:1
3.94	7	0	0	23.6	-
4.15	7	1	1	24.2	193.62.193.80:1
4.35	7	1	1	24.6	193.62.193.80:1
4.56	10	0	0	27.2	-
4.77	10	1	1	27.2	193.62.193.165:1
4.98	10	1	1	27.2	193.62.193.165:1
5.19	10	1	1	27.2	193.62.193.165:1
5.40	10	1	1	27.2	193.62.193.165:1
5.60	10	2	1	27.2	193.62.193.165:1
5.81	10	1	1	27.2	193.62.193.165:1
6.02	10	1	1	27.2	193.62.193.165:1
6.23	7	0	0	19.3	-
6.43	7	1	1	19.3	193.62.193.165:1
6.64	7	1	1	19.3	193.62.193.165:1
6.85	7	1	1	19.3	193.62.193.165:1
7.06	7	1	1	19.3	193.62.193.165:1
7.26	7	2	1	19.3	193.62.193.165:1
7.47	7	1	1	19.3	193.62.193.165:1
7.68	7	0	0	23.6	-
7.89	7	1	1	24.2	193.62.193.80:1
8.09	7	1	1	24.7	193.62.193.80:1
8.30	10	0	0	26.8	-
8.51	10	1	1	26.8	193.62.193.165:1
8.72	10	1	1	26.8	193.62.193.165:1
8.92	10	1	1	26.8	193.62.193.165:1
9.13	10	1	1	26.8	193.62.193.165:1
9.34	10	2	1	26.8	193.62.193.165:1
9.54	10	1	1	26.8	193.62.193.165:1
9.75	10	1	1	26.8	193.62.193.165:1
9.96	7	1	1	19.3	193.62.193.165:1
10.17	7	1	1	19.3	193.62.193.165:1
10.37	7	1	1	19.3	193.62.193.165:1
10.58	7	1	1	19.3	193.62.193.165:1
10.79	7	1	1	19.3	193.62.193.165:1
10.99	7	2	1	19.3	193.62.193.165:1
11.20	7	1	1	19.3	193.62.193.165:1
11.41	7	0	0	23.5	-
11.61	7	1	1	24.1	193.62.193.80:1
11.82	7	1	1	24.7	193.62.193.80:1
12.03	10	1	1	27.0	193.62.193.165:1
12.24	10	1	1	27.0	193.62.193.165:1
12.45	10	1	1	27.0	193.62.193.165:1
12.65	10	1	1	27.0	193.62.193.165:1
12.86	10	1	1	27.0	193.62.193.165:1
13.07	10	2	1	27.0	193.62.193.165:1
13.28	10	1	1	27.0	193.62.193.165:1
13.48	10	1	1	27.0	193.62.193.165:1
13.69	7	1	1	19.2	193.62.193.165:1
13.90	7	1	1	19.2	193.62.193.165:1
14.10	7	1	1	19.2	193.62.193.165:1
14.31	7	1	1	19.2	193.62.193.165:1
14.52	7	1	1	19.2	193.62.193.165:1
14.73	7	2	1	19.2	193.62.193.165:1
14.93	7	1	1	19.2	193.62.193.165:1
15.14	7	0	0	23.6	-
15.35	7	1	1	24.2	193.62.193.80:1
15.56	7	1	1	24.7	193.62.193.80:1
15.76	10	1	1	27.0	193.62.193.165:1
15.97	10	1	1	27.0	193.62.193.165:1
16.18	10	1	1	27.0	193.62.193.165:1
16.39	10	1	1	27.0	193.62.193.165:1
16.60	10	1	1	27.0	193.62.193.165:1
16.80	10	2	1	27.0	193.62.193.165:1
17.01	10	2	1	27.0	193.62.193.165:1
17.22	6	0	0	14.0	-
17.42	7	1	1	19.2	193.62.193.165:1
17.63	7	1	1	19.2	193.62.193.165:1
17.84	7	1	1	19.2	193.62.193.165:1
18.04	7	1	1	19.2	193.62.193.165:1
18.25	7	1	1	19.2	193.62.193.165:1
18.46	7	2	1	19.2	193.62.193.165:1
18.66	7	1	1	19.2	193.62.193.165:1
18.87	7	0	0	23.5	-
19.08	7	1	1	24.2	193.62.193.80:1
19.28	7	1	1	24.6	193.62.193.80:1
19.49	10	0	0	27.0	-
19.70	10	1	1	27.0	193.62.193.165:1
19.91	10	1	1	27.0	193.62.193.165:1
20.11	10	1	1	27.0	193.62.193.165:1
20.32	10	1	1	27.0	193.62.193.165:1
20.53	10	2	1	27.0	193.62.193.165:1
20.73	10	1	1	27.0	193.62.193.165:1
20.94	10	1	1	27.0	193.62.193.165:1
21.15	7	1	1	19.3	193.62.193.165:1
21.36	7	1	1	19.3	193.62.193.165:1
21.56	7	1	1	19.3	193.62.193.165:1
21.77	7	1	1	19.3	193.62.193.165:1
21.98	7	1	1	19.3	193.62.193.165:1
22.19	7	2	1	19.3	193.62.193.165:1
22.39	7	1	1	19.3	193.62.193.165:1
22.60	7	1	1	24.2	193.62.193.80:1
22.81	7	1	1	24.6	193.62.193.80:1
23.02	6	0	0	14.0	-
23.22	10	1	1	26.8	193.62.193.165:1
23.43	10	1	1	26.8	193.62.193.165:1
23.64	10	1	1	26.8	193.62.193.165:1
23.84	10	1	1	26.8	193.62.193.165:1
24.05	10	1	1	26.8	193.62.193.165:1
24.26	10	2	1	26.8	193.62.193.165:1
24.47	10	2	1	26.8	193.62.193.165:1
24.67	7	0	0	19.3	-
24.88	7	1	1	19.3	193.62.193.165:1
25.09	7	1	1	19.3	193.62.193.165:1
25.29	7	1	1	19.3	193.62.193.165:1
25.50	7	1	1	19.3	193.62.193.165:1
25.71	7	1	1	19.3	193.62.193.165:1
25.92	7	2	1	19.3	193.62.193.165:1
26.12	7	0	0	23.3	-
26.33	7	1	1	24.0	193.62.193.80:1
26.54	7	1	1	24.6	193.62.193.80:1
26.75	10	0	0	27.0	-
26.95	10	1	1	27.0	193.62.193.165:1
27.16	10	1	1	27.0	193.62.193.165:1
27.37	10	1	1	27.0	193.62.193.165:1
27.58	10	1	1	27.0	193.62.193.165:1
27.78	10	2	1	27.0	193.62.193.165:1
27.99	10	1	1	27.0	193.62.193.165:1
28.20	10	1	1	27.0	193.62.193.165:1
28.40	7	0	0	19.3	-
28.61	7	1	1	19.3	193.62.193.165:1
28.82	7	1	1	19.3	193.62.193.165:1
29.02	7	1	1	19.3	193.62.193.165:1
29.23	7	1	1	19.3	193.62.193.165:1
29.44	7	2	1	19.3	193.62.193.165:1
29.65	7	2	1	19.3	193.62.193.165:1
29.85	6	0	0	14.1	-
30.06	7	1	1	24.1	193.62.193.80:1
30.27	7	1	1	24.6	193.62.193.80:1
30.47	6	0	0	14.0	-
30.68	10	1	1	27.0	193.62.193.165:1
30.88	10	1	1	27.0	193.62.193.165:1
31.09	10	1	1	27.0	193.62.193.165:1
31.30	10	1	1	27.0	193.62.193.165:1
31.50	10	1	1	27.0	193.62.193.165:1
31.71	10	2	1	27.0	193.62.193.165:1
31.92	10	2	1	27.0	193.62.193.165:1
32.13	7	0	0	19.2	-
32.33	7	1	1	19.2	193.62.193.165:1
32.54	7	1	1	19.2	193.62.193.165:1
32.75	7	1	1	19.2	193.62.193.165:1
32.95	7	1	1	19.2	193.62.193.165:1
33.16	7	1	1	19.2	193.62.193.165:1
33.37	7	2	1	19.2	193.62.193.165:1
33.57	7	0	0	23.4	-
33.78	7	1	1	24.1	193.62.193.80:1
33.99	7	1	1	24.5	193.62.193.80:1
34.20	10	0	0	27.0	-
34.40	10	1	1	27.0	193.62.193.165:1
34.61	10	1	1	27.0	193.62.193.165:1
34.82	10	1	1	27.0	193.62.193.165:1
35.03	10	1	1	27.0	193.62.193.165:1
35.23	10	1	1	27.0	193.62.193.165:1
35.44	10	2	1	27.0	193.62.193.165:1
35.65	10	2	1	27.0	193.62.193.165:1
35.86	7	0	0	19.3	-
36.06	7	1	1	19.3	193.62.193.165:1
36.27	7	1	1	19.3	193.62.193.165:1
36.48	7	1	1	19.3	193.62.193.165:1
36.68	7	1	1	19.3	193.62.193.165:1
36.89	7	2	1	19.3	193.62.193.165:1
37.10	7	2	1	19.3	193.62.193.165:1
37.31	7	0	0	23.5	-
37.51	7	1	1	24.2	193.62.193.80:1
37.72	7	1	1	24.7	193.62.193.80:1
37.93	10	0	0	27.1	-
38.14	10	1	1	27.1	193.62.193.165:1
38.34	10	1	1	27.1	193.62.193.165:1
38.55	10	1	1	27.1	193.62.193.165:1
38.76	10	1	1	27.1	193.62.193.165:1
38.97	10	2	1	27.1	193.62.193.165:1
39.17	10	1	1	27.1	193.62.193.165:1
39.38	10	1	1	27.1	193.62.193.165:1
39.59	7	1	1	19.2	193.62.193.165:1
39.80	7	1	1	19.2	193.62.193.165:1
40.00	7	1	1	19.2	193.62.193.165:1
40.21	7	1	1	19.2	193.62.193.165:1
40.42	7	1	1	19.2	193.62.193.165:1
40.62	7	2	1	19.2	193.62.193.165:1
40.83	7	1	1	19.2	193.62.193.165:1
41.04	7	0	0	23.5	-
41.25	7	1	1	24.2	193.62.193.80:1
41.46	7	1	1	24.7	193.62.193.80:1
41.66	10	1	1	27.0	193.62.193.165:1
41.87	10	1	1	27.0	193.62.193.165:1
42.08	10	1	1	27.0	193.62.193.165:1
42.29	10	1	1	27.0	193.62.193.165:1
42.50	10	1	1	27.0	193.62.193.165:1
42.71	10	2	1	27.0	193.62.193.165:1
42.91	10	2	1	27.0	193.62.193.165:1
43.12	6	0	0	14.0	-
43.33	7	1	1	19.3	193.62.193.165:1
43.54	7	1	1	19.3	193.62.193.165:1
43.74	7	1	1	19.3	193.62.193.165:1
43.95	7	1	1	19.3	193.62.193.165:1
44.16	7	1	1	19.3	193.62.193.165:1
44.37	7	2	1	19.3	193.62.193.165:1
44.57	7	2	1	19.3	193.62.193.165:1
44.78	7	0	0	23.6	-
44.99	7	1	1	24.2	193.62.193.80:1
45.20	7	1	1	24.6	193.62.193.80:1
45.41	10	0	0	26.9	-
45.61	10	1	1	26.9	193.62.193.165:1
45.82	10	1	1	26.9	193.62.193.165:1
46.03	10	1	1	26.9	193.62.193.165:1
46.24	10	1	1	26.9	193.62.193.165:1
46.45	10	2	1	26.9	193.62.193.165:1
46.65	10	1	1	26.9	193.62.193.165:1
46.86	10	1	1	26.9	193.62.193.165:1
47.07	7	1	1	19.3	193.62.193.165:1
47.28	7	1	1	19.3	193.62.193.165:1
47.48	7	1	1	19.3	193.62.193.165:1
47.69	7	1	1	19.3	193.62.193.165:1
47.90	7	1	1	19.3	193.62.193.165:1
48.10	7	2	1	19.3	193.62.193.165:1
48.31	7	1	1	19.3	193.62.193.165:1
48.52	7	1	1	24.1	193.62.193.80:1
48.73	7	1	1	24.6	193.62.193.80:1
48.94	7	0	0	13.9	-
49.14	10	1	1	27.0	193.62.193.165:1
