t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	4	0	0	20.8	-
0.20	4	0	0	101.0	-
0.41	5	0	0	133.2	-
0.61	5	1	1	137.4	193.62.193.80:1
0.82	5	1	1	137.6	193.62.193.80:1
1.03	6	1	1	140.7	193.62.193.165:1
1.24	6	1	1	140.7	193.62.193.165:1
1.44	6	1	1	140.7	193.62.193.165:1
1.65	6	1	1	140.7	193.62.193.165:1
1.86	6	1	1	140.7	193.62.193.165:1
2.07	6	1	1	140.7	193.62.193.165:1
2.27	6	1	1	140.7	193.62.193.165:1
2.48	6	2	1	140.7	193.62.193.165:1
2.69	6	2	1	140.7	193.62.193.165:1
2.90	5	0	0	124.4	-
3.10	5	1	1	138.5	193.62.193.80:1
3.31	5	1	1	138.9	193.62.193.80:1
3.51	6	1	1	140.6	193.62.193.165:1
3.72	6	1	1	140.6	193.62.193.165:1
3.93	6	1	1	140.6	193.62.193.165:1
4.13	6	1	1	140.6	193.62.193.165:1
4.34	6	1	1	140.6	193.62.193.165:1
4.55	6	1	1	140.6	193.62.193.165:1
4.75	6	1	1	140.6	193.62.193.165:1
4.96	6	2	1	140.6	193.62.193.165:1
5.17	6	2	1	140.6	193.62.193.165:1
5.38	5	0	0	134.6	-
5.58	5	1	1	138.8	193.62.193.80:1
5.79	5	1	1	139.0	193.62.193.80:1
6.00	6	1	1	140.7	193.62.193.165:1
6.21	6	1	1	140.7	193.62.193.165:1
6.42	6	1	1	140.7	193.62.193.165:1
6.62	6	1	1	140.7	193.62.193.165:1
6.83	6	1	1	140.7	193.62.193.165:1
7.04	6	1	1	140.7	193.62.193.165:1
7.25	6	1	1	140.7	193.62.193.165:1
7.45	6	2	1	140.7	193.62.193.165:1
7.66	6	2	1	140.7	193.62.193.165:1
7.87	5	0	0	134.6	-
8.07	5	1	1	138.4	193.62.193.80:1
8.28	5	1	1	138.8	193.62.193.80:1
8.49	6	1	1	140.6	193.62.193.165:1
8.69	6	1	1	140.6	193.62.193.165:1
8.90	6	1	1	140.6	193.62.193.165:1
9.11	6	1	1	140.6	193.62.193.165:1
9.31	6	1	1	140.6	193.62.193.165:1
9.52	6	1	1	140.6	193.62.193.165:1
9.73	6	1	1	140.6	193.62.193.165:1
9.93	6	2	1	140.6	193.62.193.165:1
10.14	6	2	1	140.6	193.62.193.165:1
10.35	5	0	0	134.7	-
10.56	5	1	1	138.5	193.62.193.80:1
10.76	4	0	0	123.9	-
10.97	6	1	1	140.8	193.62.193.165:1
11.17	6	1	1	140.8	193.62.193.165:1
11.38	6	1	1	140.8	193.62.193.165:1
11.59	6	1	1	140.8	193.62.193.165:1
11.80	6	1	1	140.8	193.62.193.165:1
12.00	6	1	1	140.8	193.62.193.165:1
12.21	6	1	1	140.8	193.62.193.165:1
12.42	6	2	1	140.8	193.62.193.165:1
12.63	6	2	1	140.8	193.62.193.165:1
12.83	6	1	1	140.8	193.62.193.165:1
13.04	5	1	1	138.4	193.62.193.80:1
13.25	5	1	1	138.9	193.62.193.80:1
13.45	6	0	0	140.7	-
13.66	6	1	1	140.7	193.62.193.165:1
13.87	6	1	1	140.7	193.62.193.165:1
14.08	6	1	1	140.7	193.62.193.165:1
14.28	6	1	1	140.7	193.62.193.165:1
14.49	6	1	1	140.7	193.62.193.165:1
14.70	6	1	1	140.7	193.62.193.165:1
14.91	6	2	1	140.7	193.62.193.165:1
15.11	6	2	1	140.7	193.62.193.165:1
15.32	6	1	1	140.7	193.62.193.165:1
15.53	5	1	1	138.4	193.62.193.80:1
15.73	5	1	1	138.8	193.62.193.80:1
15.94	6	0	0	140.7	-
16.15	6	1	1	140.7	193.62.193.165:1
16.36	6	1	1	140.7	193.62.193.165:1
16.56	6	1	1	140.7	193.62.193.165:1
16.77	6	1	1	140.7	193.62.193.165:1
16.98	6	1	1	140.7	193.62.193.165:1
17.18	6	1	1	140.7	193.62.193.165:1
17.39	6	2	1	140.7	193.62.193.165:1
17.60	6	2	1	140.7	193.62.193.165:1
17.80	6	1	1	140.7	193.62.193.165:1
18.01	5	1	1	138.8	193.62.193.80:1
18.22	5	1	1	138.8	193.62.193.80:1
18.42	6	1	1	140.6	193.62.193.165:1
18.63	6	1	1	140.6	193.62.193.165:1
18.84	6	1	1	140.6	193.62.193.165:1
19.05	6	1	1	140.6	193.62.193.165:1
19.25	6	1	1	140.6	193.62.193.165:1
19.46	6	1	1	140.6	193.62.193.165:1
19.67	6	1	1	140.6	193.62.193.165:1
19.88	6	2	1	140.6	193.62.193.165:1
20.09	6	2	1	140.6	193.62.193.165:1
20.29	6	1	1	140.6	193.62.193.165:1
20.50	5	0	0	134.6	-
20.71	5	1	1	138.5	193.62.193.80:1
20.91	6	0	0	140.7	-
21.12	6	1	1	140.7	193.62.193.165:1
21.33	6	1	1	140.7	193.62.193.165:1
21.54	6	1	1	140.7	193.62.193.165:1
21.74	6	1	1	140.7	193.62.193.165:1
21.95	6	1	1	140.7	193.62.193.165:1
22.16	6	1	1	140.7	193.62.193.165:1
22.37	6	1	1	140.7	193.62.193.165:1
22.57	6	2	1	140.7	193.62.193.165:1
22.78	6	1	1	140.7	193.62.193.165:1
22.99	5	0	0	134.7	-
23.19	5	1	1	138.8	193.62.193.80:1
23.40	6	0	0	140.7	-
