t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	4	0	0	20.9	-
0.20	5	0	0	66.1	-
0.41	6	0	0	75.7	-
0.63	8	3	3	97.0	193.62.193.80:3
0.84	10	5	5	118.7	193.62.193.80:5
1.08	9	4	4	107.6	193.62.193.80:4
1.31	7	3	3	88.3	193.62.193.80:3
1.52	5	1	1	67.1	193.62.193.80:1
1.73	4	0	0	57.0	-
1.94	4	2	2	58.2	193.62.193.165:2
2.15	4	2	2	58.2	193.62.193.165:2
2.36	4	2	2	58.2	193.62.193.165:2
2.56	4	3	3	58.5	193.62.193.165:3
2.77	4	4	4	59.0	193.62.193.165:4
2.98	4	4	4	59.9	193.62.193.165:4
3.18	4	4	4	59.9	193.62.193.165:4
3.39	4	4	4	61.6	193.62.193.165:4
3.60	4	4	4	61.2	193.62.193.165:4
3.81	4	4	4	62.4	193.62.193.165:4
4.01	4	4	4	62.2	193.62.193.165:4
4.22	4	4	4	62.2	193.62.193.165:4
4.43	4	4	4	62.2	193.62.193.165:4
4.63	4	4	4	62.4	193.62.193.165:4
4.84	4	4	4	62.4	193.62.193.165:4
5.05	4	4	4	62.3	193.62.193.165:4
5.26	4	4	4	62.3	193.62.193.165:4
5.46	4	4	4	62.3	193.62.193.165:4
5.67	4	4	4	62.3	193.62.193.165:4
5.88	4	4	4	62.3	193.62.193.165:4
6.09	4	4	4	62.3	193.62.193.165:4
6.29	4	4	4	62.3	193.62.193.165:4
6.50	4	4	4	62.3	193.62.193.165:4
6.71	4	4	4	62.3	193.62.193.165:4
6.92	4	4	4	62.3	193.62.193.165:4
7.13	4	4	4	62.3	193.62.193.165:4
7.34	4	4	4	62.3	193.62.193.165:4
7.55	4	4	4	62.3	193.62.193.165:4
7.76	4	4	4	62.3	193.62.193.165:4
7.97	4	4	4	62.3	193.62.193.165:4
8.18	4	4	4	62.3	193.62.193.165:4
8.38	4	4	4	62.3	193.62.193.165:4
8.59	4	4	4	62.3	193.62.193.165:4
8.80	4	4	4	62.3	193.62.193.165:4
9.01	4	4	4	62.3	193.62.193.165:4
9.21	4	4	4	62.3	193.62.193.165:4
9.42	4	4	4	62.3	193.62.193.165:4
9.63	4	4	4	62.3	193.62.193.165:4
9.83	4	4	4	62.3	193.62.193.165:4
10.04	4	4	4	62.3	193.62.193.165:4
10.25	4	4	4	62.3	193.62.193.165:4
10.45	4	4	4	62.3	193.62.193.165:4
10.66	4	4	4	62.2	193.62.193.165:4
10.87	4	4	4	62.2	193.62.193.165:4
11.08	4	4	4	62.2	193.62.193.165:4
11.28	4	4	4	62.2	193.62.193.165:4
11.49	4	4	4	62.2	193.62.193.165:4
11.69	4	4	4	62.2	193.62.193.165:4
11.90	4	4	4	62.2	193.62.193.165:4
12.11	4	4	4	62.2	193.62.193.165:4
12.31	4	4	4	62.2	193.62.193.165:4
12.52	4	4	4	62.2	193.62.193.165:4
12.73	4	4	4	62.2	193.62.193.165:4
12.94	4	4	4	62.2	193.62.193.165:4
13.14	4	4	4	62.2	193.62.193.165:4
13.35	4	4	4	62.2	193.62.193.165:4
13.56	4	4	4	62.2	193.62.193.165:4
13.76	4	4	4	62.2	193.62.193.165:4
13.97	4	4	4	62.2	193.62.193.165:4
14.18	4	4	4	62.2	193.62.193.165:4
14.39	4	4	4	62.2	193.62.193.165:4
14.59	4	4	4	62.2	193.62.193.165:4
14.80	4	4	4	62.2	193.62.193.165:4
15.01	4	4	4	62.2	193.62.193.165:4
15.21	4	4	4	62.2	193.62.193.165:4
15.42	4	4	4	62.2	193.62.193.165:4
15.63	4	4	4	62.2	193.62.193.165:4
15.84	4	4	4	62.2	193.62.193.165:4
16.04	4	4	4	62.2	193.62.193.165:4
16.25	4	4	4	62.2	193.62.193.165:4
16.46	4	4	4	62.2	193.62.193.165:4
16.67	4	4	4	62.2	193.62.193.165:4
16.87	4	4	4	62.2	193.62.193.165:4
17.08	4	4	4	62.2	193.62.193.165:4
17.29	4	4	4	62.2	193.62.193.165:4
17.50	4	4	4	62.2	193.62.193.165:4
17.70	4	4	4	62.2	193.62.193.165:4
17.91	4	4	4	62.2	193.62.193.165:4
18.12	4	4	4	62.2	193.62.193.165:4
18.32	4	4	4	62.2	193.62.193.165:4
18.53	4	4	4	62.2	193.62.193.165:4
18.74	4	4	4	62.2	193.62.193.165:4
18.95	4	4	4	62.2	193.62.193.165:4
19.16	4	4	4	62.2	193.62.193.165:4
19.37	4	4	4	62.2	193.62.193.165:4
19.58	4	4	4	62.2	193.62.193.165:4
19.79	4	4	4	62.2	193.62.193.165:4
19.99	4	4	4	62.2	193.62.193.165:4
20.20	4	4	4	62.2	193.62.193.165:4
20.41	4	4	4	62.2	193.62.193.165:4
20.61	4	4	4	62.2	193.62.193.165:4
20.82	4	4	4	62.2	193.62.193.165:4
21.03	4	4	4	62.2	193.62.193.165:4
21.24	4	4	4	62.2	193.62.193.165:4
21.45	4	4	4	62.2	193.62.193.165:4
21.65	4	4	4	62.2	193.62.193.165:4
21.86	4	4	4	62.2	193.62.193.165:4
22.07	4	4	4	62.2	193.62.193.165:4
22.28	4	4	4	62.2	193.62.193.165:4
22.48	4	4	4	62.2	193.62.193.165:4
22.69	4	4	4	62.2	193.62.193.165:4
22.90	4	4	4	62.2	193.62.193.165:4
23.10	4	4	4	62.2	193.62.193.165:4
23.31	4	4	4	62.2	193.62.193.165:4
23.52	4	4	4	62.2	193.62.193.165:4
23.73	4	4	4	62.2	193.62.193.165:4
23.93	4	4	4	62.2	193.62.193.165:4
24.14	4	4	4	62.2	193.62.193.165:4
24.35	4	4	4	62.2	193.62.193.165:4
24.56	4	4	4	62.2	193.62.193.165:4
24.76	4	4	4	62.2	193.62.193.165:4
24.97	4	4	4	62.2	193.62.193.165:4
25.18	4	4	4	62.2	193.62.193.165:4
25.39	4	4	4	62.2	193.62.193.165:4
25.60	4	4	4	62.2	193.62.193.165:4
25.80	4	4	4	62.2	193.62.193.165:4
26.01	4	4	4	62.2	193.62.193.165:4
26.22	4	4	4	62.2	193.62.193.165:4
26.42	4	4	4	62.2	193.62.193.165:4
26.63	4	4	4	62.2	193.62.193.165:4
26.84	4	4	4	62.2	193.62.193.165:4
27.05	4	4	4	62.2	193.62.193.165:4
27.25	4	4	4	62.2	193.62.193.165:4
27.46	4	4	4	62.2	193.62.193.165:4
27.67	4	4	4	62.2	193.62.193.165:4
27.87	4	4	4	62.2	193.62.193.165:4
28.08	4	4	4	62.2	193.62.193.165:4
28.29	4	4	4	62.2	193.62.193.165:4
28.50	4	4	4	62.2	193.62.193.165:4
28.71	4	4	4	62.2	193.62.193.165:4
28.91	4	4	4	62.2	193.62.193.165:4
29.12	4	4	4	62.2	193.62.193.165:4
29.33	4	4	4	62.2	193.62.193.165:4
29.53	4	4	4	62.2	193.62.193.165:4
29.74	4	4	4	62.2	193.62.193.165:4
29.95	4	4	4	62.2	193.62.193.165:4
30.15	4	4	4	62.2	193.62.193.165:4
30.36	4	4	4	62.2	193.62.193.165:4
30.57	4	4	4	62.2	193.62.193.165:4
30.78	4	4	4	62.2	193.62.193.165:4
30.98	4	4	4	62.2	193.62.193.165:4
31.19	4	4	4	62.2	193.62.193.165:4
31.40	4	4	4	62.2	193.62.193.165:4
31.60	4	4	4	62.2	193.62.193.165:4
31.81	4	4	4	62.2	193.62.193.165:4
32.02	4	4	4	62.2	193.62.193.165:4
32.23	4	4	4	62.2	193.62.193.165:4
32.43	4	4	4	62.2	193.62.193.165:4
32.64	4	4	4	62.2	193.62.193.165:4
32.85	4	4	4	62.2	193.62.193.165:4
33.05	4	4	4	62.2	193.62.193.165:4
33.26	4	4	4	62.2	193.62.193.165:4
33.47	4	4	4	62.2	193.62.193.165:4
33.68	4	4	4	62.2	193.62.193.165:4
33.88	4	4	4	62.2	193.62.193.165:4
34.09	4	4	4	62.2	193.62.193.165:4
34.30	4	4	4	62.2	193.62.193.165:4
34.51	4	4	4	62.2	193.62.193.165:4
34.72	4	4	4	62.2	193.62.193.165:4
34.92	4	4	4	62.2	193.62.193.165:4
