t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	4	0	0	20.9	-
0.21	5	0	0	66.5	-
0.41	6	0	0	76.1	-
0.63	8	3	3	97.1	193.62.193.80:3
0.85	10	5	5	119.0	193.62.193.80:5
1.08	9	4	4	108.4	193.62.193.80:4
1.30	7	3	3	88.6	193.62.193.80:3
1.52	5	1	1	67.2	193.62.193.80:1
1.73	4	0	0	57.3	-
1.94	4	2	2	58.3	193.62.193.165:2
2.15	4	2	2	58.3	193.62.193.165:2
2.35	4	2	2	58.3	193.62.193.165:2
2.56	4	2	2	58.3	193.62.193.165:2
2.77	4	3	3	58.6	193.62.193.165:3
2.97	4	4	4	59.1	193.62.193.165:4
3.18	4	4	4	59.3	193.62.193.165:4
3.39	4	4	4	59.6	193.62.193.165:4
3.59	4	4	4	60.9	193.62.193.165:4
3.80	4	4	4	61.1	193.62.193.165:4
4.01	4	4	4	61.1	193.62.193.165:4
4.22	4	4	4	61.1	193.62.193.165:4
4.43	4	4	4	62.0	193.62.193.165:4
4.64	4	4	4	62.0	193.62.193.165:4
4.84	4	4	4	62.1	193.62.193.165:4
5.05	4	4	4	61.4	193.62.193.165:4
5.26	4	4	4	61.7	193.62.193.165:4
5.47	4	4	4	61.4	193.62.193.165:4
5.68	4	4	4	61.5	193.62.193.165:4
5.88	4	4	4	61.4	193.62.193.165:4
6.09	4	4	4	61.5	193.62.193.165:4
6.30	4	4	4	61.5	193.62.193.165:4
6.50	4	4	4	61.5	193.62.193.165:4
6.71	4	4	4	61.4	193.62.193.165:4
6.92	4	4	4	61.4	193.62.193.165:4
7.13	4	4	4	61.4	193.62.193.165:4
7.33	4	4	4	61.4	193.62.193.165:4
7.54	4	4	4	61.4	193.62.193.165:4
7.75	4	4	4	61.4	193.62.193.165:4
7.96	4	4	4	61.4	193.62.193.165:4
8.16	4	4	4	61.5	193.62.193.165:4
8.37	4	4	4	61.4	193.62.193.165:4
8.58	4	4	4	61.6	193.62.193.165:4
8.78	4	4	4	61.4	193.62.193.165:4
8.99	4	4	4	61.5	193.62.193.165:4
9.20	4	4	4	61.4	193.62.193.165:4
9.41	4	4	4	61.4	193.62.193.165:4
9.62	4	4	4	61.4	193.62.193.165:4
9.82	4	4	4	61.5	193.62.193.165:4
10.03	4	18	18	66.0	193.62.193.165:18
10.24	4	18	18	67.2	193.62.193.165:18
10.45	4	23	23	67.8	193.62.193.165:23
10.66	4	25	25	69.1	193.62.193.165:25
10.87	4	25	25	69.7	193.62.193.165:25
11.07	4	25	25	71.6	193.62.193.165:25
11.28	4	25	25	75.1	193.62.193.165:25
11.49	4	25	25	75.8	193.62.193.165:25
11.70	4	25	25	80.9	193.62.193.165:25
11.91	4	25	25	83.5	193.62.193.165:25
12.12	4	25	25	85.4	193.62.193.165:25
12.33	4	25	25	85.6	193.62.193.165:25
12.53	4	25	25	84.7	193.62.193.165:25
12.74	4	25	25	81.2	193.62.193.165:25
12.95	4	25	25	80.5	193.62.193.165:25
13.16	4	25	25	79.8	193.62.193.165:25
13.37	4	25	25	78.4	193.62.193.165:25
13.57	4	25	25	77.6	193.62.193.165:25
13.78	4	25	25	77.4	193.62.193.165:25
13.99	4	25	25	80.7	193.62.193.165:25
14.20	4	25	25	77.6	193.62.193.165:25
14.41	4	25	25	78.0	193.62.193.165:25
14.62	4	25	25	81.6	193.62.193.165:25
14.82	4	25	25	80.3	193.62.193.165:25
15.03	4	25	25	77.3	193.62.193.165:25
15.24	4	25	25	77.4	193.62.193.165:25
15.45	4	25	25	78.8	193.62.193.165:25
15.65	4	25	25	77.1	193.62.193.165:25
15.86	4	25	25	77.1	193.62.193.165:25
16.07	4	25	25	77.1	193.62.193.165:25
16.28	4	25	25	77.1	193.62.193.165:25
16.49	4	25	25	77.1	193.62.193.165:25
16.70	4	25	25	77.1	193.62.193.165:25
16.90	4	25	25	78.7	193.62.193.165:25
17.11	4	25	25	78.2	193.62.193.165:25
17.32	4	25	25	77.4	193.62.193.165:25
17.52	4	25	25	77.4	193.62.193.165:25
17.73	4	25	25	77.4	193.62.193.165:25
17.94	4	25	25	77.4	193.62.193.165:25
18.15	4	25	25	77.4	193.62.193.165:25
18.36	4	25	25	77.3	193.62.193.165:25
18.56	4	25	25	77.2	193.62.193.165:25
18.77	4	25	25	77.2	193.62.193.165:25
18.98	4	25	25	77.2	193.62.193.165:25
19.19	4	25	25	77.2	193.62.193.165:25
19.40	4	25	25	77.2	193.62.193.165:25
19.61	4	25	25	77.2	193.62.193.165:25
19.81	4	25	25	77.2	193.62.193.165:25
20.02	4	25	25	77.2	193.62.193.165:25
20.23	4	25	25	77.2	193.62.193.165:25
20.44	4	25	25	77.2	193.62.193.165:25
20.65	4	25	25	77.2	193.62.193.165:25
20.85	4	25	25	77.2	193.62.193.165:25
21.06	4	25	25	77.2	193.62.193.165:25
21.27	4	25	25	77.2	193.62.193.165:25
21.48	4	25	25	77.2	193.62.193.165:25
21.68	4	25	25	77.2	193.62.193.165:25
21.89	4	25	25	77.2	193.62.193.165:25
22.10	4	25	25	77.2	193.62.193.165:25
22.31	4	25	25	77.2	193.62.193.165:25
22.52	4	25	25	77.1	193.62.193.165:25
22.73	4	25	25	77.1	193.62.193.165:25
22.94	4	25	25	77.1	193.62.193.165:25
23.15	4	25	25	77.1	193.62.193.165:25
23.36	4	25	25	77.1	193.62.193.165:25
23.57	4	25	25	77.1	193.62.193.165:25
23.78	4	25	25	77.1	193.62.193.165:25
23.98	4	25	25	77.1	193.62.193.165:25
24.19	4	25	25	77.1	193.62.193.165:25
24.40	4	25	25	77.1	193.62.193.165:25
24.61	4	25	25	77.1	193.62.193.165:25
24.82	4	25	25	77.1	193.62.193.165:25
25.03	4	25	25	77.1	193.62.193.165:25
25.23	4	25	25	77.1	193.62.193.165:25
25.44	4	25	25	77.1	193.62.193.165:25
25.65	4	23	23	77.1	193.62.193.165:23
25.86	4	20	20	77.1	193.62.193.165:20
26.06	4	19	19	77.1	193.62.193.165:19
26.27	4	19	19	77.1	193.62.193.165:19
26.48	4	19	19	77.1	193.62.193.165:19
26.69	4	19	19	77.1	193.62.193.165:19
26.90	4	19	19	77.1	193.62.193.165:19
27.10	4	19	19	80.1	193.62.193.165:19
27.31	4	18	18	77.1	193.62.193.165:18
27.52	4	18	18	77.1	193.62.193.165:18
27.73	4	18	18	77.1	193.62.193.165:18
27.94	4	18	18	77.1	193.62.193.165:18
28.14	4	18	18	77.1	193.62.193.165:18
28.35	4	18	18	77.1	193.62.193.165:18
28.56	4	18	18	77.1	193.62.193.165:18
28.77	4	18	18	77.1	193.62.193.165:18
28.98	4	18	18	77.1	193.62.193.165:18
29.18	4	18	18	77.1	193.62.193.165:18
29.39	4	18	18	77.1	193.62.193.165:18
29.60	4	18	18	77.1	193.62.193.165:18
29.81	4	18	18	77.1	193.62.193.165:18
30.01	4	18	18	77.1	193.62.193.165:18
30.22	4	18	18	77.1	193.62.193.165:18
30.43	4	18	18	77.1	193.62.193.165:18
30.64	4	18	18	77.1	193.62.193.165:18
30.85	4	18	18	77.1	193.62.193.165:18
31.05	4	18	18	77.1	193.62.193.165:18
31.26	4	18	18	77.1	193.62.193.165:18
31.47	4	18	18	77.1	193.62.193.165:18
31.67	4	18	18	77.1	193.62.193.165:18
31.88	4	18	18	77.1	193.62.193.165:18
32.09	4	18	18	77.1	193.62.193.165:18
32.30	4	18	18	77.1	193.62.193.165:18
32.50	4	18	18	77.1	193.62.193.165:18
32.71	4	18	18	77.1	193.62.193.165:18
32.92	4	18	18	77.1	193.62.193.165:18
33.13	4	18	18	77.1	193.62.193.165:18
33.33	4	18	18	77.1	193.62.193.165:18
33.54	4	17	17	77.1	193.62.193.165:17
33.75	4	17	17	77.1	193.62.193.165:17
33.96	4	17	17	77.1	193.62.193.165:17
34.16	4	17	17	77.1	193.62.193.165:17
34.37	4	17	17	77.1	193.62.193.165:17
34.58	4	17	17	77.1	193.62.193.165:17
34.78	4	17	17	77.1	193.62.193.165:17
34.99	4	17	17	77.1	193.62.193.165:17
35.20	4	17	17	77.1	193.62.193.165:17
35.41	4	17	17	77.1	193.62.193.165:17
35.61	4	17	17	77.1	193.62.193.165:17
35.82	4	17	17	77.1	193.62.193.165:17
36.03	4	17	17	77.1	193.62.193.165:17
36.24	4	17	17	77.1	193.62.193.165:17
36.44	4	17	17	77.1	193.62.193.165:17
36.65	4	16	16	77.0	193.62.193.165:16
36.86	4	16	16	77.0	193.62.193.165:16
37.07	4	16	16	77.0	193.62.193.165:16
37.27	4	15	15	77.0	193.62.193.165:15
37.48	4	15	15	77.0	193.62.193.165:15
37.69	4	15	15	77.0	193.62.193.165:15
37.90	4	15	15	77.0	193.62.193.165:15
38.10	4	15	15	77.0	193.62.193.165:15
38.31	4	15	15	77.0	193.62.193.165:15
38.52	4	15	15	77.0	193.62.193.165:15
38.73	4	15	15	77.0	193.62.193.165:15
38.93	4	15	15	77.0	193.62.193.165:15
39.14	4	15	15	77.0	193.62.193.165:15
39.35	4	15	15	77.0	193.62.193.165:15
39.56	4	15	15	77.0	193.62.193.165:15
39.77	4	15	15	77.0	193.62.193.165:15
39.97	4	15	15	77.0	193.62.193.165:15
40.18	4	15	15	77.0	193.62.193.165:15
40.39	4	15	15	77.0	193.62.193.165:15
40.60	4	15	15	77.0	193.62.193.165:15
40.80	4	15	15	77.0	193.62.193.165:15
41.01	4	17	17	77.0	193.62.193.165:17
41.22	4	17	17	77.0	193.62.193.165:17
41.42	4	18	18	76.9	193.62.193.165:18
41.63	4	19	19	76.9	193.62.193.165:19
41.84	4	20	20	76.9	193.62.193.165:20
42.05	4	20	20	76.9	193.62.193.165:20
42.25	4	20	20	76.9	193.62.193.165:20
42.46	4	21	21	76.9	193.62.193.165:21
42.67	4	23	23	80.1	193.62.193.165:23
42.88	4	23	23	80.1	193.62.193.165:23
43.08	4	24	24	81.7	193.62.193.165:24
43.29	4	24	24	80.1	193.62.193.165:24
43.50	4	25	25	82.7	193.62.193.165:25
43.71	4	25	25	81.4	193.62.193.165:25
43.91	4	25	25	81.4	193.62.193.165:25
44.12	4	25	25	82.1	193.62.193.165:25
44.33	4	25	25	84.6	193.62.193.165:25
44.53	4	25	25	84.0	193.62.193.165:25
44.74	4	25	25	85.9	193.62.193.165:25
44.95	4	25	25	87.2	193.62.193.165:25
45.16	4	25	25	87.4	193.62.193.165:25
45.37	4	25	25	86.4	193.62.193.165:25
45.58	4	25	25	87.5	193.62.193.165:25
45.79	4	25	25	87.6	193.62.193.165:25
45.99	4	25	25	84.8	193.62.193.165:25
46.20	4	25	25	84.3	193.62.193.165:25
46.41	4	25	25	85.1	193.62.193.165:25
46.62	4	25	25	84.0	193.62.193.165:25
46.82	4	25	25	84.0	193.62.193.165:25
47.03	4	25	25	84.0	193.62.193.165:25
47.24	4	25	25	84.0	193.62.193.165:25
47.45	4	25	25	84.0	193.62.193.165:25
47.65	4	25	25	84.0	193.62.193.165:25
47.86	4	25	25	84.0	193.62.193.165:25
48.07	4	25	25	84.0	193.62.193.165:25
48.28	4	25	25	84.0	193.62.193.165:25
48.48	4	25	25	84.0	193.62.193.165:25
48.69	4	25	25	84.0	193.62.193.165:25
48.90	4	25	25	84.0	193.62.193.165:25
49.11	4	25	25	84.0	193.62.193.165:25
49.32	4	25	25	84.0	193.62.193.165:25
49.53	4	25	25	84.0	193.62.193.165:25
49.74	4	25	25	84.0	193.62.193.165:25
49.96	4	25	25	84.0	193.62.193.165:25
50.17	4	25	25	84.0	193.62.193.165:25
50.38	4	25	25	84.0	193.62.193.165:25
50.59	4	25	25	84.0	193.62.193.165:25
50.80	4	25	25	84.0	193.62.193.165:25
51.02	4	25	25	84.0	193.62.193.165:25
51.23	4	25	25	84.0	193.62.193.165:25
51.44	4	25	25	84.0	193.62.193.165:25
51.65	4	25	25	84.0	193.62.193.165:25
51.86	4	25	25	84.0	193.62.193.165:25
52.07	4	25	25	84.0	193.62.193.165:25
52.28	4	25	25	84.0	193.62.193.165:25
52.50	4	25	25	84.0	193.62.193.165:25
52.71	4	25	25	84.0	193.62.193.165:25
52.92	4	25	25	84.0	193.62.193.165:25
53.13	4	25	25	84.0	193.62.193.165:25
53.35	4	25	25	84.0	193.62.193.165:25
53.56	4	25	25	84.0	193.62.193.165:25
53.77	4	25	25	84.0	193.62.193.165:25
53.98	4	25	25	84.0	193.62.193.165:25
54.19	4	25	25	84.0	193.62.193.165:25
54.41	4	25	25	84.0	193.62.193.165:25
54.62	4	25	25	84.0	193.62.193.165:25
54.83	4	25	25	84.0	193.62.193.165:25
55.05	4	25	25	84.0	193.62.193.165:25
55.26	4	25	25	84.0	193.62.193.165:25
55.47	4	25	25	84.0	193.62.193.165:25
55.68	4	25	25	84.0	193.62.193.165:25
55.89	4	25	25	84.0	193.62.193.165:25
56.10	4	25	25	84.0	193.62.193.165:25
56.31	4	25	25	84.0	193.62.193.165:25
56.52	4	25	25	84.0	193.62.193.165:25
56.73	4	25	25	84.0	193.62.193.165:25
56.94	4	25	25	84.0	193.62.193.165:25
57.15	4	25	25	90.6	193.62.193.165:25
57.36	4	25	25	85.2	193.62.193.165:25
57.57	4	25	25	84.0	193.62.193.165:25
57.78	4	25	25	84.0	193.62.193.165:25
57.99	4	25	25	84.0	193.62.193.165:25
58.20	4	25	25	84.0	193.62.193.165:25
58.41	4	25	25	84.0	193.62.193.165:25
58.61	4	25	25	84.0	193.62.193.165:25
58.82	4	25	25	84.0	193.62.193.165:25
59.03	4	25	25	84.0	193.62.193.165:25
59.24	4	25	25	84.0	193.62.193.165:25
59.45	4	25	25	84.0	193.62.193.165:25
59.66	4	25	25	84.0	193.62.193.165:25
59.87	4	25	25	84.0	193.62.193.165:25
60.08	4	25	25	84.0	193.62.193.165:25
60.29	4	25	25	84.0	193.62.193.165:25
60.50	4	25	25	84.0	193.62.193.165:25
60.71	4	25	25	84.0	193.62.193.165:25
60.92	4	25	25	84.0	193.62.193.165:25
61.13	4	25	25	84.0	193.62.193.165:25
61.34	4	25	25	84.0	193.62.193.165:25
61.55	4	25	25	84.0	193.62.193.165:25
61.76	4	25	25	84.0	193.62.193.165:25
61.97	4	25	25	89.2	193.62.193.165:25
62.18	4	25	25	84.0	193.62.193.165:25
62.39	4	25	25	84.0	193.62.193.165:25
62.59	4	25	25	84.0	193.62.193.165:25
62.80	4	25	25	84.0	193.62.193.165:25
63.01	4	25	25	84.0	193.62.193.165:25
63.22	4	25	25	84.0	193.62.193.165:25
63.43	4	25	25	84.0	193.62.193.165:25
63.64	4	25	25	84.0	193.62.193.165:25
63.85	4	25	25	84.0	193.62.193.165:25
64.05	4	24	24	84.0	193.62.193.165:24
64.26	4	24	24	84.0	193.62.193.165:24
64.47	4	24	24	84.0	193.62.193.165:24
64.68	4	24	24	84.0	193.62.193.165:24
64.88	4	24	24	84.0	193.62.193.165:24
65.09	4	24	24	84.0	193.62.193.165:24
65.30	4	24	24	84.0	193.62.193.165:24
65.51	4	23	23	84.0	193.62.193.165:23
65.72	4	23	23	84.0	193.62.193.165:23
65.93	4	23	23	84.0	193.62.193.165:23
66.14	4	23	23	84.0	193.62.193.165:23
66.34	4	23	23	84.0	193.62.193.165:23
66.55	4	23	23	84.0	193.62.193.165:23
66.76	4	23	23	84.0	193.62.193.165:23
66.97	4	23	23	84.0	193.62.193.165:23
67.18	4	23	23	84.0	193.62.193.165:23
67.39	4	23	23	84.0	193.62.193.165:23
67.60	4	23	23	84.0	193.62.193.165:23
67.81	4	23	23	84.0	193.62.193.165:23
68.02	4	23	23	84.0	193.62.193.165:23
68.23	4	23	23	84.0	193.62.193.165:23
68.43	4	23	23	84.0	193.62.193.165:23
68.64	4	23	23	84.0	193.62.193.165:23
68.85	4	23	23	84.0	193.62.193.165:23
69.06	4	23	23	84.0	193.62.193.165:23
69.26	4	23	23	84.0	193.62.193.165:23
69.47	4	23	23	84.0	193.62.193.165:23
69.68	4	23	23	84.0	193.62.193.165:23
69.89	4	23	23	84.0	193.62.193.165:23
70.10	4	23	23	84.0	193.62.193.165:23
70.30	4	23	23	84.0	193.62.193.165:23
70.51	4	23	23	84.0	193.62.193.165:23
70.72	4	23	23	84.0	193.62.193.165:23
70.93	4	23	23	84.0	193.62.193.165:23
71.14	4	23	23	84.0	193.62.193.165:23
71.35	4	23	23	84.0	193.62.193.165:23
71.55	4	23	23	84.0	193.62.193.165:23
71.76	4	23	23	84.0	193.62.193.165:23
71.97	4	23	23	84.0	193.62.193.165:23
72.18	4	23	23	84.0	193.62.193.165:23
72.39	4	23	23	84.0	193.62.193.165:23
72.60	4	23	23	84.0	193.62.193.165:23
72.81	4	23	23	84.0	193.62.193.165:23
73.02	4	23	23	84.0	193.62.193.165:23
73.22	4	23	23	84.0	193.62.193.165:23
73.43	4	23	23	84.0	193.62.193.165:23
73.64	4	23	23	84.0	193.62.193.165:23
73.85	4	23	23	84.0	193.62.193.165:23
74.06	4	22	22	83.8	193.62.193.165:22
74.26	4	22	22	83.8	193.62.193.165:22
74.47	4	22	22	83.8	193.62.193.165:22
74.68	4	22	22	83.8	193.62.193.165:22
74.89	4	22	22	83.8	193.62.193.165:22
75.10	4	22	22	83.8	193.62.193.165:22
75.31	4	22	22	83.8	193.62.193.165:22
75.51	4	22	22	83.8	193.62.193.165:22
75.72	4	22	22	83.8	193.62.193.165:22
75.93	4	22	22	83.8	193.62.193.165:22
76.14	4	22	22	83.8	193.62.193.165:22
76.35	4	22	22	83.8	193.62.193.165:22
76.55	4	22	22	83.8	193.62.193.165:22
76.76	4	22	22	83.8	193.62.193.165:22
76.97	4	22	22	83.8	193.62.193.165:22
77.18	4	22	22	83.8	193.62.193.165:22
77.39	4	21	21	83.8	193.62.193.165:21
77.60	4	21	21	83.8	193.62.193.165:21
77.81	4	21	21	83.8	193.62.193.165:21
78.01	4	21	21	83.8	193.62.193.165:21
78.22	4	19	19	83.8	193.62.193.165:19
78.43	4	19	19	83.8	193.62.193.165:19
78.64	4	19	19	83.8	193.62.193.165:19
78.85	4	19	19	83.8	193.62.193.165:19
79.05	4	19	19	83.8	193.62.193.165:19
79.26	4	19	19	83.8	193.62.193.165:19
79.47	4	18	18	83.8	193.62.193.165:18
79.68	4	18	18	83.8	193.62.193.165:18
79.89	4	18	18	83.8	193.62.193.165:18
80.10	4	18	18	83.8	193.62.193.165:18
80.30	4	18	18	83.8	193.62.193.165:18
80.51	4	18	18	83.8	193.62.193.165:18
80.72	4	18	18	83.8	193.62.193.165:18
80.93	4	18	18	83.8	193.62.193.165:18
81.14	4	18	18	83.8	193.62.193.165:18
81.34	4	18	18	83.8	193.62.193.165:18
81.55	4	18	18	83.8	193.62.193.165:18
81.76	4	18	18	83.8	193.62.193.165:18
81.97	4	18	18	83.8	193.62.193.165:18
82.18	4	18	18	83.8	193.62.193.165:18
82.38	4	18	18	83.8	193.62.193.165:18
82.59	4	18	18	83.8	193.62.193.165:18
82.80	4	18	18	83.8	193.62.193.165:18
83.01	4	18	18	83.8	193.62.193.165:18
83.22	4	18	18	83.8	193.62.193.165:18
83.43	4	18	18	83.8	193.62.193.165:18
83.63	4	18	18	83.8	193.62.193.165:18
83.84	4	18	18	83.8	193.62.193.165:18
84.05	4	18	18	83.8	193.62.193.165:18
84.26	4	18	18	83.8	193.62.193.165:18
84.47	4	18	18	83.8	193.62.193.165:18
84.68	4	18	18	83.8	193.62.193.165:18
84.89	4	18	18	83.8	193.62.193.165:18
85.10	4	18	18	83.8	193.62.193.165:18
85.31	4	17	17	83.8	193.62.193.165:17
85.51	4	17	17	83.8	193.62.193.165:17
85.72	4	17	17	83.8	193.62.193.165:17
85.93	4	17	17	83.8	193.62.193.165:17
86.14	4	17	17	83.8	193.62.193.165:17
86.35	4	16	16	83.2	193.62.193.165:16
