t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	4	0	0	20.7	-
0.20	5	0	0	66.6	-
0.41	7	0	0	85.7	-
0.62	8	3	3	97.6	193.62.193.80:3
0.85	10	5	5	119.3	193.62.193.80:5
1.08	9	4	4	108.5	193.62.193.80:4
1.31	7	3	3	88.7	193.62.193.80:3
1.52	5	1	1	67.7	193.62.193.80:1
1.73	4	0	0	57.4	-
1.94	4	8	8	60.4	193.62.193.165:8
2.14	4	8	8	60.4	193.62.193.165:8
2.35	4	8	8	60.7	193.62.193.165:8
2.56	4	17	17	64.2	193.62.193.165:17
2.77	4	17	17	64.7	193.62.193.165:17
2.97	4	17	17	66.5	193.62.193.165:17
3.18	4	17	17	68.8	193.62.193.165:17
3.39	4	17	17	70.5	193.62.193.165:17
3.60	4	17	17	73.4	193.62.193.165:17
3.80	4	17	17	78.0	193.62.193.165:17
4.01	4	17	17	75.8	193.62.193.165:17
4.22	4	17	17	80.8	193.62.193.165:17
4.42	4	17	17	81.3	193.62.193.165:17
4.63	4	17	17	76.8	193.62.193.165:17
4.84	4	17	17	77.9	193.62.193.165:17
5.04	4	17	17	78.6	193.62.193.165:17
5.25	4	17	17	76.6	193.62.193.165:17
5.46	4	17	17	76.6	193.62.193.165:17
5.67	4	17	17	77.4	193.62.193.165:17
5.87	4	17	17	75.1	193.62.193.165:17
6.08	4	17	17	73.6	193.62.193.165:17
6.29	4	17	17	73.5	193.62.193.165:17
6.49	4	17	17	73.6	193.62.193.165:17
6.70	4	17	17	73.4	193.62.193.165:17
6.91	4	17	17	73.4	193.62.193.165:17
7.12	4	17	17	78.2	193.62.193.165:17
7.32	4	17	17	75.8	193.62.193.165:17
7.53	4	17	17	73.4	193.62.193.165:17
7.74	4	17	17	73.4	193.62.193.165:17
7.94	4	17	17	73.4	193.62.193.165:17
8.15	4	17	17	73.4	193.62.193.165:17
8.36	4	17	17	73.4	193.62.193.165:17
8.56	4	17	17	73.4	193.62.193.165:17
8.77	4	17	17	73.4	193.62.193.165:17
8.98	4	17	17	73.6	193.62.193.165:17
9.19	4	17	17	73.4	193.62.193.165:17
9.39	4	17	17	73.4	193.62.193.165:17
9.60	4	17	17	73.4	193.62.193.165:17
9.81	4	17	17	73.4	193.62.193.165:17
10.01	4	17	17	73.4	193.62.193.165:17
10.22	4	17	17	73.4	193.62.193.165:17
10.43	4	17	17	73.4	193.62.193.165:17
10.63	4	17	17	73.4	193.62.193.165:17
10.84	4	17	17	73.4	193.62.193.165:17
