t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	5	0	0	23.8	-
0.20	5	0	0	84.4	-
0.41	5	0	0	128.5	-
0.61	5	0	0	134.3	-
0.82	5	0	0	134.3	-
1.03	5	1	1	134.3	193.62.193.80:1
1.23	5	1	1	135.8	193.62.193.80:1
1.44	6	0	0	141.3	-
1.65	6	0	0	141.3	-
1.86	6	1	1	141.3	193.62.193.165:1
2.06	6	1	1	141.3	193.62.193.165:1
2.27	6	1	1	141.3	193.62.193.165:1
2.48	6	1	1	141.3	193.62.193.165:1
2.68	6	1	1	141.3	193.62.193.165:1
2.89	6	2	1	141.3	193.62.193.165:1
3.10	6	2	1	141.3	193.62.193.165:1
3.30	6	2	1	141.3	193.62.193.165:1
3.51	6	2	1	141.3	193.62.193.165:1
3.72	6	2	1	141.3	193.62.193.165:1
3.92	6	2	1	141.3	193.62.193.165:1
4.13	6	2	1	141.3	193.62.193.165:1
4.34	6	2	1	141.3	193.62.193.165:1
4.54	6	2	1	141.3	193.62.193.165:1
4.75	6	2	1	141.3	193.62.193.165:1
4.96	6	2	1	141.3	193.62.193.165:1
5.17	6	2	1	141.3	193.62.193.165:1
5.37	6	2	1	141.3	193.62.193.165:1
5.58	6	2	1	141.3	193.62.193.165:1
5.79	6	2	1	141.3	193.62.193.165:1
6.00	6	2	1	141.3	193.62.193.165:1
6.20	6	2	1	141.3	193.62.193.165:1
6.41	6	2	1	141.3	193.62.193.165:1
6.62	6	2	1	141.3	193.62.193.165:1
6.83	6	2	1	141.3	193.62.193.165:1
7.03	6	2	1	141.3	193.62.193.165:1
7.24	6	2	1	141.3	193.62.193.165:1
7.45	6	2	1	141.3	193.62.193.165:1
7.66	6	2	1	141.3	193.62.193.165:1
7.86	6	2	1	141.3	193.62.193.165:1
8.07	6	2	1	141.3	193.62.193.165:1
8.28	6	2	1	141.3	193.62.193.165:1
8.49	6	2	1	141.3	193.62.193.165:1
8.69	6	2	1	141.3	193.62.193.165:1
8.90	6	2	1	141.3	193.62.193.165:1
9.11	6	2	1	141.3	193.62.193.165:1
9.32	6	2	1	141.3	193.62.193.165:1
9.52	6	2	1	141.3	193.62.193.165:1
9.73	6	2	1	141.3	193.62.193.165:1
9.94	6	2	1	141.3	193.62.193.165:1
10.15	6	2	1	141.3	193.62.193.165:1
10.35	6	2	1	141.3	193.62.193.165:1
