t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	5	0	0	9.2	-
0.21	7	0	0	23.3	-
0.41	7	1	1	24.0	193.62.193.80:1
0.62	7	1	1	24.5	193.62.193.80:1
0.83	10	0	0	26.8	-
1.04	10	1	1	26.8	193.62.193.165:1
1.25	10	1	1	26.8	193.62.193.165:1
1.45	10	1	1	26.8	193.62.193.165:1
1.66	10	1	1	26.8	193.62.193.165:1
1.87	10	1	1	26.8	193.62.193.165:1
2.08	10	2	1	26.8	193.62.193.165:1
2.29	10	2	1	26.8	193.62.193.165:1
2.50	7	0	0	18.7	-
2.71	7	1	1	18.7	193.62.193.165:1
2.92	7	1	1	18.7	193.62.193.165:1
3.12	7	1	1	18.7	193.62.193.165:1
3.33	7	1	1	18.7	193.62.193.165:1
3.54	7	9	8	18.7	193.62.193.165:8
3.75	7	9	8	18.8	193.62.193.165:8
3.96	7	9	8	18.8	193.62.193.165:8
4.16	7	15	8	18.8	193.62.193.165:8
4.37	7	15	8	19.0	193.62.193.165:8
4.58	7	16	8	19.0	193.62.193.165:8
4.79	7	16	8	19.0	193.62.193.165:8
5.00	7	16	8	19.0	193.62.193.165:8
5.20	7	16	8	19.0	193.62.193.165:8
5.41	7	16	8	19.0	193.62.193.165:8
5.62	7	16	8	19.0	193.62.193.165:8
5.83	7	16	8	19.0	193.62.193.165:8
6.03	7	16	8	19.0	193.62.193.165:8
6.24	7	16	8	19.0	193.62.193.165:8
6.45	7	16	8	19.0	193.62.193.165:8
6.66	7	16	8	19.0	193.62.193.165:8
6.87	7	16	8	19.0	193.62.193.165:8
7.08	7	16	8	19.0	193.62.193.165:8
7.28	7	16	8	19.0	193.62.193.165:8
7.49	7	16	8	19.0	193.62.193.165:8
7.70	7	16	8	19.0	193.62.193.165:8
7.91	7	16	8	19.0	193.62.193.165:8
8.11	7	16	8	19.0	193.62.193.165:8
8.32	7	16	8	19.0	193.62.193.165:8
8.53	7	16	8	19.0	193.62.193.165:8
8.74	7	14	7	19.0	193.62.193.165:7
8.95	7	15	8	19.0	193.62.193.165:8
9.16	7	15	8	19.0	193.62.193.165:8
9.36	7	15	8	19.0	193.62.193.165:8
9.57	7	16	8	19.0	193.62.193.165:8
9.78	7	16	8	19.0	193.62.193.165:8
9.99	7	14	7	19.0	193.62.193.165:7
10.20	7	15	8	19.0	193.62.193.165:8
10.41	7	15	8	19.0	193.62.193.165:8
10.63	7	15	8	19.0	193.62.193.165:8
10.84	7	16	8	19.0	193.62.193.165:8
11.05	7	14	7	19.0	193.62.193.165:7
11.26	7	15	8	19.0	193.62.193.165:8
11.48	7	13	8	19.0	193.62.193.165:8
11.69	7	13	8	19.0	193.62.193.165:8
11.90	7	12	7	19.0	193.62.193.165:7
12.11	7	15	8	19.0	193.62.193.165:8
12.33	7	14	8	19.1	193.62.193.165:8
12.54	7	14	8	19.1	193.62.193.165:8
12.75	7	13	7	19.1	193.62.193.165:7
12.96	7	15	8	19.1	193.62.193.165:8
13.17	7	15	8	19.1	193.62.193.165:8
13.37	7	15	8	19.1	193.62.193.165:8
13.59	7	14	7	19.1	193.62.193.165:7
13.80	7	13	7	19.1	193.62.193.165:7
14.00	7	14	8	19.1	193.62.193.165:8
