t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	4	0	0	20.8	-
0.20	4	0	0	94.2	-
0.41	5	0	0	132.8	-
0.62	5	1	1	136.8	193.62.193.80:1
0.82	5	1	1	137.2	193.62.193.80:1
1.03	6	0	0	140.6	-
1.24	6	1	1	140.6	193.62.193.165:1
1.44	6	1	1	140.6	193.62.193.165:1
1.65	6	1	1	140.6	193.62.193.165:1
1.86	6	1	1	140.6	193.62.193.165:1
2.06	6	1	1	140.6	193.62.193.165:1
2.27	6	1	1	140.6	193.62.193.165:1
2.48	6	5	5	140.6	193.62.193.165:5
2.68	6	6	5	140.6	193.62.193.165:5
2.89	6	6	5	140.6	193.62.193.165:5
3.10	6	6	5	140.6	193.62.193.165:5
3.30	6	6	5	140.6	193.62.193.165:5
3.51	6	6	5	141.2	193.62.193.165:5
3.72	6	6	5	141.7	193.62.193.165:5
3.92	6	10	5	141.7	193.62.193.165:5
4.13	6	10	5	141.7	193.62.193.165:5
4.34	6	10	5	141.7	193.62.193.165:5
4.55	6	10	5	142.1	193.62.193.165:5
4.75	6	10	5	143.6	193.62.193.165:5
4.96	6	10	5	143.7	193.62.193.165:5
5.17	6	10	5	144.2	193.62.193.165:5
5.37	6	10	5	144.4	193.62.193.165:5
5.58	6	10	5	145.3	193.62.193.165:5
5.79	6	10	5	145.0	193.62.193.165:5
5.99	6	10	5	144.9	193.62.193.165:5
6.20	6	10	5	145.2	193.62.193.165:5
6.41	6	10	5	145.1	193.62.193.165:5
6.61	6	10	5	145.6	193.62.193.165:5
6.82	6	10	5	145.6	193.62.193.165:5
7.03	6	10	5	144.8	193.62.193.165:5
7.23	6	10	5	145.4	193.62.193.165:5
7.44	6	10	5	145.3	193.62.193.165:5
7.65	6	9	5	145.2	193.62.193.165:5
7.85	6	9	5	145.2	193.62.193.165:5
8.06	6	9	5	145.1	193.62.193.165:5
8.27	6	9	5	145.1	193.62.193.165:5
8.47	6	9	5	145.1	193.62.193.165:5
8.68	6	9	5	145.1	193.62.193.165:5
8.89	6	8	5	145.1	193.62.193.165:5
9.09	6	9	5	145.1	193.62.193.165:5
9.30	6	9	5	145.1	193.62.193.165:5
9.51	6	9	5	145.1	193.62.193.165:5
9.72	6	9	5	145.1	193.62.193.165:5
9.92	6	9	5	145.1	193.62.193.165:5
10.13	6	9	5	145.1	193.62.193.165:5
10.34	6	8	4	145.1	193.62.193.165:4
10.54	6	9	5	145.1	193.62.193.165:5
10.75	6	9	5	145.1	193.62.193.165:5
10.96	6	7	4	145.1	193.62.193.165:4
11.16	6	8	5	145.1	193.62.193.165:5
11.37	6	7	4	144.8	193.62.193.165:4
11.58	6	5	3	144.8	193.62.193.165:3
11.78	6	5	3	144.8	193.62.193.165:3
11.99	6	2	1	144.8	193.62.193.165:1
12.20	6	2	1	144.8	193.62.193.165:1
12.40	6	1	1	144.8	193.62.193.165:1
12.61	6	1	1	144.8	193.62.193.165:1
12.82	6	1	1	144.8	193.62.193.165:1
13.02	6	1	1	144.8	193.62.193.165:1
13.23	6	1	1	144.8	193.62.193.165:1
13.44	6	1	1	144.8	193.62.193.165:1
13.65	6	1	1	144.8	193.62.193.165:1
13.85	4	0	0	123.8	-
14.06	4	0	0	123.8	-
14.26	4	0	0	123.8	-
14.46	4	0	0	123.8	-
14.67	4	0	0	123.8	-
