t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	4	0	0	21.0	-
0.21	5	0	0	66.5	-
0.41	6	0	0	75.9	-
0.62	8	3	3	97.1	193.62.193.80:3
0.84	10	5	5	119.2	193.62.193.80:5
1.06	9	4	4	108.7	193.62.193.80:4
1.29	8	4	4	99.1	193.62.193.80:4
1.51	8	3	3	98.1	193.62.193.80:3
1.73	9	3	3	97.8	193.62.193.80:3
1.95	9	4	4	108.5	193.62.193.80:4
2.17	9	4	4	108.5	193.62.193.80:4
2.40	10	4	4	109.3	193.62.193.80:3,169.254.169.254:1
2.63	10	5	5	100.4	169.254.169.254:3,193.62.193.80:2
2.85	10	5	5	84.7	169.254.169.254:5
3.08	10	6	6	90.3	169.254.169.254:6
3.32	10	4	4	84.8	169.254.169.254:4
3.56	7	3	3	73.8	169.254.169.254:3
3.78	7	3	3	73.8	130.14.29.113:2,169.254.169.254:1
3.99	5	1	1	62.5	130.14.29.113:1
4.20	4	2	2	58.4	193.62.193.165:2
4.40	4	2	2	58.6	193.62.193.165:2
4.61	4	2	2	58.6	193.62.193.165:2
4.82	4	2	2	58.7	193.62.193.165:2
5.03	4	2	2	58.7	193.62.193.165:2
5.23	4	2	2	58.7	193.62.193.165:2
5.44	4	2	2	59.0	193.62.193.165:2
5.65	4	2	2	59.4	193.62.193.165:2
5.85	4	2	2	59.4	193.62.193.165:2
6.06	4	2	2	59.8	193.62.193.165:2
6.27	4	2	2	59.8	193.62.193.165:2
6.47	4	2	2	59.8	193.62.193.165:2
6.68	4	2	2	60.6	193.62.193.165:2
6.89	4	2	2	60.1	193.62.193.165:2
7.09	4	2	2	60.1	193.62.193.165:2
7.30	4	2	2	60.1	193.62.193.165:2
7.51	4	2	2	60.1	193.62.193.165:2
7.71	4	2	2	60.1	193.62.193.165:2
7.92	4	2	2	60.1	193.62.193.165:2
8.13	4	3	3	60.1	193.62.193.165:2,16.15.236.102:1
8.34	4	3	3	60.1	193.62.193.165:2,54.231.198.1:1
8.54	4	3	3	60.4	193.62.193.165:2,54.231.198.1:1
8.75	4	3	3	60.4	193.62.193.165:2,54.231.198.1:1
8.96	4	3	3	60.6	193.62.193.165:2,54.231.198.1:1
9.17	4	3	3	60.6	193.62.193.165:2,54.231.198.1:1
9.37	4	3	3	60.4	193.62.193.165:2,54.231.198.1:1
9.58	4	3	3	60.4	193.62.193.165:2,54.231.198.1:1
9.79	4	3	3	60.4	193.62.193.165:2,54.231.198.1:1
9.99	4	3	3	60.4	193.62.193.165:2,54.231.198.1:1
10.20	4	3	3	60.4	193.62.193.165:2,54.231.198.1:1
10.41	4	3	3	60.7	193.62.193.165:2,54.231.198.1:1
10.62	4	3	3	60.4	193.62.193.165:2,54.231.198.1:1
10.82	4	3	3	60.4	193.62.193.165:2,54.231.198.1:1
11.03	4	3	3	60.7	193.62.193.165:2,54.231.198.1:1
11.24	4	3	3	60.9	193.62.193.165:2,54.231.198.1:1
11.44	4	3	3	60.4	193.62.193.165:2,54.231.198.1:1
11.65	4	3	3	60.4	193.62.193.165:2,54.231.198.1:1
11.86	4	3	3	60.7	193.62.193.165:2,54.231.198.1:1
12.07	4	3	3	60.5	193.62.193.165:2,54.231.198.1:1
12.27	4	3	3	60.5	193.62.193.165:2,54.231.198.1:1
12.48	4	3	3	60.5	193.62.193.165:2,54.231.198.1:1
12.69	4	3	3	60.5	193.62.193.165:2,54.231.198.1:1
12.89	4	3	3	60.5	193.62.193.165:2,54.231.198.1:1
13.10	4	3	3	60.5	193.62.193.165:2,54.231.198.1:1
13.31	4	3	3	60.5	193.62.193.165:2,54.231.198.1:1
13.51	4	3	3	60.5	193.62.193.165:2,54.231.198.1:1
13.72	4	3	3	60.5	193.62.193.165:2,54.231.198.1:1
13.93	4	3	3	60.5	193.62.193.165:2,54.231.198.1:1
14.13	4	3	3	60.5	193.62.193.165:2,54.231.198.1:1
14.34	4	3	3	60.5	193.62.193.165:2,54.231.198.1:1
14.55	4	3	3	60.6	193.62.193.165:2,54.231.198.1:1
14.76	4	3	3	61.4	193.62.193.165:2,54.231.198.1:1
14.96	4	3	3	60.6	193.62.193.165:2,54.231.198.1:1
15.17	4	3	3	60.7	193.62.193.165:2,54.231.198.1:1
15.38	4	3	3	60.7	193.62.193.165:2,54.231.198.1:1
15.58	4	3	3	60.7	193.62.193.165:2,54.231.198.1:1
15.79	4	3	3	60.7	193.62.193.165:2,54.231.198.1:1
16.00	4	3	3	60.7	193.62.193.165:2,54.231.198.1:1
16.21	4	3	3	61.0	193.62.193.165:2,54.231.198.1:1
16.41	4	3	3	60.7	193.62.193.165:2,54.231.198.1:1
16.62	4	3	3	60.7	193.62.193.165:2,54.231.198.1:1
16.83	4	3	3	60.8	193.62.193.165:2,54.231.198.1:1
17.04	4	3	3	60.8	193.62.193.165:2,54.231.198.1:1
17.24	4	3	3	60.8	193.62.193.165:2,54.231.198.1:1
17.45	4	3	3	60.8	193.62.193.165:2,54.231.198.1:1
17.66	4	3	3	61.8	193.62.193.165:2,54.231.198.1:1
17.87	4	3	3	60.8	193.62.193.165:2,54.231.198.1:1
18.07	4	3	3	60.8	193.62.193.165:2,54.231.198.1:1
18.28	4	3	3	60.9	193.62.193.165:2,54.231.198.1:1
18.49	4	3	3	60.9	193.62.193.165:2,54.231.198.1:1
