t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	4	0	0	20.6	-
0.21	5	0	0	66.4	-
0.41	6	1	1	76.8	193.62.193.80:1
0.62	8	3	3	97.7	193.62.193.80:3
0.85	9	4	4	108.6	193.62.193.80:4
1.08	9	4	4	108.5	193.62.193.80:4
1.30	9	4	4	108.5	193.62.193.80:4
1.52	8	3	3	97.5	193.62.193.80:3
1.73	9	4	4	107.9	193.62.193.80:4
1.96	9	4	4	108.2	193.62.193.80:4
2.18	9	4	4	108.1	193.62.193.80:4
2.40	10	4	4	108.9	193.62.193.80:3,169.254.169.254:1
2.63	10	5	5	100.4	169.254.169.254:3,193.62.193.80:2
2.86	10	5	5	84.5	169.254.169.254:5
3.08	10	6	6	89.9	169.254.169.254:6
3.30	10	6	6	89.9	169.254.169.254:6
3.53	9	5	5	84.3	169.254.169.254:5
3.75	9	5	5	84.3	169.254.169.254:5
3.97	9	5	5	84.3	169.254.169.254:5
4.20	9	5	5	84.3	169.254.169.254:3,130.14.29.113:2
4.42	7	3	3	73.4	169.254.169.254:3
4.64	7	3	3	73.4	169.254.169.254:3
4.85	7	3	3	73.4	169.254.169.254:3
5.07	7	2	2	73.4	169.254.169.254:1,130.14.29.113:1
5.29	5	1	1	62.5	130.14.29.113:1
5.49	4	0	0	57.5	-
5.70	4	2	2	58.3	193.62.193.165:2
5.91	4	2	2	58.4	193.62.193.165:2
6.11	4	2	2	58.4	193.62.193.165:2
6.32	4	2	2	58.5	193.62.193.165:2
6.53	4	2	2	58.6	193.62.193.165:2
6.73	4	2	2	58.6	193.62.193.165:2
6.94	4	2	2	58.6	193.62.193.165:2
7.15	4	2	2	58.8	193.62.193.165:2
7.35	4	2	2	59.1	193.62.193.165:2
7.56	4	2	2	59.9	193.62.193.165:2
7.77	4	2	2	59.2	193.62.193.165:2
7.98	4	2	2	59.9	193.62.193.165:2
8.19	4	2	2	59.8	193.62.193.165:2
8.39	4	2	2	60.0	193.62.193.165:2
8.60	4	2	2	60.0	193.62.193.165:2
8.81	4	2	2	60.0	193.62.193.165:2
9.01	4	2	2	60.0	193.62.193.165:2
9.22	4	3	3	60.0	193.62.193.165:2,52.217.229.201:1
9.43	4	3	3	59.7	193.62.193.165:2,52.217.229.201:1
9.64	4	3	3	60.4	193.62.193.165:2,52.217.229.201:1
9.84	4	3	3	60.7	193.62.193.165:2,52.217.229.201:1
10.05	4	3	3	60.7	193.62.193.165:2,52.217.229.201:1
10.26	4	3	3	60.9	193.62.193.165:2,52.217.229.201:1
10.46	4	3	3	60.9	193.62.193.165:2,52.217.229.201:1
10.67	4	3	3	60.7	193.62.193.165:2,52.217.229.201:1
10.88	4	3	3	60.7	193.62.193.165:2,52.217.229.201:1
11.09	4	3	3	60.7	193.62.193.165:2,52.217.229.201:1
11.29	4	3	3	60.7	193.62.193.165:2,52.217.229.201:1
11.50	4	3	3	60.7	193.62.193.165:2,52.217.229.201:1
11.71	4	3	3	60.9	193.62.193.165:2,52.217.229.201:1
11.91	4	3	3	60.7	193.62.193.165:2,52.217.229.201:1
12.12	4	3	3	60.7	193.62.193.165:2,52.217.229.201:1
12.33	4	3	3	60.7	193.62.193.165:2,52.217.229.201:1
12.53	4	3	3	60.7	193.62.193.165:2,52.217.229.201:1
12.74	4	3	3	60.8	193.62.193.165:2,52.217.229.201:1
12.95	4	3	3	60.7	193.62.193.165:2,52.217.229.201:1
13.16	4	3	3	60.7	193.62.193.165:2,52.217.229.201:1
13.37	4	3	3	60.7	193.62.193.165:2,52.217.229.201:1
13.57	4	8	8	61.7	193.62.193.165:2,16.182.108.97:1,16.15.252.73:1
13.78	4	7	7	62.4	193.62.193.165:2,16.15.212.170:1,52.217.229.201:1
13.99	4	7	7	65.7	193.62.193.165:2,16.15.212.170:1,52.217.229.201:1
14.20	4	7	7	65.7	193.62.193.165:2,16.15.212.170:1,52.217.229.201:1
14.40	4	7	7	65.7	193.62.193.165:2,16.15.212.170:1,52.217.229.201:1
14.61	4	7	7	65.7	193.62.193.165:2,16.15.212.170:1,52.217.229.201:1
14.82	4	7	7	65.7	193.62.193.165:2,16.15.212.170:1,52.217.229.201:1
15.02	4	7	7	65.7	193.62.193.165:2,16.15.212.170:1,52.217.229.201:1
15.23	4	7	7	66.0	193.62.193.165:2,16.15.212.170:1,52.217.229.201:1
15.44	4	7	7	65.7	193.62.193.165:2,16.15.212.170:1,52.217.229.201:1
15.65	4	7	7	65.9	193.62.193.165:2,16.15.212.170:1,52.217.229.201:1
15.86	4	7	7	66.0	193.62.193.165:2,16.15.212.170:1,52.217.229.201:1
16.06	4	7	7	65.7	193.62.193.165:2,16.15.212.170:1,52.217.229.201:1
16.27	4	7	7	65.7	193.62.193.165:2,16.15.212.170:1,52.217.229.201:1
16.48	4	7	7	65.7	193.62.193.165:2,16.15.212.170:1,52.217.229.201:1
16.68	4	7	7	65.7	193.62.193.165:2,16.15.212.170:1,52.217.229.201:1
16.89	4	7	7	65.7	193.62.193.165:2,16.15.212.170:1,52.217.229.201:1
17.10	4	7	7	66.0	193.62.193.165:2,16.15.212.170:1,52.217.229.201:1
