t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	4	0	0	20.8	-
0.21	5	0	0	66.5	-
0.41	6	0	0	76.0	-
0.62	8	3	3	97.1	193.62.193.80:3
0.85	10	5	5	119.0	193.62.193.80:5
1.07	9	4	4	108.5	193.62.193.80:4
1.29	8	3	3	98.0	193.62.193.80:3
1.52	8	3	3	98.1	193.62.193.80:3
1.74	9	3	3	97.6	193.62.193.80:3
1.96	9	4	4	108.2	193.62.193.80:4
2.18	9	4	4	108.4	193.62.193.80:4
2.41	10	4	4	108.9	193.62.193.80:3,169.254.169.254:1
2.64	10	5	5	100.0	169.254.169.254:3,193.62.193.80:2
2.87	10	5	5	84.7	169.254.169.254:5
3.10	10	6	6	90.2	169.254.169.254:6
3.33	10	5	5	90.2	169.254.169.254:5
3.55	9	5	5	84.6	169.254.169.254:4,130.14.29.113:1
3.78	6	2	2	68.1	169.254.169.254:1,130.14.29.113:1
3.99	5	1	1	62.5	169.254.169.254:1
4.20	5	1	1	62.5	130.14.29.113:1
4.41	4	18	18	63.8	193.62.193.165:12,54.231.162.249:1,52.217.70.52:1
4.61	4	18	18	64.9	193.62.193.165:12,52.217.70.52:1,16.15.245.190:1
4.82	4	18	18	69.6	193.62.193.165:12,52.217.70.52:1,16.15.245.190:1
5.03	4	18	18	71.8	193.62.193.165:12,52.217.70.52:1,16.15.245.190:1
5.23	4	18	18	70.4	193.62.193.165:12,52.217.70.52:1,16.15.245.190:1
5.44	4	18	18	71.5	193.62.193.165:12,52.217.70.52:1,16.15.245.190:1
5.65	4	18	18	71.3	193.62.193.165:12,52.217.70.52:1,16.15.245.190:1
5.85	4	18	18	70.8	193.62.193.165:12,52.217.70.52:1,16.15.245.190:1
6.06	4	18	18	70.9	193.62.193.165:12,52.217.70.52:1,16.15.245.190:1
6.27	4	18	18	73.0	193.62.193.165:12,52.217.70.52:1,16.15.245.190:1
6.47	4	18	18	70.6	193.62.193.165:12,52.217.70.52:1,16.15.245.190:1
6.68	4	18	18	73.5	193.62.193.165:12,52.217.70.52:1,16.15.245.190:1
6.89	4	18	18	71.1	193.62.193.165:12,52.217.70.52:1,16.15.245.190:1
7.09	4	18	18	73.0	193.62.193.165:12,52.217.70.52:1,16.15.245.190:1
7.30	4	18	18	73.2	193.62.193.165:12,52.217.70.52:1,16.15.245.190:1
7.51	4	18	18	71.7	193.62.193.165:12,52.217.70.52:1,16.15.245.190:1
7.72	4	18	18	73.5	193.62.193.165:12,52.217.70.52:1,16.15.245.190:1
7.92	4	18	18	71.2	193.62.193.165:12,52.217.70.52:1,16.15.245.190:1
8.13	4	18	18	71.2	193.62.193.165:12,52.217.70.52:1,16.15.245.190:1
8.34	4	18	18	74.1	193.62.193.165:12,52.217.70.52:1,16.15.245.190:1
8.54	4	18	18	74.1	193.62.193.165:12,52.217.70.52:1,16.15.245.190:1
8.75	4	18	18	74.1	193.62.193.165:12,52.217.70.52:1,16.15.245.190:1
