t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	5	0	0	25.0	-
0.21	5	0	0	88.4	-
0.41	5	0	0	134.5	-
0.61	5	0	0	134.8	-
0.82	5	1	1	134.8	193.62.193.80:1
1.03	5	1	1	136.4	193.62.193.80:1
1.24	6	1	1	142.0	193.62.193.165:1
1.45	6	1	1	142.0	193.62.193.165:1
1.66	6	1	1	142.0	193.62.193.165:1
1.87	6	1	1	142.0	193.62.193.165:1
2.08	6	1	1	142.0	193.62.193.165:1
2.28	6	2	1	142.0	193.62.193.165:1
2.49	6	1	1	142.0	193.62.193.165:1
2.70	5	0	0	137.0	-
2.91	5	0	0	54.4	-
3.11	5	0	0	120.9	-
3.32	5	1	1	135.8	193.62.193.80:1
3.52	5	1	1	135.8	193.62.193.80:1
3.73	6	0	0	141.3	-
3.94	6	1	1	141.3	193.62.193.165:1
4.15	6	1	1	141.3	193.62.193.165:1
4.36	6	1	1	141.3	193.62.193.165:1
4.57	6	1	1	141.3	193.62.193.165:1
4.78	6	2	1	141.3	193.62.193.165:1
4.99	6	2	1	141.3	193.62.193.165:1
5.19	6	2	1	141.3	193.62.193.165:1
5.40	6	2	1	141.3	193.62.193.165:1
5.61	6	2	1	141.3	193.62.193.165:1
5.82	6	2	1	141.3	193.62.193.165:1
6.03	6	2	1	141.3	193.62.193.165:1
6.24	6	2	1	141.3	193.62.193.165:1
6.45	6	2	1	141.3	193.62.193.165:1
6.65	6	2	1	141.3	193.62.193.165:1
6.86	6	2	1	141.3	193.62.193.165:1
7.07	6	2	1	141.3	193.62.193.165:1
7.28	6	2	1	141.3	193.62.193.165:1
7.49	6	2	1	141.3	193.62.193.165:1
7.70	6	2	1	141.3	193.62.193.165:1
7.91	6	2	1	141.3	193.62.193.165:1
8.12	6	2	1	141.3	193.62.193.165:1
8.33	6	2	1	141.3	193.62.193.165:1
8.53	6	2	1	141.3	193.62.193.165:1
8.74	6	2	1	141.3	193.62.193.165:1
8.95	6	2	1	141.3	193.62.193.165:1
9.16	6	2	1	141.3	193.62.193.165:1
9.37	6	2	1	141.3	193.62.193.165:1
9.57	6	2	1	141.3	193.62.193.165:1
9.78	6	2	1	141.3	193.62.193.165:1
9.99	6	2	1	141.3	193.62.193.165:1
10.20	6	2	1	141.3	193.62.193.165:1
10.41	6	2	1	141.3	193.62.193.165:1
10.62	6	2	1	141.3	193.62.193.165:1
10.83	6	2	1	141.3	193.62.193.165:1
11.04	6	2	1	141.3	193.62.193.165:1
11.24	6	2	1	141.3	193.62.193.165:1
11.45	5	0	0	157.0	-
11.66	5	0	0	157.0	-
11.86	5	0	0	22.6	-
12.06	5	0	0	86.9	-
12.27	5	0	0	134.5	-
12.48	5	1	1	134.5	193.62.193.80:1
12.69	5	1	1	136.0	193.62.193.80:1
12.89	6	1	1	141.4	193.62.193.165:1
13.10	6	1	1	141.4	193.62.193.165:1
13.31	6	1	1	141.4	193.62.193.165:1
13.52	6	1	1	141.4	193.62.193.165:1
13.73	6	1	1	141.4	193.62.193.165:1
13.94	6	2	1	141.4	193.62.193.165:1
14.15	6	1	1	141.4	193.62.193.165:1
14.35	5	0	0	26.5	-
14.56	5	0	0	93.2	-
14.76	5	0	0	135.0	-
14.97	5	1	1	135.0	193.62.193.80:1
15.18	5	1	1	136.6	193.62.193.80:1
15.39	6	1	1	142.4	193.62.193.165:1
15.59	6	1	1	142.4	193.62.193.165:1
15.80	6	1	1	142.4	193.62.193.165:1
16.01	6	1	1	142.4	193.62.193.165:1
16.22	6	1	1	142.4	193.62.193.165:1
16.43	6	2	1	142.4	193.62.193.165:1
16.64	6	1	1	142.4	193.62.193.165:1
16.85	5	0	0	23.9	-
17.05	5	0	0	90.7	-
17.25	5	0	0	135.0	-
17.46	5	1	1	135.0	193.62.193.80:1
17.67	5	1	1	136.6	193.62.193.80:1
17.88	6	1	1	142.3	193.62.193.165:1
18.09	6	1	1	142.3	193.62.193.165:1
18.30	6	1	1	142.3	193.62.193.165:1
18.51	6	1	1	142.3	193.62.193.165:1
18.72	6	1	1	142.3	193.62.193.165:1
18.93	6	2	1	142.3	193.62.193.165:1
19.13	6	1	1	142.3	193.62.193.165:1
19.34	5	0	0	29.2	-
19.55	5	0	0	98.0	-
19.75	5	0	0	134.4	-
19.96	5	1	1	134.4	193.62.193.80:1
20.17	5	1	1	136.0	193.62.193.80:1
20.38	6	1	1	141.5	193.62.193.165:1
20.58	6	1	1	141.5	193.62.193.165:1
20.80	6	1	1	141.5	193.62.193.165:1
21.00	6	1	1	141.5	193.62.193.165:1
21.21	6	1	1	141.5	193.62.193.165:1
21.42	6	2	1	141.5	193.62.193.165:1
21.63	6	1	1	141.5	193.62.193.165:1
21.84	4	0	0	8.3	-
22.04	5	0	0	65.6	-
22.25	5	0	0	128.6	-
22.45	5	1	1	134.1	193.62.193.80:1
22.66	5	1	1	135.7	193.62.193.80:1
22.87	6	0	0	141.3	-
23.08	6	1	1	141.3	193.62.193.165:1
23.29	6	1	1	141.3	193.62.193.165:1
23.50	6	1	1	141.3	193.62.193.165:1
23.70	6	1	1	141.3	193.62.193.165:1
23.91	6	2	1	141.3	193.62.193.165:1
24.12	6	1	1	141.3	193.62.193.165:1
24.33	5	0	0	17.9	-
24.53	5	0	0	77.9	-
24.74	5	0	0	129.2	-
24.94	5	1	1	134.2	193.62.193.80:1
25.15	5	1	1	135.7	193.62.193.80:1
25.36	6	0	0	141.3	-
25.57	6	1	1	141.3	193.62.193.165:1
25.77	6	1	1	141.3	193.62.193.165:1
25.98	6	1	1	141.3	193.62.193.165:1
26.19	6	1	1	141.3	193.62.193.165:1
26.40	6	2	1	141.3	193.62.193.165:1
26.61	6	2	1	141.3	193.62.193.165:1
26.82	6	2	1	141.3	193.62.193.165:1
27.03	6	2	1	141.3	193.62.193.165:1
27.24	6	2	1	141.3	193.62.193.165:1
27.44	6	1	1	141.3	193.62.193.165:1
27.65	5	0	0	29.9	-
27.86	5	0	0	106.8	-
28.06	5	0	0	134.3	-
28.27	5	1	1	135.9	193.62.193.80:1
28.48	5	1	1	135.9	193.62.193.80:1
28.68	6	1	1	141.6	193.62.193.165:1
28.89	6	1	1	141.6	193.62.193.165:1
29.10	6	1	1	141.6	193.62.193.165:1
29.31	6	1	1	141.6	193.62.193.165:1
29.52	6	1	1	141.6	193.62.193.165:1
29.73	6	2	1	141.6	193.62.193.165:1
29.94	6	1	1	141.6	193.62.193.165:1
30.14	5	0	0	34.9	-
30.35	5	0	0	106.4	-
30.55	5	0	0	134.2	-
30.76	5	1	1	134.2	193.62.193.80:1
30.97	5	0	0	136.1	-
31.17	6	1	1	141.3	193.62.193.165:1
31.38	6	1	1	141.3	193.62.193.165:1
31.59	6	1	1	141.3	193.62.193.165:1
31.80	6	1	1	141.3	193.62.193.165:1
32.01	6	1	1	141.3	193.62.193.165:1
32.22	6	2	1	141.3	193.62.193.165:1
32.42	6	1	1	141.3	193.62.193.165:1
32.63	5	0	0	32.6	-
32.84	5	0	0	106.6	-
33.04	5	0	0	134.5	-
33.25	5	1	1	134.5	193.62.193.80:1
33.46	5	0	0	136.4	-
33.67	6	1	1	141.6	193.62.193.165:1
33.87	6	1	1	141.6	193.62.193.165:1
34.08	6	1	1	141.6	193.62.193.165:1
34.29	6	1	1	141.6	193.62.193.165:1
34.50	6	1	1	141.6	193.62.193.165:1
34.70	6	2	1	141.6	193.62.193.165:1
34.91	6	1	1	141.6	193.62.193.165:1
35.12	5	0	0	18.6	-
35.33	5	0	0	83.2	-
35.53	5	0	0	133.8	-
35.73	5	1	1	134.2	193.62.193.80:1
35.94	5	1	1	135.7	193.62.193.80:1
36.16	6	1	1	141.3	193.62.193.165:1
36.37	6	1	1	141.3	193.62.193.165:1
36.57	6	1	1	141.3	193.62.193.165:1
36.78	6	1	1	141.3	193.62.193.165:1
36.99	6	1	1	141.3	193.62.193.165:1
37.20	6	2	1	141.3	193.62.193.165:1
37.41	6	1	1	141.3	193.62.193.165:1
37.62	5	0	0	29.6	-
37.82	5	0	0	106.3	-
38.03	5	0	0	134.2	-
38.24	5	1	1	135.7	193.62.193.80:1
38.45	5	0	0	136.2	-
38.65	6	2	2	143.6	16.15.245.225:1,34.107.134.59:1
38.86	6	2	2	143.6	16.15.245.225:1,34.107.134.59:1
39.07	6	3	3	145.0	130.14.29.113:1,16.15.245.225:1,34.107.134.59:1
39.28	6	10	10	145.4	52.217.200.145:3,16.15.253.21:2,16.15.245.225:2
39.49	6	10	10	154.4	52.217.200.145:3,16.15.253.21:2,16.15.245.225:2
39.69	6	10	10	151.3	52.217.200.145:3,16.15.253.21:2,16.15.245.225:2
39.90	6	10	10	155.0	52.217.200.145:3,16.15.253.21:2,16.15.245.225:2
40.11	6	10	10	155.0	52.217.200.145:3,16.15.253.21:2,16.15.245.225:2
40.32	6	10	10	155.3	52.217.200.145:3,16.15.253.21:2,16.15.245.225:2
40.53	6	10	10	155.3	52.217.200.145:3,16.15.253.21:2,16.15.245.225:2
40.74	6	10	10	155.3	52.217.200.145:3,16.15.253.21:2,16.15.245.225:2
40.94	6	10	10	245.6	52.217.200.145:3,16.15.253.21:2,16.15.245.225:2
41.15	6	9	9	280.5	52.217.200.145:3,16.15.253.21:2,16.15.245.225:2
41.36	6	9	9	258.3	52.217.200.145:3,16.15.253.21:2,16.15.245.225:2
41.57	6	9	9	309.1	52.217.200.145:3,16.15.253.21:2,16.15.245.225:2
41.78	6	9	9	319.7	52.217.200.145:3,16.15.253.21:2,16.15.245.225:2
41.99	6	9	9	346.6	52.217.200.145:3,16.15.253.21:2,16.15.245.225:2
42.20	6	9	9	404.3	52.217.200.145:3,16.15.253.21:2,16.15.245.225:2
42.41	6	9	9	435.5	52.217.200.145:3,16.15.253.21:2,16.15.245.225:2
42.62	6	9	9	427.4	52.217.200.145:3,16.15.253.21:2,16.15.245.225:2
42.82	6	9	9	444.4	52.217.200.145:3,16.15.253.21:2,16.15.245.225:2
43.03	5	0	0	8.3	-
43.24	5	0	0	64.1	-
43.44	5	0	0	126.7	-
43.65	5	1	1	134.2	193.62.193.80:1
43.85	5	1	1	135.7	193.62.193.80:1
44.06	6	2	2	143.5	52.217.234.89:1,34.107.134.59:1
44.27	6	2	2	143.5	52.217.234.89:1,34.107.134.59:1
44.48	6	2	2	143.5	52.217.234.89:1,34.107.134.59:1
44.69	6	3	3	143.5	52.217.234.89:1,130.14.29.113:1,34.107.134.59:1
44.89	6	3	3	143.5	52.217.234.89:1,130.14.29.113:1,34.107.134.59:1
45.10	6	3	3	144.7	130.14.29.113:1,34.107.134.59:1,52.217.234.89:1
45.31	6	26	26	148.4	16.15.228.69:6,52.217.234.89:5,16.15.244.207:5
45.52	6	26	26	174.8	16.15.228.69:6,52.217.234.89:5,16.15.244.207:5
45.73	6	26	26	171.3	16.15.228.69:6,52.217.234.89:5,16.15.244.207:5
45.94	6	26	26	171.9	16.15.228.69:6,52.217.234.89:5,16.15.244.207:5
46.15	6	26	26	164.8	16.15.228.69:6,52.217.234.89:5,16.15.244.207:5
46.36	6	26	26	163.9	16.15.228.69:6,52.217.234.89:5,16.15.244.207:5
46.57	6	26	26	163.9	16.15.228.69:6,52.217.234.89:5,16.15.244.207:5
46.78	6	25	25	163.9	16.15.228.69:6,52.217.234.89:5,16.15.244.207:5
46.98	6	25	25	163.9	16.15.228.69:6,52.217.234.89:5,16.15.244.207:5
47.19	6	25	25	163.9	16.15.228.69:6,52.217.234.89:5,16.15.244.207:5
47.40	6	25	25	162.8	16.15.228.69:6,52.217.234.89:5,16.15.244.207:5
47.60	6	25	25	162.8	16.15.228.69:6,52.217.234.89:5,16.15.244.207:5
47.81	6	25	25	161.9	16.15.228.69:6,52.217.234.89:5,16.15.244.207:5
48.02	6	25	25	161.0	16.15.228.69:6,52.217.234.89:5,16.15.244.207:5
48.23	6	25	25	273.3	16.15.228.69:6,52.217.234.89:5,16.15.244.207:5
48.43	6	25	25	385.8	16.15.228.69:6,52.217.234.89:5,16.15.244.207:5
48.64	6	25	25	493.9	16.15.228.69:6,52.217.234.89:5,16.15.244.207:5
48.85	6	25	25	602.0	16.15.228.69:6,52.217.234.89:5,16.15.244.207:5
49.06	6	25	25	400.0	16.15.228.69:6,52.217.234.89:5,16.15.244.207:5
49.26	6	25	25	266.5	16.15.228.69:6,52.217.234.89:5,16.15.244.207:5
49.47	6	25	25	317.6	16.15.228.69:6,52.217.234.89:5,16.15.244.207:5
49.68	6	25	25	363.7	16.15.228.69:6,52.217.234.89:5,16.15.244.207:5
49.89	6	25	25	369.0	16.15.228.69:6,52.217.234.89:5,16.15.244.207:5
50.10	6	25	25	415.3	16.15.228.69:6,52.217.234.89:5,16.15.244.207:5
50.31	6	25	25	450.5	16.15.228.69:6,52.217.234.89:5,16.15.244.207:5
