t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	5	0	0	9.2	-
0.20	7	0	0	23.4	-
0.41	7	1	1	24.0	193.62.193.80:1
0.62	7	1	1	24.5	193.62.193.80:1
0.83	6	0	0	13.9	-
1.03	10	1	1	26.9	193.62.193.165:1
1.24	10	1	1	26.9	193.62.193.165:1
1.44	10	1	1	26.9	193.62.193.165:1
1.65	10	1	1	26.9	193.62.193.165:1
1.86	10	1	1	26.9	193.62.193.165:1
2.07	10	2	1	26.9	193.62.193.165:1
2.27	10	2	1	26.9	193.62.193.165:1
2.48	7	0	0	18.4	-
2.69	7	1	1	18.7	193.62.193.165:1
2.89	7	1	1	18.7	193.62.193.165:1
3.10	7	1	1	18.7	193.62.193.165:1
3.31	7	1	1	18.7	193.62.193.165:1
3.51	7	1	1	18.7	193.62.193.165:1
3.72	7	2	1	18.7	193.62.193.165:1
3.93	7	0	0	23.3	-
4.13	7	1	1	24.0	193.62.193.80:1
4.34	7	1	1	24.5	193.62.193.80:1
4.55	10	1	1	26.8	193.62.193.165:1
4.76	10	1	1	26.8	193.62.193.165:1
4.96	10	1	1	26.8	193.62.193.165:1
5.17	10	1	1	26.8	193.62.193.165:1
5.38	10	1	1	26.8	193.62.193.165:1
5.58	10	2	1	26.8	193.62.193.165:1
5.79	10	1	1	26.8	193.62.193.165:1
6.00	10	1	1	26.8	193.62.193.165:1
6.20	7	1	1	18.7	193.62.193.165:1
6.41	7	1	1	18.7	193.62.193.165:1
6.62	7	1	1	18.7	193.62.193.165:1
6.83	7	1	1	18.7	193.62.193.165:1
7.03	7	1	1	18.7	193.62.193.165:1
7.24	7	9	8	18.8	193.62.193.165:8
7.45	7	9	8	18.8	193.62.193.165:8
7.65	7	9	8	18.8	193.62.193.165:8
7.86	7	16	8	18.8	193.62.193.165:8
8.07	7	16	8	19.0	193.62.193.165:8
8.28	7	16	8	19.0	193.62.193.165:8
8.48	7	16	8	19.0	193.62.193.165:8
8.69	7	16	8	19.0	193.62.193.165:8
8.90	7	16	8	19.0	193.62.193.165:8
9.10	7	16	8	19.0	193.62.193.165:8
9.31	7	16	8	19.0	193.62.193.165:8
9.52	7	16	8	19.0	193.62.193.165:8
9.73	7	16	8	19.0	193.62.193.165:8
9.94	7	10	5	19.0	193.62.193.165:5
10.15	7	13	8	19.0	193.62.193.165:8
10.35	7	11	7	19.0	193.62.193.165:7
10.56	7	12	8	19.0	193.62.193.165:8
10.77	7	14	8	19.0	193.62.193.165:8
10.97	7	14	8	19.0	193.62.193.165:8
11.18	7	12	7	19.0	193.62.193.165:7
11.39	7	13	8	19.0	193.62.193.165:8
11.60	7	13	8	19.0	193.62.193.165:8
11.81	7	12	8	19.0	193.62.193.165:8
12.01	7	12	8	19.0	193.62.193.165:8
12.22	7	12	8	19.0	193.62.193.165:8
12.43	7	13	8	19.0	193.62.193.165:8
12.64	7	14	8	19.0	193.62.193.165:8
12.84	7	12	7	19.0	193.62.193.165:7
13.05	7	12	7	19.0	193.62.193.165:7
13.26	7	9	6	19.0	193.62.193.165:6
13.46	7	9	7	19.0	193.62.193.165:7
13.67	7	9	7	19.0	193.62.193.165:7
13.88	7	10	7	19.0	193.62.193.165:7
14.09	7	13	8	19.0	193.62.193.165:8
14.29	7	12	7	19.0	193.62.193.165:7
14.50	7	10	6	19.0	193.62.193.165:6
14.71	7	9	7	19.0	193.62.193.165:7
14.92	7	8	7	19.0	193.62.193.165:7
15.13	7	7	6	19.0	193.62.193.165:6
