t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	5	0	0	9.2	-
0.21	7	0	0	23.7	-
0.42	7	0	0	23.7	-
0.62	7	1	1	24.4	193.62.193.80:1
0.83	7	1	1	24.8	193.62.193.80:1
1.03	7	0	0	14.1	-
1.24	10	1	1	27.3	193.62.193.165:1
1.45	10	1	1	27.3	193.62.193.165:1
1.66	10	1	1	27.3	193.62.193.165:1
1.87	10	1	1	27.3	193.62.193.165:1
2.07	10	1	1	27.3	193.62.193.165:1
2.28	10	2	1	27.3	193.62.193.165:1
2.49	10	2	1	27.3	193.62.193.165:1
2.69	7	0	0	14.2	-
2.90	7	1	1	19.4	193.62.193.165:1
3.10	7	1	1	19.4	193.62.193.165:1
3.31	7	1	1	19.4	193.62.193.165:1
3.52	7	1	1	19.4	193.62.193.165:1
3.72	7	1	1	19.4	193.62.193.165:1
3.93	7	2	1	19.4	193.62.193.165:1
4.14	7	1	1	19.4	193.62.193.165:1
4.34	7	1	1	24.3	193.62.193.80:1
4.55	7	1	1	24.8	193.62.193.80:1
4.76	6	0	0	14.2	-
4.96	10	1	1	27.2	193.62.193.165:1
5.17	10	1	1	27.2	193.62.193.165:1
5.38	10	1	1	27.2	193.62.193.165:1
5.58	10	1	1	27.2	193.62.193.165:1
5.79	10	1	1	27.2	193.62.193.165:1
6.00	10	2	1	27.2	193.62.193.165:1
6.21	10	2	1	27.2	193.62.193.165:1
6.41	7	0	0	19.5	-
6.62	7	1	1	19.5	193.62.193.165:1
6.83	7	1	1	19.5	193.62.193.165:1
7.03	7	1	1	19.5	193.62.193.165:1
7.24	7	1	1	19.5	193.62.193.165:1
7.45	7	1	1	19.5	193.62.193.165:1
7.65	7	2	1	19.5	193.62.193.165:1
7.86	7	2	1	19.5	193.62.193.165:1
8.07	7	2	1	19.5	193.62.193.165:1
8.28	7	2	1	19.5	193.62.193.165:1
8.49	7	2	1	19.5	193.62.193.165:1
8.69	7	2	1	19.5	193.62.193.165:1
8.90	7	2	1	19.5	193.62.193.165:1
9.11	7	2	1	19.5	193.62.193.165:1
9.31	7	2	1	19.5	193.62.193.165:1
9.52	7	2	1	19.5	193.62.193.165:1
9.73	7	2	1	19.5	193.62.193.165:1
9.93	7	2	1	19.5	193.62.193.165:1
10.14	7	2	1	19.5	193.62.193.165:1
10.35	7	2	1	19.5	193.62.193.165:1
10.56	7	2	1	19.5	193.62.193.165:1
10.76	7	2	1	19.5	193.62.193.165:1
10.97	7	2	1	19.5	193.62.193.165:1
11.18	7	2	1	19.5	193.62.193.165:1
11.38	7	2	1	19.5	193.62.193.165:1
11.59	7	2	1	19.5	193.62.193.165:1
11.80	7	2	1	19.5	193.62.193.165:1
12.01	7	2	1	19.5	193.62.193.165:1
12.21	7	2	1	19.5	193.62.193.165:1
12.42	7	2	1	19.5	193.62.193.165:1
12.63	7	2	1	19.5	193.62.193.165:1
12.83	7	2	1	19.5	193.62.193.165:1
13.04	7	2	1	19.5	193.62.193.165:1
13.25	7	2	1	19.5	193.62.193.165:1
13.45	7	2	1	19.5	193.62.193.165:1
13.66	7	2	1	19.5	193.62.193.165:1
13.87	7	2	1	19.5	193.62.193.165:1
14.08	7	2	1	19.5	193.62.193.165:1
14.29	7	2	1	19.5	193.62.193.165:1
14.49	7	2	1	19.5	193.62.193.165:1
14.70	7	2	1	19.5	193.62.193.165:1
14.90	7	2	1	19.5	193.62.193.165:1
15.11	7	2	1	19.5	193.62.193.165:1
15.32	7	2	1	19.5	193.62.193.165:1
15.52	7	2	1	19.5	193.62.193.165:1
15.73	7	2	1	19.5	193.62.193.165:1
15.94	7	2	1	19.5	193.62.193.165:1
16.15	7	2	1	19.5	193.62.193.165:1
16.35	7	2	1	19.5	193.62.193.165:1
16.56	7	2	1	19.5	193.62.193.165:1
16.77	7	2	1	19.5	193.62.193.165:1
16.97	7	2	1	19.5	193.62.193.165:1
17.18	7	2	1	19.5	193.62.193.165:1
17.39	7	2	1	19.5	193.62.193.165:1
17.59	7	2	1	19.5	193.62.193.165:1
17.80	9	0	0	21.7	-
18.00	9	0	0	21.7	-
18.21	9	0	0	21.9	-
