t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	4	0	0	20.8	-
0.21	4	0	0	98.7	-
0.41	5	0	0	133.1	-
0.62	5	0	0	133.3	-
0.82	5	1	1	137.2	193.62.193.80:1
1.03	6	0	0	140.6	-
1.24	6	1	1	140.6	193.62.193.165:1
1.44	6	1	1	140.6	193.62.193.165:1
1.65	6	1	1	140.6	193.62.193.165:1
1.86	6	1	1	140.6	193.62.193.165:1
2.06	6	1	1	140.6	193.62.193.165:1
2.27	6	1	1	140.6	193.62.193.165:1
2.48	6	1	1	140.6	193.62.193.165:1
2.69	6	2	1	140.6	193.62.193.165:1
2.89	6	1	1	140.6	193.62.193.165:1
3.10	5	0	0	134.8	-
3.31	5	1	1	138.6	193.62.193.80:1
3.52	6	0	0	140.8	-
3.72	6	1	1	140.8	193.62.193.165:1
3.93	6	1	1	140.8	193.62.193.165:1
4.14	6	1	1	140.8	193.62.193.165:1
4.34	6	1	1	140.8	193.62.193.165:1
4.55	6	1	1	140.8	193.62.193.165:1
4.76	6	1	1	140.8	193.62.193.165:1
4.96	6	5	5	140.8	193.62.193.165:5
5.17	6	6	5	140.8	193.62.193.165:5
5.38	6	6	5	140.8	193.62.193.165:5
5.58	6	6	5	140.8	193.62.193.165:5
5.79	6	6	5	140.8	193.62.193.165:5
6.00	6	6	5	141.7	193.62.193.165:5
6.21	6	6	5	142.0	193.62.193.165:5
6.41	6	10	5	142.0	193.62.193.165:5
6.62	6	10	5	141.8	193.62.193.165:5
6.83	6	10	5	142.1	193.62.193.165:5
7.03	6	8	4	142.3	193.62.193.165:4
7.24	6	9	5	143.0	193.62.193.165:5
7.45	6	9	5	142.8	193.62.193.165:5
7.66	6	9	5	143.1	193.62.193.165:5
7.86	6	9	5	144.1	193.62.193.165:5
8.07	6	9	5	143.8	193.62.193.165:5
8.28	6	7	4	143.4	193.62.193.165:4
8.48	6	7	4	143.4	193.62.193.165:4
8.69	6	6	4	143.7	193.62.193.165:4
8.90	6	4	3	143.4	193.62.193.165:3
9.10	6	4	3	143.4	193.62.193.165:3
9.31	6	4	3	143.4	193.62.193.165:3
9.52	6	4	3	143.4	193.62.193.165:3
9.72	6	5	3	143.4	193.62.193.165:3
9.93	6	5	3	143.4	193.62.193.165:3
10.14	6	5	3	143.4	193.62.193.165:3
10.35	6	3	2	143.4	193.62.193.165:2
10.55	6	3	2	143.4	193.62.193.165:2
10.76	6	3	2	143.4	193.62.193.165:2
10.97	6	3	2	143.4	193.62.193.165:2
11.17	6	3	2	143.4	193.62.193.165:2
11.38	6	1	1	143.4	193.62.193.165:1
11.59	4	0	0	124.0	-
11.79	4	0	0	124.0	-
12.00	5	0	0	125.4	-
12.20	5	0	0	125.4	-
12.40	5	0	0	125.4	-
12.61	5	0	0	125.4	-
12.81	5	0	0	125.4	-
13.01	5	0	0	125.4	-
13.22	5	0	0	125.4	-
13.42	5	0	0	125.4	-
13.63	5	0	0	125.4	-
13.83	5	0	0	125.4	-
14.03	5	0	0	125.4	-
14.24	5	0	0	125.4	-
14.44	5	0	0	125.4	-
14.64	5	0	0	125.4	-
14.85	5	0	0	125.4	-
15.05	5	0	0	134.7	-
15.26	5	1	1	138.4	193.62.193.80:1
15.47	6	0	0	140.7	-
15.67	6	1	1	140.7	193.62.193.165:1
15.88	6	1	1	140.7	193.62.193.165:1
16.09	6	1	1	140.7	193.62.193.165:1
16.29	6	1	1	140.7	193.62.193.165:1
16.50	6	1	1	140.7	193.62.193.165:1
16.71	6	1	1	140.7	193.62.193.165:1
16.91	6	1	1	140.7	193.62.193.165:1
17.12	6	2	1	140.7	193.62.193.165:1
17.33	6	1	1	140.7	193.62.193.165:1
17.54	5	0	0	134.7	-
17.74	5	1	1	138.5	193.62.193.80:1
17.95	6	0	0	140.8	-
18.16	6	1	1	140.8	193.62.193.165:1
18.36	6	1	1	140.8	193.62.193.165:1
18.57	6	1	1	140.8	193.62.193.165:1
18.78	6	1	1	140.8	193.62.193.165:1
18.98	6	1	1	140.8	193.62.193.165:1
19.19	6	1	1	140.8	193.62.193.165:1
19.40	6	1	1	140.8	193.62.193.165:1
19.61	6	2	1	140.8	193.62.193.165:1
19.82	6	1	1	140.8	193.62.193.165:1
20.02	5	0	0	134.8	-
20.23	5	1	1	138.9	193.62.193.80:1
20.44	6	0	0	140.8	-
20.65	6	1	1	140.8	193.62.193.165:1
20.85	6	1	1	140.8	193.62.193.165:1
21.06	6	1	1	140.8	193.62.193.165:1
21.27	6	1	1	140.8	193.62.193.165:1
21.48	6	1	1	140.8	193.62.193.165:1
21.68	6	1	1	140.8	193.62.193.165:1
21.89	6	1	1	140.8	193.62.193.165:1
22.10	6	2	1	140.8	193.62.193.165:1
22.31	6	1	1	140.8	193.62.193.165:1
22.52	5	0	0	134.8	-
22.73	5	1	1	138.4	193.62.193.80:1
22.93	6	0	0	140.7	-
23.14	6	1	1	140.7	193.62.193.165:1
23.35	6	1	1	140.7	193.62.193.165:1
23.55	6	1	1	140.7	193.62.193.165:1
23.76	6	1	1	140.7	193.62.193.165:1
23.97	6	1	1	140.7	193.62.193.165:1
24.18	6	1	1	140.7	193.62.193.165:1
24.38	6	1	1	140.7	193.62.193.165:1
24.59	6	2	1	140.7	193.62.193.165:1
24.80	6	1	1	140.7	193.62.193.165:1
25.00	5	0	0	134.8	-
25.21	5	1	1	138.9	193.62.193.80:1
25.42	6	0	0	140.9	-
25.63	6	1	1	140.9	193.62.193.165:1
25.84	6	1	1	140.9	193.62.193.165:1
26.05	6	1	1	140.9	193.62.193.165:1
26.25	6	1	1	140.9	193.62.193.165:1
26.46	6	1	1	140.9	193.62.193.165:1
26.66	6	1	1	140.9	193.62.193.165:1
26.87	6	1	1	140.9	193.62.193.165:1
27.08	6	2	1	140.9	193.62.193.165:1
27.29	6	1	1	140.9	193.62.193.165:1
27.50	5	0	0	137.9	-
27.71	5	1	1	139.0	193.62.193.80:1
27.91	6	0	0	140.7	-
28.12	6	1	1	140.7	193.62.193.165:1
28.33	6	1	1	140.7	193.62.193.165:1
28.54	6	1	1	140.7	193.62.193.165:1
28.75	6	1	1	140.7	193.62.193.165:1
28.95	6	1	1	140.7	193.62.193.165:1
29.16	6	1	1	140.7	193.62.193.165:1
29.37	6	1	1	140.7	193.62.193.165:1
29.58	6	2	1	140.7	193.62.193.165:1
29.79	6	2	1	140.7	193.62.193.165:1
30.00	6	2	1	140.7	193.62.193.165:1
30.21	6	2	1	141.3	193.62.193.165:1
30.42	6	2	1	141.8	193.62.193.165:1
30.63	5	0	0	125.5	-
30.83	5	0	0	134.8	-
31.04	5	1	1	138.9	193.62.193.80:1
31.24	6	0	0	140.8	-
31.45	6	1	1	140.8	193.62.193.165:1
31.66	6	1	1	140.8	193.62.193.165:1
31.87	6	1	1	140.8	193.62.193.165:1
32.07	6	1	1	140.8	193.62.193.165:1
32.28	6	1	1	140.8	193.62.193.165:1
32.49	6	1	1	140.8	193.62.193.165:1
32.70	6	1	1	140.8	193.62.193.165:1
32.91	6	2	1	140.8	193.62.193.165:1
33.11	6	1	1	140.8	193.62.193.165:1
33.32	5	0	0	134.7	-
33.53	5	1	1	138.3	193.62.193.80:1
33.74	6	0	0	140.9	-
33.94	6	1	1	140.9	193.62.193.165:1
34.15	6	1	1	140.9	193.62.193.165:1
34.36	6	1	1	140.9	193.62.193.165:1
34.57	6	1	1	140.9	193.62.193.165:1
34.77	6	1	1	140.9	193.62.193.165:1
34.98	6	1	1	140.9	193.62.193.165:1
35.19	6	1	1	140.9	193.62.193.165:1
35.40	6	2	1	140.9	193.62.193.165:1
35.60	6	1	1	140.9	193.62.193.165:1
35.81	5	0	0	134.7	-
36.02	5	1	1	138.5	193.62.193.80:1
36.23	6	0	0	140.8	-
36.43	6	1	1	140.8	193.62.193.165:1
36.64	6	1	1	140.8	193.62.193.165:1
36.85	6	1	1	140.8	193.62.193.165:1
37.06	6	1	1	140.8	193.62.193.165:1
37.26	6	1	1	140.8	193.62.193.165:1
37.47	6	1	1	140.8	193.62.193.165:1
37.68	6	1	1	140.8	193.62.193.165:1
37.88	6	2	1	140.8	193.62.193.165:1
38.09	6	1	1	140.8	193.62.193.165:1
38.30	5	0	0	134.7	-
38.50	5	1	1	138.6	193.62.193.80:1
38.71	6	0	0	140.6	-
38.92	6	1	1	140.6	193.62.193.165:1
39.13	6	1	1	140.6	193.62.193.165:1
39.33	6	1	1	140.6	193.62.193.165:1
39.54	6	1	1	140.6	193.62.193.165:1
39.75	6	1	1	140.6	193.62.193.165:1
39.96	6	1	1	140.6	193.62.193.165:1
40.16	6	1	1	140.6	193.62.193.165:1
40.37	6	2	1	140.6	193.62.193.165:1
40.58	6	1	1	140.6	193.62.193.165:1
40.79	5	0	0	137.7	-
41.00	5	1	1	139.0	193.62.193.80:1
