t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	4	0	0	20.7	-
0.21	5	0	0	65.8	-
0.41	6	0	0	76.0	-
0.62	8	3	3	97.3	193.62.193.80:3
0.84	8	4	4	99.0	193.62.193.80:4
1.07	5	1	1	67.6	193.62.193.80:1
1.28	4	2	2	58.0	193.62.193.165:2
1.49	4	2	2	58.0	193.62.193.165:2
1.69	4	2	2	58.0	193.62.193.165:2
1.90	4	2	2	58.0	193.62.193.165:2
2.11	4	2	2	58.2	193.62.193.165:2
2.32	4	2	2	58.2	193.62.193.165:2
2.52	4	3	3	58.4	193.62.193.165:3
2.73	4	4	4	59.0	193.62.193.165:4
2.94	4	4	4	59.0	193.62.193.165:4
3.14	4	4	4	59.0	193.62.193.165:4
3.35	4	4	4	59.2	193.62.193.165:4
3.56	4	4	4	59.5	193.62.193.165:4
3.77	4	4	4	60.5	193.62.193.165:4
3.97	4	4	4	60.8	193.62.193.165:4
4.18	4	4	4	60.3	193.62.193.165:4
4.39	4	4	4	60.3	193.62.193.165:4
4.60	4	4	4	60.4	193.62.193.165:4
4.81	4	4	4	60.4	193.62.193.165:4
5.02	4	4	4	60.4	193.62.193.165:4
5.22	4	4	4	60.8	193.62.193.165:4
5.43	4	4	4	61.6	193.62.193.165:4
5.64	4	4	4	61.6	193.62.193.165:4
5.85	4	4	4	61.8	193.62.193.165:4
6.05	4	4	4	62.1	193.62.193.165:4
6.26	4	4	4	61.7	193.62.193.165:4
6.47	4	4	4	61.6	193.62.193.165:4
6.68	4	4	4	61.6	193.62.193.165:4
6.88	4	4	4	61.6	193.62.193.165:4
7.09	4	4	4	61.6	193.62.193.165:4
7.30	4	4	4	61.6	193.62.193.165:4
7.50	4	4	4	61.6	193.62.193.165:4
7.71	4	4	4	61.6	193.62.193.165:4
7.92	4	4	4	61.6	193.62.193.165:4
8.13	4	4	4	61.6	193.62.193.165:4
8.33	4	4	4	61.6	193.62.193.165:4
8.54	4	4	4	61.6	193.62.193.165:4
8.75	4	4	4	61.6	193.62.193.165:4
8.96	4	4	4	61.6	193.62.193.165:4
9.16	4	4	4	61.6	193.62.193.165:4
9.37	4	4	4	61.6	193.62.193.165:4
9.58	4	4	4	61.6	193.62.193.165:4
9.79	4	4	4	61.6	193.62.193.165:4
9.99	4	4	4	61.8	193.62.193.165:4
10.20	4	4	4	61.8	193.62.193.165:4
10.41	4	4	4	61.6	193.62.193.165:4
10.62	4	4	4	61.6	193.62.193.165:4
10.82	4	4	4	61.6	193.62.193.165:4
11.03	4	4	4	61.6	193.62.193.165:4
11.24	4	4	4	61.6	193.62.193.165:4
11.44	4	4	4	61.6	193.62.193.165:4
11.65	4	4	4	61.6	193.62.193.165:4
11.86	4	4	4	61.6	193.62.193.165:4
12.07	4	4	4	61.6	193.62.193.165:4
12.27	4	4	4	61.6	193.62.193.165:4
12.48	4	4	4	61.6	193.62.193.165:4
12.69	4	4	4	61.6	193.62.193.165:4
12.90	4	4	4	61.6	193.62.193.165:4
13.11	4	4	4	61.6	193.62.193.165:4
13.31	4	4	4	61.7	193.62.193.165:4
13.52	4	4	4	61.7	193.62.193.165:4
13.73	4	4	4	61.7	193.62.193.165:4
13.94	4	4	4	61.7	193.62.193.165:4
14.14	4	4	4	61.6	193.62.193.165:4
14.35	4	4	4	61.6	193.62.193.165:4
14.56	4	4	4	61.6	193.62.193.165:4
14.76	4	4	4	61.6	193.62.193.165:4
14.97	4	4	4	61.6	193.62.193.165:4
15.18	4	4	4	61.6	193.62.193.165:4
15.39	4	4	4	61.8	193.62.193.165:4
15.59	4	4	4	61.6	193.62.193.165:4
15.80	4	4	4	61.6	193.62.193.165:4
16.01	4	4	4	61.6	193.62.193.165:4
16.21	4	4	4	61.6	193.62.193.165:4
16.42	4	4	4	61.6	193.62.193.165:4
16.63	4	4	4	61.6	193.62.193.165:4
16.84	4	4	4	61.6	193.62.193.165:4
17.04	4	4	4	61.6	193.62.193.165:4
