t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	4	0	0	20.7	-
0.20	5	0	0	66.4	-
0.41	6	0	0	76.1	-
0.62	8	3	3	97.3	193.62.193.80:3
0.84	8	4	4	99.2	193.62.193.80:4
1.06	5	1	1	67.4	193.62.193.80:1
1.26	4	2	2	58.0	193.62.193.165:2
1.47	4	2	2	58.3	193.62.193.165:2
1.68	4	2	2	58.3	193.62.193.165:2
1.89	4	6	6	59.7	193.62.193.165:6
2.09	4	6	6	60.0	193.62.193.165:6
2.30	4	6	6	60.0	193.62.193.165:6
2.51	4	6	6	61.2	193.62.193.165:6
2.72	4	6	6	61.5	193.62.193.165:6
2.93	4	6	6	62.9	193.62.193.165:6
3.13	4	6	6	63.3	193.62.193.165:6
3.34	4	6	6	63.3	193.62.193.165:6
3.55	4	6	6	63.3	193.62.193.165:6
3.76	4	6	6	63.3	193.62.193.165:6
3.97	4	6	6	63.3	193.62.193.165:6
4.18	4	6	6	63.9	193.62.193.165:6
4.39	4	6	6	63.3	193.62.193.165:6
4.60	4	6	6	63.3	193.62.193.165:6
4.81	4	6	6	63.3	193.62.193.165:6
5.02	4	6	6	63.3	193.62.193.165:6
5.24	4	6	6	63.3	193.62.193.165:6
5.44	4	6	6	63.3	193.62.193.165:6
5.66	4	6	6	63.3	193.62.193.165:6
5.87	4	6	6	63.3	193.62.193.165:6
6.08	4	6	6	63.5	193.62.193.165:6
6.29	4	6	6	63.5	193.62.193.165:6
6.50	4	6	6	63.3	193.62.193.165:6
6.71	4	6	6	63.3	193.62.193.165:6
6.92	4	6	6	63.3	193.62.193.165:6
7.13	4	6	6	63.3	193.62.193.165:6
7.34	4	6	6	63.3	193.62.193.165:6
7.55	4	6	6	63.3	193.62.193.165:6
7.76	4	6	6	63.3	193.62.193.165:6
7.97	4	6	6	63.3	193.62.193.165:6
8.18	4	6	6	63.3	193.62.193.165:6
8.39	4	6	6	63.3	193.62.193.165:6
8.60	4	6	6	63.3	193.62.193.165:6
8.82	4	6	6	63.3	193.62.193.165:6
9.03	4	6	6	63.3	193.62.193.165:6
9.24	4	6	6	63.3	193.62.193.165:6
9.45	4	12	12	64.5	193.62.193.165:12
9.66	4	12	12	64.6	193.62.193.165:12
9.87	4	12	12	65.6	193.62.193.165:12
10.08	4	16	16	66.4	193.62.193.165:16
10.29	4	18	18	67.0	193.62.193.165:18
10.50	4	18	18	68.8	193.62.193.165:18
10.71	4	18	18	71.2	193.62.193.165:18
10.92	4	18	18	71.5	193.62.193.165:18
11.13	4	18	18	77.1	193.62.193.165:18
11.34	4	18	18	75.7	193.62.193.165:18
11.55	4	18	18	75.7	193.62.193.165:18
11.77	4	18	18	76.6	193.62.193.165:18
11.98	4	18	18	76.7	193.62.193.165:18
12.20	4	18	18	76.0	193.62.193.165:18
12.41	4	18	18	75.9	193.62.193.165:18
12.62	4	18	18	78.3	193.62.193.165:18
12.83	4	18	18	76.3	193.62.193.165:18
13.04	4	18	18	81.4	193.62.193.165:18
13.25	4	18	18	82.3	193.62.193.165:18
13.47	4	18	18	82.1	193.62.193.165:18
13.68	4	18	18	82.1	193.62.193.165:18
13.89	4	18	18	83.3	193.62.193.165:18
14.10	4	18	18	81.4	193.62.193.165:18
14.31	4	18	18	81.0	193.62.193.165:18
14.52	4	18	18	82.1	193.62.193.165:18
14.73	4	18	18	82.1	193.62.193.165:18
14.94	4	18	18	81.6	193.62.193.165:18
15.15	4	18	18	79.7	193.62.193.165:18
15.36	4	18	18	80.8	193.62.193.165:18
15.57	4	18	18	75.7	193.62.193.165:18
15.79	4	18	18	80.2	193.62.193.165:18
16.00	4	18	18	75.7	193.62.193.165:18
16.21	4	18	18	75.7	193.62.193.165:18
16.42	4	18	18	75.7	193.62.193.165:18
16.64	4	18	18	76.0	193.62.193.165:18
16.85	4	18	18	75.9	193.62.193.165:18
17.06	4	18	18	75.9	193.62.193.165:18
17.27	4	18	18	75.7	193.62.193.165:18
17.49	4	18	18	75.7	193.62.193.165:18
17.70	4	18	18	75.7	193.62.193.165:18
17.91	4	18	18	75.7	193.62.193.165:18
18.13	4	18	18	78.7	193.62.193.165:18
18.34	4	18	18	76.0	193.62.193.165:18
18.56	4	18	18	75.7	193.62.193.165:18
18.77	4	18	18	75.7	193.62.193.165:18
18.99	4	18	18	75.7	193.62.193.165:18
19.20	4	18	18	75.7	193.62.193.165:18
19.41	4	18	18	75.7	193.62.193.165:18
19.62	4	18	18	75.7	193.62.193.165:18
19.84	4	18	18	75.7	193.62.193.165:18
20.05	4	18	18	75.7	193.62.193.165:18
20.26	4	18	18	75.7	193.62.193.165:18
20.47	4	18	18	75.7	193.62.193.165:18
20.68	4	18	18	75.7	193.62.193.165:18
20.90	4	18	18	75.7	193.62.193.165:18
21.11	4	18	18	75.7	193.62.193.165:18
21.32	4	18	18	75.7	193.62.193.165:18
21.53	4	18	18	75.7	193.62.193.165:18
21.75	4	18	18	75.7	193.62.193.165:18
21.96	4	18	18	75.7	193.62.193.165:18
22.17	4	18	18	75.7	193.62.193.165:18
22.38	4	18	18	75.7	193.62.193.165:18
22.59	4	18	18	75.7	193.62.193.165:18
22.80	4	18	18	79.6	193.62.193.165:18
23.01	4	18	18	75.7	193.62.193.165:18
23.22	4	18	18	75.7	193.62.193.165:18
23.43	4	18	18	75.7	193.62.193.165:18
23.64	4	18	18	75.7	193.62.193.165:18
23.86	4	18	18	75.7	193.62.193.165:18
24.07	4	18	18	75.7	193.62.193.165:18
24.28	4	18	18	75.7	193.62.193.165:18
24.50	4	18	18	75.7	193.62.193.165:18
24.71	4	18	18	75.7	193.62.193.165:18
24.92	4	18	18	75.7	193.62.193.165:18
25.13	4	18	18	75.7	193.62.193.165:18
25.35	4	18	18	75.7	193.62.193.165:18
25.56	4	18	18	75.7	193.62.193.165:18
25.77	4	18	18	75.7	193.62.193.165:18
25.99	4	18	18	75.7	193.62.193.165:18
26.20	4	18	18	75.7	193.62.193.165:18
26.42	4	18	18	75.7	193.62.193.165:18
26.63	4	18	18	75.7	193.62.193.165:18
26.84	4	18	18	75.7	193.62.193.165:18
27.06	4	18	18	75.7	193.62.193.165:18
27.27	4	18	18	75.7	193.62.193.165:18
27.48	4	18	18	75.7	193.62.193.165:18
27.70	4	18	18	75.7	193.62.193.165:18
27.91	4	18	18	75.7	193.62.193.165:18
28.12	4	18	18	75.7	193.62.193.165:18
28.33	4	18	18	83.1	193.62.193.165:18
28.54	4	18	18	78.9	193.62.193.165:18
28.76	4	18	18	75.7	193.62.193.165:18
28.97	4	18	18	75.7	193.62.193.165:18
29.17	4	18	18	75.7	193.62.193.165:18
29.38	4	18	18	75.7	193.62.193.165:18
29.59	4	18	18	75.7	193.62.193.165:18
29.80	4	18	18	75.7	193.62.193.165:18
30.01	4	18	18	75.7	193.62.193.165:18
30.22	4	18	18	75.7	193.62.193.165:18
30.44	4	18	18	75.7	193.62.193.165:18
30.65	4	18	18	75.7	193.62.193.165:18
30.86	4	18	18	75.7	193.62.193.165:18
31.07	4	18	18	75.7	193.62.193.165:18
31.28	4	18	18	75.7	193.62.193.165:18
31.49	4	18	18	75.7	193.62.193.165:18
31.71	4	18	18	75.7	193.62.193.165:18
31.91	4	18	18	75.7	193.62.193.165:18
32.12	4	18	18	75.7	193.62.193.165:18
32.33	4	18	18	75.7	193.62.193.165:18
32.54	4	18	18	75.7	193.62.193.165:18
32.75	4	18	18	75.7	193.62.193.165:18
32.96	4	18	18	75.7	193.62.193.165:18
33.18	4	18	18	75.7	193.62.193.165:18
33.39	4	18	18	75.7	193.62.193.165:18
33.60	4	18	18	75.7	193.62.193.165:18
33.81	4	18	18	75.7	193.62.193.165:18
34.02	4	18	18	75.7	193.62.193.165:18
34.24	4	18	18	75.7	193.62.193.165:18
34.45	4	18	18	75.7	193.62.193.165:18
34.66	4	18	18	75.7	193.62.193.165:18
34.87	4	18	18	75.7	193.62.193.165:18
35.08	4	17	17	75.3	193.62.193.165:17
35.29	4	17	17	75.3	193.62.193.165:17
35.50	4	17	17	75.3	193.62.193.165:17
35.71	4	17	17	75.3	193.62.193.165:17
35.92	4	17	17	75.3	193.62.193.165:17
36.13	4	17	17	75.3	193.62.193.165:17
36.34	4	17	17	75.3	193.62.193.165:17
36.55	4	17	17	75.3	193.62.193.165:17
36.76	4	17	17	75.3	193.62.193.165:17
36.97	4	17	17	75.3	193.62.193.165:17
37.18	4	17	17	75.3	193.62.193.165:17
37.39	4	17	17	75.3	193.62.193.165:17
37.60	4	17	17	75.3	193.62.193.165:17
37.81	4	17	17	75.3	193.62.193.165:17
38.02	4	17	17	75.3	193.62.193.165:17
38.23	4	17	17	75.3	193.62.193.165:17
38.44	4	17	17	75.3	193.62.193.165:17
38.65	4	17	17	75.3	193.62.193.165:17
38.86	4	17	17	75.3	193.62.193.165:17
39.07	4	17	17	75.3	193.62.193.165:17
39.28	4	17	17	75.3	193.62.193.165:17
39.49	4	17	17	75.3	193.62.193.165:17
39.70	4	17	17	75.3	193.62.193.165:17
39.91	4	17	17	75.3	193.62.193.165:17
40.12	4	17	17	75.3	193.62.193.165:17
40.33	4	17	17	75.3	193.62.193.165:17
40.54	4	17	17	75.3	193.62.193.165:17
40.75	4	17	17	75.3	193.62.193.165:17
40.96	4	17	17	75.3	193.62.193.165:17
41.17	4	17	17	75.3	193.62.193.165:17
41.37	4	17	17	75.3	193.62.193.165:17
41.58	4	17	17	75.3	193.62.193.165:17
41.79	4	17	17	75.3	193.62.193.165:17
42.00	4	17	17	75.3	193.62.193.165:17
42.21	4	17	17	75.3	193.62.193.165:17
42.42	4	17	17	75.3	193.62.193.165:17
42.63	4	17	17	75.3	193.62.193.165:17
42.84	4	16	16	75.3	193.62.193.165:16
43.04	4	16	16	75.3	193.62.193.165:16
43.25	4	16	16	75.3	193.62.193.165:16
43.46	4	15	15	75.3	193.62.193.165:15
43.67	4	13	13	75.3	193.62.193.165:13
43.88	4	13	13	75.3	193.62.193.165:13
44.09	4	13	13	75.3	193.62.193.165:13
44.30	4	13	13	75.3	193.62.193.165:13
44.51	4	13	13	75.3	193.62.193.165:13
44.71	4	13	13	75.3	193.62.193.165:13
44.92	4	13	13	75.3	193.62.193.165:13
45.13	4	13	13	75.3	193.62.193.165:13
45.34	4	11	11	75.3	193.62.193.165:11
45.55	4	11	11	75.3	193.62.193.165:11
45.76	4	11	11	75.3	193.62.193.165:11
45.97	4	11	11	75.3	193.62.193.165:11
46.18	4	10	10	75.3	193.62.193.165:10
46.39	4	10	10	75.3	193.62.193.165:10
46.60	4	10	10	75.3	193.62.193.165:10
46.80	4	10	10	75.3	193.62.193.165:10
47.01	4	10	10	75.3	193.62.193.165:10
47.22	4	10	10	75.3	193.62.193.165:10
47.43	4	10	10	75.3	193.62.193.165:10
47.64	4	10	10	75.3	193.62.193.165:10
47.85	4	10	10	75.3	193.62.193.165:10
48.06	4	10	10	75.3	193.62.193.165:10
48.27	4	10	10	75.3	193.62.193.165:10
48.47	4	10	10	75.3	193.62.193.165:10
48.68	4	10	10	75.3	193.62.193.165:10
48.89	4	10	10	75.3	193.62.193.165:10
49.10	4	10	10	75.3	193.62.193.165:10
49.32	4	10	10	75.3	193.62.193.165:10
49.52	4	10	10	75.3	193.62.193.165:10
49.73	4	10	10	75.3	193.62.193.165:10
49.94	4	9	9	75.3	193.62.193.165:9
50.15	4	9	9	75.3	193.62.193.165:9
50.36	4	8	8	74.3	193.62.193.165:8
50.57	4	8	8	74.3	193.62.193.165:8
50.78	4	7	7	74.3	193.62.193.165:7
50.99	4	7	7	74.3	193.62.193.165:7
51.20	4	7	7	74.3	193.62.193.165:7
51.40	4	7	7	74.3	193.62.193.165:7
51.61	4	6	6	74.3	193.62.193.165:6
51.82	4	6	6	74.3	193.62.193.165:6
52.03	4	5	5	74.3	193.62.193.165:5
52.24	4	5	5	74.3	193.62.193.165:5
52.45	4	5	5	74.3	193.62.193.165:5
52.66	4	5	5	74.3	193.62.193.165:5
52.87	4	5	5	74.3	193.62.193.165:5
53.07	4	5	5	74.3	193.62.193.165:5
53.28	4	5	5	74.3	193.62.193.165:5
53.49	4	5	5	74.3	193.62.193.165:5
53.70	4	5	5	74.3	193.62.193.165:5
53.91	4	5	5	74.3	193.62.193.165:5
54.12	4	5	5	74.3	193.62.193.165:5
54.33	4	5	5	74.3	193.62.193.165:5
54.54	4	5	5	74.3	193.62.193.165:5
54.74	4	4	4	74.3	193.62.193.165:4
54.95	4	4	4	74.3	193.62.193.165:4
55.16	4	4	4	74.3	193.62.193.165:4
55.36	4	4	4	74.3	193.62.193.165:4
55.57	4	4	4	74.3	193.62.193.165:4
55.78	4	4	4	74.3	193.62.193.165:4
55.99	4	4	4	74.3	193.62.193.165:4
56.20	4	4	4	74.3	193.62.193.165:4
56.40	4	4	4	74.3	193.62.193.165:4
56.61	4	4	4	74.3	193.62.193.165:4
56.82	4	4	4	74.3	193.62.193.165:4
57.02	4	3	3	74.3	193.62.193.165:3
57.23	4	3	3	74.3	193.62.193.165:3
57.44	4	3	3	74.3	193.62.193.165:3
57.65	4	3	3	74.3	193.62.193.165:3
57.85	4	3	3	74.3	193.62.193.165:3
58.06	4	3	3	74.3	193.62.193.165:3
58.27	4	3	3	74.3	193.62.193.165:3
58.48	4	3	3	74.3	193.62.193.165:3
58.68	4	3	3	74.3	193.62.193.165:3
58.89	4	3	3	74.3	193.62.193.165:3
59.10	4	3	3	74.3	193.62.193.165:3
59.31	4	3	3	74.3	193.62.193.165:3
59.51	4	3	3	74.3	193.62.193.165:3
59.72	4	3	3	74.3	193.62.193.165:3
59.93	4	3	3	74.3	193.62.193.165:3
60.14	4	3	3	74.3	193.62.193.165:3
60.35	4	2	2	74.3	193.62.193.165:2
60.56	4	2	2	74.3	193.62.193.165:2
60.76	4	2	2	74.3	193.62.193.165:2
60.97	4	2	2	74.3	193.62.193.165:2
61.18	4	2	2	74.3	193.62.193.165:2
61.38	4	2	2	74.3	193.62.193.165:2
61.59	4	2	2	74.3	193.62.193.165:2
61.80	4	2	2	74.3	193.62.193.165:2
62.00	4	2	2	74.3	193.62.193.165:2
62.21	4	2	2	74.3	193.62.193.165:2
62.42	4	2	2	74.3	193.62.193.165:2
62.62	4	2	2	74.3	193.62.193.165:2
62.83	4	2	2	74.3	193.62.193.165:2
63.04	4	2	2	74.3	193.62.193.165:2
63.25	4	2	2	74.3	193.62.193.165:2
63.46	4	2	2	74.3	193.62.193.165:2
63.66	4	2	2	74.3	193.62.193.165:2
63.87	4	2	2	74.3	193.62.193.165:2
64.08	4	2	2	74.3	193.62.193.165:2
64.29	4	2	2	74.3	193.62.193.165:2
64.49	4	2	2	74.3	193.62.193.165:2
64.70	4	2	2	74.3	193.62.193.165:2
64.91	4	2	2	74.3	193.62.193.165:2
65.12	4	2	2	74.3	193.62.193.165:2
65.32	4	2	2	74.3	193.62.193.165:2
65.53	4	2	2	74.3	193.62.193.165:2
65.74	4	2	2	74.3	193.62.193.165:2
65.95	4	2	2	74.3	193.62.193.165:2
66.15	4	2	2	74.3	193.62.193.165:2
66.36	4	2	2	74.3	193.62.193.165:2
66.57	4	2	2	74.3	193.62.193.165:2
66.77	4	2	2	74.3	193.62.193.165:2
66.98	4	2	2	74.3	193.62.193.165:2
67.19	4	2	2	74.3	193.62.193.165:2
67.39	4	2	2	74.3	193.62.193.165:2
67.60	4	2	2	74.3	193.62.193.165:2
67.81	4	2	2	74.3	193.62.193.165:2
68.02	4	2	2	74.3	193.62.193.165:2
68.23	4	2	2	74.3	193.62.193.165:2
68.43	4	2	2	74.3	193.62.193.165:2
68.64	4	2	2	74.3	193.62.193.165:2
68.85	4	2	2	74.3	193.62.193.165:2
69.05	4	2	2	74.3	193.62.193.165:2
69.26	4	2	2	74.3	193.62.193.165:2
69.47	4	2	2	74.3	193.62.193.165:2
69.68	4	2	2	74.3	193.62.193.165:2
69.88	4	2	2	74.3	193.62.193.165:2
70.09	4	2	2	74.3	193.62.193.165:2
70.30	4	2	2	74.3	193.62.193.165:2
70.51	4	2	2	74.3	193.62.193.165:2
70.71	4	2	2	74.3	193.62.193.165:2
70.92	4	1	1	74.3	193.62.193.165:1
71.13	4	1	1	74.3	193.62.193.165:1
71.34	4	1	1	74.3	193.62.193.165:1
71.55	4	1	1	74.3	193.62.193.165:1
71.75	4	1	1	74.3	193.62.193.165:1
71.96	4	1	1	74.3	193.62.193.165:1
72.17	4	1	1	74.3	193.62.193.165:1
72.38	4	1	1	74.3	193.62.193.165:1
72.58	4	1	1	74.3	193.62.193.165:1
72.79	4	1	1	74.3	193.62.193.165:1
73.00	4	1	1	74.3	193.62.193.165:1
73.20	4	1	1	74.3	193.62.193.165:1
73.41	4	1	1	74.3	193.62.193.165:1
73.62	4	1	1	74.3	193.62.193.165:1
73.83	4	1	1	74.3	193.62.193.165:1
74.04	4	1	1	74.3	193.62.193.165:1
74.25	4	1	1	74.3	193.62.193.165:1
74.45	4	1	1	74.3	193.62.193.165:1
74.66	4	1	1	74.3	193.62.193.165:1
74.87	4	1	1	74.3	193.62.193.165:1
75.07	4	1	1	74.3	193.62.193.165:1
75.28	4	1	1	74.3	193.62.193.165:1
75.49	4	1	1	74.3	193.62.193.165:1
75.70	4	1	1	74.3	193.62.193.165:1
75.91	4	1	1	74.3	193.62.193.165:1
76.12	4	1	1	74.3	193.62.193.165:1
76.32	4	1	1	74.3	193.62.193.165:1
76.53	4	1	1	74.3	193.62.193.165:1
76.74	4	1	1	74.3	193.62.193.165:1
76.95	4	1	1	74.3	193.62.193.165:1
77.15	4	1	1	74.3	193.62.193.165:1
77.36	4	1	1	74.3	193.62.193.165:1
77.57	4	1	1	74.3	193.62.193.165:1
77.77	4	1	1	74.3	193.62.193.165:1
77.98	4	1	1	74.3	193.62.193.165:1
78.19	4	1	1	74.3	193.62.193.165:1
78.39	4	1	1	74.3	193.62.193.165:1
78.60	4	1	1	74.3	193.62.193.165:1
78.81	4	1	1	74.3	193.62.193.165:1
79.02	4	1	1	74.3	193.62.193.165:1
79.22	4	1	1	74.3	193.62.193.165:1
79.43	4	1	1	74.3	193.62.193.165:1
79.64	4	1	1	74.3	193.62.193.165:1
79.85	4	1	1	74.3	193.62.193.165:1
80.06	4	1	1	74.3	193.62.193.165:1
80.27	4	1	1	74.3	193.62.193.165:1
80.47	4	1	1	74.3	193.62.193.165:1
80.68	4	1	1	74.3	193.62.193.165:1
80.89	4	1	1	74.3	193.62.193.165:1
81.09	4	1	1	74.3	193.62.193.165:1
81.30	4	1	1	74.3	193.62.193.165:1
81.51	4	1	1	74.3	193.62.193.165:1
81.72	4	1	1	74.3	193.62.193.165:1
81.93	4	1	1	74.3	193.62.193.165:1
82.13	4	1	1	74.3	193.62.193.165:1
82.34	4	1	1	74.3	193.62.193.165:1
82.55	4	1	1	74.3	193.62.193.165:1
82.76	4	1	1	74.3	193.62.193.165:1
82.97	4	1	1	74.3	193.62.193.165:1
83.17	4	1	1	74.3	193.62.193.165:1
83.38	4	1	1	74.3	193.62.193.165:1
83.59	4	1	1	74.3	193.62.193.165:1
83.79	4	1	1	74.3	193.62.193.165:1
84.00	4	1	1	74.3	193.62.193.165:1
84.21	4	1	1	74.3	193.62.193.165:1
84.41	4	1	1	74.3	193.62.193.165:1
84.62	4	1	1	74.3	193.62.193.165:1
84.82	4	1	1	74.3	193.62.193.165:1
85.03	4	1	1	74.3	193.62.193.165:1
85.24	4	1	1	74.3	193.62.193.165:1
85.45	4	1	1	74.3	193.62.193.165:1
85.66	4	1	1	74.3	193.62.193.165:1
85.86	4	1	1	74.3	193.62.193.165:1
86.07	4	1	1	74.3	193.62.193.165:1
86.28	4	1	1	74.3	193.62.193.165:1
86.49	4	1	1	74.3	193.62.193.165:1
86.69	4	1	1	74.3	193.62.193.165:1
86.90	4	1	1	74.3	193.62.193.165:1
87.11	4	1	1	74.3	193.62.193.165:1
