t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	4	0	0	20.5	-
0.21	5	0	0	66.0	-
0.41	6	0	0	75.6	-
0.62	8	3	3	96.6	193.62.193.80:3
0.85	8	4	4	98.7	193.62.193.80:4
1.08	5	1	1	66.9	193.62.193.80:1
1.28	4	8	8	60.0	193.62.193.165:8
1.49	4	8	8	60.2	193.62.193.165:8
1.70	4	8	8	60.2	193.62.193.165:8
1.90	4	8	8	60.2	193.62.193.165:8
2.11	4	14	14	62.7	193.62.193.165:14
2.32	4	17	17	63.8	193.62.193.165:17
2.53	4	18	18	64.3	193.62.193.165:18
2.74	4	18	18	65.0	193.62.193.165:18
2.94	4	18	18	66.4	193.62.193.165:18
3.15	4	18	18	68.6	193.62.193.165:18
3.36	4	18	18	69.4	193.62.193.165:18
3.56	4	18	18	71.0	193.62.193.165:18
3.77	4	18	18	71.1	193.62.193.165:18
3.98	4	18	18	70.8	193.62.193.165:18
4.18	4	18	18	72.1	193.62.193.165:18
4.39	4	18	18	73.7	193.62.193.165:18
4.60	4	18	18	73.2	193.62.193.165:18
4.81	4	18	18	75.4	193.62.193.165:18
5.02	4	18	18	75.4	193.62.193.165:18
5.22	4	18	18	77.2	193.62.193.165:18
5.43	4	18	18	75.5	193.62.193.165:18
5.64	4	18	18	75.1	193.62.193.165:18
5.85	4	18	18	75.1	193.62.193.165:18
6.06	4	18	18	75.2	193.62.193.165:18
6.26	4	18	18	75.2	193.62.193.165:18
6.47	4	18	18	75.2	193.62.193.165:18
6.68	4	18	18	75.2	193.62.193.165:18
6.89	4	18	18	75.2	193.62.193.165:18
7.10	4	18	18	75.2	193.62.193.165:18
7.30	4	18	18	75.2	193.62.193.165:18
7.51	4	18	18	75.2	193.62.193.165:18
7.72	4	18	18	75.2	193.62.193.165:18
7.92	4	18	18	75.2	193.62.193.165:18
8.13	4	18	18	75.7	193.62.193.165:18
8.34	4	18	18	75.1	193.62.193.165:18
8.55	4	18	18	75.1	193.62.193.165:18
8.75	4	18	18	75.1	193.62.193.165:18
8.96	4	18	18	75.1	193.62.193.165:18
9.17	4	18	18	75.1	193.62.193.165:18
9.37	4	18	18	75.1	193.62.193.165:18
9.58	4	18	18	75.1	193.62.193.165:18
9.79	4	18	18	75.1	193.62.193.165:18
10.00	4	18	18	75.1	193.62.193.165:18
10.20	4	18	18	75.9	193.62.193.165:18
10.41	4	18	18	75.1	193.62.193.165:18
10.62	4	18	18	75.1	193.62.193.165:18
10.82	4	18	18	75.1	193.62.193.165:18
11.03	4	18	18	75.1	193.62.193.165:18
11.24	4	18	18	75.1	193.62.193.165:18
11.45	4	18	18	75.1	193.62.193.165:18
11.65	4	18	18	75.1	193.62.193.165:18
11.86	4	18	18	75.1	193.62.193.165:18
12.07	4	18	18	75.1	193.62.193.165:18
12.27	4	18	18	75.1	193.62.193.165:18
12.48	4	18	18	75.1	193.62.193.165:18
12.69	4	18	18	75.1	193.62.193.165:18
12.90	4	18	18	75.1	193.62.193.165:18
13.10	4	18	18	75.1	193.62.193.165:18
13.31	4	18	18	75.1	193.62.193.165:18
13.52	4	18	18	75.1	193.62.193.165:18
13.73	4	18	18	75.1	193.62.193.165:18
13.93	4	18	18	75.1	193.62.193.165:18
14.14	4	18	18	75.1	193.62.193.165:18
14.35	4	18	18	75.1	193.62.193.165:18
14.55	4	18	18	75.1	193.62.193.165:18
14.76	4	18	18	75.1	193.62.193.165:18
14.97	4	18	18	75.1	193.62.193.165:18
15.17	4	18	18	75.1	193.62.193.165:18
15.38	4	18	18	76.8	193.62.193.165:18
15.59	4	18	18	75.1	193.62.193.165:18
15.80	4	18	18	75.1	193.62.193.165:18
16.00	4	18	18	75.1	193.62.193.165:18
16.21	4	18	18	75.1	193.62.193.165:18
16.42	4	18	18	75.1	193.62.193.165:18
16.63	4	18	18	75.1	193.62.193.165:18
16.83	4	18	18	75.1	193.62.193.165:18
17.04	4	18	18	75.3	193.62.193.165:18
17.25	4	18	18	75.1	193.62.193.165:18
17.45	4	18	18	75.1	193.62.193.165:18
17.66	4	18	18	75.1	193.62.193.165:18
