t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	4	0	0	20.9	-
0.21	5	0	0	66.9	-
0.41	6	0	0	76.8	-
0.62	8	3	3	97.8	193.62.193.80:3
0.85	10	5	5	119.4	193.62.193.80:5
1.07	9	4	4	109.0	193.62.193.80:4
1.30	8	3	3	98.9	193.62.193.80:3
1.52	8	3	3	98.3	193.62.193.80:3
1.74	9	4	4	109.0	193.62.193.80:4
1.96	9	4	4	108.8	193.62.193.80:4
2.18	8	3	3	99.3	193.62.193.80:3
2.41	8	3	3	97.8	193.62.193.80:3
2.64	8	3	3	98.3	193.62.193.80:3
2.86	9	4	4	109.1	193.62.193.80:4
3.09	9	4	4	109.0	193.62.193.80:4
3.31	8	3	3	98.5	193.62.193.80:3
3.53	8	3	3	98.9	193.62.193.80:3
3.75	8	3	3	98.0	193.62.193.80:3
3.98	9	4	4	108.8	193.62.193.80:4
4.21	9	4	4	109.1	193.62.193.80:4
4.44	8	3	3	98.7	193.62.193.80:3
4.65	8	3	3	98.5	193.62.193.80:3
4.88	9	4	4	109.1	193.62.193.80:4
5.10	9	4	4	108.8	193.62.193.80:4
5.33	9	4	4	108.8	193.62.193.80:4
5.55	8	3	3	98.8	193.62.193.80:3
5.77	8	3	3	98.3	193.62.193.80:3
6.00	9	4	4	109.0	193.62.193.80:4
6.23	9	4	4	108.9	193.62.193.80:4
6.45	9	4	4	108.7	193.62.193.80:4
6.68	8	3	3	98.5	193.62.193.80:3
6.90	8	3	3	98.2	193.62.193.80:3
7.12	9	4	4	109.1	193.62.193.80:4
7.34	9	4	4	109.1	193.62.193.80:4
7.57	8	3	3	98.4	193.62.193.80:3
7.78	8	3	3	98.9	193.62.193.80:3
8.01	9	3	3	98.3	193.62.193.80:3
8.23	9	4	4	109.0	193.62.193.80:4
8.46	9	4	4	109.1	193.62.193.80:4
8.68	8	3	3	98.9	193.62.193.80:3
8.90	8	3	3	98.2	193.62.193.80:3
9.12	9	4	4	108.9	193.62.193.80:4
9.34	9	4	4	109.0	193.62.193.80:4
9.56	8	3	3	98.7	193.62.193.80:3
9.78	8	3	3	98.3	193.62.193.80:3
10.00	9	4	4	109.0	193.62.193.80:4
10.22	9	4	4	109.0	193.62.193.80:4
10.44	8	3	3	98.7	193.62.193.80:3
10.66	8	3	3	98.2	193.62.193.80:3
10.88	9	4	4	108.5	193.62.193.80:4
11.10	9	4	4	109.1	193.62.193.80:4
11.32	8	3	3	99.5	193.62.193.80:3
11.54	8	3	3	98.8	193.62.193.80:3
11.76	9	4	4	98.4	193.62.193.80:4
11.99	9	4	4	109.2	193.62.193.80:4
12.21	9	4	4	109.2	193.62.193.80:4
12.43	8	3	3	99.0	193.62.193.80:3
12.65	8	3	3	98.3	193.62.193.80:3
12.87	9	4	4	108.9	193.62.193.80:4
13.09	9	4	4	108.9	193.62.193.80:4
13.32	8	3	3	98.8	193.62.193.80:3
13.53	8	3	3	98.5	193.62.193.80:3
13.75	9	4	4	108.5	193.62.193.80:4
13.97	9	4	4	108.4	193.62.193.80:4
14.20	9	3	3	109.1	193.62.193.80:3
14.42	8	3	3	98.8	193.62.193.80:3
14.64	9	4	4	109.2	193.62.193.80:4
14.87	9	4	4	109.2	193.62.193.80:4
15.09	9	4	4	109.2	193.62.193.80:4
15.31	8	3	3	98.7	193.62.193.80:3
15.52	8	3	3	98.4	193.62.193.80:3
15.75	9	4	4	108.9	193.62.193.80:4
15.98	9	4	4	109.2	193.62.193.80:4
16.20	9	3	3	108.6	193.62.193.80:3
16.43	8	3	3	98.7	193.62.193.80:3
16.65	8	3	3	98.0	193.62.193.80:3
16.87	9	4	4	108.2	193.62.193.80:4
17.09	9	4	4	108.8	193.62.193.80:4
17.31	8	3	3	98.6	193.62.193.80:3
17.53	8	3	3	98.3	193.62.193.80:3
17.75	9	4	4	108.8	193.62.193.80:4
17.97	9	4	4	109.1	193.62.193.80:4
18.19	8	3	3	98.9	193.62.193.80:3
18.41	8	3	3	98.4	193.62.193.80:3
18.63	9	4	4	109.2	193.62.193.80:4
18.86	9	4	4	109.0	193.62.193.80:4
19.08	9	4	4	108.8	193.62.193.80:4
19.31	8	3	3	98.7	193.62.193.80:3
19.53	8	3	3	98.4	193.62.193.80:3
19.75	9	4	4	109.2	193.62.193.80:4
19.97	9	4	4	109.1	193.62.193.80:4
20.19	8	3	3	98.4	193.62.193.80:3
20.41	8	3	3	98.3	193.62.193.80:3
20.63	9	4	4	109.2	193.62.193.80:4
20.85	9	4	4	109.0	193.62.193.80:4
21.08	9	4	4	108.4	193.62.193.80:4
21.31	8	3	3	98.3	193.62.193.80:3
21.53	8	3	3	98.4	193.62.193.80:3
