t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	4	0	0	20.9	-
0.20	5	0	0	66.8	-
0.41	6	0	0	76.5	-
0.63	8	3	3	97.4	193.62.193.80:3
0.84	10	5	5	119.5	193.62.193.80:5
1.07	9	4	4	108.8	193.62.193.80:4
1.29	8	3	3	99.3	193.62.193.80:3
1.52	8	3	3	98.5	193.62.193.80:3
1.74	9	3	3	98.0	193.62.193.80:3
1.97	9	4	4	108.5	193.62.193.80:4
2.20	9	4	4	108.4	193.62.193.80:4
2.42	8	3	3	98.7	193.62.193.80:3
2.64	8	3	3	98.2	193.62.193.80:3
2.86	9	4	4	108.4	193.62.193.80:4
3.08	10	5	5	119.3	193.62.193.80:5
3.31	10	5	5	119.5	193.62.193.80:5
3.54	8	3	3	98.7	193.62.193.80:3
3.76	8	3	3	98.2	193.62.193.80:3
3.97	9	4	4	109.0	193.62.193.80:4
4.20	9	4	4	108.9	193.62.193.80:4
4.42	8	3	3	98.7	193.62.193.80:3
4.64	8	3	3	98.7	193.62.193.80:3
4.86	9	4	4	108.9	193.62.193.80:4
5.09	9	4	4	109.0	193.62.193.80:4
5.32	9	4	4	108.7	193.62.193.80:4
5.54	8	3	3	97.9	193.62.193.80:3
5.77	8	3	3	98.1	193.62.193.80:3
5.98	9	4	4	108.9	193.62.193.80:4
6.21	9	4	4	109.0	193.62.193.80:4
6.44	9	4	4	108.9	193.62.193.80:4
6.67	8	3	3	98.7	193.62.193.80:3
6.89	8	3	3	97.7	193.62.193.80:3
7.10	9	4	4	108.6	193.62.193.80:4
7.33	9	4	4	108.9	193.62.193.80:4
7.55	8	3	3	98.6	193.62.193.80:3
7.76	8	3	3	97.6	193.62.193.80:3
7.98	10	5	5	118.2	193.62.193.80:5
8.21	10	5	5	118.9	193.62.193.80:5
8.43	9	4	4	108.9	193.62.193.80:4
8.66	8	3	3	98.6	193.62.193.80:3
8.88	8	3	3	98.2	193.62.193.80:3
9.10	9	4	4	108.3	193.62.193.80:4
9.33	9	4	4	108.7	193.62.193.80:4
9.56	9	4	4	108.8	193.62.193.80:4
9.78	8	3	3	98.7	193.62.193.80:3
10.00	8	3	3	98.0	193.62.193.80:3
10.22	9	4	4	108.8	193.62.193.80:4
10.44	9	4	4	108.6	193.62.193.80:4
10.67	8	3	3	98.5	193.62.193.80:3
10.88	8	3	3	97.9	193.62.193.80:3
11.11	9	4	4	108.2	193.62.193.80:4
11.33	9	4	4	108.7	193.62.193.80:4
11.56	9	4	4	108.9	193.62.193.80:4
11.78	8	3	3	98.6	193.62.193.80:3
12.00	8	3	3	98.1	193.62.193.80:3
12.22	9	4	4	108.8	193.62.193.80:4
12.45	9	4	4	108.3	193.62.193.80:4
12.67	8	3	3	98.5	193.62.193.80:3
12.89	8	3	3	98.3	193.62.193.80:3
13.11	9	4	4	109.1	193.62.193.80:4
13.34	9	4	4	109.1	193.62.193.80:4
13.56	9	4	4	108.7	193.62.193.80:4
13.79	8	3	3	98.5	193.62.193.80:3
14.01	8	3	3	97.7	193.62.193.80:3
14.23	9	4	4	108.9	193.62.193.80:4
14.46	9	4	4	108.9	193.62.193.80:4
14.68	8	3	3	99.3	193.62.193.80:3
14.90	8	3	3	98.9	193.62.193.80:3
15.12	9	4	4	109.1	193.62.193.80:4
15.34	9	4	4	108.9	193.62.193.80:4
15.57	9	4	4	108.8	193.62.193.80:4
15.80	8	3	3	98.0	193.62.193.80:3
16.02	8	3	3	98.7	193.62.193.80:3
16.24	9	4	4	109.2	193.62.193.80:4
16.47	9	4	4	109.1	193.62.193.80:4
16.69	9	4	4	108.6	193.62.193.80:4
16.91	8	3	3	98.6	193.62.193.80:3
17.13	8	3	3	98.0	193.62.193.80:3
17.35	9	4	4	108.9	193.62.193.80:4
17.57	9	4	4	109.1	193.62.193.80:4
17.80	8	3	3	98.9	193.62.193.80:3
18.02	8	3	3	97.8	193.62.193.80:3
18.24	9	4	4	108.7	193.62.193.80:4
18.46	9	4	4	108.8	193.62.193.80:4
18.68	8	3	3	98.0	193.62.193.80:3
18.90	8	3	3	98.3	193.62.193.80:3
19.12	9	4	4	108.4	193.62.193.80:4
