t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	4	0	0	20.9	-
0.20	5	0	0	66.7	-
0.41	6	0	0	76.5	-
0.62	8	3	3	97.7	193.62.193.80:3
0.84	10	5	5	119.8	193.62.193.80:5
1.08	9	4	4	108.8	193.62.193.80:4
1.30	8	3	3	98.5	193.62.193.80:3
1.52	8	3	3	98.4	193.62.193.80:3
1.74	9	4	4	108.7	193.62.193.80:4
1.97	9	4	4	108.8	193.62.193.80:4
2.19	9	4	4	108.2	193.62.193.80:4
2.42	8	3	3	99.2	193.62.193.80:3
2.64	8	3	3	98.6	193.62.193.80:3
2.86	9	4	4	108.8	193.62.193.80:4
3.09	9	4	4	108.6	193.62.193.80:4
3.32	9	4	4	107.8	193.62.193.80:4
3.55	9	4	4	109.0	193.62.193.80:4
3.78	8	3	3	98.3	193.62.193.80:3
4.00	9	4	4	108.1	193.62.193.80:4
4.22	9	4	4	108.8	193.62.193.80:4
4.45	9	4	4	108.8	193.62.193.80:4
4.68	9	4	4	108.4	193.62.193.80:4
4.91	8	3	3	98.4	193.62.193.80:3
5.13	8	3	3	98.1	193.62.193.80:3
5.34	9	4	4	108.7	193.62.193.80:4
5.57	9	4	4	108.8	193.62.193.80:4
5.79	8	3	3	98.3	193.62.193.80:3
6.01	9	3	3	98.5	193.62.193.80:3
6.24	9	4	4	108.8	193.62.193.80:4
6.47	9	4	4	109.0	193.62.193.80:4
6.70	9	4	4	108.8	193.62.193.80:4
6.93	9	4	4	108.7	193.62.193.80:4
7.15	8	3	3	98.5	193.62.193.80:3
7.37	9	4	4	108.8	193.62.193.80:4
7.60	9	4	4	108.7	193.62.193.80:4
7.82	9	4	4	108.6	193.62.193.80:4
8.05	8	3	3	98.1	193.62.193.80:3
8.27	8	3	3	98.6	193.62.193.80:3
8.49	9	4	4	108.7	193.62.193.80:4
8.72	9	4	4	108.6	193.62.193.80:4
8.94	9	4	4	108.8	193.62.193.80:4
9.16	8	3	3	98.6	193.62.193.80:3
9.38	9	3	3	97.9	193.62.193.80:3
9.61	9	4	4	108.7	193.62.193.80:4
9.83	9	4	4	108.8	193.62.193.80:4
10.05	9	4	4	108.7	193.62.193.80:4
10.29	8	3	3	98.4	193.62.193.80:3
10.50	9	4	4	108.6	193.62.193.80:4
10.73	9	4	4	108.4	193.62.193.80:4
10.95	9	4	4	108.3	193.62.193.80:4
11.17	8	3	3	98.3	193.62.193.80:3
11.39	8	3	3	98.1	193.62.193.80:3
11.61	9	4	4	108.6	193.62.193.80:4
11.84	9	4	4	108.5	193.62.193.80:4
12.07	9	4	4	108.8	193.62.193.80:4
12.29	8	3	3	98.5	193.62.193.80:3
12.51	8	3	3	98.1	193.62.193.80:3
12.73	9	4	4	108.3	193.62.193.80:4
12.95	9	4	4	108.9	193.62.193.80:4
13.17	8	3	3	98.6	193.62.193.80:3
13.39	8	3	3	98.1	193.62.193.80:3
13.61	9	4	4	108.8	193.62.193.80:4
13.83	9	4	4	108.9	193.62.193.80:4
14.05	8	3	3	98.7	193.62.193.80:3
14.27	8	3	3	98.2	193.62.193.80:3
14.49	9	4	4	108.5	193.62.193.80:4
14.71	9	4	4	108.1	193.62.193.80:4
14.93	8	3	3	98.3	193.62.193.80:3
15.15	8	3	3	98.1	193.62.193.80:3
15.37	9	4	4	108.8	193.62.193.80:4
15.59	9	4	4	108.7	193.62.193.80:4
15.81	9	4	4	108.7	193.62.193.80:4
16.04	8	3	3	98.1	193.62.193.80:3
16.26	9	4	4	108.4	193.62.193.80:4
16.48	9	4	4	108.7	193.62.193.80:4
16.71	9	4	4	108.7	193.62.193.80:4
16.93	8	3	3	98.4	193.62.193.80:3
17.15	8	3	3	98.7	193.62.193.80:3
17.37	9	4	4	108.8	193.62.193.80:4
17.60	9	4	4	108.6	193.62.193.80:4
17.83	9	4	4	108.5	193.62.193.80:4
18.06	8	3	3	98.6	193.62.193.80:3
18.28	8	3	3	98.6	193.62.193.80:3
18.50	9	4	4	108.6	193.62.193.80:4
18.72	9	4	4	108.7	193.62.193.80:4
18.94	9	4	4	108.4	193.62.193.80:4
19.17	9	4	4	108.9	193.62.193.80:4
19.39	9	4	4	108.6	193.62.193.80:4
19.62	9	4	4	108.2	193.62.193.80:4
19.84	9	4	4	108.9	193.62.193.80:4
20.07	9	4	4	109.0	193.62.193.80:4
20.29	8	3	3	98.0	193.62.193.80:3
20.51	9	4	4	98.0	193.62.193.80:4
20.74	9	4	4	108.7	193.62.193.80:4
20.96	9	4	4	108.5	193.62.193.80:4
21.18	8	3	3	98.4	193.62.193.80:3
21.40	8	3	3	98.2	193.62.193.80:3
21.62	9	4	4	108.9	193.62.193.80:4
21.84	9	4	4	108.7	193.62.193.80:4
22.07	9	4	4	108.9	193.62.193.80:4
22.29	8	3	3	98.6	193.62.193.80:3
22.51	9	3	3	98.1	193.62.193.80:3
22.73	9	4	4	108.9	193.62.193.80:4
22.95	9	4	4	108.2	193.62.193.80:4
23.17	8	3	3	98.5	193.62.193.80:3
23.40	8	3	3	98.1	193.62.193.80:3
23.61	9	4	4	108.9	193.62.193.80:4
23.84	9	4	4	108.9	193.62.193.80:4
24.06	8	3	3	98.6	193.62.193.80:3
24.28	8	3	3	98.2	193.62.193.80:3
24.50	9	4	4	108.8	193.62.193.80:4
24.72	9	4	4	108.8	193.62.193.80:4
24.94	8	3	3	98.5	193.62.193.80:3
25.16	8	3	3	98.2	193.62.193.80:3
25.37	9	4	4	108.3	193.62.193.80:4
25.60	9	4	4	108.7	193.62.193.80:4
25.83	9	4	4	108.9	193.62.193.80:4
26.05	8	3	3	98.6	193.62.193.80:3
26.28	8	3	3	98.0	193.62.193.80:3
