t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	5	0	0	24.2	-
0.21	5	0	0	84.4	-
0.41	5	0	0	128.4	-
0.61	5	0	0	134.2	-
0.82	5	1	1	134.2	193.62.193.80:1
1.03	5	1	1	135.7	193.62.193.80:1
1.24	6	1	1	141.3	193.62.193.165:1
1.44	6	1	1	141.3	193.62.193.165:1
1.65	6	1	1	141.3	193.62.193.165:1
1.86	6	1	1	141.3	193.62.193.165:1
2.07	6	1	1	141.3	193.62.193.165:1
2.27	6	2	1	141.3	193.62.193.165:1
2.48	5	0	0	136.2	-
2.68	5	0	0	25.9	-
2.89	5	0	0	88.9	-
3.09	5	0	0	134.2	-
3.29	5	1	1	134.8	193.62.193.80:1
3.50	5	1	1	136.4	193.62.193.80:1
3.71	6	0	0	142.2	-
3.92	6	1	1	142.2	193.62.193.165:1
4.12	6	1	1	142.2	193.62.193.165:1
4.33	6	1	1	142.2	193.62.193.165:1
4.54	6	1	1	142.2	193.62.193.165:1
4.75	6	2	1	142.2	193.62.193.165:1
4.96	6	1	1	142.2	193.62.193.165:1
5.16	5	0	0	137.0	-
5.37	5	0	0	53.3	-
5.57	5	0	0	111.9	-
5.77	5	0	0	135.0	-
5.98	5	1	1	136.5	193.62.193.80:1
6.19	6	0	0	142.3	-
6.40	6	1	1	142.3	193.62.193.165:1
6.60	6	1	1	142.3	193.62.193.165:1
6.81	6	1	1	142.3	193.62.193.165:1
7.02	6	1	1	142.3	193.62.193.165:1
7.23	6	1	1	142.3	193.62.193.165:1
7.44	6	2	1	142.3	193.62.193.165:1
7.64	5	0	0	137.2	-
7.85	5	0	0	29.5	-
8.05	5	0	0	94.8	-
8.25	5	0	0	134.2	-
8.46	5	1	1	134.2	193.62.193.80:1
8.67	5	1	1	135.7	193.62.193.80:1
8.88	6	1	1	141.4	193.62.193.165:1
9.08	6	1	1	141.4	193.62.193.165:1
9.29	6	1	1	141.4	193.62.193.165:1
9.50	6	1	1	141.4	193.62.193.165:1
9.71	6	1	1	141.4	193.62.193.165:1
9.91	6	2	1	141.4	193.62.193.165:1
10.12	6	1	1	141.4	193.62.193.165:1
10.33	5	0	0	135.3	-
10.54	5	0	0	54.2	-
10.74	5	0	0	117.4	-
10.94	5	0	0	134.1	-
