t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	5	0	0	9.4	-
0.20	7	0	0	23.6	-
0.41	7	1	1	24.3	193.62.193.80:1
0.62	7	1	1	24.9	193.62.193.80:1
0.83	10	0	0	27.2	-
1.03	10	1	1	27.2	193.62.193.165:1
1.24	10	1	1	27.2	193.62.193.165:1
1.45	10	1	1	27.2	193.62.193.165:1
1.66	10	1	1	27.2	193.62.193.165:1
1.87	10	1	1	27.2	193.62.193.165:1
2.08	10	2	1	27.2	193.62.193.165:1
2.29	10	2	1	27.2	193.62.193.165:1
2.49	7	0	0	19.1	-
2.70	7	1	1	19.1	193.62.193.165:1
2.91	7	1	1	19.1	193.62.193.165:1
3.11	7	1	1	19.1	193.62.193.165:1
3.32	7	1	1	19.1	193.62.193.165:1
3.53	7	2	1	19.1	193.62.193.165:1
3.74	7	2	1	19.2	193.62.193.165:1
3.94	7	0	0	23.9	-
4.15	7	1	1	24.5	193.62.193.80:1
4.36	7	1	1	24.9	193.62.193.80:1
4.57	10	1	1	27.2	193.62.193.165:1
4.77	10	1	1	27.2	193.62.193.165:1
4.98	10	1	1	27.2	193.62.193.165:1
5.19	10	1	1	27.2	193.62.193.165:1
5.40	10	1	1	27.2	193.62.193.165:1
5.61	10	2	1	27.2	193.62.193.165:1
5.81	10	1	1	27.2	193.62.193.165:1
6.02	10	1	1	27.2	193.62.193.165:1
6.23	7	1	1	19.1	193.62.193.165:1
6.44	7	1	1	19.1	193.62.193.165:1
6.64	7	1	1	19.1	193.62.193.165:1
6.85	7	1	1	19.1	193.62.193.165:1
7.05	7	1	1	19.1	193.62.193.165:1
7.26	7	2	1	19.2	193.62.193.165:1
7.47	7	0	0	23.9	-
7.68	7	1	1	24.6	193.62.193.80:1
7.88	7	1	1	25.1	193.62.193.80:1
8.09	10	0	0	27.5	-
8.30	10	1	1	27.5	193.62.193.165:1
8.50	10	1	1	27.5	193.62.193.165:1
8.71	10	1	1	27.5	193.62.193.165:1
8.92	10	1	1	27.5	193.62.193.165:1
9.13	10	2	1	27.5	193.62.193.165:1
9.34	10	1	1	27.5	193.62.193.165:1
9.54	10	2	1	27.5	193.62.193.165:1
9.75	7	0	0	19.0	-
9.96	7	1	1	19.0	193.62.193.165:1
10.17	7	1	1	19.0	193.62.193.165:1
10.37	7	1	1	19.0	193.62.193.165:1
10.58	7	1	1	19.0	193.62.193.165:1
10.79	7	2	1	19.0	193.62.193.165:1
10.99	7	2	1	19.0	193.62.193.165:1
11.20	7	0	0	23.8	-
11.41	7	1	1	24.4	193.62.193.80:1
11.61	7	1	1	24.4	193.62.193.80:1
11.82	10	0	0	27.4	-
12.03	10	1	1	27.4	193.62.193.165:1
12.23	10	1	1	27.4	193.62.193.165:1
12.44	10	1	1	27.4	193.62.193.165:1
12.65	10	1	1	27.4	193.62.193.165:1
12.85	10	2	1	27.4	193.62.193.165:1
13.06	10	1	1	27.4	193.62.193.165:1
13.27	10	1	1	27.4	193.62.193.165:1
13.47	7	1	1	19.0	193.62.193.165:1
13.68	7	1	1	19.0	193.62.193.165:1
13.89	7	1	1	19.0	193.62.193.165:1
14.10	7	1	1	19.0	193.62.193.165:1
14.30	7	1	1	19.0	193.62.193.165:1
14.51	7	2	1	19.0	193.62.193.165:1
14.72	7	0	0	23.9	-
14.92	7	1	1	24.5	193.62.193.80:1
15.13	7	1	1	24.5	193.62.193.80:1
15.34	10	0	0	27.6	-
15.54	10	1	1	27.6	193.62.193.165:1
15.75	10	1	1	27.6	193.62.193.165:1
15.96	10	1	1	27.6	193.62.193.165:1
16.16	10	1	1	27.6	193.62.193.165:1
16.37	10	1	1	27.6	193.62.193.165:1
16.58	10	2	1	27.6	193.62.193.165:1
16.79	10	2	1	27.6	193.62.193.165:1
16.99	7	0	0	19.0	-
17.20	7	1	1	19.0	193.62.193.165:1
17.41	7	1	1	19.0	193.62.193.165:1
17.61	7	1	1	19.0	193.62.193.165:1
17.82	7	1	1	19.0	193.62.193.165:1
18.03	7	2	1	19.0	193.62.193.165:1
