t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	5	0	0	9.4	-
0.20	7	0	0	23.9	-
0.41	7	1	1	24.6	193.62.193.80:1
0.62	7	1	1	25.1	193.62.193.80:1
0.83	10	0	0	27.4	-
1.03	10	1	1	27.4	193.62.193.165:1
1.24	10	1	1	27.4	193.62.193.165:1
1.45	10	1	1	27.4	193.62.193.165:1
1.65	10	1	1	27.4	193.62.193.165:1
1.86	10	1	1	27.4	193.62.193.165:1
2.07	10	2	1	27.4	193.62.193.165:1
2.28	10	2	1	27.4	193.62.193.165:1
2.48	7	0	0	19.7	-
2.69	7	1	1	19.7	193.62.193.165:1
2.90	7	1	1	19.7	193.62.193.165:1
3.10	7	1	1	19.7	193.62.193.165:1
3.31	7	1	1	19.7	193.62.193.165:1
3.52	7	2	1	19.7	193.62.193.165:1
3.73	7	1	1	19.7	193.62.193.165:1
3.93	7	0	0	23.9	-
4.14	7	1	1	24.5	193.62.193.80:1
4.35	7	1	1	25.1	193.62.193.80:1
4.55	10	0	0	27.5	-
4.76	10	1	1	27.5	193.62.193.165:1
4.97	10	1	1	27.5	193.62.193.165:1
5.17	10	1	1	27.5	193.62.193.165:1
5.38	10	1	1	27.5	193.62.193.165:1
5.59	10	2	1	27.5	193.62.193.165:1
5.79	10	1	1	27.5	193.62.193.165:1
6.00	10	1	1	27.5	193.62.193.165:1
6.21	7	1	1	19.7	193.62.193.165:1
6.41	7	1	1	19.7	193.62.193.165:1
6.62	7	1	1	19.7	193.62.193.165:1
6.83	7	1	1	19.7	193.62.193.165:1
7.04	7	1	1	19.7	193.62.193.165:1
7.24	7	2	1	19.7	193.62.193.165:1
7.45	7	1	1	19.7	193.62.193.165:1
7.66	7	1	1	24.6	193.62.193.80:1
7.86	7	1	1	25.1	193.62.193.80:1
8.07	6	0	0	14.5	-
8.28	10	1	1	27.3	193.62.193.165:1
8.48	10	1	1	27.3	193.62.193.165:1
8.69	10	1	1	27.3	193.62.193.165:1
8.90	10	1	1	27.3	193.62.193.165:1
9.10	10	1	1	27.3	193.62.193.165:1
9.31	10	2	1	27.3	193.62.193.165:1
9.52	10	2	1	27.3	193.62.193.165:1
9.72	7	0	0	19.7	-
9.93	7	1	1	19.7	193.62.193.165:1
10.14	7	1	1	19.7	193.62.193.165:1
10.34	7	1	1	19.7	193.62.193.165:1
10.55	7	1	1	19.7	193.62.193.165:1
10.76	7	1	1	19.7	193.62.193.165:1
10.96	7	2	1	19.7	193.62.193.165:1
11.17	7	0	0	23.8	-
11.38	7	1	1	24.5	193.62.193.80:1
11.58	7	1	1	24.9	193.62.193.80:1
11.79	10	0	0	27.3	-
12.00	10	1	1	27.3	193.62.193.165:1
12.21	10	1	1	27.3	193.62.193.165:1
12.41	10	1	1	27.3	193.62.193.165:1
12.62	10	1	1	27.3	193.62.193.165:1
12.83	10	2	1	27.3	193.62.193.165:1
13.03	10	1	1	27.3	193.62.193.165:1
13.24	10	1	1	27.3	193.62.193.165:1
13.45	7	0	0	19.7	-
13.66	7	1	1	19.7	193.62.193.165:1
13.86	7	1	1	19.7	193.62.193.165:1
14.07	7	1	1	19.7	193.62.193.165:1
14.28	7	1	1	19.7	193.62.193.165:1
14.48	7	2	1	19.7	193.62.193.165:1
14.69	7	1	1	19.7	193.62.193.165:1
14.90	7	0	0	23.8	-
15.11	7	1	1	24.4	193.62.193.80:1
15.31	7	1	1	25.0	193.62.193.80:1
15.52	10	1	1	27.3	193.62.193.165:1
15.73	10	1	1	27.3	193.62.193.165:1
15.93	10	1	1	27.3	193.62.193.165:1
16.14	10	1	1	27.3	193.62.193.165:1
16.35	10	1	1	27.3	193.62.193.165:1
16.56	10	2	1	27.3	193.62.193.165:1
16.76	10	1	1	27.3	193.62.193.165:1
16.97	10	1	1	27.3	193.62.193.165:1
17.18	7	1	1	19.6	193.62.193.165:1
17.38	7	1	1	19.6	193.62.193.165:1
17.59	7	1	1	19.6	193.62.193.165:1
17.80	7	1	1	19.6	193.62.193.165:1
18.00	7	1	1	19.6	193.62.193.165:1
18.21	7	2	1	19.6	193.62.193.165:1
18.42	7	1	1	19.6	193.62.193.165:1
18.62	7	0	0	23.9	-
18.83	7	1	1	24.6	193.62.193.80:1
19.04	7	1	1	25.0	193.62.193.80:1
19.24	10	0	0	27.4	-
19.45	10	1	1	27.4	193.62.193.165:1
19.66	10	1	1	27.4	193.62.193.165:1
19.87	10	1	1	27.4	193.62.193.165:1
20.07	10	1	1	27.4	193.62.193.165:1
20.28	10	2	1	27.4	193.62.193.165:1
20.49	10	1	1	27.4	193.62.193.165:1
20.69	10	1	1	27.4	193.62.193.165:1
20.90	7	1	1	19.6	193.62.193.165:1
21.11	7	1	1	19.6	193.62.193.165:1
21.31	7	1	1	19.6	193.62.193.165:1
21.52	7	1	1	19.6	193.62.193.165:1
21.73	7	1	1	19.6	193.62.193.165:1
21.93	7	2	1	19.6	193.62.193.165:1
22.14	7	1	1	19.6	193.62.193.165:1
22.35	7	1	1	24.5	193.62.193.80:1
22.55	7	1	1	24.9	193.62.193.80:1
22.76	6	0	0	14.4	-
22.97	10	1	1	27.5	193.62.193.165:1
23.17	10	1	1	27.5	193.62.193.165:1
23.38	10	1	1	27.5	193.62.193.165:1
23.59	10	1	1	27.5	193.62.193.165:1
23.79	10	1	1	27.5	193.62.193.165:1
24.00	10	2	1	27.5	193.62.193.165:1
24.21	10	2	1	27.5	193.62.193.165:1
24.42	7	0	0	19.8	-
24.62	7	1	1	19.8	193.62.193.165:1
24.83	7	1	1	19.8	193.62.193.165:1
25.04	7	1	1	19.8	193.62.193.165:1
25.24	7	1	1	19.8	193.62.193.165:1
25.45	7	1	1	19.8	193.62.193.165:1
25.66	7	2	1	19.8	193.62.193.165:1
25.86	7	0	0	23.8	-
26.07	7	1	1	24.4	193.62.193.80:1
26.28	7	1	1	25.0	193.62.193.80:1
26.49	10	0	0	27.4	-
26.69	10	1	1	27.4	193.62.193.165:1
26.90	10	1	1	27.4	193.62.193.165:1
27.11	10	1	1	27.4	193.62.193.165:1
27.31	10	1	1	27.4	193.62.193.165:1
27.52	10	2	1	27.4	193.62.193.165:1
27.73	10	1	1	27.4	193.62.193.165:1
27.93	10	1	1	27.4	193.62.193.165:1
28.14	7	0	0	19.7	-
28.35	7	1	1	19.7	193.62.193.165:1
28.55	7	1	1	19.7	193.62.193.165:1
28.76	7	1	1	19.7	193.62.193.165:1
28.97	7	1	1	19.7	193.62.193.165:1
29.18	7	2	1	19.7	193.62.193.165:1
29.38	7	2	1	19.7	193.62.193.165:1
29.59	7	0	0	23.8	-
29.80	7	1	1	24.4	193.62.193.80:1
30.00	7	1	1	24.4	193.62.193.80:1
30.21	10	0	0	27.5	-
30.42	10	1	1	27.5	193.62.193.165:1
30.63	10	1	1	27.5	193.62.193.165:1
30.83	10	1	1	27.5	193.62.193.165:1
31.04	10	1	1	27.5	193.62.193.165:1
31.25	10	1	1	27.5	193.62.193.165:1
31.46	10	2	1	27.5	193.62.193.165:1
31.66	10	2	1	27.5	193.62.193.165:1
31.87	7	0	0	19.8	-
32.08	7	1	1	19.8	193.62.193.165:1
32.29	7	1	1	19.8	193.62.193.165:1
32.49	7	1	1	19.8	193.62.193.165:1
32.70	7	1	1	19.8	193.62.193.165:1
32.91	7	2	1	19.8	193.62.193.165:1
33.11	7	1	1	19.8	193.62.193.165:1
33.32	7	0	0	23.9	-
33.53	7	1	1	24.6	193.62.193.80:1
33.74	7	1	1	25.0	193.62.193.80:1
33.94	10	1	1	27.4	193.62.193.165:1
34.15	10	1	1	27.4	193.62.193.165:1
34.36	10	1	1	27.4	193.62.193.165:1
34.56	10	1	1	27.4	193.62.193.165:1
34.77	10	1	1	27.4	193.62.193.165:1
34.98	10	2	1	27.4	193.62.193.165:1
35.18	10	1	1	27.4	193.62.193.165:1
35.39	10	1	1	27.4	193.62.193.165:1
35.60	7	1	1	19.7	193.62.193.165:1
35.81	7	1	1	19.7	193.62.193.165:1
36.01	7	1	1	19.7	193.62.193.165:1
36.22	7	1	1	19.7	193.62.193.165:1
36.43	7	1	1	19.7	193.62.193.165:1
36.63	7	2	1	19.7	193.62.193.165:1
36.84	6	0	0	14.5	-
37.04	7	1	1	24.5	193.62.193.80:1
37.25	7	1	1	25.1	193.62.193.80:1
37.46	6	0	0	14.5	-
37.66	10	1	1	27.6	193.62.193.165:1
37.87	10	1	1	27.6	193.62.193.165:1
38.08	10	1	1	27.6	193.62.193.165:1
38.29	10	1	1	27.6	193.62.193.165:1
38.49	10	1	1	27.6	193.62.193.165:1
38.70	10	2	1	27.6	193.62.193.165:1
38.91	10	2	1	27.6	193.62.193.165:1
39.12	7	0	0	19.8	-
39.32	7	1	1	19.8	193.62.193.165:1
39.53	7	1	1	19.8	193.62.193.165:1
39.73	7	1	1	19.8	193.62.193.165:1
39.94	7	1	1	19.8	193.62.193.165:1
40.15	7	1	1	19.8	193.62.193.165:1
40.35	7	2	1	19.8	193.62.193.165:1
40.56	7	0	0	23.8	-
40.77	7	1	1	24.5	193.62.193.80:1
40.98	7	1	1	24.9	193.62.193.80:1
41.18	10	0	0	27.4	-
