t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	4	0	0	20.6	-
0.20	4	0	0	94.4	-
0.41	5	0	0	133.0	-
0.62	5	0	0	134.5	-
0.82	5	1	1	136.8	193.62.193.80:1
1.03	6	0	0	140.8	-
1.24	6	1	1	140.8	193.62.193.165:1
1.44	6	1	1	140.8	193.62.193.165:1
1.65	6	1	1	140.8	193.62.193.165:1
1.86	6	1	1	140.8	193.62.193.165:1
2.07	6	1	1	140.8	193.62.193.165:1
2.27	6	1	1	140.8	193.62.193.165:1
2.48	6	1	1	140.8	193.62.193.165:1
2.69	6	2	1	140.8	193.62.193.165:1
2.90	6	1	1	140.8	193.62.193.165:1
3.10	5	1	1	138.4	193.62.193.80:1
3.31	5	1	1	138.7	193.62.193.80:1
3.52	6	0	0	140.6	-
3.73	6	1	1	140.6	193.62.193.165:1
3.93	6	1	1	140.6	193.62.193.165:1
4.14	6	1	1	140.6	193.62.193.165:1
4.35	6	1	1	140.6	193.62.193.165:1
4.56	6	1	1	140.6	193.62.193.165:1
4.77	6	1	1	140.6	193.62.193.165:1
4.97	6	2	1	140.6	193.62.193.165:1
5.18	6	2	1	140.6	193.62.193.165:1
5.39	5	0	0	125.9	-
5.59	5	1	1	138.7	193.62.193.80:1
5.80	5	1	1	138.9	193.62.193.80:1
6.01	6	1	1	140.7	193.62.193.165:1
6.22	6	1	1	140.7	193.62.193.165:1
6.42	6	1	1	140.7	193.62.193.165:1
6.63	6	1	1	140.7	193.62.193.165:1
6.84	6	1	1	140.7	193.62.193.165:1
7.05	6	1	1	140.7	193.62.193.165:1
7.26	6	1	1	140.7	193.62.193.165:1
7.46	6	2	1	140.7	193.62.193.165:1
7.67	6	2	1	140.7	193.62.193.165:1
7.88	5	0	0	134.6	-
8.09	5	1	1	138.5	193.62.193.80:1
8.29	5	1	1	138.8	193.62.193.80:1
8.50	6	1	1	140.6	193.62.193.165:1
8.71	6	1	1	140.6	193.62.193.165:1
8.92	6	1	1	140.6	193.62.193.165:1
9.12	6	1	1	140.6	193.62.193.165:1
9.33	6	1	1	140.6	193.62.193.165:1
9.54	6	1	1	140.6	193.62.193.165:1
9.74	6	1	1	140.6	193.62.193.165:1
9.95	6	2	1	140.6	193.62.193.165:1
10.16	6	1	1	140.6	193.62.193.165:1
10.36	5	0	0	134.6	-
10.57	5	1	1	138.4	193.62.193.80:1
10.78	6	0	0	140.7	-
10.99	6	1	1	140.7	193.62.193.165:1
11.19	6	1	1	140.7	193.62.193.165:1
11.40	6	1	1	140.7	193.62.193.165:1
11.61	6	1	1	140.7	193.62.193.165:1
11.82	6	1	1	140.7	193.62.193.165:1
12.03	6	1	1	140.7	193.62.193.165:1
12.24	6	1	1	140.7	193.62.193.165:1
12.45	6	2	1	140.7	193.62.193.165:1
12.66	6	2	1	140.7	193.62.193.165:1
12.86	5	0	0	134.7	-
13.07	5	1	1	138.8	193.62.193.80:1
13.28	5	1	1	139.0	193.62.193.80:1
13.49	6	0	0	140.7	-
13.69	6	1	1	140.7	193.62.193.165:1
13.90	6	1	1	140.7	193.62.193.165:1
14.11	6	1	1	140.7	193.62.193.165:1
14.31	6	1	1	140.7	193.62.193.165:1
14.52	6	1	1	140.7	193.62.193.165:1
14.73	6	1	1	140.7	193.62.193.165:1
14.94	6	2	1	140.7	193.62.193.165:1
15.14	6	2	1	140.7	193.62.193.165:1
15.35	5	0	0	134.6	-
15.56	5	1	1	138.4	193.62.193.80:1
15.77	5	1	1	138.7	193.62.193.80:1
15.97	6	1	1	140.7	193.62.193.165:1
16.18	6	1	1	140.7	193.62.193.165:1
16.39	6	1	1	140.7	193.62.193.165:1
16.60	6	1	1	140.7	193.62.193.165:1
16.80	6	1	1	140.7	193.62.193.165:1
17.01	6	1	1	140.7	193.62.193.165:1
17.22	6	1	1	140.7	193.62.193.165:1
17.42	6	2	1	140.7	193.62.193.165:1
17.63	6	2	1	140.7	193.62.193.165:1
17.84	5	0	0	134.7	-
18.05	5	1	1	138.4	193.62.193.80:1
18.25	4	0	0	123.9	-
18.46	6	1	1	140.7	193.62.193.165:1
18.66	6	1	1	140.7	193.62.193.165:1
18.87	6	1	1	140.7	193.62.193.165:1
19.08	6	1	1	140.7	193.62.193.165:1
19.29	6	1	1	140.7	193.62.193.165:1
19.49	6	1	1	140.7	193.62.193.165:1
19.70	6	1	1	140.7	193.62.193.165:1
19.91	6	2	1	140.7	193.62.193.165:1
20.12	6	2	1	140.7	193.62.193.165:1
20.32	5	0	0	134.5	-
20.53	5	1	1	138.5	193.62.193.80:1
20.74	5	1	1	138.9	193.62.193.80:1
20.94	6	1	1	140.7	193.62.193.165:1
21.15	6	1	1	140.7	193.62.193.165:1
21.36	6	1	1	140.7	193.62.193.165:1
21.57	6	1	1	140.7	193.62.193.165:1
21.77	6	1	1	140.7	193.62.193.165:1
21.98	6	1	1	140.7	193.62.193.165:1
22.19	6	1	1	140.7	193.62.193.165:1
22.40	6	2	1	140.7	193.62.193.165:1
22.61	6	2	1	140.7	193.62.193.165:1
22.81	5	0	0	134.6	-
23.02	5	1	1	138.6	193.62.193.80:1
23.23	6	0	0	140.5	-
23.44	6	1	1	140.5	193.62.193.165:1
23.64	6	1	1	140.5	193.62.193.165:1
23.85	6	1	1	140.5	193.62.193.165:1
24.06	6	1	1	140.5	193.62.193.165:1
24.27	6	1	1	140.5	193.62.193.165:1
24.48	6	1	1	140.5	193.62.193.165:1
24.68	6	1	1	140.5	193.62.193.165:1
24.89	6	2	1	140.5	193.62.193.165:1
25.10	6	1	1	140.5	193.62.193.165:1
25.30	5	1	1	138.8	193.62.193.80:1
25.51	5	1	1	139.0	193.62.193.80:1
25.72	6	0	0	140.7	-
25.92	6	1	1	140.7	193.62.193.165:1
26.13	6	1	1	140.7	193.62.193.165:1
26.34	6	1	1	140.7	193.62.193.165:1
26.54	6	1	1	140.7	193.62.193.165:1
26.75	6	1	1	140.7	193.62.193.165:1
26.96	6	1	1	140.7	193.62.193.165:1
27.17	6	2	1	140.7	193.62.193.165:1
27.37	6	2	1	140.7	193.62.193.165:1
27.58	4	0	0	123.9	-
27.78	5	1	1	138.4	193.62.193.80:1
27.99	5	1	1	138.8	193.62.193.80:1
28.20	6	1	1	140.6	193.62.193.165:1
28.41	6	1	1	140.6	193.62.193.165:1
28.62	6	1	1	140.6	193.62.193.165:1
28.82	6	1	1	140.6	193.62.193.165:1
