t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	4	0	0	20.5	-
0.21	5	0	0	65.4	-
0.42	6	1	1	76.4	193.62.193.80:1
0.63	6	2	2	77.3	193.62.193.80:2
0.84	6	2	2	77.3	193.62.193.80:2
1.05	4	2	2	57.5	193.62.193.165:2
1.26	4	2	2	57.8	193.62.193.165:2
1.46	4	2	2	57.8	193.62.193.165:2
1.67	4	2	2	57.8	193.62.193.165:2
1.88	4	17	17	63.2	193.62.193.165:17
2.08	4	25	25	66.4	193.62.193.165:25
2.29	4	25	25	67.5	193.62.193.165:25
2.50	4	25	25	68.8	193.62.193.165:25
2.71	4	25	25	71.4	193.62.193.165:25
2.91	4	25	25	77.1	193.62.193.165:25
3.13	4	25	25	80.2	193.62.193.165:25
3.34	4	25	25	84.6	193.62.193.165:25
3.55	4	25	25	88.9	193.62.193.165:25
3.77	4	25	25	88.7	193.62.193.165:25
3.98	4	25	25	88.7	193.62.193.165:25
4.19	4	25	25	88.6	193.62.193.165:25
4.41	4	25	25	88.1	193.62.193.165:25
4.62	4	25	25	89.5	193.62.193.165:25
4.84	4	25	25	88.9	193.62.193.165:25
5.05	4	25	25	88.7	193.62.193.165:25
5.27	4	25	25	88.9	193.62.193.165:25
5.48	4	25	25	90.1	193.62.193.165:25
5.69	4	25	25	89.0	193.62.193.165:25
5.91	4	25	25	89.6	193.62.193.165:25
6.12	4	25	25	89.0	193.62.193.165:25
6.34	4	25	25	89.0	193.62.193.165:25
6.55	4	25	25	89.0	193.62.193.165:25
6.76	4	25	25	89.0	193.62.193.165:25
6.97	4	25	25	89.0	193.62.193.165:25
7.19	4	25	25	89.0	193.62.193.165:25
7.40	4	25	25	89.0	193.62.193.165:25
7.61	4	25	25	89.0	193.62.193.165:25
7.83	4	25	25	89.0	193.62.193.165:25
8.05	4	25	25	89.0	193.62.193.165:25
8.26	4	25	25	89.0	193.62.193.165:25
8.47	4	25	25	89.0	193.62.193.165:25
8.69	4	25	25	89.0	193.62.193.165:25
8.91	4	25	25	89.0	193.62.193.165:25
9.12	4	25	25	89.0	193.62.193.165:25
9.34	4	25	25	89.0	193.62.193.165:25
9.55	4	25	25	89.0	193.62.193.165:25
9.77	4	25	25	89.0	193.62.193.165:25
9.98	4	25	25	89.0	193.62.193.165:25
10.20	4	25	25	89.0	193.62.193.165:25
10.41	4	25	25	89.0	193.62.193.165:25
10.63	4	25	25	89.0	193.62.193.165:25
10.84	4	25	25	89.0	193.62.193.165:25
11.06	4	25	25	89.0	193.62.193.165:25
11.27	4	25	25	89.0	193.62.193.165:25
11.49	4	25	25	89.0	193.62.193.165:25
11.70	4	25	25	89.0	193.62.193.165:25
11.92	4	25	25	89.0	193.62.193.165:25
12.14	4	25	25	89.0	193.62.193.165:25
12.35	4	25	25	89.0	193.62.193.165:25
12.57	4	25	25	89.0	193.62.193.165:25
12.78	4	25	25	89.0	193.62.193.165:25
13.00	4	25	25	89.0	193.62.193.165:25
13.21	4	25	25	89.0	193.62.193.165:25
13.42	4	25	25	89.0	193.62.193.165:25
13.64	4	25	25	89.0	193.62.193.165:25
13.85	4	25	25	89.0	193.62.193.165:25
14.07	4	25	25	89.0	193.62.193.165:25
14.29	4	25	25	89.0	193.62.193.165:25
14.50	4	25	25	89.0	193.62.193.165:25
14.71	4	25	25	89.0	193.62.193.165:25
14.93	4	25	25	89.0	193.62.193.165:25
15.14	4	25	25	89.0	193.62.193.165:25
15.36	4	25	25	89.0	193.62.193.165:25
15.57	4	25	25	89.0	193.62.193.165:25
15.79	4	25	25	89.0	193.62.193.165:25
16.00	4	25	25	89.0	193.62.193.165:25
16.22	4	25	25	89.0	193.62.193.165:25
16.43	4	25	25	89.0	193.62.193.165:25
16.65	4	25	25	89.0	193.62.193.165:25
16.86	4	25	25	89.0	193.62.193.165:25
17.08	4	25	25	89.0	193.62.193.165:25
17.29	4	25	25	89.0	193.62.193.165:25
17.51	4	25	25	89.0	193.62.193.165:25
17.73	4	25	25	89.0	193.62.193.165:25
17.95	4	25	25	89.0	193.62.193.165:25
18.16	4	25	25	89.0	193.62.193.165:25
18.38	4	25	25	89.0	193.62.193.165:25
18.60	4	25	25	89.0	193.62.193.165:25
18.82	4	25	25	89.0	193.62.193.165:25
19.03	4	25	25	89.0	193.62.193.165:25
19.25	4	25	25	89.0	193.62.193.165:25
19.46	4	25	25	89.0	193.62.193.165:25
