arm	rep	line
adaptiseq-climb-j20	rep1	00:50:50.163 adaptiseq.batch: adaptive probe: workers=20 throughput=653.9Mbps score=-654
adaptiseq-climb-j20	rep1	00:50:59.665 adaptiseq.batch: adaptive probe: workers=9 throughput=1874.8Mbps score=-1875
adaptiseq-climb-j20	rep1	00:51:09.165 adaptiseq.batch: adaptive probe: workers=5 throughput=597.8Mbps score=-598
adaptiseq-climb-j20	rep1	[32mNote[0m: adaptive worker summary: 4 probe(s); best 1875 Mbps at 9 worker(s); last 79 Mbps at 3 worker(s); recent: 20w@654Mbps, 9w@1875Mbps, 5w@598Mbps, 3w@79Mbps
adaptiseq-adaptive-j40	rep1	00:53:02.648 adaptiseq.batch: adaptive probe: workers=1 throughput=684.0Mbps score=-677
adaptiseq-adaptive-j40	rep1	00:53:07.650 adaptiseq.batch: adaptive probe: workers=2 throughput=490.4Mbps score=-481
adaptiseq-adaptive-j40	rep1	00:53:12.651 adaptiseq.batch: adaptive probe: workers=1 throughput=387.9Mbps score=-384
adaptiseq-adaptive-j40	rep1	00:53:17.653 adaptiseq.batch: adaptive probe: workers=2 throughput=231.7Mbps score=-227
adaptiseq-adaptive-j40	rep1	00:53:22.654 adaptiseq.batch: adaptive probe: workers=1 throughput=252.4Mbps score=-250
adaptiseq-adaptive-j40	rep1	00:53:27.655 adaptiseq.batch: adaptive probe: workers=1 throughput=121.5Mbps score=-120
adaptiseq-adaptive-j40	rep1	00:53:32.657 adaptiseq.batch: adaptive probe: workers=1 throughput=24.8Mbps score=-25
adaptiseq-adaptive-j40	rep1	00:53:37.658 adaptiseq.batch: adaptive probe: workers=1 throughput=22.6Mbps score=-22
adaptiseq-adaptive-j40	rep1	00:53:42.660 adaptiseq.batch: adaptive probe: workers=1 throughput=11.0Mbps score=-11
adaptiseq-adaptive-j40	rep1	00:53:47.663 adaptiseq.batch: adaptive probe: workers=1 throughput=14.5Mbps score=-14
adaptiseq-adaptive-j40	rep1	00:53:52.663 adaptiseq.batch: adaptive probe: workers=2 throughput=197.1Mbps score=-193
adaptiseq-adaptive-j40	rep1	00:53:57.664 adaptiseq.batch: adaptive probe: workers=7 throughput=769.5Mbps score=-718
adaptiseq-adaptive-j40	rep1	00:54:02.665 adaptiseq.batch: adaptive probe: workers=11 throughput=1228.8Mbps score=-1101
adaptiseq-adaptive-j40	rep1	00:54:07.667 adaptiseq.batch: adaptive probe: workers=12 throughput=568.1Mbps score=-504
adaptiseq-adaptive-j40	rep1	00:54:12.669 adaptiseq.batch: adaptive probe: workers=7 throughput=763.8Mbps score=-712
adaptiseq-adaptive-j40	rep1	00:54:17.670 adaptiseq.batch: adaptive probe: workers=5 throughput=505.5Mbps score=-481
adaptiseq-adaptive-j40	rep1	00:54:22.672 adaptiseq.batch: adaptive probe: workers=4 throughput=296.0Mbps score=-284
adaptiseq-adaptive-j40	rep1	00:54:27.674 adaptiseq.batch: adaptive probe: workers=3 throughput=82.5Mbps score=-80
adaptiseq-adaptive-j40	rep1	00:54:32.675 adaptiseq.batch: adaptive probe: workers=3 throughput=47.2Mbps score=-46
adaptiseq-adaptive-j40	rep1	00:54:37.677 adaptiseq.batch: adaptive probe: workers=3 throughput=37.5Mbps score=-36
adaptiseq-adaptive-j40	rep1	00:54:42.679 adaptiseq.batch: adaptive probe: workers=3 throughput=45.1Mbps score=-44
adaptiseq-adaptive-j40	rep1	00:54:47.680 adaptiseq.batch: adaptive probe: workers=2 throughput=45.4Mbps score=-44
adaptiseq-adaptive-j40	rep1	00:54:52.682 adaptiseq.batch: adaptive probe: workers=1 throughput=60.1Mbps score=-60
adaptiseq-adaptive-j40	rep1	00:54:57.684 adaptiseq.batch: adaptive probe: workers=1 throughput=11.3Mbps score=-11
adaptiseq-adaptive-j40	rep1	00:55:02.685 adaptiseq.batch: adaptive probe: workers=1 throughput=8.6Mbps score=-8
adaptiseq-adaptive-j40	rep1	00:55:07.687 adaptiseq.batch: adaptive probe: workers=1 throughput=10.5Mbps score=-10
adaptiseq-adaptive-j40	rep1	00:55:12.688 adaptiseq.batch: adaptive probe: workers=1 throughput=9.9Mbps score=-10
adaptiseq-adaptive-j40	rep1	00:55:17.690 adaptiseq.batch: adaptive probe: workers=1 throughput=13.4Mbps score=-13
adaptiseq-adaptive-j40	rep1	00:55:22.691 adaptiseq.batch: adaptive probe: workers=1 throughput=41.8Mbps score=-41
