t_rel_s	workers	mbps
25.76	2	0.00
26.16	2	0.00
26.56	2	0.00
26.96	2	0.83
27.36	2	0.83
27.76	2	1.58
28.17	2	1.58
28.57	2	1.58
28.97	2	2.07
29.37	2	2.07
29.77	2	140.86
30.17	2	140.86
30.57	2	140.86
30.97	1	7.93
31.37	1	7.93
31.78	1	26.09
32.18	1	26.09
32.58	1	26.09
32.98	1	247.34
33.38	1	247.34
33.78	1	241.48
34.18	1	241.48
34.58	1	241.48
34.98	1	226.23
35.38	1	226.23
35.78	2	220.25
36.18	2	220.25
36.58	2	220.25
36.98	2	170.15
37.38	2	170.15
37.78	2	186.12
38.19	2	186.12
38.59	2	186.12
38.99	2	186.07
39.39	2	186.07
39.79	2	197.86
40.19	2	197.86
40.59	2	197.86
40.99	1	208.50
41.39	1	208.50
41.79	1	195.70
42.19	1	195.70
42.59	1	195.70
42.99	1	201.23
43.39	1	201.23
43.79	1	209.03
44.19	1	209.03
44.59	1	209.03
44.99	1	198.68
45.39	1	198.68
45.79	1	203.73
46.20	1	203.73
46.60	1	203.73
47.00	1	88.65
47.40	1	88.65
47.80	1	42.11
48.20	1	42.11
48.60	1	42.11
49.00	1	195.70
49.40	1	195.70
49.80	1	212.00
50.20	1	212.00
50.60	1	212.00
51.00	1	196.52
51.40	1	196.52
51.80	1	168.02
52.20	1	168.02
52.61	1	168.02
53.01	1	129.02
53.41	1	129.02
53.81	1	90.43
54.21	1	90.43
54.61	1	90.43
55.01	1	102.96
55.41	1	102.96
55.81	1	105.97
56.21	1	105.97
56.61	1	105.97
57.01	1	103.90
57.41	1	103.90
57.81	1	114.32
58.21	1	114.32
58.61	1	114.32
59.01	1	42.97
59.41	1	42.97
59.81	1	56.31
60.21	1	56.31
60.61	1	56.31
61.02	1	93.31
61.42	1	93.31
61.82	1	83.00
62.22	1	83.00
62.62	1	83.00
63.02	1	96.13
63.42	1	96.13
63.82	1	96.90
64.22	1	96.90
64.62	1	96.90
65.02	1	101.23
65.42	1	101.23
65.82	2	108.08
66.22	2	108.08
66.63	2	108.08
67.03	2	106.41
67.43	2	106.41
67.83	2	109.32
68.23	2	109.32
68.63	2	109.32
69.03	2	116.77
69.43	2	116.77
69.83	2	119.52
70.23	2	119.52
70.63	2	119.52
71.03	3	123.29
71.43	3	123.29
71.83	3	119.45
72.23	3	119.45
72.63	3	119.45
73.03	3	334.11
73.44	3	334.11
73.84	3	421.84
74.24	3	421.84
74.64	3	421.84
75.04	3	350.11
75.44	3	350.11
75.84	8	260.54
76.24	8	260.54
76.64	8	260.54
77.04	8	264.80
77.44	8	264.80
77.84	8	620.24
78.25	8	620.24
78.65	8	620.24
79.05	8	1733.90
79.45	8	1733.90
79.85	8	1823.54
80.25	8	1823.54
80.65	8	1823.54
81.05	8	1636.27
81.45	8	1636.27
81.85	8	1206.24
82.25	8	1206.24
82.65	8	1206.24
83.05	8	1083.05
83.45	8	1083.05
83.85	8	995.38
84.25	8	995.38
84.65	8	995.38
85.05	8	1114.81
85.45	8	1114.81
85.85	7	1062.06
86.26	7	1062.06
86.66	7	1062.06
87.06	7	1017.19
87.46	7	1017.19
87.86	7	1109.18
88.26	7	1109.18
88.66	7	1109.18
89.06	7	1044.50
89.46	7	1044.50
89.86	7	436.33
90.26	7	436.33
90.66	7	436.33
91.06	8	377.32
91.46	8	377.32
91.86	8	412.80
92.26	8	412.80
92.66	8	412.80
93.06	8	544.72
93.46	8	544.72
93.86	8	363.49
94.26	8	363.49
94.66	8	363.49
95.06	8	290.05
95.46	8	290.05
95.86	4	314.49
96.26	4	314.49
96.66	4	314.49
97.06	4	279.20
97.47	4	279.20
97.87	4	233.13
98.27	4	233.13
98.67	4	233.13
99.07	4	187.36
99.47	4	187.36
99.87	4	191.89
100.27	4	191.89
100.67	4	191.89
101.07	5	194.52
