t_rel_s	workers	mbps
25.76	2	0.00
26.16	2	0.00
26.56	2	0.00
26.96	2	0.83
27.36	2	0.83
27.76	2	2.04
28.16	2	2.04
28.56	2	2.04
28.96	2	3.92
29.36	2	3.92
29.76	2	153.76
30.16	2	153.76
30.56	2	153.76
30.96	2	453.38
31.37	2	453.38
31.77	2	838.07
32.17	2	838.07
32.57	2	838.07
32.97	2	776.33
33.37	2	776.33
33.77	20	832.40
34.17	20	832.40
34.57	20	832.40
34.97	20	837.44
35.37	20	837.44
35.77	20	944.16
36.17	20	944.16
36.57	20	944.16
36.98	20	2905.23
37.39	20	2905.23
37.79	20	3156.17
38.20	20	3156.17
38.60	20	3156.17
39.00	20	3244.66
39.40	20	3244.66
39.80	20	2327.58
40.20	20	2327.58
40.60	20	2327.58
41.00	20	1680.33
41.40	20	1680.33
41.80	20	1946.71
42.20	20	1946.71
42.60	20	1946.71
43.00	15	1851.53
43.41	10	1851.53
43.81	10	2071.00
44.21	10	2071.00
44.61	10	2071.00
45.01	10	1823.69
45.41	10	1823.69
45.81	9	1400.30
46.21	9	1400.30
46.61	9	1400.30
47.01	9	1167.60
47.41	9	1167.60
47.81	9	1141.83
48.21	7	1141.83
48.61	7	1141.83
49.01	7	935.88
49.41	7	935.88
49.81	5	725.89
50.21	4	725.89
50.61	4	725.89
51.01	3	426.46
51.41	3	426.46
51.81	3	212.65
52.21	3	212.65
52.61	3	212.65
53.01	3	181.01
53.41	3	181.01
53.81	3	193.19
54.21	3	193.19
54.61	3	193.19
55.01	3	197.06
55.42	2	197.06
55.82	2	102.95
56.22	2	102.95
56.62	2	102.95
57.02	2	41.08
57.42	2	41.08
57.82	2	41.24
58.22	2	41.24
58.62	2	41.24
59.02	2	36.90
59.42	2	36.90
59.82	2	39.99
60.22	2	39.99
60.62	2	39.99
61.02	2	43.01
61.43	2	43.01
61.83	2	43.57
62.23	2	43.57
62.63	2	43.57
63.03	2	44.02
63.43	2	44.02
63.83	2	42.23
64.23	2	42.23
64.63	2	42.23
65.03	2	25.40
65.43	2	25.40
65.83	2	25.85
66.23	2	25.85
66.63	2	25.85
67.03	2	27.25
67.44	2	27.25
67.84	2	25.13
68.24	2	25.13
68.64	2	25.13
69.04	2	25.84
69.44	1	25.84
69.84	1	18.85
70.24	1	18.85
70.64	1	18.85
71.04	1	13.12
71.44	1	13.12
71.84	1	10.30
72.24	1	10.30
72.64	1	10.30
73.04	1	12.03
73.45	1	12.03
73.85	1	12.92
74.25	1	12.92
74.65	1	12.92
75.05	1	12.85
75.45	1	12.85
75.85	1	13.50
76.25	1	13.50
76.65	1	13.50
77.05	1	13.49
77.45	1	13.49
77.85	1	13.31
78.25	1	13.31
78.65	1	13.31
79.05	1	14.39
79.45	1	14.39
79.85	1	15.93
80.25	1	15.93
80.66	1	15.93
81.06	1	17.98
81.46	1	17.98
81.86	1	22.21
82.26	1	22.21
82.66	1	22.21
83.06	1	27.90
83.46	1	27.90
83.86	1	33.82
84.26	1	33.82
84.66	1	33.82
85.06	1	43.96
85.46	1	43.96
85.86	1	56.76
86.27	1	56.76
86.67	1	56.76
87.07	1	67.97
87.47	1	67.97
87.87	1	87.25
88.27	1	87.25
88.67	1	87.25
89.07	1	91.60
89.47	1	91.60
89.87	1	101.81
90.27	1	101.81
90.67	1	101.81
91.07	1	79.41
91.47	1	79.41
91.87	1	70.80
92.27	1	70.80
92.67	1	70.80
93.07	1	76.33
93.47	1	76.33
93.87	1	78.99
94.27	1	78.99
94.68	1	78.99
95.08	1	79.35
95.48	1	79.35
95.88	1	81.27
96.28	1	81.27
96.68	1	81.27
97.08	1	81.06
97.48	1	81.06
97.88	1	68.15
98.28	1	68.15
98.68	1	68.15
99.08	1	64.83
99.48	1	64.83
99.88	1	55.51
100.28	1	55.51
100.68	1	55.51
101.08	1	41.90
101.48	1	41.90
101.89	1	41.21
102.29	1	41.21
102.69	1	41.21
103.09	1	34.79
103.49	1	34.79
103.89	1	24.12
104.29	1	24.12
104.69	1	24.12
105.09	1	24.36
105.49	1	24.36
105.89	1	20.01
106.29	1	20.01
106.69	1	20.01
107.09	1	20.78
107.49	1	20.78
107.90	1	20.86
108.30	1	20.86
108.70	1	20.86
109.10	1	22.04
109.50	1	22.04
109.90	1	22.13
110.30	1	22.13
110.70	1	22.13
111.10	1	21.44
111.50	1	21.44
111.90	1	22.39
112.30	1	22.39
112.70	1	22.39
113.10	1	23.15
113.50	1	23.15
113.90	1	24.37
114.31	1	24.37
114.71	1	24.37
115.11	1	26.94
115.51	1	26.94
115.91	1	31.48
116.31	1	31.48
116.71	1	31.48
117.11	1	35.87
117.51	1	35.87
117.91	1	43.57
118.31	1	43.57
118.71	1	43.57
119.11	1	53.86
119.51	1	53.86
119.91	1	64.74
120.31	1	64.74
120.71	1	64.74
121.12	1	78.71
121.52	1	78.71
121.92	1	97.49
122.32	1	97.49
122.72	1	97.49
122.82	0	89.36
