t_rel_s	workers	mbps
25.75	20	0.00
26.16	20	0.00
26.56	20	0.00
26.96	20	4.47
27.36	20	4.47
27.76	20	373.13
28.16	20	373.13
28.56	20	373.13
28.97	20	2271.07
29.37	20	2271.07
29.77	20	2982.89
30.18	20	2982.89
30.59	20	2982.89
30.99	20	3344.49
31.39	20	3344.49
31.79	20	3175.26
32.19	20	3175.26
32.59	20	3175.26
32.99	20	2641.66
33.40	20	2641.66
33.80	20	2144.12
34.20	20	2144.12
34.60	20	2144.12
35.00	20	1775.57
35.40	20	1775.57
35.80	20	1596.80
36.20	20	1596.80
36.60	17	1596.80
37.00	14	1410.32
37.40	14	1410.32
37.80	13	1541.79
38.20	13	1541.79
38.60	10	1541.79
39.00	10	1324.87
39.40	10	1324.87
39.80	10	876.09
40.20	10	876.09
40.60	10	876.09
41.00	10	879.47
41.40	10	879.47
41.80	9	821.21
42.20	9	821.21
42.60	9	821.21
43.00	9	690.00
43.40	9	690.00
43.80	8	607.28
44.20	8	607.28
44.60	8	607.28
45.00	8	517.15
45.40	8	517.15
45.80	8	428.98
46.20	8	428.98
46.60	8	428.98
47.00	8	377.57
47.40	8	377.57
47.80	8	303.08
48.21	8	303.08
48.61	7	303.08
49.01	7	279.97
49.41	7	279.97
49.81	7	260.88
50.21	7	260.88
50.61	7	260.88
51.01	7	264.85
51.41	7	264.85
51.81	7	279.35
52.21	7	279.35
52.61	7	279.35
53.01	7	282.48
53.41	7	282.48
53.81	6	265.77
54.21	6	265.77
54.61	6	265.77
55.01	6	195.60
55.41	6	195.60
55.81	6	181.62
56.21	6	181.62
56.61	6	181.62
57.01	6	165.42
57.41	6	165.42
57.81	6	163.53
58.21	6	163.53
58.61	6	163.53
59.01	6	160.75
59.41	6	160.75
59.82	6	159.24
60.22	5	159.24
60.62	5	159.24
61.02	5	118.18
61.42	5	118.18
61.82	4	84.73
62.22	4	84.73
62.62	4	84.73
63.02	4	50.29
63.42	4	50.29
63.82	4	51.55
64.22	4	51.55
64.62	4	51.55
65.02	4	52.50
65.42	4	52.50
65.82	4	50.51
66.22	4	50.51
66.62	4	50.51
67.02	4	53.01
67.43	4	53.01
67.83	4	57.19
68.23	4	57.19
68.63	4	57.19
69.03	4	62.85
69.43	4	62.85
69.83	4	70.85
70.23	4	70.85
70.63	4	70.85
71.03	4	72.01
71.43	4	72.01
71.83	4	77.09
72.23	4	77.09
72.63	4	77.09
73.03	4	86.72
73.43	4	86.72
73.83	4	96.69
74.23	4	96.69
74.64	4	96.69
75.04	4	108.85
75.44	4	108.85
75.84	4	126.14
76.24	4	126.14
76.64	4	126.14
77.04	4	139.00
77.44	4	139.00
77.84	4	151.73
78.24	4	151.73
78.64	4	151.73
79.04	4	136.87
79.44	4	136.87
79.84	4	133.53
80.24	4	133.53
80.64	4	133.53
81.04	4	141.09
81.44	3	141.09
81.84	3	118.22
82.24	3	118.22
82.64	3	118.22
83.04	3	100.50
83.45	3	100.50
83.85	3	103.61
84.25	3	103.61
84.65	2	103.61
85.05	2	89.80
85.45	2	89.80
85.85	2	38.75
86.25	2	38.75
86.65	1	38.75
87.05	1	34.08
87.46	1	34.08
87.86	1	19.77
88.26	1	19.77
88.66	1	19.77
89.06	1	20.47
89.46	1	20.47
89.86	1	21.82
90.26	1	21.82
90.66	1	21.82
91.06	1	23.28
91.46	1	23.28
91.86	1	27.32
92.27	1	27.32
92.67	1	27.32
93.07	1	32.57
93.33	0	32.57
