t_rel_s	workers	mbps
1.60	2	0.00
2.00	2	0.00
2.40	2	0.00
2.80	2	0.76
3.20	2	0.76
3.60	2	242.22
4.00	2	242.22
4.40	2	242.22
4.80	2	733.37
5.20	2	733.37
5.60	2	779.89
6.00	2	779.89
6.41	2	779.89
6.81	1	813.08
7.21	1	813.08
7.61	1	837.95
8.01	1	837.95
8.41	1	837.95
8.81	1	889.25
9.21	1	889.25
9.61	1	910.44
10.01	1	910.44
10.41	1	910.44
10.81	1	915.33
11.21	1	915.33
11.61	2	929.24
12.01	2	929.24
12.41	2	929.24
12.81	2	950.73
13.21	2	950.73
13.61	2	949.75
14.01	2	949.75
14.41	2	949.75
14.81	2	732.37
15.21	2	732.37
15.61	2	414.90
16.01	2	414.90
16.41	2	414.90
16.81	1	411.38
17.22	1	411.38
17.62	1	436.12
18.02	1	436.12
18.42	1	436.12
18.82	1	445.79
19.22	1	445.79
19.62	1	346.32
20.02	1	346.32
20.42	1	346.32
20.82	1	365.85
21.22	1	365.85
21.62	2	387.98
22.02	2	387.98
22.42	2	387.98
22.82	2	406.26
23.22	2	406.26
23.62	2	431.41
24.02	2	431.41
24.42	2	431.41
24.82	2	434.93
25.22	2	434.93
25.62	2	444.57
26.02	2	444.57
26.42	2	444.57
26.83	3	453.91
27.23	3	453.91
27.63	3	277.67
28.03	3	277.67
28.43	3	277.67
28.83	3	392.32
29.23	3	392.32
29.63	3	703.10
30.03	3	703.10
30.43	3	703.10
30.83	3	717.45
31.23	3	717.45
31.63	4	680.56
32.03	4	680.56
32.43	4	680.56
32.83	4	669.14
33.23	4	669.14
33.63	4	971.66
34.03	4	971.66
34.43	4	971.66
34.84	4	1219.08
35.24	4	1219.08
35.64	4	972.89
36.04	4	972.89
36.44	4	972.89
36.84	7	935.26
37.24	7	935.26
37.64	7	906.29
38.04	7	906.29
38.44	7	906.29
38.85	7	1435.81
39.25	7	1435.81
39.65	7	2316.94
40.05	7	2316.94
40.45	7	2316.94
40.85	7	2002.70
41.25	7	2002.70
41.65	9	2063.59
42.05	9	2063.59
42.45	9	2063.59
42.85	9	2158.95
43.26	9	2158.95
43.67	9	2079.59
44.07	9	2079.59
44.47	9	2079.59
44.87	9	2450.17
45.28	9	2450.17
45.68	9	2850.54
46.08	9	2850.54
46.48	9	2850.54
46.88	11	2436.02
47.28	11	2436.02
47.68	11	2177.02
48.08	11	2177.02
48.48	11	2177.02
48.88	11	2122.77
49.28	11	2122.77
49.69	11	2413.65
50.09	11	2413.65
50.49	11	2413.65
50.89	11	3024.14
51.29	11	3024.14
51.69	12	3039.55
52.10	12	3039.55
52.50	12	3039.55
52.90	12	3006.43
53.30	12	3006.43
53.71	12	3110.44
54.11	12	3110.44
54.51	12	3110.44
54.91	12	3508.80
55.31	12	3508.80
55.72	12	3602.63
56.12	12	3602.63
56.52	12	3602.63
56.92	12	3632.00
57.33	12	3632.00
57.73	12	3354.85
58.13	12	3354.85
58.53	12	3354.85
58.94	12	3243.87
59.34	12	3243.87
59.74	12	3228.97
60.14	12	3228.97
60.54	12	3228.97
61.20	12	3258.34
61.61	12	3258.34
62.01	11	2571.78
62.41	11	2571.78
62.81	11	2377.66
63.21	11	2377.66
63.62	11	2377.66
64.02	11	2495.74
64.42	11	2495.74
64.82	11	2573.00
65.22	11	2573.00
65.62	11	2573.00
66.23	11	2715.79
66.63	11	2715.79
67.03	13	2158.88
67.43	13	2158.88
67.83	13	2256.53
68.23	13	2256.53
68.64	13	2256.53
69.04	13	2570.13
69.44	13	2570.13
69.84	13	2638.07
70.25	13	2638.07
70.65	13	2638.07
71.05	13	2632.43
71.45	13	2632.43
71.85	12	2765.59
72.25	12	2765.59
72.65	12	2765.59
73.05	12	2782.29
73.46	12	2782.29
73.86	12	3058.19
74.26	12	3058.19
74.66	12	3058.19
75.06	12	2804.24
75.46	12	2804.24
75.87	12	2637.02
76.27	12	2637.02
76.67	12	2637.02
77.07	10	2528.93
77.47	10	2528.93
77.87	10	2572.53
78.27	10	2572.53
78.68	10	2572.53
79.08	10	2601.90
79.48	10	2601.90
79.89	10	3259.13
80.29	10	3259.13
80.69	10	3259.13
81.10	10	3578.33
81.50	10	3578.33
81.91	9	3806.27
82.32	9	3806.27
82.73	9	3848.19
83.13	9	3848.19
83.54	9	3848.19
83.94	9	3886.61
84.34	9	3886.61
84.74	9	3087.66
85.14	9	3087.66
85.54	9	3087.66
86.26	9	2860.14
86.68	9	2860.14
87.08	8	2368.76
87.48	8	2368.76
87.88	8	2895.60
88.28	8	2895.60
88.68	7	2895.60
89.08	7	2078.12
89.48	7	2078.12
89.88	7	1925.45
90.28	7	1925.45
90.68	7	1925.45
91.28	7	1947.62
91.68	7	1947.62
92.08	7	1647.01
92.48	7	1647.01
92.88	7	1749.10
93.28	7	1749.10
93.69	7	1749.10
94.09	7	1808.42
94.49	7	1808.42
94.89	7	1833.66
95.29	7	1833.66
95.69	7	1833.66
96.09	6	1781.91
96.49	6	1781.91
96.89	6	1503.66
97.29	6	1503.66
97.69	6	1503.66
98.09	6	1424.28
98.50	6	1424.28
98.90	6	1388.82
99.30	6	1388.82
99.70	6	1388.82
100.10	6	1207.08
100.50	6	1207.08
100.90	6	1201.41
101.30	6	1201.41
101.70	6	1201.41
102.10	5	1062.51
102.50	5	1062.51
102.90	5	938.14
103.30	5	938.14
103.70	5	938.14
104.10	5	944.62
104.50	5	944.62
104.90	5	986.80
105.30	5	986.80
105.70	5	986.80
106.10	5	956.59
106.50	5	956.59
106.90	4	1006.29
107.30	4	1006.29
107.70	4	1006.29
108.10	4	1042.47
108.50	3	1042.47
108.90	3	1042.96
109.30	3	1042.96
109.70	3	1042.96
110.10	3	847.81
110.50	3	847.81
110.90	3	720.73
111.30	3	720.73
111.71	3	720.73
112.11	3	679.99
112.51	3	679.99
112.91	3	670.67
113.31	3	670.67
113.71	3	670.67
114.11	3	585.38
114.51	3	585.38
114.91	3	476.72
115.31	3	476.72
115.71	3	476.72
116.11	3	503.17
116.51	3	503.17
116.91	3	537.52
117.31	3	537.52
117.71	3	537.52
118.11	3	576.31
118.51	3	576.31
118.91	3	616.27
119.31	3	616.27
119.71	3	616.27
120.11	3	663.73
120.51	3	663.73
120.91	3	632.63
121.31	3	632.63
121.71	3	632.63
122.11	3	503.13
122.51	3	503.13
