t_rel_s	workers	mbps
1.60	2	0.00
2.00	2	0.00
2.40	2	0.00
2.80	2	0.06
3.20	2	0.06
3.61	2	86.55
4.01	2	86.55
4.41	2	86.55
4.81	2	1170.81
5.21	2	1170.81
5.61	2	1698.27
6.01	2	1698.27
6.41	2	1698.27
6.81	2	1650.16
7.21	2	1650.16
7.61	2	1709.49
8.01	2	1709.49
8.41	2	1709.49
8.81	2	1773.39
9.21	2	1773.39
9.61	16	1821.81
10.01	16	1821.81
10.41	16	1821.81
10.81	16	1856.79
11.21	16	1856.79
11.62	16	2641.00
12.03	16	2641.00
12.44	16	2641.00
12.85	16	4563.59
13.26	16	4563.59
13.66	16	4470.40
14.06	16	4470.40
14.47	16	4470.40
14.87	16	4269.95
15.27	16	4269.95
15.67	16	4221.42
16.07	16	4221.42
16.47	16	4221.42
16.88	16	3847.92
17.28	16	3847.92
17.68	16	3458.49
18.08	16	3458.49
18.48	16	3458.49
18.88	16	3224.63
19.28	8	3224.63
19.68	8	2950.94
20.08	8	2950.94
20.48	8	2950.94
20.89	8	2988.96
21.29	8	2988.96
21.69	8	3047.98
22.09	8	3047.98
22.49	8	3047.98
22.89	8	2646.15
23.29	8	2646.15
23.69	8	2145.86
24.09	8	2145.86
24.49	8	2145.86
24.89	8	2155.38
25.29	8	2155.38
25.70	8	2179.60
26.10	8	2179.60
26.50	8	2179.60
26.96	8	1556.45
27.36	8	1556.45
27.76	8	1556.45
28.16	8	2272.66
28.57	8	2272.66
28.97	14	1800.06
29.37	14	1800.06
29.77	14	1800.06
30.17	14	1832.76
30.57	14	1832.76
30.97	14	1949.48
31.37	14	1949.48
31.77	14	1949.48
32.17	14	1896.38
32.57	14	1896.38
32.97	14	1755.84
33.37	14	1755.84
33.77	14	1755.84
34.17	14	1824.10
34.57	14	1824.10
34.97	14	1877.34
35.37	14	1877.34
35.78	14	1877.34
36.18	14	1749.42
36.58	14	1749.42
36.98	14	1267.82
37.38	14	1267.82
37.78	14	1267.82
38.18	14	1051.87
38.58	14	1051.87
38.98	14	946.48
39.38	14	946.48
39.78	14	946.48
40.18	14	944.02
40.58	14	944.02
40.98	14	1390.07
41.38	14	1390.07
41.78	14	1390.07
42.18	14	1798.70
42.59	14	1798.70
42.99	14	2492.50
43.39	14	2492.50
43.80	14	2492.50
44.21	14	3449.52
44.62	14	3449.52
45.03	14	3631.95
45.44	14	3631.95
45.85	14	3631.95
46.26	14	3596.36
46.67	14	3596.36
47.08	14	3525.91
47.48	14	3525.91
47.88	14	3525.91
48.29	14	3267.70
48.69	14	3267.70
49.09	14	3258.23
49.49	14	3258.23
49.89	14	3258.23
50.30	14	3051.08
50.70	14	3051.08
51.10	14	2931.03
51.50	14	2931.03
51.90	13	2931.03
52.30	13	2869.43
52.71	13	2869.43
53.11	13	2742.11
53.51	13	2742.11
53.91	13	2742.11
54.32	13	2606.68
54.72	13	2606.68
55.12	13	2632.33
55.52	13	2632.33
55.93	13	2632.33
56.33	13	2686.62
57.10	13	2686.62
57.51	13	1736.24
57.91	13	1736.24
58.31	13	3178.80
58.71	13	3178.80
59.11	13	2518.07
59.51	13	2518.07
59.91	13	2518.07
60.31	13	2589.51
60.71	13	2589.51
61.12	13	2512.50
61.52	13	2512.50
61.94	13	2512.50
62.34	13	2098.22
62.74	13	2098.22
63.14	13	1939.68
63.54	13	1939.68
63.94	13	1939.68
64.35	13	1580.50
64.75	13	1580.50
65.15	13	1236.88
65.55	13	1236.88
65.95	13	1236.88
66.35	13	1128.87
66.75	13	1128.87
67.15	13	1164.24
67.55	13	1164.24
67.95	13	1164.24
68.35	13	1190.54
68.75	13	1190.54
69.15	13	1204.00
69.55	13	1204.00
69.95	13	1204.00
70.35	13	1120.91
70.75	13	1120.91
71.15	13	1108.34
71.55	12	1108.34
71.95	12	1108.34
72.35	12	1063.22
72.75	12	1063.22
73.15	12	1011.72
73.56	12	1011.72
73.96	12	1011.72
74.36	11	867.73
74.76	11	867.73
75.16	11	810.36
75.56	11	810.36
75.96	11	810.36
76.36	11	839.65
76.76	11	839.65
77.16	11	736.84
77.56	11	736.84
77.96	11	736.84
78.36	11	774.51
78.76	11	774.51
79.16	11	914.50
79.56	11	914.50
79.96	11	914.50
80.36	11	764.71
80.76	11	764.71
81.16	11	825.72
81.56	11	825.72
81.96	11	825.72
82.36	11	860.44
82.76	11	860.44
83.16	11	919.00
83.56	11	919.00
83.96	11	919.00
84.36	11	738.37
84.76	11	738.37
85.16	10	507.60
85.56	10	507.60
85.96	10	507.60
86.36	10	465.42
86.76	10	465.42
87.17	10	459.76
87.57	10	459.76
87.97	10	459.76
88.37	10	396.31
88.77	10	396.31
89.17	10	392.86
89.57	10	392.86
89.97	10	392.86
90.37	10	400.44
90.77	10	400.44
91.17	10	409.14
91.57	10	409.14
91.97	10	409.14
92.37	10	430.31
92.77	10	430.31
93.17	10	495.79
93.57	10	495.79
93.97	10	495.79
94.37	10	524.39
94.77	10	524.39
95.17	10	542.17
95.57	10	542.17
95.97	10	542.17
96.37	10	562.96
96.77	10	562.96
97.17	10	557.51
97.57	10	557.51
97.97	10	557.51
98.37	10	490.18
98.77	10	490.18
99.17	10	510.34
99.57	10	510.34
99.97	9	510.34
100.37	9	504.12
100.77	9	504.12
101.18	9	482.36
101.58	9	482.36
101.98	9	482.36
102.38	9	480.19
102.78	9	480.19
103.18	9	504.04
103.58	9	504.04
103.98	9	504.04
104.38	9	554.74
104.78	9	554.74
105.18	9	570.47
105.58	9	570.47
105.98	9	570.47
106.38	9	582.09
106.78	9	582.09
107.18	9	638.65
107.58	9	638.65
107.98	9	638.65
108.38	9	680.69
108.78	9	680.69
109.18	9	711.49
109.58	9	711.49
109.98	9	711.49
110.38	9	749.15
110.78	9	749.15
111.18	9	729.98
111.58	9	729.98
111.98	9	729.98
112.38	9	732.46
112.78	9	732.46
113.18	9	771.21
113.58	9	771.21
113.99	9	771.21
114.39	9	812.98
114.79	9	812.98
115.19	9	843.13
115.59	9	843.13
115.99	8	843.13
116.39	8	695.32
116.79	7	695.32
117.19	7	634.38
117.59	7	634.38
117.99	7	634.38
118.39	7	675.98
118.79	7	675.98
119.19	7	686.73
119.59	7	686.73
119.99	7	686.73
120.39	6	663.75
120.79	6	663.75
121.19	6	488.37
121.59	6	488.37
121.99	6	488.37
