t_rel_s	workers	mbps
1.60	8	0.00
2.00	8	0.00
2.40	8	0.00
2.80	8	0.00
3.20	8	0.00
3.60	8	76.10
4.00	8	76.10
4.40	8	76.10
4.80	8	2419.72
5.21	8	2419.72
5.61	8	3922.95
6.01	8	3922.95
6.42	8	3922.95
6.82	8	3892.23
7.22	8	3892.23
7.62	8	4047.71
8.02	8	4047.71
8.43	8	4047.71
8.83	8	4001.49
9.23	8	4001.49
9.63	8	3999.32
10.04	8	3999.32
10.44	8	3999.32
10.84	8	3900.45
11.24	8	3900.45
11.64	8	3068.38
12.04	8	3068.38
12.44	8	3068.38
12.84	8	2493.57
13.24	8	2493.57
13.64	8	2388.68
14.05	8	2388.68
14.45	8	2388.68
14.85	8	2294.55
15.25	8	2294.55
15.65	8	2367.97
16.05	8	2367.97
16.45	8	2367.97
16.85	8	2385.32
17.25	8	2385.32
17.65	8	2407.15
18.05	8	2407.15
18.45	8	2407.15
18.85	8	2434.93
19.25	8	2434.93
19.65	8	2425.33
20.05	8	2425.33
20.45	8	2425.33
20.86	8	2129.68
21.26	8	2129.68
21.66	8	1946.98
22.06	8	1946.98
22.46	8	1946.98
22.87	8	1937.41
23.27	8	1937.41
23.67	8	1733.47
24.07	8	1733.47
24.47	8	1733.47
24.87	8	1631.96
25.27	8	1631.96
25.67	8	1757.63
26.07	8	1757.63
26.47	8	1757.63
26.87	8	1680.37
27.28	8	1680.37
27.68	8	1550.66
28.20	8	1550.66
28.60	8	1550.66
29.00	8	1390.97
29.40	8	1390.97
29.80	8	1533.23
30.20	8	1533.23
30.60	8	1533.23
31.00	8	1691.66
31.40	8	1691.66
31.80	8	1730.84
32.20	8	1730.84
32.60	8	1730.84
33.00	8	1772.63
33.40	8	1772.63
33.80	8	1806.24
34.20	8	1806.24
34.60	8	1806.24
35.00	8	1871.66
35.41	8	1871.66
35.81	8	1997.60
36.21	8	1997.60
36.61	8	1997.60
37.01	8	2032.05
37.41	8	2032.05
37.81	8	2041.71
38.21	8	2041.71
38.61	8	2041.71
39.01	8	1902.24
39.41	8	1902.24
39.81	8	1571.22
40.21	8	1571.22
40.61	8	1571.22
