t_rel_s	workers	mbps
4.41	2	0.00
4.81	2	0.00
5.21	2	0.00
5.61	2	0.27
6.01	2	0.27
6.41	2	42.03
6.81	2	42.03
7.21	2	42.03
7.61	2	84.51
8.01	2	84.51
8.41	2	118.18
8.81	2	118.18
9.22	2	118.18
9.62	1	79.91
10.02	1	79.91
10.42	1	73.88
10.82	1	73.88
11.22	1	73.88
11.62	1	72.52
12.02	1	72.52
12.42	1	46.20
12.82	1	46.20
13.22	1	46.20
13.62	1	35.51
14.02	1	35.51
14.42	2	35.00
14.82	2	35.00
15.22	2	35.00
15.62	2	23.24
16.02	2	23.24
16.43	2	288.24
16.83	2	288.24
17.23	2	288.24
17.63	2	473.55
18.03	2	473.55
18.43	2	394.25
18.83	2	394.25
19.23	2	394.25
19.63	6	456.96
20.03	6	456.96
20.43	6	1249.26
20.83	6	1249.26
21.23	6	1249.26
21.63	6	1806.64
22.03	6	1806.64
22.43	6	1844.38
22.83	6	1844.38
23.23	6	1844.38
23.63	6	1823.58
24.03	5	1823.58
24.43	5	1663.31
24.83	5	1663.31
25.23	5	1663.31
25.63	5	1400.81
26.03	5	1400.81
26.43	5	1575.99
26.83	5	1575.99
27.23	5	1575.99
27.63	5	1534.01
28.04	5	1534.01
28.44	5	1522.41
28.84	4	1522.41
29.24	4	1522.41
29.64	4	1274.53
30.04	4	1274.53
30.44	4	1196.30
30.84	4	1196.30
31.24	2	1196.30
31.64	2	812.26
32.04	2	812.26
32.44	2	319.25
32.84	2	319.25
33.24	2	319.25
33.64	2	372.63
34.04	2	372.63
34.44	2	328.63
34.84	2	328.63
35.24	2	328.63
35.64	2	375.85
36.04	2	375.85
36.44	1	378.77
36.84	1	378.77
37.24	1	378.77
37.64	1	17.98
38.05	1	17.98
38.45	1	16.13
38.85	1	16.13
39.25	1	16.13
39.65	1	14.20
40.05	1	14.20
40.45	1	16.70
40.85	1	16.70
41.25	1	16.70
41.65	1	18.17
42.05	1	18.17
42.45	1	17.14
42.85	1	17.14
43.25	1	17.14
43.65	1	18.04
44.05	1	18.04
44.45	1	18.55
44.85	1	18.55
45.25	1	18.55
45.66	1	17.47
46.06	1	17.47
46.46	1	19.05
46.86	1	19.05
47.26	1	19.05
47.66	1	16.95
48.06	1	16.95
48.46	1	14.71
48.86	1	14.71
49.26	1	14.71
49.66	1	10.11
50.06	1	10.11
50.46	1	7.29
50.87	1	7.29
51.27	1	7.29
51.67	1	8.00
52.07	1	8.00
52.47	1	8.12
52.87	1	8.12
53.27	1	8.12
53.67	1	7.48
54.07	1	7.48
54.47	1	4.73
54.87	1	4.73
55.27	1	4.73
55.67	1	4.02
56.07	1	4.02
56.47	1	4.60
56.87	1	4.60
57.28	1	4.60
57.68	1	5.11
58.08	1	5.11
58.48	1	5.56
58.88	1	5.56
59.28	1	5.56
59.68	1	6.33
60.08	1	6.33
60.48	1	6.78
60.88	1	6.78
61.28	1	6.78
61.68	1	7.80
62.09	1	7.80
62.49	1	10.94
62.89	1	10.94
63.29	1	10.94
63.69	1	10.74
64.09	1	10.74
64.49	1	11.77
64.89	1	11.77
65.29	1	11.77
65.69	1	12.79
66.09	1	12.79
66.49	1	10.92
66.89	1	10.92
67.29	1	10.92
67.70	1	10.42
68.10	1	10.42
68.50	1	8.95
68.90	1	8.95
69.30	1	8.95
69.70	1	6.65
70.10	1	6.65
70.50	1	6.08
70.90	1	6.08
71.30	1	6.08
71.70	1	5.88
72.11	1	5.88
72.51	1	6.26
72.91	1	6.26
73.31	1	6.26
73.71	1	7.16
74.11	1	7.16
74.51	1	7.23
74.91	1	7.23
75.31	1	7.23
75.71	1	7.93
76.11	1	7.93
76.51	1	7.79
76.91	1	7.79
77.31	1	7.79
77.71	1	6.46
78.11	1	6.46
78.51	1	5.76
78.92	1	5.76
79.32	1	5.76
79.72	1	6.32
80.12	1	6.32
80.52	1	6.53
80.92	1	6.53
81.32	1	6.53
81.72	1	7.10
82.12	1	7.10
82.52	1	7.86
82.92	1	7.86
83.32	1	7.86
83.72	1	7.61
84.12	1	7.61
84.52	1	6.78
84.93	1	6.78
85.33	1	6.78
85.73	1	8.19
86.13	1	8.19
86.53	1	8.19
86.93	1	8.19
87.33	1	8.19
87.73	1	8.44
88.13	1	8.44
88.53	1	8.77
88.93	1	8.77
89.33	1	8.77
89.73	1	8.70
90.14	1	8.70
90.54	1	9.46
90.94	1	9.46
91.34	1	9.46
91.74	1	11.13
92.14	1	11.13
92.54	1	12.79
92.94	1	12.79
93.34	1	12.79
93.74	1	16.70
94.14	1	16.70
94.54	1	22.84
94.94	1	22.84
95.34	1	22.84
95.74	1	28.23
96.15	1	28.23
96.55	1	33.44
96.95	1	33.44
97.35	1	33.44
97.75	1	32.22
98.15	1	32.22
98.55	1	34.55
98.95	1	34.55
99.35	1	34.55
99.75	1	36.46
100.00	0	36.46
