t_rel_s	workers	mbps
4.27	2	0.00
4.67	2	0.00
5.07	2	0.00
5.47	2	0.63
5.87	2	0.63
6.27	2	88.24
6.67	2	88.24
7.07	2	88.24
7.47	2	67.25
7.87	2	67.25
8.27	2	20.37
8.67	2	20.37
9.07	2	20.37
9.48	2	328.92
9.88	2	328.92
10.28	2	578.99
10.68	2	578.99
11.08	2	578.99
11.48	2	588.15
11.88	2	588.15
12.28	7	598.48
12.68	7	598.48
13.08	6	598.48
13.48	6	1108.93
13.88	6	1108.93
14.28	6	1929.20
14.68	6	1929.20
15.09	6	1929.20
15.49	6	2142.91
15.89	6	2142.91
16.29	6	1941.03
16.69	6	1941.03
17.09	6	1941.03
17.49	5	1884.26
17.89	5	1884.26
18.29	5	1622.45
18.69	5	1622.45
19.09	5	1622.45
19.49	5	1601.88
19.89	5	1601.88
20.29	5	1469.53
20.69	5	1469.53
21.09	5	1469.53
21.49	4	1567.79
21.89	3	1567.79
22.29	3	1189.51
22.69	3	1189.51
23.09	3	1189.51
23.49	3	1229.89
23.89	3	1229.89
24.29	3	1136.25
24.69	2	1136.25
25.10	2	1136.25
25.50	2	531.87
25.90	2	531.87
26.30	2	379.44
26.70	2	379.44
27.10	1	379.44
27.50	1	226.20
27.90	1	226.20
28.30	1	13.48
28.70	1	13.48
29.10	1	13.48
29.50	1	15.46
29.90	1	15.46
30.30	1	16.06
30.70	1	16.06
31.10	1	16.06
31.50	1	15.41
31.90	1	15.41
32.30	1	17.18
32.71	1	17.18
33.11	1	17.18
33.51	1	14.71
33.91	1	14.71
34.31	1	11.90
34.71	1	11.90
35.11	1	11.90
35.51	1	7.93
35.91	1	7.93
36.31	1	8.89
36.71	1	8.89
37.11	1	8.89
37.51	1	8.96
37.91	1	8.96
38.31	1	9.14
38.72	1	9.14
39.12	1	9.14
39.52	1	10.11
39.92	1	10.11
40.32	1	10.37
40.72	1	10.37
41.12	1	10.37
41.52	1	9.90
41.92	1	9.90
42.32	1	9.28
42.72	1	9.28
43.12	1	9.28
43.52	1	10.22
43.92	1	10.22
44.33	1	9.46
44.73	1	9.46
45.13	1	9.46
45.53	1	7.67
45.93	1	7.67
46.33	1	6.71
46.73	1	6.71
47.13	1	6.71
47.53	1	5.36
47.93	1	5.36
48.33	1	4.67
48.73	1	4.67
49.13	1	4.67
49.53	1	4.61
49.93	1	4.61
50.33	1	4.29
50.73	1	4.29
51.14	1	4.29
51.54	1	4.22
51.94	1	4.22
52.34	1	3.97
52.74	1	3.97
53.14	1	3.97
53.54	1	3.52
53.94	1	3.52
54.34	1	3.77
54.57	0	3.77
