t_rel_s	workers	mbps
4.24	18	0.00
4.64	18	0.00
5.04	8	0.00
5.44	8	1207.99
5.84	7	1207.99
6.24	7	2284.17
6.64	7	2284.17
7.04	7	2284.17
7.44	7	2256.29
7.84	7	2256.29
8.24	6	2161.79
8.64	6	2161.79
9.04	6	2161.79
9.44	6	2058.47
9.84	5	2058.47
10.24	5	1727.76
10.64	5	1727.76
11.04	5	1727.76
11.44	5	1637.31
11.84	5	1637.31
12.24	4	1588.86
12.65	4	1588.86
13.05	4	1588.86
13.45	4	1306.79
13.85	4	1306.79
14.25	4	1332.43
14.65	4	1332.43
15.05	3	1332.43
15.45	3	1266.65
15.85	3	1266.65
16.25	3	954.60
16.65	3	954.60
17.05	3	954.60
17.45	3	805.90
17.85	2	805.90
18.25	1	454.81
18.65	1	454.81
19.05	1	454.81
19.45	1	142.05
19.85	1	142.05
20.25	1	146.52
20.65	1	146.52
21.05	1	146.52
21.46	1	133.87
21.86	1	133.87
22.26	1	120.49
22.66	1	120.49
23.06	1	120.49
23.46	1	120.22
23.86	1	120.22
24.26	1	106.03
24.66	1	106.03
25.06	1	106.03
25.46	1	113.82
25.86	1	113.82
26.26	1	120.51
26.66	1	120.51
27.06	1	120.51
27.46	1	128.41
27.86	1	128.41
28.26	1	136.43
28.66	1	136.43
29.06	1	136.43
29.44	0	143.45
