t_rel_s	workers	mbps
1.17	2	0.00
1.57	2	0.00
1.97	2	0.00
2.37	2	0.00
2.77	2	0.00
3.17	2	41.62
3.57	2	41.62
3.97	2	41.62
4.37	2	675.88
4.77	2	675.88
5.17	2	1315.72
5.57	2	1315.72
5.97	2	1315.72
6.37	1	1360.36
6.77	1	1360.36
7.17	1	1071.54
7.57	1	1071.54
7.97	1	1071.54
8.37	1	615.70
8.77	1	615.70
9.17	1	341.42
9.58	1	341.42
9.98	1	341.42
10.38	1	247.50
10.78	1	247.50
11.18	2	204.48
11.58	2	204.48
11.98	2	204.48
12.38	2	169.99
12.78	2	169.99
13.18	2	149.99
13.58	2	149.99
13.98	2	149.99
14.38	2	151.06
14.78	2	151.06
15.18	2	146.84
15.58	2	146.84
15.98	2	146.84
16.38	1	149.04
16.78	1	149.04
17.18	1	148.71
17.58	1	148.71
17.98	1	148.71
18.38	1	141.37
18.78	1	141.37
19.18	1	147.57
19.58	1	147.57
19.99	1	147.57
20.39	1	148.16
20.79	1	148.16
21.19	2	153.54
21.59	2	153.54
21.99	2	153.54
22.39	2	163.95
22.79	2	163.95
23.19	2	161.49
23.59	2	161.49
23.99	2	161.49
24.39	2	140.27
24.79	2	140.27
25.19	2	157.36
25.59	2	157.36
25.99	2	157.36
26.39	3	168.82
26.79	3	168.82
27.19	3	187.92
27.59	3	187.92
27.99	3	187.92
28.39	3	294.10
28.79	3	294.10
29.19	3	696.74
29.59	3	696.74
29.99	3	696.74
30.40	3	976.28
30.80	3	976.28
31.20	8	1025.07
31.60	8	1025.07
32.00	8	1025.07
32.40	8	1029.76
32.80	8	1029.76
33.20	8	1265.36
33.60	8	1265.36
34.00	8	1265.36
34.40	8	2140.46
34.80	8	2140.46
35.20	8	2467.09
35.60	8	2467.09
36.00	8	2467.09
36.40	8	2939.97
36.81	8	2939.97
37.21	8	2790.73
37.61	8	2790.73
38.01	8	2790.73
38.41	8	2304.09
38.81	8	2304.09
39.21	8	1954.12
39.61	8	1954.12
40.01	8	1954.12
40.41	8	1949.65
40.81	8	1949.65
41.21	8	2009.20
41.61	8	2009.20
42.01	8	2009.20
42.41	8	1956.82
42.81	8	1956.82
43.21	8	1973.45
43.61	8	1973.45
44.01	8	1973.45
44.41	8	1884.29
44.81	8	1884.29
45.22	8	2048.31
45.62	8	2048.31
46.02	8	2048.31
46.42	7	2009.87
46.82	7	2009.87
47.22	7	1967.00
47.62	7	1967.00
48.02	7	1967.00
48.42	7	1780.36
48.82	7	1780.36
49.22	7	1793.21
49.62	7	1793.21
50.02	7	1793.21
50.43	7	1780.23
50.83	7	1780.23
51.23	8	1717.40
51.63	8	1717.40
52.03	8	1717.40
52.43	8	1450.01
52.83	8	1450.01
53.23	8	1239.24
53.63	8	1239.24
54.03	8	1239.24
54.43	8	1083.22
54.83	8	1083.22
55.23	8	1040.60
55.63	8	1040.60
56.04	8	1040.60
56.44	5	1065.99
56.84	5	1065.99
57.24	5	1089.22
57.64	5	1089.22
58.04	5	1089.22
58.44	5	1027.55
58.84	5	1027.55
59.24	5	1035.77
59.64	5	1035.77
60.04	5	1035.77
60.44	5	1024.23
60.84	5	1024.23
61.24	6	1004.50
61.64	6	1004.50
62.04	6	1004.50
62.44	6	962.09
62.84	6	962.09
63.24	6	979.29
63.65	6	979.29
64.05	6	979.29
64.45	6	1048.36
64.85	6	1048.36
65.25	6	1091.34
65.65	6	1091.34
66.05	6	1091.34
66.45	5	1133.58
66.85	5	1133.58
67.25	5	1197.64
67.84	5	1197.64
68.24	5	1158.13
68.64	5	1158.13
69.04	5	1158.13
69.44	5	1253.49
69.84	5	1253.49
70.24	5	1117.17
70.64	5	1117.17
71.04	5	1117.17
71.45	4	795.61
71.85	4	795.61
72.25	4	669.34
72.65	4	669.34
73.05	4	669.34
73.45	4	696.29
73.85	4	696.29
74.25	4	664.39
74.65	4	664.39
75.05	4	664.39
75.45	4	632.31
75.85	4	632.31
76.25	6	651.57
76.65	6	651.57
77.05	6	651.57
77.45	6	618.39
77.85	6	618.39
78.25	6	546.50
78.65	6	546.50
79.05	6	546.50
79.45	6	483.89
79.85	6	483.89
80.25	6	446.63
80.65	6	446.63
81.05	6	446.63
81.45	5	459.85
81.85	5	459.85
82.25	5	465.53
82.65	5	465.53
83.05	5	465.53
83.45	5	456.91
83.85	5	456.91
84.25	5	388.24
84.65	5	388.24
85.06	5	388.24
85.46	5	385.34
85.86	5	385.34
86.26	6	401.79
86.66	6	401.79
87.06	6	401.79
87.46	6	395.75
87.86	6	395.75
88.26	6	368.33
88.66	6	368.33
89.06	6	368.33
89.46	6	370.54
89.86	6	370.54
90.26	6	344.89
90.66	6	344.89
91.06	6	344.89
91.46	5	339.23
91.86	5	339.23
92.26	5	345.03
92.66	5	345.03
93.06	5	345.03
93.46	5	330.76
93.86	5	330.76
94.26	5	314.21
94.66	5	314.21
95.06	5	314.21
95.46	5	280.93
95.86	5	280.93
96.26	5	302.37
96.66	5	302.37
97.06	5	302.37
97.46	5	317.96
97.86	5	317.96
98.26	5	353.65
98.66	5	353.65
99.06	5	353.65
99.47	5	390.95
99.87	5	390.95
100.27	5	434.02
100.67	5	434.02
101.07	5	434.02
101.47	5	487.39
101.87	5	487.39
102.27	5	551.37
102.67	5	551.37
103.07	5	551.37
103.47	5	634.06
103.87	5	634.06
104.27	5	679.29
104.67	5	679.29
105.07	5	679.29
105.47	5	648.99
105.87	5	648.99
106.27	5	585.96
106.67	5	585.96
107.07	5	585.96
107.47	5	627.03
107.87	5	627.03
108.27	5	678.49
108.67	4	678.49
109.07	3	678.49
109.47	3	645.89
109.87	3	645.89
110.27	3	590.68
110.67	3	590.68
111.07	3	590.68
111.47	3	658.81
111.87	3	658.81
112.27	2	648.69
112.67	2	648.69
113.07	2	648.69
113.47	2	220.21
113.87	2	220.21
114.27	2	238.80
114.67	2	238.80
115.08	2	238.80
115.48	2	271.37
115.88	2	271.37
116.28	2	314.74
116.68	2	314.74
117.08	1	314.74
117.48	1	173.02
117.88	1	173.02
118.28	1	47.32
118.68	1	47.32
119.08	1	47.32
119.48	1	48.24
119.88	1	48.24
120.28	1	46.89
120.68	1	46.89
121.08	1	46.89
121.48	1	49.63
121.88	1	49.63
122.29	1	52.76
122.69	1	52.76
123.09	1	52.76
123.49	1	53.52
123.89	1	53.52
124.29	1	60.58
124.52	0	60.58
