t_rel_s	workers	mbps
1.11	2	0.00
1.51	2	0.00
1.91	2	0.00
2.31	2	0.00
2.71	2	0.00
3.11	2	43.46
3.51	2	43.46
3.91	2	43.46
4.31	2	277.56
4.71	2	277.56
5.11	2	491.05
5.51	2	491.05
5.91	2	491.05
6.32	2	507.32
6.72	2	507.32
7.12	2	469.29
7.52	2	469.29
7.92	2	469.29
8.32	2	391.28
8.72	2	391.28
9.12	8	401.29
9.52	8	401.29
9.92	8	401.29
10.32	8	406.49
10.72	8	406.49
11.12	8	798.19
11.53	8	798.19
11.93	8	798.19
12.33	8	2532.44
12.73	8	2532.44
13.13	8	2665.47
13.53	8	2665.47
13.94	8	2665.47
14.34	8	2791.43
14.74	8	2791.43
15.15	8	2608.18
15.55	8	2608.18
15.95	8	2608.18
16.35	8	2298.26
16.75	8	2298.26
17.15	8	2152.21
17.55	8	2152.21
17.95	8	2152.21
18.35	8	2121.85
18.75	4	2121.85
19.15	4	2084.31
19.55	4	2084.31
19.95	4	2084.31
20.35	4	1999.97
20.75	4	1999.97
21.16	4	1909.42
21.56	4	1909.42
21.96	4	1909.42
22.36	4	1845.98
22.76	4	1845.98
23.16	4	1814.29
23.56	4	1814.29
23.96	4	1814.29
24.36	4	1821.97
24.76	4	1821.97
25.16	4	1901.17
25.56	4	1901.17
25.96	4	1901.17
26.36	4	1893.52
26.76	4	1893.52
27.16	4	1798.47
27.56	4	1798.47
27.96	4	1798.47
28.36	8	1871.31
28.76	8	1871.31
29.17	8	1835.49
29.57	8	1835.49
29.97	8	1835.49
30.37	8	1806.10
30.77	8	1806.10
31.17	8	1749.94
31.57	8	1749.94
31.97	8	1749.94
32.37	8	1662.28
32.77	8	1662.28
33.17	8	1670.72
33.57	8	1670.72
33.97	8	1670.72
34.37	8	1734.62
34.77	8	1734.62
35.17	8	1806.99
35.57	8	1806.99
35.98	8	1806.99
36.38	8	1870.04
36.78	8	1870.04
37.18	8	1875.28
37.58	8	1875.28
37.98	8	1875.28
38.38	8	1561.97
38.78	8	1561.97
39.18	8	1317.26
39.58	8	1317.26
39.98	8	1317.26
40.38	8	1245.65
40.78	8	1245.65
41.18	8	1133.14
41.58	8	1133.14
41.98	8	1133.14
42.38	8	1007.25
42.78	8	1007.25
43.18	8	1020.59
43.59	8	1020.59
43.99	8	1020.59
44.39	8	1023.89
44.79	8	1023.89
45.19	8	1045.18
45.59	8	1045.18
45.99	8	1045.18
46.39	8	1077.80
46.79	7	1077.80
47.19	7	948.27
47.59	7	948.27
47.99	7	948.27
48.39	7	819.30
48.79	7	819.30
49.19	7	762.36
49.59	7	762.36
49.99	7	762.36
50.39	7	732.43
50.79	7	732.43
51.19	7	765.04
51.59	7	765.04
51.99	7	765.04
52.40	7	799.30
52.80	7	799.30
53.20	7	790.40
53.60	7	790.40
54.00	6	790.40
54.40	6	696.56
54.80	6	696.56
55.20	6	688.50
55.60	6	688.50
56.00	6	688.50
56.40	6	726.19
56.80	6	726.19
57.20	6	671.12
57.72	6	671.12
58.12	6	671.12
58.52	6	615.83
59.17	6	615.83
59.57	6	419.05
59.97	6	419.05
60.37	6	818.22
60.77	6	818.22
61.17	6	361.90
61.57	6	361.90
61.97	6	361.90
62.37	6	344.37
62.77	6	344.37
63.17	6	326.20
63.57	6	326.20
63.97	6	326.20
64.37	6	306.55
64.77	6	306.55
65.17	6	320.68
65.57	6	320.68
65.97	6	320.68
66.37	6	327.01
66.77	6	327.01
67.17	6	314.67
67.57	6	314.67
67.97	6	314.67
68.37	6	318.81
68.77	6	318.81
69.17	6	325.71
69.57	6	325.71
69.97	6	325.71
70.37	6	320.94
70.77	6	320.94
71.17	6	305.45
71.58	6	305.45
71.98	6	305.45
72.38	6	315.50
72.78	6	315.50
73.18	6	336.31
73.58	6	336.31
73.98	6	336.31
74.38	6	373.92
74.78	6	373.92
75.18	6	398.00
75.58	6	398.00
75.98	5	398.00
76.38	5	377.27
76.78	5	377.27
77.18	5	343.81
77.58	5	343.81
77.98	5	343.81
78.38	5	347.23
78.78	5	347.23
79.18	5	330.64
79.58	5	330.64
79.98	5	330.64
80.38	5	269.81
80.78	5	269.81
81.18	5	277.34
81.58	5	277.34
81.99	5	277.34
82.39	5	286.50
82.79	5	286.50
83.19	5	290.15
83.59	5	290.15
83.99	5	290.15
84.39	5	279.78
84.79	5	279.78
85.19	5	251.97
85.59	5	251.97
85.99	5	251.97
86.39	4	251.19
86.79	4	251.19
87.19	4	170.63
87.59	4	170.63
87.99	4	170.63
88.39	4	141.34
88.79	4	141.34
89.19	4	137.84
89.59	4	137.84
89.99	4	137.84
90.39	4	133.19
90.79	4	133.19
91.19	4	111.09
91.59	4	111.09
91.99	4	111.09
92.40	4	101.56
92.80	4	101.56
93.20	4	103.11
93.60	4	103.11
94.00	4	103.11
94.40	4	100.34
94.80	4	100.34
95.20	4	107.37
95.60	4	107.37
96.00	4	107.37
96.40	4	115.82
96.80	4	115.82
97.20	4	128.57
97.60	4	128.57
98.00	4	128.57
98.40	4	138.13
98.80	4	138.13
99.21	4	156.14
99.61	4	156.14
100.01	4	156.14
100.41	4	177.83
100.81	4	177.83
101.21	4	194.41
101.61	4	194.41
102.01	4	194.41
102.41	4	193.14
102.81	4	193.14
103.21	4	200.89
103.61	4	200.89
104.01	4	200.89
104.41	4	212.29
104.81	4	212.29
105.21	4	209.28
105.61	4	209.28
106.01	4	209.28
106.41	4	203.29
106.81	4	203.29
107.21	4	193.30
107.61	4	193.30
108.01	4	193.30
108.41	4	199.35
108.82	4	199.35
109.22	4	191.56
109.62	4	191.56
