t_rel_s	workers	mbps
1.11	4	0.00
1.51	4	0.00
1.91	4	0.00
2.31	4	0.00
2.72	4	0.00
3.12	4	0.63
3.52	4	0.63
3.92	4	0.63
4.32	4	223.84
4.72	4	223.84
5.12	4	1864.84
5.52	4	1864.84
5.92	4	1864.84
6.32	4	2558.99
6.72	4	2558.99
7.12	4	1807.02
7.52	4	1807.02
7.92	4	1807.02
8.32	4	1704.94
8.72	4	1704.94
9.12	4	1648.80
9.52	4	1648.80
9.92	4	1648.80
10.32	4	1797.41
10.72	4	1797.41
11.12	4	1807.09
11.52	4	1807.09
11.93	4	1807.09
12.33	4	1730.42
12.73	4	1730.42
13.13	4	1660.63
13.53	4	1660.63
13.93	4	1660.63
14.33	4	1545.32
14.73	4	1545.32
15.13	4	1377.72
15.53	4	1377.72
15.93	4	1377.72
16.33	4	1286.68
16.73	4	1286.68
17.13	4	1324.04
17.53	4	1324.04
17.93	4	1324.04
18.33	4	1347.74
18.74	4	1347.74
19.14	4	1378.74
19.54	4	1378.74
19.94	4	1378.74
20.34	4	1336.41
20.74	4	1336.41
21.14	4	1348.51
21.54	4	1348.51
21.94	4	1348.51
22.34	4	1371.89
22.74	4	1371.89
23.14	4	1281.88
23.54	4	1281.88
23.94	4	1281.88
24.34	4	939.37
24.74	4	939.37
25.14	4	845.72
25.54	4	845.72
25.94	4	845.72
26.34	4	848.63
26.75	4	848.63
27.15	4	529.07
27.55	4	529.07
27.95	4	529.07
28.35	4	471.73
28.75	4	471.73
29.15	4	406.13
29.55	4	406.13
29.95	4	406.13
30.35	4	415.03
30.75	4	415.03
31.15	4	431.50
31.55	4	431.50
31.95	4	431.50
32.35	4	441.82
32.75	4	441.82
33.15	4	445.46
33.55	4	445.46
33.95	4	445.46
34.35	4	445.03
34.75	4	445.03
35.15	4	453.28
35.55	4	453.28
35.95	4	453.28
36.35	4	453.13
36.75	4	453.13
37.15	4	449.25
37.55	4	449.25
38.18	4	449.25
38.58	4	384.95
38.98	4	384.95
39.38	4	502.01
39.78	4	502.01
40.18	4	502.01
40.58	4	459.25
40.98	4	459.25
41.38	4	505.06
41.78	4	505.06
42.18	4	505.06
42.58	4	547.50
42.98	4	547.50
43.38	4	612.91
43.78	4	612.91
44.18	4	612.91
44.58	4	680.72
44.98	4	680.72
45.38	4	682.99
45.78	4	682.99
46.18	4	682.99
46.58	4	630.74
46.99	4	630.74
47.39	4	640.59
47.79	4	640.59
48.19	4	640.59
48.59	4	691.23
48.99	4	691.23
49.39	4	742.99
49.79	4	742.99
50.19	4	742.99
50.59	4	730.21
50.99	4	730.21
51.39	4	786.69
51.79	4	786.69
52.19	4	786.69
52.59	4	561.03
52.99	4	561.03
53.39	4	537.62
53.79	4	537.62
54.19	4	537.62
54.59	4	562.31
54.99	4	562.31
55.39	4	543.26
55.79	4	543.26
56.19	4	543.26
56.59	4	505.68
56.99	4	505.68
57.39	4	414.58
57.79	4	414.58
58.19	4	578.50
58.60	4	578.50
59.00	4	578.50
59.40	4	615.75
59.80	4	615.75
60.20	4	637.51
60.60	4	637.51
61.00	4	637.51
61.40	4	432.65
61.80	4	432.65
62.20	4	483.48
62.60	4	483.48
63.00	4	483.48
63.40	4	562.15
63.80	4	562.15
64.20	4	574.10
64.60	4	574.10
65.00	4	574.10
65.40	4	588.19
65.80	4	588.19
66.20	4	610.89
66.60	4	610.89
67.00	4	610.89
67.40	4	633.37
67.80	4	633.37
68.20	4	542.12
68.60	4	542.12
69.00	4	542.12
69.40	4	426.01
69.81	4	426.01
70.21	4	436.75
70.61	4	436.75
71.01	4	436.75
71.41	4	427.00
71.81	4	427.00
72.21	4	468.51
72.61	4	468.51
73.01	4	468.51
73.41	4	495.01
73.81	4	495.01
74.21	4	492.21
74.61	4	492.21
75.01	4	492.21
75.41	4	537.55
75.81	4	537.55
76.21	4	529.09
76.61	4	529.09
77.01	4	529.09
77.41	4	562.68
77.81	4	562.68
78.21	4	629.40
78.61	4	629.40
79.01	4	629.40
79.41	4	620.13
79.81	4	620.13
80.21	4	579.58
80.61	4	579.58
81.01	4	579.58
81.41	4	590.63
81.81	4	590.63
82.21	4	639.08
82.62	4	639.08
83.02	4	639.08
83.42	4	551.72
83.82	4	551.72
84.22	4	453.28
84.62	4	453.28
85.02	4	453.28
