t_rel_s	workers	mbps
30.75	2	0.00
31.15	2	0.00
31.55	2	0.00
31.95	2	0.83
32.35	2	0.83
32.75	2	2.03
33.15	2	2.03
33.56	2	2.03
33.96	2	7.69
34.36	2	7.69
34.76	2	271.48
35.16	2	271.48
35.56	2	271.48
35.96	1	139.18
36.36	1	139.18
36.76	1	195.23
37.16	1	195.23
37.56	1	195.23
37.96	1	475.93
38.36	1	475.93
38.76	1	330.73
39.16	1	330.73
39.56	1	330.73
39.97	1	196.51
40.37	1	196.51
40.77	2	202.27
41.17	2	202.27
41.57	2	202.27
41.97	2	157.47
42.37	2	157.47
42.77	2	149.75
43.17	2	149.75
43.57	2	149.75
43.97	2	153.28
44.37	2	153.28
44.77	2	148.15
45.17	2	148.15
45.57	2	148.15
45.97	1	159.66
46.37	1	159.66
46.78	1	142.53
47.18	1	142.53
47.58	1	142.53
47.98	1	132.31
48.38	1	132.31
48.78	1	119.78
49.18	1	119.78
49.58	1	119.78
49.98	1	96.70
50.38	1	96.70
50.78	2	93.44
51.18	2	93.44
51.58	2	93.44
51.98	2	101.62
52.38	2	101.62
52.78	2	103.34
53.18	2	103.34
53.59	2	103.34
53.99	2	95.59
54.39	2	95.59
54.79	2	94.14
55.19	2	94.14
55.59	2	94.14
55.99	1	97.88
56.39	1	97.88
56.79	1	90.55
57.19	1	90.55
57.59	1	90.55
57.99	1	91.41
58.39	1	91.41
58.80	1	82.13
59.20	1	82.13
59.60	1	82.13
60.00	1	58.63
60.40	1	58.63
60.80	2	81.77
61.20	2	81.77
61.60	2	81.77
62.00	2	91.64
62.40	2	91.64
62.80	2	93.85
63.20	2	93.85
63.60	2	93.85
64.00	2	89.44
64.40	2	89.44
64.80	2	89.33
65.20	2	89.33
65.60	2	89.33
66.00	3	93.69
66.40	3	93.69
66.80	3	96.41
67.20	3	96.41
67.60	3	96.41
68.01	3	109.36
68.41	3	109.36
68.81	3	240.42
69.21	3	240.42
69.61	3	240.42
70.01	3	107.10
70.41	3	107.10
70.81	5	397.85
71.21	5	397.85
71.61	5	397.85
72.01	5	435.71
72.41	5	435.71
72.81	5	618.78
73.21	5	618.78
73.61	5	618.78
74.01	5	708.41
74.41	5	708.41
74.81	5	891.35
75.21	5	891.35
75.61	5	891.35
76.01	10	751.87
76.41	10	751.87
76.81	10	715.99
77.21	10	715.99
77.62	10	715.99
78.02	10	1031.36
78.42	10	1031.36
78.82	10	1504.84
79.22	10	1504.84
79.62	10	1504.84
80.02	10	1732.82
80.42	10	1732.82
80.82	12	1683.89
81.22	12	1683.89
81.62	12	1683.89
82.02	12	1248.97
82.42	12	1248.97
82.82	12	1521.28
83.22	12	1521.28
83.62	12	1521.28
84.03	12	1566.74
84.43	12	1566.74
84.83	12	1481.11
85.23	12	1481.11
85.63	12	1481.11
86.03	12	1527.37
86.43	12	1527.37
86.83	12	1543.88
87.23	12	1543.88
87.63	12	1543.88
88.03	12	1671.00
88.43	12	1671.00
88.83	12	1662.58
89.23	12	1662.58
89.63	12	1662.58
90.03	12	1529.35
90.44	12	1529.35
90.84	13	1506.22
91.24	13	1506.22
91.64	13	1506.22
92.04	13	1354.58
92.44	13	1354.58
92.84	13	1399.68
93.24	13	1399.68
93.64	13	1399.68
94.04	13	1460.46
94.44	13	1460.46
94.84	13	1361.40
95.24	13	1361.40
95.64	13	1361.40
96.04	11	1304.06
96.44	11	1304.06
96.85	11	976.64
97.25	11	976.64
97.65	11	976.64
98.05	11	981.23
98.45	11	981.23
98.85	11	955.91
99.25	11	955.91
99.65	11	955.91
100.05	11	887.76
100.45	11	887.76
100.85	13	818.18
101.25	13	818.18
101.65	13	818.18
102.05	13	1053.76
102.45	13	1053.76
102.85	13	741.63
103.25	13	741.63
103.65	13	741.63
104.05	13	554.65
104.45	13	554.65
104.85	13	500.48
105.25	13	500.48
105.65	13	500.48
106.05	11	503.52
106.45	11	503.52
106.85	11	472.80
107.25	11	472.80
107.65	11	472.80
108.05	11	367.29
108.45	11	367.29
108.85	11	313.31
109.25	11	313.31
109.65	11	313.31
110.05	11	557.37
110.45	11	557.37
110.85	13	830.61
111.25	13	830.61
111.65	13	830.61
112.05	13	717.73
112.45	13	717.73
112.85	13	674.16
113.26	13	674.16
113.66	13	674.16
114.06	13	575.22
114.46	13	575.22
114.86	13	688.47
115.26	13	688.47
115.66	13	688.47
116.06	16	585.43
116.46	11	585.43
116.86	10	601.20
117.26	10	601.20
117.68	10	601.20
118.08	9	686.26
118.48	9	686.26
118.88	9	583.51
119.28	8	583.51
119.68	8	583.51
120.09	8	411.14
120.49	8	411.14
120.89	8	403.11
121.29	7	403.11
121.69	7	403.11
122.09	7	373.19
122.49	7	373.19
122.89	7	345.86
123.29	7	345.86
123.69	7	345.86
124.09	7	359.67
124.49	7	359.67
124.89	7	362.73
125.29	5	362.73
125.69	5	362.73
126.09	5	212.50
126.49	5	212.50
126.89	5	197.21
127.29	5	197.21
127.69	4	197.21
