t_rel_s	workers	mbps
30.76	2	0.00
31.16	2	0.00
31.56	2	0.00
31.96	2	0.46
32.36	2	0.46
32.76	2	1.95
33.17	2	1.95
33.57	2	1.95
33.97	2	1.62
34.37	2	1.62
34.77	2	92.18
35.17	2	92.18
35.57	2	92.18
35.97	2	185.83
36.37	2	185.83
36.78	2	139.16
37.18	2	139.16
37.58	2	139.16
37.98	2	26.22
38.38	2	26.22
38.78	40	418.76
39.18	40	418.76
39.58	40	418.76
39.98	40	479.05
40.38	40	479.05
40.78	40	1140.25
41.19	40	1140.25
41.62	40	1140.25
42.06	40	2289.19
42.48	40	2289.19
42.91	40	2471.79
43.34	40	2471.79
43.77	40	2471.79
44.19	40	2841.55
44.61	40	2841.55
45.02	40	2895.19
45.46	40	2895.19
45.88	40	2699.83
46.31	40	2699.83
46.73	40	2699.83
47.15	40	2947.42
47.56	40	2947.42
47.98	40	2912.56
48.40	20	2912.56
48.82	20	2912.56
49.23	20	2741.72
49.64	20	2741.72
50.04	20	3017.86
50.44	20	3017.86
50.85	20	3017.86
51.25	20	2514.57
51.65	20	2514.57
52.06	20	2458.86
52.46	20	2458.86
52.86	20	2458.86
53.26	20	2234.01
53.66	20	2234.01
54.06	20	2519.14
54.46	20	2519.14
54.86	18	2519.14
55.26	18	2296.27
55.66	18	2296.27
56.06	17	1720.16
56.46	15	1720.16
56.87	15	1720.16
57.27	15	1217.00
57.67	15	1217.00
58.07	14	1159.49
58.47	14	1159.49
58.87	14	1159.49
59.27	13	1049.93
59.67	13	1049.93
60.07	13	841.97
60.47	13	841.97
60.87	12	841.97
61.27	12	765.36
61.67	12	765.36
62.07	12	772.69
62.47	12	772.69
62.87	12	772.69
63.27	12	1000.40
63.67	12	1000.40
64.07	12	863.77
64.47	12	863.77
64.87	11	863.77
65.27	11	837.58
65.67	11	837.58
66.07	11	689.29
66.47	11	689.29
66.87	11	689.29
67.27	10	647.97
67.67	10	647.97
68.08	10	509.81
68.48	9	509.81
68.88	9	509.81
69.28	9	441.47
69.68	9	441.47
70.08	9	403.95
70.48	9	403.95
70.88	9	403.95
71.28	9	313.57
71.68	9	313.57
72.08	9	337.89
72.48	9	337.89
72.88	9	337.89
73.28	9	335.47
73.68	9	335.47
74.08	9	364.35
74.48	9	364.35
74.88	8	364.35
75.28	8	366.36
75.68	8	366.36
76.08	8	247.71
76.48	8	247.71
76.88	8	247.71
77.28	8	256.50
77.68	8	256.50
78.08	8	251.66
78.48	7	251.66
78.88	7	251.66
79.28	7	207.05
79.68	7	207.05
80.08	7	198.34
80.48	7	198.34
80.88	7	198.34
81.28	7	199.24
81.69	7	199.24
82.09	7	210.04
82.49	7	210.04
82.89	7	210.04
83.29	6	223.01
83.69	6	223.01
84.09	5	200.18
84.49	5	200.18
84.89	5	200.18
85.29	5	175.27
85.69	5	175.27
86.09	5	184.22
86.49	5	184.22
86.89	5	184.22
87.29	5	192.14
87.69	5	192.14
88.09	5	187.42
88.49	5	187.42
88.90	5	187.42
89.30	5	191.88
89.70	5	191.88
90.10	5	204.09
90.50	5	204.09
90.90	5	204.09
91.30	5	226.20
91.70	5	226.20
92.10	5	232.72
92.50	5	232.72
92.90	5	232.72
93.30	5	241.92
93.70	5	241.92
94.10	5	247.91
94.50	5	247.91
94.90	5	247.91
95.30	5	251.61
95.70	4	251.61
96.10	3	221.13
96.50	3	221.13
96.90	2	221.13
97.30	2	126.87
97.70	2	126.87
98.11	2	53.04
98.51	2	53.04
98.91	2	53.04
99.31	2	56.52
99.71	2	56.52
100.11	2	61.48
100.51	2	61.48
100.91	2	61.48
101.31	2	66.01
101.71	2	66.01
102.11	2	69.08
102.51	2	69.08
102.91	2	69.08
103.31	2	76.15
103.71	2	76.15
104.11	2	75.90
104.51	2	75.90
104.91	2	75.90
105.31	2	86.80
105.71	2	86.80
106.12	2	93.40
106.52	2	93.40
106.92	2	93.40
107.32	2	102.57
107.72	2	102.57
108.12	2	115.13
108.52	2	115.13
108.92	2	115.13
109.32	2	115.56
109.72	2	115.56
110.12	2	135.29
110.52	2	135.29
110.92	2	135.29
111.32	2	161.52
111.72	2	161.52
112.12	2	182.22
112.52	1	182.22
112.92	1	182.22
113.33	1	79.28
113.73	1	79.28
114.13	1	35.96
114.34	0	35.96
