t_rel_s	workers	mbps
30.74	20	0.00
31.14	20	0.00
31.54	20	0.00
31.94	20	6.75
32.34	20	6.75
32.74	20	458.24
33.14	20	458.24
33.54	20	458.24
33.94	20	1456.48
34.34	20	1456.48
34.74	20	1525.03
35.14	20	1525.03
35.55	20	1525.03
35.95	20	1930.25
36.35	20	1930.25
36.75	20	2281.04
37.16	20	2281.04
37.58	20	2281.04
37.99	20	3649.44
38.41	20	3649.44
38.83	20	3514.54
39.25	20	3514.54
39.67	20	3514.54
40.09	20	3520.70
40.50	20	3520.70
40.91	20	3559.21
41.32	20	3559.21
41.72	20	3559.21
42.12	20	3635.55
42.52	20	3635.55
42.92	20	2415.93
43.33	20	2415.93
43.73	20	2415.93
44.13	20	2384.74
44.53	20	2384.74
44.93	20	2149.48
45.33	20	2149.48
45.73	20	2149.48
46.14	20	2105.84
46.54	20	2105.84
46.94	20	2513.34
47.34	20	2513.34
47.74	20	2513.34
48.14	20	2106.71
48.54	20	2106.71
48.94	20	1958.78
49.34	20	1958.78
49.74	20	1958.78
50.14	20	1647.16
50.55	20	1647.16
50.95	20	1525.59
51.35	20	1525.59
51.75	20	1525.59
52.15	20	1753.91
52.55	20	1753.91
52.95	20	1988.45
53.35	20	1988.45
53.75	20	1988.45
54.15	14	1677.02
54.55	13	1677.02
54.95	13	1472.07
55.35	11	1472.07
55.75	10	1472.07
56.16	10	939.25
56.56	10	939.25
56.96	10	939.25
57.36	9	1373.63
57.77	9	1373.63
58.17	9	1002.61
58.57	8	1002.61
58.97	7	1002.61
59.37	7	891.24
59.77	6	891.24
60.17	6	718.01
60.57	6	718.01
60.97	6	718.01
61.37	6	720.30
61.77	6	720.30
62.17	5	694.56
62.57	5	694.56
62.97	4	694.56
63.37	4	446.39
63.77	4	446.39
64.17	4	397.65
64.57	4	397.65
64.97	3	397.65
65.37	3	375.34
65.77	2	375.34
66.17	2	301.11
66.57	2	301.11
66.97	2	301.11
67.37	2	257.41
67.77	2	257.41
68.17	1	279.61
68.58	1	279.61
68.98	1	279.61
69.38	1	64.60
69.78	1	64.60
70.18	1	65.62
70.58	1	65.62
70.98	1	65.62
71.38	1	65.89
71.78	1	65.89
72.18	1	65.84
72.58	1	65.84
72.98	1	65.84
73.38	1	66.17
73.78	1	66.17
74.18	1	65.75
74.58	1	65.75
74.98	1	65.75
75.09	0	65.75
