t_rel_s	workers	mbps
0.95	2	0.00
1.35	2	0.00
1.75	2	0.00
2.15	2	1.57
2.55	2	1.57
2.95	2	1064.08
3.36	2	1064.08
3.79	2	1064.08
4.21	2	3488.63
4.63	2	3488.63
5.05	2	3438.41
5.46	2	3438.41
5.88	2	3438.41
6.28	2	3479.09
6.69	2	3479.09
7.09	2	3250.62
7.50	2	3250.62
7.90	2	3250.62
8.30	2	3138.02
8.71	2	3138.02
9.11	2	3237.36
9.52	2	3237.36
9.92	2	3237.36
10.32	2	3304.44
10.73	2	3304.44
11.14	2	3328.45
11.54	2	3328.45
11.96	2	3328.45
12.37	2	3307.68
12.77	2	3307.68
13.18	2	3354.44
13.58	2	3354.44
13.98	2	3354.44
14.39	2	3390.57
14.79	2	3390.57
15.20	2	3406.06
15.60	2	3406.06
16.02	2	3406.06
16.42	2	3154.14
16.83	2	3154.14
17.26	2	2604.74
17.68	2	2604.74
18.09	2	2604.74
18.50	2	4316.40
18.91	2	4316.40
19.31	2	3825.45
19.71	2	3825.45
20.12	2	3825.45
20.52	2	3718.18
20.92	2	3718.18
21.33	2	3840.61
21.74	2	3840.61
22.14	2	3840.61
22.54	2	4074.75
22.95	2	4074.75
23.36	2	4212.37
23.77	2	4212.37
24.18	2	4212.37
24.59	2	4376.65
25.00	2	4376.65
25.41	2	4411.97
25.82	2	4411.97
26.23	2	4411.97
26.63	2	4455.16
27.04	2	4455.16
27.44	2	4210.73
27.84	2	4210.73
28.25	2	4210.73
28.65	2	4031.11
29.06	2	4031.11
29.47	2	4158.47
29.88	2	4158.47
30.29	2	4158.47
30.69	2	4151.89
31.09	2	4151.89
31.50	2	3956.54
31.90	2	3956.54
32.30	2	3956.54
32.70	2	3988.63
33.11	2	3988.63
33.51	2	3805.88
33.91	2	3805.88
34.31	2	3805.88
34.71	2	3735.35
35.11	2	3735.35
35.52	2	3602.62
35.92	2	3602.62
36.32	2	3364.99
36.72	2	3364.99
37.31	2	3364.99
37.72	2	1862.71
38.12	2	1862.71
38.52	2	3065.68
38.92	2	3065.68
39.32	2	3065.68
39.73	2	2151.01
40.13	2	2151.01
40.53	2	1949.96
40.93	2	1949.96
41.33	2	1949.96
41.73	2	1961.67
42.33	2	1961.67
42.73	2	1201.85
43.13	2	1201.85
43.53	2	2324.51
43.93	2	2324.51
44.33	2	2324.51
44.73	2	1709.00
45.13	2	1709.00
45.53	2	1913.09
45.94	2	1913.09
46.34	2	1913.09
46.74	2	2362.81
47.14	2	2362.81
47.54	2	2394.69
47.94	2	2394.69
48.34	2	2394.69
48.74	2	2357.11
49.14	2	2357.11
49.54	2	2342.76
49.94	2	2342.76
50.34	2	2342.76
50.74	2	2350.93
51.14	2	2350.93
51.55	2	2222.22
51.95	2	2222.22
52.35	2	2222.22
52.75	2	2208.27
53.15	2	2208.27
53.55	2	1964.16
53.95	2	1964.16
54.35	2	1964.16
54.75	2	1780.57
55.15	2	1780.57
55.55	2	1835.00
55.95	2	1835.00
56.35	2	1835.00
56.75	2	1864.89
57.15	2	1864.89
57.55	2	1660.88
57.95	2	1660.88
58.35	2	1660.88
58.75	2	1366.24
59.15	2	1366.24
59.55	2	1401.26
59.95	2	1401.26
60.35	2	1401.26
60.75	2	1487.08
61.15	2	1487.08
61.55	2	1564.59
61.95	2	1564.59
62.36	2	1564.59
62.76	2	1679.45
63.16	2	1679.45
63.56	2	1810.66
63.96	2	1810.66
64.36	2	1810.66
64.76	2	1947.62
65.16	2	1947.62
65.56	2	1834.08
65.96	2	1834.08
66.36	2	1834.08
66.76	2	1298.53
67.16	2	1298.53
67.56	2	1150.28
67.96	1	1150.28
68.36	1	1150.28
68.76	1	401.68
69.16	1	401.68
69.56	1	0.00
69.96	1	0.00
70.37	1	0.00
70.77	1	0.00
71.17	1	0.00
71.57	1	0.00
71.97	1	0.00
72.37	1	0.00
72.77	1	0.00
73.17	1	0.00
73.57	1	0.00
73.98	1	0.00
74.38	1	0.00
74.78	1	0.00
75.18	1	0.00
75.58	1	0.00
75.98	1	0.00
76.38	1	0.00
76.78	1	0.00
77.18	1	0.00
77.58	1	0.00
77.99	1	0.00
78.39	1	0.00
78.79	1	0.00
79.19	1	0.00
79.59	1	0.00
79.99	1	0.00
80.39	1	0.00
80.80	1	0.00
81.20	1	0.00
81.60	1	0.00
82.00	1	0.00
82.40	1	0.00
82.80	1	0.00
83.20	1	0.00
83.60	1	0.00
84.00	1	0.00
84.41	1	0.00
84.81	1	0.00
85.21	1	0.00
85.61	1	0.00
86.01	1	0.00
86.41	1	0.00
86.81	1	0.00
87.21	1	0.00
87.61	1	0.00
88.01	1	0.00
88.41	1	0.00
88.82	1	0.00
89.22	1	0.00
89.62	1	0.00
90.02	1	0.00
90.42	1	0.00
90.82	1	0.00
91.22	1	0.00
91.62	1	0.00
92.02	1	0.00
92.42	1	0.77
92.82	1	0.77
93.23	1	0.77
93.63	1	96.40
94.03	1	96.40
94.43	1	143.63
94.83	1	143.63
95.23	1	143.63
95.63	1	130.35
96.03	1	130.35
96.43	1	128.76
96.83	1	128.76
97.23	1	128.76
97.63	1	90.15
98.03	1	90.15
98.43	1	74.74
98.81	0	74.74
