panel	dataset	arm	tool	rep	order_idx	wall_s	exit_code	status	runs_complete	runs_partial	runs_expected	files_verified	files_expected	bytes_verified	bytes_expected	bytes_on_disk	files_on_disk	extra_files	format	MBps_verified	peak_rss_kb	cpu_pct	conc_med	conc_p95	conc_max	conc_per_host_max	procs_max	conc_samples	workers_med	workers_max	host	stamp
3a	D1_fair_PRJNA916347	adaptiseq-fixed-j20	adaptiseq	1	1	101.24	0	ok	201	0	201	201	201	4419227609	4419227609	4419227609	201	0	gz	43.65	74040	39	7	20	20	20	11	440	7	20	exp-3-10	2026-07-18T18:36:26-07:00
3a	D1_fair_PRJNA916347	iseq	iseq	1	2	1532.08	0	ok	201	0	201	201	201	4419227609	4419227609	4419227609	201	0	gz	2.88	10556	5	1	1	1	1	10	6750	0	0	exp-3-10	2026-07-18T19:02:00-07:00
3a	D1_fair_PRJNA916347	fastq-dl	fastq-dl	1	3	926.08	0	ok	201	0	201	201	201	4419227609	4419227609	4419227609	201	0	gz	4.77	152944	339	1	1	1	1	6	4082	0	0	exp-3-10	2026-07-18T19:17:27-07:00
3a	D1_fair_PRJNA916347	adaptiseq-fixed-j8	adaptiseq	1	4	176.54	0	ok	201	0	201	201	201	4419227609	4419227609	4419227609	201	0	gz	25.03	63920	28	8	8	8	8	10	761	8	8	exp-3-10	2026-07-18T19:20:25-07:00
3a	D1_fair_PRJNA916347	kingfisher	kingfisher	1	5	1421.93	0	ok	201	0	201	201	201	4419227609	4419227609	4419227609	201	0	gz	3.11	134664	7	1	5	5	5	5	6321	0	0	exp-3-10	2026-07-18T19:44:08-07:00
3a	D1_fair_PRJNA916347	adaptiseq-fixed-j40	adaptiseq	1	6	87.99	1	rc=1	200	0	201	200	201	4419183267	4419227609	4419183267	200	0	gz	50.22	85756	43	6	40	40	40	11	378	6	40	exp-3-10	2026-07-18T19:45:38-07:00
3a	D1_fair_PRJNA916347	adaptiseq-climb-j20	adaptiseq	1	7	103.46	1	rc=1	200	0	201	200	201	4419183267	4419227609	4419183267	200	0	gz	42.71	73968	37	5	20	20	20	11	448	2	20	exp-3-10	2026-07-18T19:47:23-07:00
3a	D1_fair_PRJNA916347	adaptiseq-adaptive-j40	adaptiseq	1	8	186.25	1	rc=1	200	0	201	200	201	4419183267	4419227609	4419183267	200	0	gz	23.73	64200	25	4	10	11	11	11	815	3	11	exp-3-10	2026-07-18T19:50:30-07:00
3a	D1_fair_PRJNA916347	iseq-p8	iseq	1	9	1204.34	1	rc=1	200	0	201	200	201	4419183267	4419227609	4419183267	200	0	gz	3.67	10556	6	1	8	8	8	10	5296	0	0	exp-3-10	2026-07-18T20:10:36-07:00
3a	D1_fair_PRJNA916347	adaptiseq-climb-j40	adaptiseq	1	10	155.12	0	ok	201	0	201	201	201	4419227609	4419227609	4419227609	201	0	gz	28.49	84280	26	3	40	40	40	10	677	2	40	exp-3-10	2026-07-18T20:13:22-07:00
