panel	dataset	arm	tool	rep	order_idx	wall_s	exit_code	status	runs_complete	runs_partial	runs_expected	files_verified	files_expected	bytes_verified	bytes_expected	bytes_on_disk	files_on_disk	extra_files	format	MBps_verified	peak_rss_kb	cpu_pct	conc_med	conc_p95	conc_max	conc_per_host_max	procs_max	conc_samples	workers_med	workers_max	host	stamp
smoke	SMOKE_D1	adaptiseq-fixed-j8	adaptiseq	1	1	2.26	0	ok	3	0	3	3	3	47948	47948	47948	3	0	gz	0.02	52908	49	3	3	3	3	7	11	3	3	Node-FIU	2026-07-17T20:18:13+00:00
smoke	SMOKE_D1	adaptiseq-fixed-j40	adaptiseq	1	2	1.73	0	ok	3	0	3	3	3	47948	47948	47948	3	0	gz	0.03	52636	61	3	3	3	3	7	8	3	3	Node-FIU	2026-07-17T20:18:15+00:00
smoke	SMOKE_D1	adaptiseq-fixed-j20	adaptiseq	1	3	1.77	0	ok	3	0	3	3	3	47948	47948	47948	3	0	gz	0.03	52604	62	3	3	3	3	7	9	3	3	Node-FIU	2026-07-17T20:18:17+00:00
smoke	SMOKE_D1	iseq	iseq	1	4	11.50	0	ok	3	0	3	3	3	47948	47948	47948	3	0	gz	0.00	10700	3	1	1	1	1	10	56	0	0	Node-FIU	2026-07-17T20:18:28+00:00
smoke	SMOKE_D1	fastq-dl	fastq-dl	1	5	7.15	0	ok	3	0	3	3	3	47948	47948	47948	3	0	gz	0.01	129272	55	1	1	1	1	6	35	0	0	Node-FIU	2026-07-17T20:18:36+00:00
smoke	SMOKE_D1	iseq-p8	iseq	1	6	11.34	0	ok	3	0	3	3	3	47948	47948	47948	3	0	gz	0.00	10748	3	1	1	1	1	10	55	0	0	Node-FIU	2026-07-17T20:18:47+00:00
smoke	SMOKE_D1	kingfisher	kingfisher	1	7	7.80	0	ok	3	0	3	3	3	47948	47948	47948	3	0	gz	0.01	122640	18	1	1	1	1	6	38	0	0	Node-FIU	2026-07-17T20:18:55+00:00
smoke	SMOKE_D1	adaptiseq-adaptive-j20	adaptiseq	1	8	1.88	0	ok	3	0	3	3	3	47948	47948	47948	3	0	gz	0.03	52048	59	2	3	3	3	7	9	2	2	Node-FIU	2026-07-17T20:18:58+00:00
smoke	SMOKE_D1	adaptiseq-adaptive-j40	adaptiseq	1	9	1.85	0	ok	3	0	3	3	3	47948	47948	47948	3	0	gz	0.03	52352	58	2	3	3	3	7	9	2	2	Node-FIU	2026-07-17T20:19:00+00:00
3a	D1_fair_PRJNA916347	adaptiseq-fixed-j8	adaptiseq	1	1	316.98	0	ok	201	0	201	201	201	4419227609	4419227609	4419227609	201	0	gz	13.94	60468	11	8	8	8	8	10	1518	8	8	Node-FIU	2026-07-17T20:34:11+00:00
3a	D1_fair_PRJNA916347	adaptiseq-fixed-j40	adaptiseq	1	2	1713.83	1	rc=1	200	0	201	200	201	4419183267	4419227609	4419183267	200	0	gz	2.58	70676	2	1	6	54	54	10	8251	40	40	Node-FIU	2026-07-17T21:02:46+00:00
3a	D1_fair_PRJNA916347	adaptiseq-fixed-j20	adaptiseq	1	3	204.21	1	rc=1	200	0	201	200	201	4419183267	4419227609	4419183267	200	0	gz	21.64	69704	14	9	20	20	20	10	976	9	20	Node-FIU	2026-07-17T21:06:12+00:00
3a	D1_fair_PRJNA916347	iseq	iseq	1	4	1383.40	1	rc=1	200	0	201	200	201	4419183267	4419227609	4419183267	200	0	gz	3.19	10752	4	1	1	1	1	10	6665	0	0	Node-FIU	2026-07-17T21:29:18+00:00
