t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	4	0	0	20.6	-
0.20	5	0	0	66.5	-
0.41	6	1	1	76.5	193.62.193.80:1
0.62	8	3	3	97.6	193.62.193.80:3
0.84	9	4	4	108.3	193.62.193.80:4
1.07	9	4	4	108.4	193.62.193.80:4
1.29	8	4	4	98.7	193.62.193.80:4
1.52	8	3	3	98.1	193.62.193.80:3
1.74	8	3	3	97.5	193.62.193.80:3
1.97	9	4	4	108.3	193.62.193.80:4
2.19	9	4	4	107.8	193.62.193.80:4
2.42	9	4	4	107.2	193.62.193.80:4
2.65	8	3	3	98.0	193.62.193.80:3
2.86	8	3	3	97.5	193.62.193.80:3
3.09	9	4	4	108.0	193.62.193.80:4
3.31	9	4	4	108.2	193.62.193.80:4
3.54	8	4	4	98.7	193.62.193.80:4
3.76	8	3	3	98.0	193.62.193.80:3
3.99	8	3	3	97.6	193.62.193.80:3
4.20	9	4	4	108.2	193.62.193.80:4
4.42	9	4	4	108.3	193.62.193.80:4
4.64	8	3	3	98.1	193.62.193.80:3
4.87	8	3	3	97.6	193.62.193.80:3
5.09	9	4	4	108.3	193.62.193.80:4
5.32	9	4	4	108.4	193.62.193.80:4
5.55	9	4	4	108.5	193.62.193.80:4
5.77	8	3	3	97.8	193.62.193.80:3
5.99	9	4	4	108.4	193.62.193.80:4
6.22	9	4	4	108.3	193.62.193.80:4
6.45	9	4	4	108.1	193.62.193.80:4
6.67	9	4	4	108.2	193.62.193.80:4
6.90	8	3	3	97.5	193.62.193.80:3
7.11	8	3	3	97.6	193.62.193.80:3
7.33	9	4	4	108.2	193.62.193.80:4
7.55	9	4	4	108.3	193.62.193.80:4
7.78	8	3	3	97.8	193.62.193.80:3
7.99	8	3	3	97.3	193.62.193.80:3
8.21	9	4	4	108.2	193.62.193.80:4
8.43	9	4	4	108.3	193.62.193.80:4
8.65	8	3	3	97.6	193.62.193.80:3
8.87	9	3	3	97.8	193.62.193.80:3
9.08	9	4	4	108.6	193.62.193.80:4
9.31	9	4	4	108.5	193.62.193.80:4
9.54	8	3	3	98.1	193.62.193.80:3
9.75	8	3	3	97.7	193.62.193.80:3
9.97	9	4	4	108.4	193.62.193.80:4
10.20	9	4	4	108.3	193.62.193.80:4
10.43	9	4	4	108.1	193.62.193.80:4
10.65	8	3	3	98.3	193.62.193.80:3
10.87	8	3	3	97.8	193.62.193.80:3
11.09	9	4	4	108.4	193.62.193.80:4
11.31	9	4	4	108.4	193.62.193.80:4
11.53	8	3	3	98.0	193.62.193.80:3
11.76	8	3	3	98.1	193.62.193.80:3
11.98	9	4	4	108.2	193.62.193.80:4
12.21	9	4	4	108.5	193.62.193.80:4
12.43	9	4	4	108.4	193.62.193.80:4
12.66	8	3	3	97.9	193.62.193.80:3
12.88	8	3	3	97.5	193.62.193.80:3
13.10	9	4	4	108.3	193.62.193.80:4
13.33	9	4	4	108.4	193.62.193.80:4
13.55	9	4	4	108.2	193.62.193.80:4
13.78	8	3	3	98.1	193.62.193.80:3
14.00	8	3	3	97.2	193.62.193.80:3
14.22	9	4	4	108.4	193.62.193.80:4
14.44	9	4	4	108.2	193.62.193.80:4
14.67	8	3	3	98.3	193.62.193.80:3
14.89	8	3	3	98.3	193.62.193.80:3
15.12	8	3	3	97.8	193.62.193.80:3
15.34	9	4	4	108.5	193.62.193.80:4
15.58	9	4	4	108.6	193.62.193.80:4
15.80	8	3	3	98.8	193.62.193.80:3
16.01	8	3	3	98.1	193.62.193.80:3
16.24	9	4	4	108.4	193.62.193.80:4
16.46	9	4	4	108.3	193.62.193.80:4
16.69	9	4	4	108.5	193.62.193.80:4
16.92	8	3	3	97.9	193.62.193.80:3
17.14	8	3	3	98.1	193.62.193.80:3
17.36	9	4	4	108.1	193.62.193.80:4
17.58	9	4	4	108.2	193.62.193.80:4
17.82	9	4	4	108.3	193.62.193.80:4
18.04	8	3	3	98.7	193.62.193.80:3
18.27	8	3	3	98.2	193.62.193.80:3
18.49	8	3	3	97.7	193.62.193.80:3
18.72	9	4	4	108.4	193.62.193.80:4
18.94	9	4	4	108.4	193.62.193.80:4
19.17	8	4	4	99.0	193.62.193.80:4
19.40	8	3	3	98.1	193.62.193.80:3
19.63	8	3	3	97.5	193.62.193.80:3
19.85	9	4	4	108.4	193.62.193.80:4
20.07	9	4	4	108.2	193.62.193.80:4
20.30	8	4	4	98.8	193.62.193.80:4
