t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	4	0	0	20.2	-
0.20	5	0	0	66.7	-
0.41	6	0	0	76.3	-
0.62	8	3	3	97.5	193.62.193.80:3
0.84	10	5	5	119.4	193.62.193.80:5
1.07	9	4	4	108.0	193.62.193.80:4
1.29	8	3	3	98.5	193.62.193.80:3
1.52	8	3	3	97.5	193.62.193.80:3
1.74	9	4	4	108.3	193.62.193.80:4
1.97	9	4	4	108.5	193.62.193.80:4
2.19	9	4	4	108.1	193.62.193.80:4
2.41	8	3	3	97.8	193.62.193.80:3
2.63	9	3	3	97.6	193.62.193.80:3
2.86	9	4	4	108.1	193.62.193.80:4
3.08	9	4	4	108.2	193.62.193.80:4
3.31	8	3	3	99.0	193.62.193.80:3
3.52	8	3	3	98.4	193.62.193.80:3
3.75	9	4	4	108.7	193.62.193.80:4
3.97	9	4	4	108.8	193.62.193.80:4
4.20	9	4	4	108.4	193.62.193.80:4
4.42	8	3	3	98.4	193.62.193.80:3
4.64	8	3	3	97.6	193.62.193.80:3
4.86	9	4	4	108.5	193.62.193.80:4
5.08	9	4	4	108.6	193.62.193.80:4
5.30	8	4	4	98.2	193.62.193.80:4
5.53	8	3	3	97.6	193.62.193.80:3
5.75	9	4	4	97.5	193.62.193.80:4
5.97	9	4	4	108.6	193.62.193.80:4
6.19	9	4	4	108.0	193.62.193.80:4
6.41	8	3	3	98.3	193.62.193.80:3
6.63	8	3	3	97.8	193.62.193.80:3
6.85	9	4	4	108.6	193.62.193.80:4
7.08	9	4	4	108.0	193.62.193.80:4
7.30	8	3	3	98.7	193.62.193.80:3
7.52	8	3	3	97.7	193.62.193.80:3
7.74	9	4	4	108.7	193.62.193.80:4
7.96	9	4	4	108.6	193.62.193.80:4
8.18	8	3	3	98.4	193.62.193.80:3
8.40	8	3	3	97.4	193.62.193.80:3
8.62	9	4	4	108.3	193.62.193.80:4
8.84	9	4	4	108.0	193.62.193.80:4
9.07	9	4	4	108.3	193.62.193.80:4
9.30	8	3	3	98.0	193.62.193.80:3
9.52	8	3	3	97.8	193.62.193.80:3
9.74	9	4	4	108.5	193.62.193.80:4
9.97	9	4	4	108.7	193.62.193.80:4
10.20	9	4	4	108.3	193.62.193.80:4
10.43	8	3	3	97.9	193.62.193.80:3
10.65	8	3	3	96.8	193.62.193.80:3
10.87	9	3	3	97.9	193.62.193.80:3
11.10	9	4	4	108.8	193.62.193.80:4
11.32	9	4	4	107.9	193.62.193.80:4
11.55	8	3	3	98.3	193.62.193.80:3
11.77	8	3	3	97.4	193.62.193.80:3
11.99	9	4	4	108.6	193.62.193.80:4
12.21	9	4	4	108.4	193.62.193.80:4
12.44	9	4	4	108.6	193.62.193.80:4
12.67	8	3	3	98.5	193.62.193.80:3
12.89	8	3	3	97.8	193.62.193.80:3
13.10	9	4	4	107.5	193.62.193.80:4
13.33	9	4	4	108.3	193.62.193.80:4
13.55	8	3	3	98.5	193.62.193.80:3
13.78	8	3	3	98.2	193.62.193.80:3
13.99	9	4	4	108.0	193.62.193.80:4
14.22	9	4	4	108.4	193.62.193.80:4
14.44	8	4	4	98.8	193.62.193.80:4
14.66	8	3	3	97.6	193.62.193.80:3
14.88	9	3	3	98.0	193.62.193.80:3
15.10	9	4	4	108.1	193.62.193.80:4
15.33	9	4	4	108.7	193.62.193.80:4
15.55	8	3	3	98.4	193.62.193.80:3
15.77	8	3	3	98.0	193.62.193.80:3
15.98	9	4	4	108.7	193.62.193.80:4
16.21	9	4	4	107.7	193.62.193.80:4
16.44	8	3	3	98.1	193.62.193.80:3
16.65	8	3	3	97.4	193.62.193.80:3
16.88	9	3	3	97.8	193.62.193.80:3
17.10	9	4	4	108.7	193.62.193.80:4
17.32	9	4	4	108.0	193.62.193.80:4
17.55	8	3	3	98.4	193.62.193.80:3
17.77	8	3	3	98.2	193.62.193.80:3
17.98	9	4	4	108.4	193.62.193.80:4
18.21	9	4	4	108.6	193.62.193.80:4
18.44	8	3	3	98.2	193.62.193.80:3
18.65	8	3	3	98.4	193.62.193.80:3
18.88	8	3	3	97.9	193.62.193.80:3
19.10	9	4	4	107.8	193.62.193.80:4
19.33	9	4	4	107.6	193.62.193.80:4
19.55	8	3	3	98.4	193.62.193.80:3
19.78	8	3	3	98.2	193.62.193.80:3
20.00	9	4	4	108.5	193.62.193.80:4
20.22	9	4	4	108.6	193.62.193.80:4
20.45	9	4	4	108.3	193.62.193.80:4
20.67	8	3	3	97.4	193.62.193.80:3
20.89	8	3	3	97.4	193.62.193.80:3
21.11	9	4	4	108.1	193.62.193.80:4
21.34	9	4	4	108.4	193.62.193.80:4
21.56	8	3	3	98.3	193.62.193.80:3
21.78	8	3	3	97.9	193.62.193.80:3
21.99	9	4	4	108.5	193.62.193.80:4
22.22	9	4	4	108.5	193.62.193.80:4
22.44	8	3	3	98.4	193.62.193.80:3
22.66	8	3	3	97.4	193.62.193.80:3
22.88	9	4	4	108.0	193.62.193.80:4
23.10	9	4	4	108.3	193.62.193.80:4
23.32	8	4	4	97.7	193.62.193.80:4
23.54	8	3	3	97.6	193.62.193.80:3
23.76	9	4	4	107.9	193.62.193.80:4
23.98	9	4	4	108.4	193.62.193.80:4
24.21	9	4	4	108.6	193.62.193.80:4
24.44	8	3	3	98.3	193.62.193.80:3
24.66	8	3	3	97.6	193.62.193.80:3
24.88	9	4	4	108.5	193.62.193.80:4
25.11	9	4	4	108.0	193.62.193.80:4
25.33	8	4	4	98.3	193.62.193.80:4
25.55	6	2	2	78.1	193.62.193.80:2
25.76	5	0	0	57.1	-
25.97	4	25	25	66.7	193.62.193.165:25
26.18	4	40	40	66.9	193.62.193.165:40
26.38	4	40	40	66.9	193.62.193.165:40
26.59	4	41	41	66.9	193.62.193.165:41
26.80	4	44	44	66.9	193.62.193.165:44
27.01	4	49	49	67.0	193.62.193.165:49
27.22	4	52	52	67.3	193.62.193.165:52
27.43	4	47	47	67.8	193.62.193.165:47
27.63	4	48	44	67.8	193.62.193.165:44
27.84	4	49	45	68.7	193.62.193.165:45
28.05	4	47	44	69.8	193.62.193.165:44
28.26	4	43	42	72.6	193.62.193.165:42
28.47	4	54	54	73.4	193.62.193.165:54
28.68	4	53	52	73.5	193.62.193.165:52
28.90	4	43	41	73.8	193.62.193.165:41
29.12	4	38	34	75.2	193.62.193.165:34
29.33	4	40	40	76.6	193.62.193.165:40
29.55	4	39	39	74.1	193.62.193.165:39
29.76	4	36	36	75.9	193.62.193.165:36
29.98	4	29	29	75.8	193.62.193.165:29
30.20	4	26	26	74.8	193.62.193.165:26
30.41	4	26	26	74.5	193.62.193.165:26
30.62	4	27	26	74.3	193.62.193.165:26
30.84	4	26	26	76.8	193.62.193.165:26
31.05	4	50	49	74.1	193.62.193.165:49
31.26	4	49	49	74.7	193.62.193.165:49
31.47	4	50	48	75.1	193.62.193.165:48
31.67	4	29	27	74.8	193.62.193.165:27
31.88	4	26	26	74.8	193.62.193.165:26
32.09	4	27	27	74.8	193.62.193.165:27
32.30	4	27	27	74.8	193.62.193.165:27
32.51	4	25	25	74.8	193.62.193.165:25
32.72	4	25	25	74.8	193.62.193.165:25
32.93	4	25	25	74.8	193.62.193.165:25
33.14	4	25	25	74.8	193.62.193.165:25
33.35	4	25	25	74.8	193.62.193.165:25
33.56	4	25	25	74.8	193.62.193.165:25
33.77	4	25	25	74.8	193.62.193.165:25
33.98	4	25	25	75.4	193.62.193.165:25
34.19	4	25	25	74.8	193.62.193.165:25
34.40	4	25	25	74.8	193.62.193.165:25
34.60	4	25	25	75.1	193.62.193.165:25
34.81	4	25	25	75.3	193.62.193.165:25
35.02	4	25	25	75.3	193.62.193.165:25
35.23	4	25	25	75.3	193.62.193.165:25
35.44	4	25	25	75.3	193.62.193.165:25
35.65	4	25	25	74.8	193.62.193.165:25
35.85	4	25	25	74.8	193.62.193.165:25
36.06	4	25	25	74.8	193.62.193.165:25
36.27	4	26	26	74.8	193.62.193.165:26
36.48	4	26	26	74.8	193.62.193.165:26
36.69	4	25	25	74.8	193.62.193.165:25
36.90	4	25	25	74.8	193.62.193.165:25
37.11	4	25	25	74.8	193.62.193.165:25
37.31	4	26	26	74.8	193.62.193.165:26
37.52	4	26	26	74.8	193.62.193.165:26
37.73	4	26	26	74.8	193.62.193.165:26
37.94	4	25	25	74.8	193.62.193.165:25
38.15	4	25	25	74.8	193.62.193.165:25
38.35	4	25	25	74.8	193.62.193.165:25
38.56	4	26	26	74.8	193.62.193.165:26
38.77	4	26	26	74.8	193.62.193.165:26
38.98	4	26	26	74.8	193.62.193.165:26
39.19	4	25	25	74.8	193.62.193.165:25
39.39	4	25	25	74.8	193.62.193.165:25
39.60	4	25	25	74.8	193.62.193.165:25
39.81	4	25	25	74.8	193.62.193.165:25
40.02	4	25	25	74.8	193.62.193.165:25
40.23	4	25	25	74.8	193.62.193.165:25
40.44	4	25	25	74.8	193.62.193.165:25
40.65	4	25	25	74.8	193.62.193.165:25
40.85	4	25	25	74.8	193.62.193.165:25
41.06	4	25	25	74.8	193.62.193.165:25
41.27	4	25	25	74.8	193.62.193.165:25
41.48	4	25	25	74.8	193.62.193.165:25
41.69	4	26	26	74.8	193.62.193.165:26
41.89	4	26	26	74.8	193.62.193.165:26
