t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	5	0	0	23.7	-
0.20	5	0	0	84.0	-
0.41	5	0	0	127.0	-
0.61	5	0	0	134.1	-
0.82	5	1	1	134.1	193.62.193.80:1
1.03	5	1	1	135.6	193.62.193.80:1
1.23	6	1	1	141.2	193.62.193.165:1
1.44	6	1	1	141.2	193.62.193.165:1
1.65	6	1	1	141.2	193.62.193.165:1
1.86	6	1	1	141.2	193.62.193.165:1
2.07	6	1	1	141.2	193.62.193.165:1
2.27	6	2	1	141.2	193.62.193.165:1
2.48	6	2	1	141.2	193.62.193.165:1
2.69	6	2	1	141.2	193.62.193.165:1
2.90	6	2	1	141.2	193.62.193.165:1
3.10	6	2	1	141.2	193.62.193.165:1
3.31	6	2	1	141.2	193.62.193.165:1
3.52	6	2	1	141.2	193.62.193.165:1
3.72	6	2	1	141.2	193.62.193.165:1
3.93	6	2	1	141.2	193.62.193.165:1
4.14	5	0	0	136.3	-
4.34	5	0	0	54.6	-
4.55	5	0	0	120.5	-
4.75	5	1	1	134.0	193.62.193.80:1
4.96	5	1	1	135.5	193.62.193.80:1
5.16	6	0	0	141.1	-
5.37	6	1	1	141.1	193.62.193.165:1
5.58	6	1	1	141.1	193.62.193.165:1
5.78	6	1	1	141.1	193.62.193.165:1
5.99	6	1	1	141.1	193.62.193.165:1
6.20	6	2	1	141.1	193.62.193.165:1
6.41	6	2	1	141.1	193.62.193.165:1
6.61	6	2	1	141.1	193.62.193.165:1
6.82	6	2	1	141.1	193.62.193.165:1
7.03	5	0	0	136.0	-
7.23	5	0	0	52.2	-
7.43	5	0	0	118.1	-
7.64	5	1	1	134.1	193.62.193.80:1
7.84	5	1	1	135.7	193.62.193.80:1
8.05	6	0	0	141.3	-
8.26	6	1	1	141.3	193.62.193.165:1
8.47	6	1	1	141.3	193.62.193.165:1
8.68	6	1	1	141.3	193.62.193.165:1
8.88	6	1	1	141.3	193.62.193.165:1
9.09	6	2	1	141.3	193.62.193.165:1
9.30	6	2	1	141.3	193.62.193.165:1
9.51	6	1	1	141.3	193.62.193.165:1
9.71	5	0	0	29.2	-
9.92	5	0	0	95.3	-
10.12	5	0	0	134.9	-
10.33	5	1	1	136.5	193.62.193.80:1
10.53	5	1	1	136.5	193.62.193.80:1
10.74	6	1	1	142.2	193.62.193.165:1
10.95	6	1	1	142.2	193.62.193.165:1
11.16	6	1	1	142.2	193.62.193.165:1
11.36	6	1	1	142.2	193.62.193.165:1
11.57	6	1	1	142.2	193.62.193.165:1
11.78	6	2	1	142.2	193.62.193.165:1
11.98	6	2	1	142.2	193.62.193.165:1
12.19	6	2	1	142.2	193.62.193.165:1
12.40	6	2	1	142.2	193.62.193.165:1
12.60	6	2	1	142.2	193.62.193.165:1
12.81	6	2	1	142.2	193.62.193.165:1
13.02	6	2	1	142.2	193.62.193.165:1
13.22	6	2	1	142.2	193.62.193.165:1
13.43	6	2	1	142.2	193.62.193.165:1
13.64	6	2	1	142.2	193.62.193.165:1
