t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	5	0	0	9.2	-
0.20	7	0	0	23.7	-
0.41	7	1	1	24.3	193.62.193.80:1
0.62	7	1	1	24.7	193.62.193.80:1
0.83	10	0	0	27.0	-
1.04	10	1	1	27.0	193.62.193.165:1
1.25	10	1	1	27.0	193.62.193.165:1
1.46	10	1	1	27.0	193.62.193.165:1
1.66	10	1	1	27.0	193.62.193.165:1
1.87	10	1	1	27.0	193.62.193.165:1
2.08	10	2	1	27.0	193.62.193.165:1
2.29	10	2	1	27.0	193.62.193.165:1
2.49	7	0	0	18.7	-
2.70	7	1	1	18.7	193.62.193.165:1
2.91	7	1	1	18.7	193.62.193.165:1
3.12	7	1	1	18.7	193.62.193.165:1
3.32	7	1	1	18.7	193.62.193.165:1
3.53	7	2	1	18.7	193.62.193.165:1
3.74	7	2	1	18.8	193.62.193.165:1
3.95	7	1	1	24.4	193.62.193.80:1
4.15	7	1	1	24.9	193.62.193.80:1
4.36	6	0	0	14.3	-
4.57	10	1	1	27.4	193.62.193.165:1
4.77	10	1	1	27.4	193.62.193.165:1
4.98	10	1	1	27.4	193.62.193.165:1
5.19	10	1	1	27.4	193.62.193.165:1
5.40	10	1	1	27.4	193.62.193.165:1
5.61	10	2	1	27.4	193.62.193.165:1
5.82	10	2	1	27.4	193.62.193.165:1
6.03	7	0	0	18.7	-
6.24	7	1	1	18.9	193.62.193.165:1
6.44	7	1	1	18.9	193.62.193.165:1
6.65	7	1	1	18.9	193.62.193.165:1
6.86	7	1	1	18.9	193.62.193.165:1
7.07	7	1	1	18.9	193.62.193.165:1
7.28	7	2	1	19.0	193.62.193.165:1
7.48	7	0	0	23.8	-
7.69	7	1	1	24.4	193.62.193.80:1
7.90	7	1	1	25.0	193.62.193.80:1
8.11	10	1	1	27.5	193.62.193.165:1
8.32	10	1	1	27.5	193.62.193.165:1
8.52	10	1	1	27.5	193.62.193.165:1
8.73	10	1	1	27.5	193.62.193.165:1
8.94	10	1	1	27.5	193.62.193.165:1
9.15	10	2	1	27.5	193.62.193.165:1
9.36	10	1	1	27.5	193.62.193.165:1
9.56	10	1	1	27.5	193.62.193.165:1
9.77	7	0	0	19.0	-
9.98	7	1	1	19.0	193.62.193.165:1
10.19	7	1	1	19.0	193.62.193.165:1
10.40	7	1	1	19.0	193.62.193.165:1
10.60	7	1	1	19.0	193.62.193.165:1
10.81	7	2	1	19.0	193.62.193.165:1
11.02	7	2	1	19.0	193.62.193.165:1
11.23	7	1	1	24.5	193.62.193.80:1
11.43	7	1	1	25.0	193.62.193.80:1
11.64	6	0	0	14.3	-
11.85	10	1	1	27.3	193.62.193.165:1
12.05	10	1	1	27.3	193.62.193.165:1
12.26	10	1	1	27.3	193.62.193.165:1
12.47	10	1	1	27.3	193.62.193.165:1
12.68	10	1	1	27.3	193.62.193.165:1
12.89	10	2	1	27.3	193.62.193.165:1
13.10	10	2	1	27.3	193.62.193.165:1
13.30	7	0	0	18.8	-
13.51	7	1	1	19.0	193.62.193.165:1
13.72	7	1	1	19.0	193.62.193.165:1
13.93	7	1	1	19.0	193.62.193.165:1
14.13	7	1	1	19.0	193.62.193.165:1
14.34	7	1	1	19.0	193.62.193.165:1
14.55	7	2	1	19.0	193.62.193.165:1
14.76	7	0	0	23.8	-
14.96	7	1	1	24.5	193.62.193.80:1
15.17	7	1	1	24.9	193.62.193.80:1
15.38	10	1	1	27.2	193.62.193.165:1
15.59	10	1	1	27.2	193.62.193.165:1
15.80	10	1	1	27.2	193.62.193.165:1
16.00	10	1	1	27.2	193.62.193.165:1
16.21	10	1	1	27.2	193.62.193.165:1
16.42	10	2	1	27.2	193.62.193.165:1
16.63	10	1	1	27.2	193.62.193.165:1
16.84	10	1	1	27.2	193.62.193.165:1
17.05	7	1	1	19.1	193.62.193.165:1
17.26	7	1	1	19.1	193.62.193.165:1
17.46	7	1	1	19.1	193.62.193.165:1
17.67	7	1	1	19.1	193.62.193.165:1
17.88	7	1	1	19.1	193.62.193.165:1
18.09	7	2	1	19.2	193.62.193.165:1
18.29	7	2	1	19.2	193.62.193.165:1
18.50	7	0	0	23.7	-
18.71	7	1	1	24.4	193.62.193.80:1
18.92	7	1	1	24.9	193.62.193.80:1
19.13	10	1	1	27.3	193.62.193.165:1
19.33	10	1	1	27.3	193.62.193.165:1
19.54	10	1	1	27.3	193.62.193.165:1
19.75	10	1	1	27.3	193.62.193.165:1
19.96	10	1	1	27.3	193.62.193.165:1
20.16	10	2	1	27.3	193.62.193.165:1
20.37	10	2	1	27.3	193.62.193.165:1
20.58	10	1	1	27.3	193.62.193.165:1
20.79	7	1	1	19.1	193.62.193.165:1
20.99	7	1	1	19.1	193.62.193.165:1
21.20	7	1	1	19.1	193.62.193.165:1
21.41	7	1	1	19.1	193.62.193.165:1
21.62	7	1	1	19.1	193.62.193.165:1
21.82	7	2	1	19.2	193.62.193.165:1
22.03	7	0	0	23.9	-
22.24	7	1	1	24.5	193.62.193.80:1
22.45	7	1	1	25.0	193.62.193.80:1
22.65	10	0	0	27.3	-
22.86	10	1	1	27.3	193.62.193.165:1
23.07	10	1	1	27.3	193.62.193.165:1
23.28	10	1	1	27.3	193.62.193.165:1
23.48	10	1	1	27.3	193.62.193.165:1
23.69	10	2	1	27.3	193.62.193.165:1
23.90	10	1	1	27.3	193.62.193.165:1
24.10	10	1	1	27.3	193.62.193.165:1
24.31	7	0	0	19.0	-
24.52	7	1	1	19.0	193.62.193.165:1
24.73	7	1	1	19.0	193.62.193.165:1
24.93	7	1	1	19.0	193.62.193.165:1
25.14	7	1	1	19.0	193.62.193.165:1
25.35	7	2	1	19.0	193.62.193.165:1
25.56	7	2	1	19.1	193.62.193.165:1
25.77	7	1	1	24.5	193.62.193.80:1
25.97	7	1	1	24.9	193.62.193.80:1
26.18	6	0	0	14.3	-
26.39	10	1	1	27.4	193.62.193.165:1
26.60	10	1	1	27.4	193.62.193.165:1
26.80	10	1	1	27.4	193.62.193.165:1
27.01	10	1	1	27.4	193.62.193.165:1
27.22	10	1	1	27.4	193.62.193.165:1
27.43	10	2	1	27.4	193.62.193.165:1
27.63	10	2	1	27.4	193.62.193.165:1
27.84	7	0	0	18.8	-
28.05	7	1	1	19.1	193.62.193.165:1
28.26	7	1	1	19.1	193.62.193.165:1
28.46	7	1	1	19.1	193.62.193.165:1
28.67	7	1	1	19.1	193.62.193.165:1
28.88	7	1	1	19.1	193.62.193.165:1
29.09	7	2	1	19.1	193.62.193.165:1
29.29	6	0	0	14.8	-
29.50	7	1	1	24.5	193.62.193.80:1
29.70	7	1	1	24.9	193.62.193.80:1
29.91	10	0	0	27.4	-
30.12	10	1	1	27.4	193.62.193.165:1
30.33	10	1	1	27.4	193.62.193.165:1
30.53	10	1	1	27.4	193.62.193.165:1
30.74	10	1	1	27.4	193.62.193.165:1
30.95	10	1	1	27.4	193.62.193.165:1
31.16	10	2	1	27.4	193.62.193.165:1
31.37	10	2	1	27.4	193.62.193.165:1
31.57	7	0	0	19.1	-
31.78	7	1	1	19.1	193.62.193.165:1
31.99	7	1	1	19.1	193.62.193.165:1
32.19	7	1	1	19.1	193.62.193.165:1
32.40	7	1	1	19.1	193.62.193.165:1
32.61	7	1	1	19.1	193.62.193.165:1
32.81	7	2	1	19.2	193.62.193.165:1
33.02	7	0	0	23.9	-
33.23	7	1	1	24.6	193.62.193.80:1
33.44	7	1	1	25.0	193.62.193.80:1
33.64	10	1	1	27.4	193.62.193.165:1
33.85	10	1	1	27.4	193.62.193.165:1
34.06	10	1	1	27.4	193.62.193.165:1
34.27	10	1	1	27.4	193.62.193.165:1
34.48	10	1	1	27.4	193.62.193.165:1
34.68	10	2	1	27.4	193.62.193.165:1
34.89	10	1	1	27.4	193.62.193.165:1
35.10	10	1	1	27.4	193.62.193.165:1
35.30	7	1	1	19.1	193.62.193.165:1
35.51	7	1	1	19.1	193.62.193.165:1
35.72	7	1	1	19.1	193.62.193.165:1
35.93	7	1	1	19.1	193.62.193.165:1
36.14	7	1	1	19.1	193.62.193.165:1
36.34	7	2	1	19.2	193.62.193.165:1
36.55	7	2	1	19.2	193.62.193.165:1
36.76	7	2	1	19.2	193.62.193.165:1
36.97	7	0	0	22.8	-
37.17	7	1	1	24.4	193.62.193.80:1
37.38	7	1	1	24.8	193.62.193.80:1
37.59	10	0	0	27.2	-
37.79	10	1	1	27.2	193.62.193.165:1
38.00	10	1	1	27.2	193.62.193.165:1
38.21	10	1	1	27.2	193.62.193.165:1
38.41	10	1	1	27.2	193.62.193.165:1
38.62	10	1	1	27.2	193.62.193.165:1
38.83	10	2	1	27.2	193.62.193.165:1
39.04	10	2	1	27.2	193.62.193.165:1
39.25	7	0	0	19.0	-
39.45	7	1	1	19.0	193.62.193.165:1
39.66	7	1	1	19.0	193.62.193.165:1
39.87	7	1	1	19.0	193.62.193.165:1
40.08	7	1	1	19.0	193.62.193.165:1
40.28	7	2	1	19.0	193.62.193.165:1
40.49	7	2	1	19.0	193.62.193.165:1
40.70	7	0	0	23.8	-
40.91	7	1	1	24.5	193.62.193.80:1
41.11	7	1	1	24.9	193.62.193.80:1
41.32	10	1	1	27.4	193.62.193.165:1
41.53	10	1	1	27.4	193.62.193.165:1
41.74	10	1	1	27.4	193.62.193.165:1
41.94	10	1	1	27.4	193.62.193.165:1
42.15	10	1	1	27.4	193.62.193.165:1
42.36	10	2	1	27.4	193.62.193.165:1
42.57	10	2	1	27.4	193.62.193.165:1
42.77	6	0	0	14.4	-
42.98	7	1	1	19.0	193.62.193.165:1
43.19	7	1	1	19.0	193.62.193.165:1
43.40	7	1	1	19.0	193.62.193.165:1
43.60	7	1	1	19.0	193.62.193.165:1
43.81	7	1	1	19.0	193.62.193.165:1
44.02	7	2	1	19.0	193.62.193.165:1
44.23	7	2	1	19.0	193.62.193.165:1
44.44	7	1	1	24.5	193.62.193.80:1
