t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	5	0	0	9.2	-
0.20	7	0	0	23.7	-
0.41	7	1	1	24.3	193.62.193.80:1
0.62	7	1	1	24.8	193.62.193.80:1
0.83	10	0	0	27.2	-
1.03	10	1	1	27.2	193.62.193.165:1
1.24	10	1	1	27.2	193.62.193.165:1
1.45	10	1	1	27.2	193.62.193.165:1
1.66	10	1	1	27.2	193.62.193.165:1
1.86	10	2	1	27.2	193.62.193.165:1
2.07	10	1	1	27.2	193.62.193.165:1
2.28	10	2	1	27.2	193.62.193.165:1
2.49	7	0	0	19.5	-
2.69	7	1	1	19.5	193.62.193.165:1
2.90	7	1	1	19.5	193.62.193.165:1
3.11	7	1	1	19.5	193.62.193.165:1
3.31	7	1	1	19.5	193.62.193.165:1
3.52	7	2	1	19.5	193.62.193.165:1
3.73	7	1	1	19.5	193.62.193.165:1
3.93	7	0	0	23.8	-
4.14	7	1	1	24.7	193.62.193.80:1
4.35	7	1	1	24.7	193.62.193.80:1
4.55	10	0	0	27.2	-
4.76	10	1	1	27.2	193.62.193.165:1
4.97	10	1	1	27.2	193.62.193.165:1
5.18	10	1	1	27.2	193.62.193.165:1
5.39	10	1	1	27.2	193.62.193.165:1
5.59	10	2	1	27.2	193.62.193.165:1
5.80	10	1	1	27.2	193.62.193.165:1
6.01	10	1	1	27.2	193.62.193.165:1
6.21	7	1	1	19.4	193.62.193.165:1
6.42	7	1	1	19.4	193.62.193.165:1
6.63	7	1	1	19.4	193.62.193.165:1
6.84	7	1	1	19.4	193.62.193.165:1
7.04	7	1	1	19.4	193.62.193.165:1
7.25	7	2	1	19.4	193.62.193.165:1
7.46	7	1	1	19.4	193.62.193.165:1
7.66	7	0	0	23.7	-
7.87	7	1	1	24.4	193.62.193.80:1
8.08	7	1	1	24.8	193.62.193.80:1
8.29	10	1	1	27.3	193.62.193.165:1
8.49	10	1	1	27.3	193.62.193.165:1
8.70	10	1	1	27.3	193.62.193.165:1
8.91	10	1	1	27.3	193.62.193.165:1
9.12	10	1	1	27.3	193.62.193.165:1
9.32	10	2	1	27.3	193.62.193.165:1
9.53	10	1	1	27.3	193.62.193.165:1
9.74	10	1	1	27.3	193.62.193.165:1
9.95	7	1	1	19.5	193.62.193.165:1
10.15	7	1	1	19.5	193.62.193.165:1
10.36	7	1	1	19.5	193.62.193.165:1
10.57	7	1	1	19.5	193.62.193.165:1
10.77	7	1	1	19.5	193.62.193.165:1
10.98	7	2	1	19.5	193.62.193.165:1
11.19	7	1	1	19.5	193.62.193.165:1
11.40	7	1	1	23.8	193.62.193.80:1
11.61	7	1	1	24.7	193.62.193.80:1
11.81	6	0	0	14.1	-
12.02	10	1	1	27.3	193.62.193.165:1
12.22	10	1	1	27.3	193.62.193.165:1
12.43	10	1	1	27.3	193.62.193.165:1
12.64	10	1	1	27.3	193.62.193.165:1
12.85	10	1	1	27.3	193.62.193.165:1
13.05	10	2	1	27.3	193.62.193.165:1
13.26	10	2	1	27.3	193.62.193.165:1
13.47	6	0	0	14.2	-
13.67	7	1	1	19.5	193.62.193.165:1
13.88	7	1	1	19.5	193.62.193.165:1
14.09	7	1	1	19.5	193.62.193.165:1
14.29	7	1	1	19.5	193.62.193.165:1
14.50	7	1	1	19.5	193.62.193.165:1
14.71	7	2	1	19.5	193.62.193.165:1
14.92	7	0	0	14.2	-
15.12	7	1	1	24.3	193.62.193.80:1
15.33	7	1	1	24.7	193.62.193.80:1
15.54	6	0	0	14.2	-
15.74	10	1	1	27.2	193.62.193.165:1
15.95	10	1	1	27.2	193.62.193.165:1
16.16	10	1	1	27.2	193.62.193.165:1
16.37	10	1	1	27.2	193.62.193.165:1
16.57	10	1	1	27.2	193.62.193.165:1
16.78	10	2	1	27.2	193.62.193.165:1
16.99	10	2	1	27.2	193.62.193.165:1
17.19	7	0	0	19.4	-
17.40	7	1	1	19.4	193.62.193.165:1
17.61	7	1	1	19.4	193.62.193.165:1
17.82	7	1	1	19.4	193.62.193.165:1
18.03	7	1	1	19.4	193.62.193.165:1
18.23	7	1	1	19.4	193.62.193.165:1
18.44	7	2	1	19.4	193.62.193.165:1
18.65	7	1	1	19.4	193.62.193.165:1
18.86	7	0	0	23.6	-
19.06	7	1	1	24.5	193.62.193.80:1
19.27	7	1	1	24.5	193.62.193.80:1
19.48	10	0	0	27.2	-
19.69	10	1	1	27.2	193.62.193.165:1
19.90	10	1	1	27.2	193.62.193.165:1
20.10	10	1	1	27.2	193.62.193.165:1
20.31	10	1	1	27.2	193.62.193.165:1
20.52	10	2	1	27.2	193.62.193.165:1
20.73	10	1	1	27.2	193.62.193.165:1
20.93	10	1	1	27.2	193.62.193.165:1
21.14	7	1	1	19.4	193.62.193.165:1
21.35	7	1	1	19.4	193.62.193.165:1
21.55	7	1	1	19.4	193.62.193.165:1
21.76	7	1	1	19.4	193.62.193.165:1
21.97	7	1	1	19.4	193.62.193.165:1
22.18	7	2	1	19.4	193.62.193.165:1
22.38	7	1	1	19.4	193.62.193.165:1
22.59	7	0	0	23.6	-
22.80	7	1	1	24.2	193.62.193.80:1
23.00	7	1	1	24.7	193.62.193.80:1
23.21	10	1	1	27.3	193.62.193.165:1
23.42	10	1	1	27.3	193.62.193.165:1
23.63	10	1	1	27.3	193.62.193.165:1
23.83	10	1	1	27.3	193.62.193.165:1
24.04	10	1	1	27.3	193.62.193.165:1
24.25	10	2	1	27.3	193.62.193.165:1
24.46	10	1	1	27.3	193.62.193.165:1
24.66	10	1	1	27.3	193.62.193.165:1
24.87	7	1	1	19.5	193.62.193.165:1
25.08	7	1	1	19.5	193.62.193.165:1
25.29	7	1	1	19.5	193.62.193.165:1
25.49	7	1	1	19.5	193.62.193.165:1
25.70	7	1	1	19.5	193.62.193.165:1
25.91	7	2	1	19.5	193.62.193.165:1
26.11	7	1	1	19.5	193.62.193.165:1
26.32	7	1	1	23.7	193.62.193.80:1
26.53	7	1	1	24.5	193.62.193.80:1
26.74	7	1	1	24.5	193.62.193.80:1
26.94	10	1	1	27.1	193.62.193.165:1
27.15	10	1	1	27.1	193.62.193.165:1
27.36	10	1	1	27.1	193.62.193.165:1
27.57	10	1	1	27.1	193.62.193.165:1
27.77	10	1	1	27.1	193.62.193.165:1
27.98	10	2	1	27.1	193.62.193.165:1
28.19	10	2	1	27.1	193.62.193.165:1
28.40	10	1	1	27.1	193.62.193.165:1
28.61	7	1	1	19.4	193.62.193.165:1
28.82	7	1	1	19.4	193.62.193.165:1
29.02	7	1	1	19.4	193.62.193.165:1
29.23	7	1	1	19.4	193.62.193.165:1
29.44	7	1	1	19.4	193.62.193.165:1
29.65	7	2	1	19.4	193.62.193.165:1
29.86	7	2	1	19.4	193.62.193.165:1
30.06	7	0	0	23.7	-
30.27	7	1	1	24.4	193.62.193.80:1
30.48	7	1	1	24.8	193.62.193.80:1
30.69	10	0	0	27.3	-
30.89	10	1	1	27.3	193.62.193.165:1
31.10	10	1	1	27.3	193.62.193.165:1
31.31	10	1	1	27.3	193.62.193.165:1
31.52	10	1	1	27.3	193.62.193.165:1
31.73	10	2	1	27.3	193.62.193.165:1
31.93	10	1	1	27.3	193.62.193.165:1
32.14	10	1	1	27.3	193.62.193.165:1
32.35	7	0	0	19.4	-
32.56	7	1	1	19.4	193.62.193.165:1
32.76	7	1	1	19.4	193.62.193.165:1
32.97	7	1	1	19.4	193.62.193.165:1
33.18	7	1	1	19.4	193.62.193.165:1
33.39	7	2	1	19.4	193.62.193.165:1
33.59	7	1	1	19.4	193.62.193.165:1
33.80	7	0	0	23.8	-
34.01	7	1	1	24.6	193.62.193.80:1
34.22	7	1	1	24.6	193.62.193.80:1
34.43	10	0	0	27.3	-
34.63	10	1	1	27.3	193.62.193.165:1
34.84	10	1	1	27.3	193.62.193.165:1
35.05	10	1	1	27.3	193.62.193.165:1
35.26	10	1	1	27.3	193.62.193.165:1
35.46	10	2	1	27.3	193.62.193.165:1
35.67	10	1	1	27.3	193.62.193.165:1
35.88	10	1	1	27.3	193.62.193.165:1
36.08	7	1	1	19.5	193.62.193.165:1
36.29	7	1	1	19.5	193.62.193.165:1
36.50	7	1	1	19.5	193.62.193.165:1
36.71	7	1	1	19.5	193.62.193.165:1
36.92	7	1	1	19.5	193.62.193.165:1
37.12	7	2	1	19.5	193.62.193.165:1
37.33	7	1	1	19.5	193.62.193.165:1
37.54	7	0	0	23.6	-
37.74	7	1	1	24.3	193.62.193.80:1
37.95	7	1	1	24.7	193.62.193.80:1
38.16	10	0	0	27.2	-
38.37	10	1	1	27.2	193.62.193.165:1
38.57	10	1	1	27.2	193.62.193.165:1
38.78	10	1	1	27.2	193.62.193.165:1
38.99	10	1	1	27.2	193.62.193.165:1
39.19	10	2	1	27.2	193.62.193.165:1
39.40	10	1	1	27.2	193.62.193.165:1
39.61	10	1	1	27.2	193.62.193.165:1
39.82	7	1	1	19.4	193.62.193.165:1
40.02	7	1	1	19.4	193.62.193.165:1
40.23	7	1	1	19.4	193.62.193.165:1
40.44	7	1	1	19.4	193.62.193.165:1
40.65	7	1	1	19.4	193.62.193.165:1
40.85	7	2	1	19.4	193.62.193.165:1
41.06	7	1	1	19.4	193.62.193.165:1
41.27	7	0	0	23.8	-
41.47	7	1	1	24.7	193.62.193.80:1
41.68	7	1	1	24.7	193.62.193.80:1
41.89	10	0	0	27.2	-
42.10	10	1	1	27.2	193.62.193.165:1
42.30	10	1	1	27.2	193.62.193.165:1
42.51	10	1	1	27.2	193.62.193.165:1
42.72	10	1	1	27.2	193.62.193.165:1
42.92	10	2	1	27.2	193.62.193.165:1
43.13	10	1	1	27.2	193.62.193.165:1
43.34	10	1	1	27.2	193.62.193.165:1
43.55	7	0	0	19.4	-
43.75	7	1	1	19.4	193.62.193.165:1
43.96	7	1	1	19.4	193.62.193.165:1
44.17	7	1	1	19.4	193.62.193.165:1
