t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	4	0	0	20.7	-
0.20	4	0	0	98.0	-
0.41	5	0	0	133.4	-
0.62	5	1	1	137.3	193.62.193.80:1
0.83	6	0	0	140.8	-
1.03	6	1	1	141.2	193.62.193.165:1
1.24	6	1	1	141.2	193.62.193.165:1
1.44	6	1	1	141.2	193.62.193.165:1
1.65	6	1	1	141.2	193.62.193.165:1
1.86	6	1	1	141.2	193.62.193.165:1
2.07	6	1	1	141.2	193.62.193.165:1
2.27	6	1	1	141.2	193.62.193.165:1
2.48	6	2	1	141.2	193.62.193.165:1
2.69	6	2	1	141.2	193.62.193.165:1
2.90	5	0	0	135.1	-
3.10	5	1	1	139.2	193.62.193.80:1
3.31	5	1	1	139.4	193.62.193.80:1
3.52	6	1	1	141.1	193.62.193.165:1
3.73	6	1	1	141.1	193.62.193.165:1
3.93	6	1	1	141.1	193.62.193.165:1
4.14	6	1	1	141.1	193.62.193.165:1
4.35	6	1	1	141.1	193.62.193.165:1
4.55	6	1	1	141.1	193.62.193.165:1
4.76	6	1	1	141.1	193.62.193.165:1
4.97	6	2	1	141.1	193.62.193.165:1
5.17	6	2	1	141.1	193.62.193.165:1
5.38	5	0	0	135.2	-
5.59	5	1	1	138.9	193.62.193.80:1
5.80	5	0	0	124.4	-
6.01	6	1	1	141.3	193.62.193.165:1
6.21	6	1	1	141.3	193.62.193.165:1
6.42	6	1	1	141.3	193.62.193.165:1
6.63	6	1	1	141.3	193.62.193.165:1
6.84	6	1	1	141.3	193.62.193.165:1
7.05	6	1	1	141.3	193.62.193.165:1
7.26	6	1	1	141.3	193.62.193.165:1
7.46	6	2	1	141.3	193.62.193.165:1
7.67	6	2	1	141.3	193.62.193.165:1
7.88	5	0	0	135.2	-
8.08	5	1	1	139.2	193.62.193.80:1
8.29	5	1	1	139.4	193.62.193.80:1
8.50	6	1	1	141.1	193.62.193.165:1
8.71	6	1	1	141.1	193.62.193.165:1
8.91	6	1	1	141.1	193.62.193.165:1
9.12	6	1	1	141.1	193.62.193.165:1
9.33	6	1	1	141.1	193.62.193.165:1
9.53	6	1	1	141.1	193.62.193.165:1
9.74	6	1	1	141.1	193.62.193.165:1
9.95	6	2	1	141.1	193.62.193.165:1
10.15	6	2	1	141.1	193.62.193.165:1
10.36	5	0	0	135.0	-
10.57	5	1	1	138.9	193.62.193.80:1
10.78	5	1	1	138.9	193.62.193.80:1
10.98	6	1	1	141.1	193.62.193.165:1
11.19	6	1	1	141.1	193.62.193.165:1
11.40	6	1	1	141.1	193.62.193.165:1
11.60	6	1	1	141.1	193.62.193.165:1
11.81	6	1	1	141.1	193.62.193.165:1
12.02	6	1	1	141.1	193.62.193.165:1
12.22	6	1	1	141.1	193.62.193.165:1
12.43	6	2	1	141.1	193.62.193.165:1
12.64	6	2	1	141.1	193.62.193.165:1
12.85	6	1	1	141.1	193.62.193.165:1
13.05	5	0	0	135.1	-
13.26	5	1	1	138.8	193.62.193.80:1
13.47	6	0	0	141.2	-
13.67	6	1	1	141.2	193.62.193.165:1
13.88	6	1	1	141.2	193.62.193.165:1
14.09	6	1	1	141.2	193.62.193.165:1
14.29	6	1	1	141.2	193.62.193.165:1
14.50	6	1	1	141.2	193.62.193.165:1
14.71	6	1	1	141.2	193.62.193.165:1
14.92	6	1	1	141.2	193.62.193.165:1
15.13	6	2	1	141.2	193.62.193.165:1
15.33	6	2	1	141.2	193.62.193.165:1
15.54	5	0	0	135.2	-
15.75	5	1	1	139.0	193.62.193.80:1
15.96	6	0	0	141.2	-
16.17	6	1	1	141.2	193.62.193.165:1
16.37	6	1	1	141.2	193.62.193.165:1
16.58	6	1	1	141.2	193.62.193.165:1
16.79	6	1	1	141.2	193.62.193.165:1
16.99	6	1	1	141.2	193.62.193.165:1
17.20	6	1	1	141.2	193.62.193.165:1
17.41	6	1	1	141.2	193.62.193.165:1
17.62	6	2	1	141.2	193.62.193.165:1
17.82	6	2	1	141.2	193.62.193.165:1
18.03	5	0	0	135.1	-
18.24	5	1	1	138.9	193.62.193.80:1
18.45	6	0	0	141.2	-
18.66	6	1	1	141.2	193.62.193.165:1
18.86	6	1	1	141.2	193.62.193.165:1
19.07	6	1	1	141.2	193.62.193.165:1
19.28	6	1	1	141.2	193.62.193.165:1
19.49	6	1	1	141.2	193.62.193.165:1
19.69	6	1	1	141.2	193.62.193.165:1
19.90	6	1	1	141.2	193.62.193.165:1
20.11	6	2	1	141.2	193.62.193.165:1
20.32	6	2	1	141.2	193.62.193.165:1
20.53	5	0	0	135.1	-
20.74	5	1	1	138.8	193.62.193.80:1
20.94	5	1	1	139.2	193.62.193.80:1
21.15	6	1	1	141.1	193.62.193.165:1
21.36	6	1	1	141.1	193.62.193.165:1
21.57	6	1	1	141.1	193.62.193.165:1
21.77	6	1	1	141.1	193.62.193.165:1
21.98	6	1	1	141.1	193.62.193.165:1
22.19	6	1	1	141.1	193.62.193.165:1
22.40	6	1	1	141.1	193.62.193.165:1
22.61	6	2	1	141.1	193.62.193.165:1
22.81	6	2	1	141.1	193.62.193.165:1
23.02	5	0	0	134.9	-
23.23	5	1	1	139.1	193.62.193.80:1
23.44	5	1	1	139.4	193.62.193.80:1
23.64	6	1	1	141.2	193.62.193.165:1
23.85	6	1	1	141.2	193.62.193.165:1
24.06	6	1	1	141.2	193.62.193.165:1
24.27	6	1	1	141.2	193.62.193.165:1
24.48	6	1	1	141.2	193.62.193.165:1
24.69	6	1	1	141.2	193.62.193.165:1
24.90	6	1	1	141.2	193.62.193.165:1
25.10	6	2	1	141.2	193.62.193.165:1
25.31	6	2	1	141.2	193.62.193.165:1
25.52	5	0	0	135.1	-
25.73	5	1	1	139.2	193.62.193.80:1
25.94	4	0	0	124.4	-
26.14	6	1	1	141.1	193.62.193.165:1
26.35	6	1	1	141.1	193.62.193.165:1
26.56	6	1	1	141.1	193.62.193.165:1
26.77	6	1	1	141.1	193.62.193.165:1
26.97	6	1	1	141.1	193.62.193.165:1
27.18	6	1	1	141.1	193.62.193.165:1
27.39	6	1	1	141.1	193.62.193.165:1
27.60	6	2	1	141.1	193.62.193.165:1
27.81	6	2	1	141.1	193.62.193.165:1
28.02	5	0	0	135.1	-
28.22	5	1	1	138.8	193.62.193.80:1
28.43	5	1	1	139.3	193.62.193.80:1
28.64	6	1	1	141.4	193.62.193.165:1
28.85	6	1	1	141.4	193.62.193.165:1
29.06	6	1	1	141.4	193.62.193.165:1
29.26	6	1	1	141.4	193.62.193.165:1
29.47	6	1	1	141.4	193.62.193.165:1
29.68	6	1	1	141.4	193.62.193.165:1
29.89	6	1	1	141.4	193.62.193.165:1
30.10	6	2	1	141.4	193.62.193.165:1
30.30	6	2	1	141.4	193.62.193.165:1
30.51	6	1	1	141.4	193.62.193.165:1
30.72	5	1	1	138.0	193.62.193.80:1
30.93	5	1	1	139.3	193.62.193.80:1
31.14	6	0	0	141.3	-
31.34	6	1	1	141.3	193.62.193.165:1
31.55	6	1	1	141.3	193.62.193.165:1
31.76	6	1	1	141.3	193.62.193.165:1
31.97	6	1	1	141.3	193.62.193.165:1
32.18	6	1	1	141.3	193.62.193.165:1
32.39	6	1	1	141.3	193.62.193.165:1
32.60	6	2	1	141.3	193.62.193.165:1
32.81	6	2	1	141.3	193.62.193.165:1
33.02	6	1	1	141.3	193.62.193.165:1
33.23	5	1	1	139.2	193.62.193.80:1
33.43	5	1	1	139.4	193.62.193.80:1
33.64	6	1	1	141.3	193.62.193.165:1
33.85	6	1	1	141.3	193.62.193.165:1
34.05	6	1	1	141.3	193.62.193.165:1
34.26	6	1	1	141.3	193.62.193.165:1
34.47	6	1	1	141.3	193.62.193.165:1
34.68	6	1	1	141.3	193.62.193.165:1
34.89	6	1	1	141.3	193.62.193.165:1
35.09	6	2	1	141.3	193.62.193.165:1
35.30	6	2	1	141.3	193.62.193.165:1
35.51	6	1	1	141.3	193.62.193.165:1
35.72	5	1	1	138.9	193.62.193.80:1
35.93	5	1	1	139.2	193.62.193.80:1
36.13	6	0	0	141.2	-
36.34	6	1	1	141.2	193.62.193.165:1
36.55	6	1	1	141.2	193.62.193.165:1
36.76	6	1	1	141.2	193.62.193.165:1
36.97	6	1	1	141.2	193.62.193.165:1
37.18	6	1	1	141.2	193.62.193.165:1
37.39	6	1	1	141.2	193.62.193.165:1
37.60	6	2	1	141.2	193.62.193.165:1
37.80	6	2	1	141.2	193.62.193.165:1
38.01	6	1	1	141.2	193.62.193.165:1
38.22	5	1	1	138.9	193.62.193.80:1
38.43	5	1	1	139.3	193.62.193.80:1
38.63	6	0	0	141.3	-
