t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	4	0	0	20.7	-
0.20	5	0	0	66.5	-
0.41	6	0	0	76.2	-
0.62	8	3	3	97.1	193.62.193.80:3
0.85	10	5	5	119.1	193.62.193.80:5
1.08	9	4	4	108.4	193.62.193.80:4
1.31	7	3	3	88.6	193.62.193.80:3
1.52	5	1	1	67.7	193.62.193.80:1
1.73	4	0	0	57.3	-
1.94	4	2	2	58.4	193.62.193.165:2
2.14	4	2	2	58.4	193.62.193.165:2
2.35	4	2	2	58.4	193.62.193.165:2
2.55	4	2	2	58.4	193.62.193.165:2
2.76	4	2	2	58.4	193.62.193.165:2
2.97	4	3	3	58.6	193.62.193.165:3
3.18	4	3	3	58.9	193.62.193.165:3
3.38	4	4	4	58.9	193.62.193.165:4
3.59	4	4	4	59.2	193.62.193.165:4
3.80	4	4	4	59.3	193.62.193.165:4
4.00	4	4	4	59.6	193.62.193.165:4
4.21	4	4	4	60.2	193.62.193.165:4
4.42	4	4	4	60.5	193.62.193.165:4
4.62	4	4	4	60.5	193.62.193.165:4
4.83	4	4	4	60.8	193.62.193.165:4
5.04	4	4	4	61.6	193.62.193.165:4
5.24	4	4	4	61.1	193.62.193.165:4
5.45	4	4	4	61.5	193.62.193.165:4
5.66	4	4	4	61.4	193.62.193.165:4
5.86	4	4	4	61.8	193.62.193.165:4
6.07	4	4	4	61.6	193.62.193.165:4
6.27	4	4	4	61.7	193.62.193.165:4
6.48	4	4	4	61.4	193.62.193.165:4
6.69	4	4	4	61.4	193.62.193.165:4
6.89	4	4	4	61.8	193.62.193.165:4
7.10	4	4	4	61.4	193.62.193.165:4
7.31	4	4	4	61.5	193.62.193.165:4
7.51	4	4	4	61.4	193.62.193.165:4
7.72	4	4	4	61.4	193.62.193.165:4
7.93	4	4	4	61.7	193.62.193.165:4
8.13	4	4	4	61.6	193.62.193.165:4
8.34	4	4	4	61.6	193.62.193.165:4
8.55	4	4	4	61.4	193.62.193.165:4
8.76	4	4	4	61.7	193.62.193.165:4
8.96	4	4	4	61.5	193.62.193.165:4
9.17	4	4	4	61.6	193.62.193.165:4
9.38	4	4	4	61.4	193.62.193.165:4
9.59	4	4	4	61.4	193.62.193.165:4
9.79	4	4	4	61.6	193.62.193.165:4
10.00	4	4	4	61.6	193.62.193.165:4
10.21	4	4	4	61.6	193.62.193.165:4
10.41	4	4	4	61.6	193.62.193.165:4
10.62	4	4	4	61.4	193.62.193.165:4
10.82	4	4	4	61.5	193.62.193.165:4
11.03	4	4	4	61.5	193.62.193.165:4
11.24	4	4	4	61.4	193.62.193.165:4
11.44	4	4	4	61.4	193.62.193.165:4
11.65	4	4	4	61.4	193.62.193.165:4
11.86	4	4	4	61.4	193.62.193.165:4
12.06	4	4	4	61.4	193.62.193.165:4
12.27	4	4	4	61.7	193.62.193.165:4
12.48	4	4	4	61.7	193.62.193.165:4
