t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	4	0	0	18.2	-
0.21	5	0	0	66.3	-
0.42	6	0	0	75.8	-
0.63	8	3	3	97.1	193.62.193.80:3
0.85	10	5	5	119.0	193.62.193.80:5
1.09	9	4	4	108.2	193.62.193.80:4
1.31	7	3	3	88.4	193.62.193.80:3
1.53	5	1	1	67.5	193.62.193.80:1
1.74	4	0	0	57.3	-
1.94	4	16	16	63.6	193.62.193.165:16
2.15	4	16	16	63.6	193.62.193.165:16
2.36	4	16	16	63.6	193.62.193.165:16
2.56	4	25	25	67.1	193.62.193.165:25
2.77	4	25	25	67.9	193.62.193.165:25
2.98	4	25	25	68.5	193.62.193.165:25
3.19	4	25	25	71.8	193.62.193.165:25
3.40	4	25	25	76.9	193.62.193.165:25
3.60	4	25	25	82.2	193.62.193.165:25
3.81	4	25	25	83.0	193.62.193.165:25
4.02	4	25	25	85.9	193.62.193.165:25
4.23	4	25	25	84.4	193.62.193.165:25
4.43	4	25	25	87.1	193.62.193.165:25
4.64	4	25	25	84.3	193.62.193.165:25
4.85	4	25	25	84.9	193.62.193.165:25
5.06	4	25	25	84.3	193.62.193.165:25
5.27	4	25	25	84.3	193.62.193.165:25
5.48	4	25	25	84.3	193.62.193.165:25
5.68	4	25	25	84.3	193.62.193.165:25
5.89	4	25	25	84.3	193.62.193.165:25
6.10	4	25	25	84.3	193.62.193.165:25
6.31	4	25	25	84.3	193.62.193.165:25
6.51	4	25	25	84.3	193.62.193.165:25
6.72	4	25	25	84.3	193.62.193.165:25
6.93	4	25	25	84.3	193.62.193.165:25
7.13	4	25	25	84.3	193.62.193.165:25
7.34	4	25	25	84.3	193.62.193.165:25
7.55	4	25	25	84.3	193.62.193.165:25
7.76	4	25	25	84.3	193.62.193.165:25
7.97	4	25	25	84.3	193.62.193.165:25
8.17	4	25	25	84.3	193.62.193.165:25
8.38	4	25	25	84.3	193.62.193.165:25
8.59	4	25	25	84.3	193.62.193.165:25
8.79	4	25	25	84.3	193.62.193.165:25
9.00	4	25	25	84.3	193.62.193.165:25
9.21	4	25	25	84.3	193.62.193.165:25
9.42	4	25	25	84.3	193.62.193.165:25
9.62	4	25	25	84.3	193.62.193.165:25
9.83	4	25	25	84.3	193.62.193.165:25
10.04	4	25	25	84.3	193.62.193.165:25
10.24	4	25	25	84.3	193.62.193.165:25
10.45	4	25	25	84.3	193.62.193.165:25
10.66	4	25	25	84.3	193.62.193.165:25
10.86	4	25	25	84.3	193.62.193.165:25
11.07	4	25	25	84.3	193.62.193.165:25
11.28	4	25	25	84.3	193.62.193.165:25
11.49	4	25	25	84.3	193.62.193.165:25
11.69	4	25	25	84.3	193.62.193.165:25
11.90	4	25	25	84.3	193.62.193.165:25
12.11	4	25	25	84.3	193.62.193.165:25
12.32	4	25	25	84.3	193.62.193.165:25
12.52	4	25	25	84.3	193.62.193.165:25
12.73	4	25	25	84.3	193.62.193.165:25
12.94	4	25	25	84.3	193.62.193.165:25
13.14	4	25	25	84.3	193.62.193.165:25
13.35	4	25	25	84.3	193.62.193.165:25
13.56	4	25	25	84.3	193.62.193.165:25
13.77	4	25	25	84.3	193.62.193.165:25
13.97	4	25	25	84.3	193.62.193.165:25
14.18	4	25	25	84.3	193.62.193.165:25
14.39	4	25	25	84.3	193.62.193.165:25
14.59	4	25	25	84.3	193.62.193.165:25
14.80	4	25	25	84.3	193.62.193.165:25
15.01	4	25	25	84.3	193.62.193.165:25
15.22	4	25	25	84.3	193.62.193.165:25
15.43	4	25	25	84.3	193.62.193.165:25
15.64	4	25	25	84.3	193.62.193.165:25
15.85	4	25	25	84.3	193.62.193.165:25
16.06	4	25	25	84.3	193.62.193.165:25
16.26	4	25	25	84.3	193.62.193.165:25
16.47	4	25	25	84.3	193.62.193.165:25
16.68	4	25	25	84.3	193.62.193.165:25
16.89	4	25	25	89.8	193.62.193.165:25
17.09	4	25	25	90.3	193.62.193.165:25
17.30	4	25	25	88.5	193.62.193.165:25
17.51	4	25	25	86.1	193.62.193.165:25
17.72	4	24	24	86.7	193.62.193.165:24
17.92	4	24	24	84.3	193.62.193.165:24
18.13	4	22	22	83.7	193.62.193.165:22
18.34	4	22	22	83.5	193.62.193.165:22
18.54	4	22	22	83.5	193.62.193.165:22
18.75	4	22	22	83.5	193.62.193.165:22
18.96	4	22	22	83.5	193.62.193.165:22
19.17	4	22	22	83.5	193.62.193.165:22
19.38	4	22	22	83.5	193.62.193.165:22
19.59	4	22	22	83.5	193.62.193.165:22
19.79	4	22	22	83.5	193.62.193.165:22
20.00	4	22	22	83.5	193.62.193.165:22
20.21	4	22	22	83.5	193.62.193.165:22
20.42	4	22	22	83.5	193.62.193.165:22
20.63	4	22	22	83.5	193.62.193.165:22
20.84	4	22	22	83.5	193.62.193.165:22
21.05	4	22	22	83.5	193.62.193.165:22
21.26	4	22	22	83.5	193.62.193.165:22
21.46	4	22	22	83.5	193.62.193.165:22
21.67	4	22	22	83.5	193.62.193.165:22
21.88	4	22	22	83.5	193.62.193.165:22
22.09	4	22	22	83.5	193.62.193.165:22
22.29	4	22	22	83.5	193.62.193.165:22
22.50	4	22	22	83.5	193.62.193.165:22
22.71	4	22	22	83.5	193.62.193.165:22
22.91	4	22	22	83.5	193.62.193.165:22
23.12	4	22	22	83.5	193.62.193.165:22
23.33	4	22	22	83.5	193.62.193.165:22
23.54	4	22	22	83.5	193.62.193.165:22
23.74	4	22	22	83.5	193.62.193.165:22
23.95	4	22	22	83.5	193.62.193.165:22
24.16	4	22	22	83.5	193.62.193.165:22
24.37	4	22	22	83.5	193.62.193.165:22
24.58	4	22	22	83.5	193.62.193.165:22
24.78	4	22	22	83.5	193.62.193.165:22
24.99	4	22	22	83.5	193.62.193.165:22
25.20	4	22	22	83.5	193.62.193.165:22
25.40	4	22	22	83.5	193.62.193.165:22
25.61	4	22	22	83.5	193.62.193.165:22
25.82	4	22	22	83.5	193.62.193.165:22
26.03	4	22	22	83.5	193.62.193.165:22
26.23	4	22	22	83.5	193.62.193.165:22
26.44	4	22	22	83.5	193.62.193.165:22
26.65	4	22	22	83.5	193.62.193.165:22
26.86	4	22	22	83.5	193.62.193.165:22
27.06	4	22	22	83.5	193.62.193.165:22
27.27	4	22	22	83.5	193.62.193.165:22
27.48	4	22	22	83.5	193.62.193.165:22
27.69	4	22	22	83.5	193.62.193.165:22
27.90	4	22	22	83.5	193.62.193.165:22
28.10	4	22	22	83.5	193.62.193.165:22
28.31	4	22	22	83.5	193.62.193.165:22
28.52	4	22	22	83.5	193.62.193.165:22
28.72	4	22	22	83.5	193.62.193.165:22
