t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	5	0	0	23.9	-
0.21	5	0	0	65.1	-
0.41	5	0	0	125.0	-
0.61	5	0	0	134.3	-
0.82	5	1	1	134.3	193.62.193.80:1
1.03	5	1	1	135.8	193.62.193.80:1
1.24	6	0	0	141.5	-
1.44	6	1	1	141.5	193.62.193.165:1
1.65	6	1	1	141.5	193.62.193.165:1
1.86	6	1	1	141.5	193.62.193.165:1
2.06	6	1	1	141.5	193.62.193.165:1
2.27	6	2	1	141.5	193.62.193.165:1
2.48	6	2	1	141.5	193.62.193.165:1
2.69	6	2	1	141.5	193.62.193.165:1
2.89	6	2	1	141.5	193.62.193.165:1
3.10	6	2	1	141.5	193.62.193.165:1
3.31	6	2	1	141.5	193.62.193.165:1
3.51	6	2	1	141.5	193.62.193.165:1
3.72	6	2	1	141.5	193.62.193.165:1
3.93	6	2	1	141.5	193.62.193.165:1
4.13	6	2	1	141.5	193.62.193.165:1
4.34	6	2	1	141.5	193.62.193.165:1
4.55	6	2	1	141.5	193.62.193.165:1
4.76	6	2	1	141.5	193.62.193.165:1
4.97	6	2	1	141.5	193.62.193.165:1
5.18	6	2	1	141.5	193.62.193.165:1
5.38	6	2	1	141.5	193.62.193.165:1
5.59	6	2	1	141.5	193.62.193.165:1
5.80	6	2	1	141.5	193.62.193.165:1
6.01	6	2	1	141.5	193.62.193.165:1
6.21	6	2	1	141.5	193.62.193.165:1
6.42	6	2	1	141.5	193.62.193.165:1
6.63	6	2	1	141.5	193.62.193.165:1
6.84	6	2	1	141.5	193.62.193.165:1
7.04	6	2	1	141.5	193.62.193.165:1
7.25	6	2	1	141.5	193.62.193.165:1
7.46	6	2	1	141.5	193.62.193.165:1
7.67	6	2	1	141.5	193.62.193.165:1
7.88	6	2	1	141.5	193.62.193.165:1
8.08	6	2	1	141.5	193.62.193.165:1
8.29	6	2	1	141.5	193.62.193.165:1
8.50	6	2	1	141.5	193.62.193.165:1
